C23002H_001E,C23002H_001EA,C23002H_001M,C23002H_001MA,C23002H_002E,C23002H_002EA,C23002H_002M,C23002H_002MA,C23002H_003E,C23002H_003EA,C23002H_003M,C23002H_003MA,C23002H_004E,C23002H_004EA,C23002H_004M,C23002H_004MA,C23002H_005E,C23002H_005EA,C23002H_005M,C23002H_005MA,C23002H_006E,C23002H_006EA,C23002H_006M,C23002H_006MA,C23002H_007E,C23002H_007EA,C23002H_007M,C23002H_007MA,C23002H_008E,C23002H_008EA,C23002H_008M,C23002H_008MA,C23002H_009E,C23002H_009EA,C23002H_009M,C23002H_009MA,C23002H_010E,C23002H_010EA,C23002H_010M,C23002H_010MA,C23002H_011E,C23002H_011EA,C23002H_011M,C23002H_011MA,C23002H_012E,C23002H_012EA,C23002H_012M,C23002H_012MA,C23002H_013E,C23002H_013EA,C23002H_013M,C23002H_013MA,C23002H_014E,C23002H_014EA,C23002H_014M,C23002H_014MA,C23002H_015E,C23002H_015EA,C23002H_015M,C23002H_015MA,C23002H_016E,C23002H_016EA,C23002H_016M,C23002H_016MA,C23002H_017E,C23002H_017EA,C23002H_017M,C23002H_017MA,C23002H_018E,C23002H_018EA,C23002H_018M,C23002H_018MA,C23002H_019E,C23002H_019EA,C23002H_019M,C23002H_019MA,C23002H_020E,C23002H_020EA,C23002H_020M,C23002H_020MA,C23002H_021E,C23002H_021EA,C23002H_021M,C23002H_021MA,C23002H_022E,C23002H_022EA,C23002H_022M,C23002H_022MA,C23002H_023E,C23002H_023EA,C23002H_023M,C23002H_023MA,C23002H_024E,C23002H_024EA,C23002H_024M,C23002H_024MA,C23002H_025E,C23002H_025EA,C23002H_025M,C23002H_025MA,C23002H_026E,C23002H_026EA,C23002H_026M,C23002H_026MA,C23002H_027E,C23002H_027EA,C23002H_027M,C23002H_027MA,GEO_ID,NAME,state
9639466,null,7793,null,4643659,null,4613,null,3840252,null,4435,null,3097217,null,15039,null,18625,null,2481,null,3078592,null,15092,null,2913072,null,16752,null,165520,null,6364,null,743035,null,14190,null,803407,null,1416,null,171499,null,4395,null,164507,null,4099,null,6992,null,1197,null,631908,null,4822,null,4995807,null,5039,null,3870851,null,4729,null,2815413,null,13646,null,2183,null,786,null,2813230,null,13598,null,2687756,null,15917,null,125474,null,6305,null,1055438,null,13683,null,1124956,null,714,null,136153,null,5208,null,132119,null,5235,null,4034,null,971,null,988803,null,5232,null,0400000US36,New York,36
5035207,null,4037,null,2431345,null,3110,null,2042520,null,3139,null,1687326,null,9155,null,65311,null,3127,null,1622015,null,9463,null,1534492,null,9411,null,87523,null,4920,null,355194,null,8968,null,388825,null,320,null,81366,null,3267,null,79315,null,3252,null,2051,null,694,null,307459,null,3253,null,2603862,null,2673,null,2072446,null,2756,null,1480410,null,9998,null,5467,null,1364,null,1474943,null,9942,null,1391923,null,11129,null,83020,null,4873,null,592036,null,10101,null,531416,null,569,null,62350,null,3121,null,60423,null,3146,null,1927,null,524,null,469066,null,3176,null,0400000US37,North Carolina,37
472018,null,903,null,235230,null,690,null,196296,null,691,null,171702,null,1850,null,4406,null,810,null,167296,null,1962,null,162949,null,2205,null,4347,null,770,null,24594,null,1712,null,38934,null,56,null,8618,null,873,null,8469,null,891,null,149,null,143,null,30316,null,866,null,236788,null,657,null,184332,null,657,null,148601,null,2174,null,711,null,326,null,147890,null,2205,null,143341,null,2557,null,4549,null,1069,null,35731,null,2203,null,52456,null,26,null,7556,null,777,null,7518,null,759,null,38,null,66,null,44900,null,779,null,0400000US38,North Dakota,38
7625653,null,5134,null,3679507,null,3491,null,3097412,null,3457,null,2537946,null,10201,null,10374,null,1726,null,2527572,null,10599,null,2363213,null,12054,null,164359,null,5396,null,559466,null,10826,null,582095,null,272,null,115610,null,4225,null,111802,null,4124,null,3808,null,795,null,466485,null,4232,null,3946146,null,3218,null,3127371,null,3152,null,2296059,null,13290,null,1492,null,456,null,2294567,null,13295,null,2167361,null,14870,null,127206,null,5808,null,831312,null,13100,null,818775,null,396,null,96077,null,3900,null,93508,null,3874,null,2569,null,569,null,722698,null,3810,null,0400000US39,Ohio,39
2108168,null,2217,null,1021308,null,1744,null,843996,null,1680,null,679604,null,5616,null,12967,null,1453,null,666637,null,5834,null,639489,null,5831,null,27148,null,3243,null,164392,null,5880,null,177312,null,182,null,38107,null,2303,null,37432,null,2294,null,675,null,304,null,139205,null,2297,null,1086860,null,1676,null,846652,null,1666,null,587459,null,6738,null,1434,null,628,null,586025,null,6858,null,563334,null,6632,null,22691,null,2562,null,259193,null,6838,null,240208,null,80,null,29378,null,2029,null,28807,null,2012,null,571,null,286,null,210830,null,2042,null,0400000US40,Oklahoma,40
2506335,null,2769,null,1220177,null,1731,null,1014927,null,1721,null,815743,null,6108,null,1868,null,760,null,813875,null,6152,null,758497,null,6760,null,55378,null,3734,null,199184,null,6111,null,205250,null,189,null,31648,null,2162,null,30174,null,2147,null,1474,null,519,null,173602,null,2197,null,1286158,null,1822,null,1025380,null,1826,null,736471,null,6636,null,481,null,391,null,735990,null,6558,null,691787,null,7292,null,44203,null,3552,null,288909,null,6756,null,260778,null,188,null,25751,null,2215,null,24761,null,2208,null,990,null,402,null,235027,null,2205,null,0400000US41,Oregon,41
8349398,null,5260,null,4014065,null,3613,null,3302892,null,3669,null,2698632,null,11574,null,8638,null,1616,null,2689994,null,11682,null,2555485,null,11785,null,134509,null,6477,null,604260,null,12389,null,711173,null,262,null,147278,null,4249,null,142490,null,4080,null,4788,null,938,null,563895,null,4236,null,4335333,null,3668,null,3318526,null,3637,null,2416645,null,11328,null,1197,null,511,null,2415448,null,11417,null,2301083,null,11699,null,114365,null,4904,null,901881,null,10774,null,1016807,null,291,null,114233,null,3966,null,110509,null,3950,null,3724,null,727,null,902574,null,3942,null,0400000US42,Pennsylvania,42
691615,null,1885,null,328813,null,1043,null,273903,null,1043,null,223430,null,3198,null,4178,null,3135,null,219252,null,4112,null,201619,null,4596,null,17633,null,2348,null,50473,null,3344,null,54910,null,287,null,12154,null,1234,null,11766,null,1208,null,388,null,253,null,42756,null,1234,null,362802,null,1352,null,282154,null,1409,null,216711,null,3827,null,739,null,642,null,215972,null,3855,null,205803,null,3915,null,10169,null,1661,null,65443,null,3849,null,80648,null,408,null,9138,null,1194,null,8829,null,1175,null,309,null,256,null,71510,null,1225,null,0400000US44,Rhode Island,44
2378548,null,3188,null,1151919,null,2118,null,952446,null,2134,null,771808,null,5658,null,19343,null,2401,null,752465,null,5972,null,709940,null,7357,null,42525,null,3737,null,180638,null,5999,null,199473,null,394,null,37410,null,2454,null,35924,null,2440,null,1486,null,538,null,162063,null,2492,null,1226629,null,2105,null,965055,null,2124,null,657589,null,8346,null,4250,null,983,null,653339,null,8442,null,612326,null,8519,null,41013,null,3404,null,307466,null,8470,null,261574,null,114,null,29815,null,2572,null,29068,null,2539,null,747,null,316,null,231759,null,2573,null,0400000US45,South Carolina,45
557283,null,1504,null,274737,null,1222,null,226837,null,1226,null,196280,null,2285,null,3242,null,1055,null,193038,null,2505,null,188930,null,2497,null,4108,null,960,null,30557,null,2187,null,47900,null,270,null,12981,null,1190,null,12823,null,1182,null,158,null,140,null,34919,null,1221,null,282546,null,911,null,219912,null,875,null,180355,null,2748,null,534,null,479,null,179821,null,2709,null,175417,null,2640,null,4404,null,981,null,39557,null,2756,null,62634,null,258,null,9133,null,1137,null,8944,null,1182,null,189,null,179,null,53501,null,1126,null,0400000US46,South Dakota,46
3878038,null,3317,null,1870157,null,3014,null,1566618,null,3021,null,1266203,null,6788,null,9848,null,1571,null,1256355,null,6924,null,1180688,null,7487,null,75667,null,4139,null,300415,null,7117,null,303539,null,186,null,60724,null,3001,null,58485,null,3026,null,2239,null,596,null,242815,null,2994,null,2007881,null,2391,null,1594422,null,2391,null,1084562,null,9052,null,1272,null,692,null,1083290,null,9036,null,1017874,null,9884,null,65416,null,4358,null,509860,null,9466,null,413459,null,167,null,46461,null,2927,null,45011,null,2844,null,1450,null,492,null,366998,null,2964,null,0400000US47,Tennessee,47
9314020,null,11509,null,4545511,null,4755,null,3821142,null,4678,null,3177154,null,12118,null,51202,null,3453,null,3125952,null,13012,null,2997939,null,12695,null,128013,null,6380,null,643988,null,12090,null,724369,null,927,null,175780,null,5153,null,170523,null,5064,null,5257,null,1007,null,548589,null,5389,null,4768509,null,9068,null,3806176,null,9195,null,2650918,null,13590,null,9194,null,1794,null,2641724,null,13999,null,2530467,null,15375,null,111257,null,5173,null,1155258,null,13225,null,962333,null,2559,null,123028,null,4507,null,120630,null,4472,null,2398,null,698,null,839305,null,5319,null,0400000US48,Texas,48
