B16005A_001E,B16005A_001EA,B16005A_001M,B16005A_001MA,B16005A_002E,B16005A_002EA,B16005A_002M,B16005A_002MA,B16005A_003E,B16005A_003EA,B16005A_003M,B16005A_003MA,B16005A_004E,B16005A_004EA,B16005A_004M,B16005A_004MA,B16005A_005E,B16005A_005EA,B16005A_005M,B16005A_005MA,B16005A_006E,B16005A_006EA,B16005A_006M,B16005A_006MA,B16005A_007E,B16005A_007EA,B16005A_007M,B16005A_007MA,B16005A_008E,B16005A_008EA,B16005A_008M,B16005A_008MA,B16005A_009E,B16005A_009EA,B16005A_009M,B16005A_009MA,B16005A_010E,B16005A_010EA,B16005A_010M,B16005A_010MA,B16005A_011E,B16005A_011EA,B16005A_011M,B16005A_011MA,GEO_ID,NAME,state
5595761,null,15089,null,5243435,null,12531,null,5055803,null,12994,null,187632,null,8773,null,142328,null,6835,null,45304,null,4686,null,352326,null,14943,null,61714,null,3973,null,290612,null,15480,null,109006,null,7361,null,181606,null,12572,null,0400000US13,Georgia,13
329902,null,3562,null,303114,null,4218,null,280339,null,5664,null,22775,null,3019,null,19355,null,2858,null,3420,null,1195,null,26788,null,3199,null,13059,null,1856,null,13729,null,2416,null,9999,null,1834,null,3730,null,1375,null,0400000US15,Hawaii,15
1304433,null,4481,null,1242064,null,5070,null,1184176,null,6202,null,57888,null,4178,null,48766,null,3874,null,9122,null,1605,null,62369,null,5779,null,16868,null,2346,null,45501,null,4881,null,14000,null,2782,null,31501,null,4029,null,0400000US16,Idaho,16
8800158,null,25560,null,7878096,null,26636,null,7266732,null,28102,null,611364,null,18680,null,500747,null,17159,null,110617,null,7027,null,922062,null,21194,null,110891,null,6713,null,811171,null,20459,null,299260,null,9420,null,511911,null,16880,null,0400000US17,Illinois,17
5116831,null,7676,null,5001252,null,7487,null,4840154,null,9125,null,161098,null,8770,null,123665,null,7869,null,37433,null,3606,null,115579,null,7787,null,27934,null,2470,null,87645,null,6597,null,36910,null,4373,null,50735,null,4846,null,0400000US18,Indiana,18
2609727,null,4674,null,2560387,null,5205,null,2491877,null,6631,null,68510,null,4242,null,54130,null,3719,null,14380,null,1722,null,49340,null,4456,null,10301,null,1515,null,39039,null,4060,null,15752,null,2068,null,23287,null,3140,null,0400000US19,Iowa,19
2254550,null,7019,null,2172694,null,6575,null,2090369,null,8063,null,82325,null,5592,null,68152,null,5028,null,14173,null,2153,null,81856,null,5773,null,12727,null,1810,null,69129,null,5850,null,23699,null,3119,null,45430,null,4161,null,0400000US20,Kansas,20
3566372,null,4314,null,3509180,null,5141,null,3452372,null,6919,null,56808,null,5266,null,39934,null,4147,null,16874,null,2654,null,57192,null,4299,null,14177,null,2048,null,43015,null,3853,null,19646,null,2485,null,23369,null,2917,null,0400000US21,Kentucky,21
2651148,null,5409,null,2591077,null,5905,null,2429344,null,8215,null,161733,null,5946,null,131927,null,6183,null,29806,null,2952,null,60071,null,4886,null,14748,null,2144,null,45323,null,4570,null,21361,null,2903,null,23962,null,3030,null,0400000US22,Louisiana,22
1196058,null,1499,null,1169753,null,2796,null,1107773,null,5249,null,61980,null,4303,null,50831,null,4040,null,11149,null,1480,null,26305,null,2484,null,14450,null,1786,null,11855,null,2039,null,8819,null,1652,null,3036,null,892,null,0400000US23,Maine,23
3250309,null,9938,null,3010581,null,9204,null,2869295,null,10159,null,141286,null,7105,null,115235,null,6415,null,26051,null,2965,null,239728,null,10896,null,66977,null,5077,null,172751,null,9437,null,84240,null,5268,null,88511,null,6644,null,0400000US24,Maryland,24
5083926,null,13806,null,4636756,null,17322,null,4317722,null,19026,null,319034,null,11655,null,254794,null,10230,null,64240,null,5185,null,447170,null,15117,null,110229,null,6293,null,336941,null,14550,null,168017,null,9347,null,168924,null,10325,null,0400000US25,Massachusetts,25
7511164,null,7870,null,7186528,null,13208,null,6923651,null,15542,null,262877,null,9095,null,215790,null,8477,null,47087,null,3410,null,324636,null,11387,null,87255,null,4458,null,237381,null,10475,null,114791,null,5979,null,122590,null,8427,null,0400000US26,Michigan,26
4315984,null,5243,null,4191383,null,7359,null,4056484,null,8409,null,134899,null,5546,null,101354,null,5315,null,33545,null,2993,null,124601,null,7128,null,31998,null,2777,null,92603,null,6877,null,38426,null,3725,null,54177,null,4903,null,0400000US27,Minnesota,27
1642186,null,4196,null,1612692,null,4385,null,1586923,null,4561,null,25769,null,3229,null,20458,null,2812,null,5311,null,1181,null,29494,null,3842,null,9845,null,2164,null,19649,null,3146,null,7123,null,1548,null,12526,null,2809,null,0400000US28,Mississippi,28
4662076,null,6103,null,4551828,null,7712,null,4449366,null,8715,null,102462,null,5554,null,81713,null,4767,null,20749,null,2412,null,110248,null,7851,null,28188,null,2988,null,82060,null,7462,null,32614,null,3640,null,49446,null,5462,null,0400000US29,Missouri,29
816270,null,1633,null,802584,null,2599,null,781758,null,3346,null,20826,null,2436,null,16177,null,2166,null,4649,null,1429,null,13686,null,2041,null,8602,null,1616,null,5084,null,1284,null,3635,null,989,null,1449,null,729,null,0400000US30,Montana,30
1478801,null,4392,null,1429173,null,4796,null,1381627,null,5390,null,47546,null,3668,null,37249,null,3282,null,10297,null,1651,null,49628,null,4430,null,7586,null,1379,null,42042,null,4287,null,13769,null,2485,null,28273,null,3411,null,0400000US31,Nebraska,31
1862727,null,10723,null,1551193,null,11667,null,1370990,null,11595,null,180203,null,8098,null,143497,null,7325,null,36706,null,3993,null,311534,null,12260,null,40928,null,3458,null,270606,null,11744,null,79557,null,6565,null,191049,null,8801,null,0400000US32,Nevada,32
1179507,null,2273,null,1140996,null,4378,null,1094744,null,5832,null,46252,null,4235,null,38588,null,4026,null,7664,null,1337,null,38511,null,4098,null,15413,null,1992,null,23098,null,4056,null,13235,null,2294,null,9863,null,2840,null,0400000US33,New Hampshire,33
5797201,null,15916,null,5005595,null,18776,null,4522163,null,17241,null,483432,null,13733,null,395467,null,12072,null,87965,null,5913,null,791606,null,17824,null,131940,null,7383,null,659666,null,16586,null,263913,null,9520,null,395753,null,15176,null,0400000US34,New Jersey,34
1360586,null,10879,null,1229553,null,13244,null,953585,null,13335,null,275968,null,9062,null,240437,null,8155,null,35531,null,3621,null,131033,null,9129,null,13572,null,1803,null,117461,null,9216,null,36657,null,4195,null,80804,null,7345,null,0400000US35,New Mexico,35
12376970,null,26989,null,10734310,null,28473,null,9585774,null,30932,null,1148536,null,22258,null,894032,null,19394,null,254504,null,11834,null,1642660,null,29225,null,298674,null,10738,null,1343986,null,27590,null,532376,null,16690,null,811610,null,20370,null,0400000US36,New York,36
6090847,null,12282,null,5830724,null,10687,null,5664836,null,12154,null,165888,null,7688,null,130953,null,6549,null,34935,null,3825,null,260123,null,12572,null,56354,null,4581,null,203769,null,11073,null,76628,null,5915,null,127141,null,7748,null,0400000US37,North Carolina,37
548991,null,1309,null,540859,null,1651,null,522064,null,2682,null,18795,null,2164,null,15336,null,1838,null,3459,null,755,null,8132,null,1727,null,3997,null,910,null,4135,null,1432,null,2578,null,1000,null,1557,null,660,null,0400000US38,North Dakota,38
9078793,null,6803,null,8860295,null,11409,null,8608577,null,13837,null,251718,null,9560,null,188034,null,8438,null,63684,null,5556,null,218498,null,10079,null,68176,null,5036,null,150322,null,8746,null,78748,null,5144,null,71574,null,6111,null,0400000US39,Ohio,39
2583217,null,7363,null,2494139,null,6744,null,2421368,null,6639,null,72771,null,5535,null,58693,null,5212,null,14078,null,2048,null,89078,null,6567,null,15630,null,2288,null,73448,null,5999,null,27567,null,3333,null,45881,null,4360,null,0400000US40,Oklahoma,40
3096036,null,9144,null,2901125,null,10131,null,2763343,null,10959,null,137782,null,8156,null,115405,null,7717,null,22377,null,2362,null,194911,null,10413,null,48446,null,3620,null,146465,null,10838,null,58123,null,6463,null,88342,null,7281,null,0400000US41,Oregon,41
9871665,null,10735,null,9560324,null,14013,null,9177197,null,17742,null,383127,null,14630,null,284380,null,12722,null,98747,null,6243,null,311341,null,10337,null,87475,null,4882,null,223866,null,10068,null,112794,null,5928,null,111072,null,6755,null,0400000US42,Pennsylvania,42
830808,null,4991,null,772579,null,5519,null,719411,null,6162,null,53168,null,4918,null,42911,null,3989,null,10257,null,2441,null,58229,null,4707,null,10533,null,1745,null,47696,null,4329,null,18643,null,2479,null,29053,null,3906,null,0400000US44,Rhode Island,44
2843633,null,5099,null,2736858,null,7524,null,2671190,null,8066,null,65668,null,4726,null,50461,null,4432,null,15207,null,1932,null,106775,null,7112,null,28268,null,3532,null,78507,null,6067,null,27353,null,3274,null,51154,null,4467,null,0400000US45,South Carolina,45
656077,null,2458,null,648703,null,2770,null,629147,null,3327,null,19556,null,2761,null,15301,null,2314,null,4255,null,1176,null,7374,null,1836,null,2375,null,938,null,4999,null,1588,null,2090,null,614,null,2909,null,1482,null,0400000US46,South Dakota,46
4636451,null,6454,null,4508965,null,7860,null,4418292,null,10435,null,90673,null,6620,null,71859,null,5866,null,18814,null,2375,null,127486,null,7291,null,28875,null,3208,null,98611,null,6683,null,38743,null,3806,null,59868,null,5206,null,0400000US47,Tennessee,47
16560620,null,35494,null,14331855,null,38198,null,11352079,null,32989,null,2979776,null,32738,null,2330410,null,32239,null,649366,null,17087,null,2228765,null,34943,null,196516,null,9515,null,2032249,null,31369,null,588313,null,17402,null,1443936,null,25563,null,0400000US48,Texas,48
2252594,null,5680,null,2105659,null,7803,null,1987773,null,8867,null,117886,null,5840,null,98196,null,5480,null,19690,null,2757,null,146935,null,7129,null,26491,null,2740,null,120444,null,6660,null,48440,null,4352,null,72004,null,5694,null,0400000US49,Utah,49
565445,null,800,null,548036,null,2106,null,532147,null,3191,null,15889,null,1858,null,13253,null,1824,null,2636,null,636,null,17409,null,2003,null,8848,null,1264,null,8561,null,1644,null,5379,null,1194,null,3182,null,964,null,0400000US50,Vermont,50
5171523,null,12514,null,4855162,null,12100,null,4669981,null,13580,null,185181,null,8581,null,150294,null,7365,null,34887,null,3352,null,316361,null,12593,null,71409,null,4390,null,244952,null,12039,null,118069,null,7731,null,126883,null,8684,null,0400000US51,Virginia,51
4956743,null,11651,null,4623706,null,12666,null,4415894,null,14293,null,207812,null,8481,null,168937,null,8312,null,38875,null,3512,null,333037,null,15013,null,97512,null,5268,null,235525,null,13145,null,102241,null,7097,null,133284,null,9041,null,0400000US53,Washington,53
1616243,null,2258,null,1603406,null,2646,null,1585237,null,3135,null,18169,null,2315,null,14062,null,1977,null,4107,null,1101,null,12837,null,2674,null,5008,null,1612,null,7829,null,1747,null,4773,null,1337,null,3056,null,1098,null,0400000US54,West Virginia,54
4682233,null,6074,null,4548218,null,8007,null,4379440,null,8581,null,168778,null,6659,null,130810,null,6276,null,37968,null,3003,null,134015,null,8799,null,31175,null,2875,null,102840,null,7495,null,42317,null,3262,null,60523,null,5722,null,0400000US55,Wisconsin,55
456595,null,1752,null,448243,null,2399,null,433833,null,2942,null,14410,null,2231,null,11118,null,2134,null,3292,null,1030,null,8352,null,1814,null,2838,null,722,null,5514,null,1560,null,2418,null,767,null,3096,null,1213,null,0400000US56,Wyoming,56
2813531,null,19108,null,2760915,null,18850,null,142772,null,7304,null,2618143,null,19583,null,416215,null,13084,null,2201928,null,23586,null,52616,null,4289,null,2532,null,739,null,50084,null,4212,null,9961,null,1692,null,40123,null,3554,null,0400000US72,Puerto Rico,72
