B25070_001E,B25070_001EA,B25070_001M,B25070_001MA,B25070_002E,B25070_002EA,B25070_002M,B25070_002MA,B25070_003E,B25070_003EA,B25070_003M,B25070_003MA,B25070_004E,B25070_004EA,B25070_004M,B25070_004MA,B25070_005E,B25070_005EA,B25070_005M,B25070_005MA,B25070_006E,B25070_006EA,B25070_006M,B25070_006MA,B25070_007E,B25070_007EA,B25070_007M,B25070_007MA,B25070_008E,B25070_008EA,B25070_008M,B25070_008MA,B25070_009E,B25070_009EA,B25070_009M,B25070_009MA,B25070_010E,B25070_010EA,B25070_010M,B25070_010MA,B25070_011E,B25070_011EA,B25070_011M,B25070_011MA,GEO_ID,NAME,state
734546,null,11657,null,29780,null,3209,null,61552,null,4237,null,84127,null,4817,null,88873,null,4882,null,77779,null,4723,null,59133,null,4491,null,40007,null,3634,null,55870,null,4129,null,160513,null,6604,null,76912,null,4841,null,0400000US47,Tennessee,47
2956395,null,22182,null,114840,null,6401,null,260394,null,9349,null,361674,null,11091,null,374190,null,11930,null,311900,null,11081,null,248857,null,7729,null,183602,null,9296,null,249615,null,8789,null,617224,null,14112,null,234099,null,7606,null,0400000US48,Texas,48
241573,null,6496,null,8208,null,1532,null,25093,null,2501,null,34065,null,3268,null,35184,null,3316,null,27733,null,2667,null,21743,null,3042,null,13147,null,1895,null,18689,null,2513,null,43577,null,3290,null,14134,null,1820,null,0400000US49,Utah,49
69599,null,2991,null,1031,null,413,null,5019,null,915,null,8044,null,1570,null,8018,null,1292,null,8242,null,1259,null,6136,null,1058,null,4068,null,925,null,6906,null,1258,null,15920,null,1660,null,6215,null,896,null,0400000US50,Vermont,50
926814,null,11363,null,32663,null,2722,null,80798,null,5033,null,112734,null,6410,null,121566,null,6749,null,104281,null,5491,null,80539,null,4933,null,56102,null,4448,null,76947,null,5190,null,191505,null,7114,null,69679,null,4353,null,0400000US51,Virginia,51
884489,null,12140,null,24191,null,2932,null,74592,null,4862,null,114042,null,5311,null,120241,null,5232,null,104168,null,5703,null,86963,null,5314,null,56130,null,3894,null,72828,null,4363,null,188366,null,6724,null,42968,null,3070,null,0400000US53,Washington,53
196935,null,6251,null,12017,null,1616,null,18476,null,2269,null,20149,null,2170,null,16925,null,2146,null,18068,null,2169,null,12495,null,1817,null,10282,null,1784,null,12365,null,1907,null,40185,null,3230,null,35973,null,2966,null,0400000US54,West Virginia,54
672007,null,9765,null,24615,null,2245,null,69636,null,4207,null,89188,null,3484,null,87590,null,4509,null,76290,null,3477,null,55027,null,3779,null,37399,null,3087,null,56647,null,4220,null,136651,null,5492,null,38964,null,2939,null,0400000US55,Wisconsin,55
62391,null,3804,null,4643,null,1018,null,7096,null,1122,null,8240,null,1642,null,6229,null,1281,null,6903,null,1488,null,4690,null,1107,null,3492,null,968,null,2812,null,842,null,9279,null,1270,null,9007,null,1628,null,0400000US56,Wyoming,56
326966,null,7841,null,6313,null,1195,null,13143,null,1808,null,18269,null,2126,null,20006,null,2237,null,19006,null,2161,null,16983,null,1909,null,13300,null,1467,null,17701,null,1757,null,63169,null,3852,null,139076,null,5467,null,0400000US72,Puerto Rico,72
