B10001_001E,B10001_001EA,B10001_001M,B10001_001MA,B10001_002E,B10001_002EA,B10001_002M,B10001_002MA,B10001_003E,B10001_003EA,B10001_003M,B10001_003MA,B10001_004E,B10001_004EA,B10001_004M,B10001_004MA,GEO_ID,NAME,state
120212,null,6957,null,53803,null,4216,null,35952,null,3569,null,30457,null,3483,null,0400000US47,Tennessee,47
545301,null,17302,null,282999,null,11591,null,153519,null,7488,null,108783,null,6470,null,0400000US48,Texas,48
44588,null,5179,null,22408,null,2567,null,13256,null,2304,null,8924,null,1910,null,0400000US49,Utah,49
5006,null,1073,null,2110,null,775,null,1342,null,566,null,1554,null,581,null,0400000US50,Vermont,50
121567,null,6948,null,56619,null,4537,null,37000,null,3508,null,27948,null,3270,null,0400000US51,Virginia,51
69759,null,5381,null,35175,null,3449,null,19177,null,2562,null,15407,null,2052,null,0400000US53,Washington,53
31498,null,3768,null,13592,null,2258,null,9604,null,1827,null,8302,null,1817,null,0400000US54,West Virginia,54
53371,null,4045,null,25432,null,2349,null,15812,null,2370,null,12127,null,1711,null,0400000US55,Wisconsin,55
8980,null,1660,null,4256,null,888,null,2787,null,857,null,1937,null,741,null,0400000US56,Wyoming,56
142735,null,6496,null,58734,null,3647,null,44198,null,3750,null,39803,null,3414,null,0400000US72,Puerto Rico,72
