B16005D_001E,B16005D_001EA,B16005D_001M,B16005D_001MA,B16005D_002E,B16005D_002EA,B16005D_002M,B16005D_002MA,B16005D_003E,B16005D_003EA,B16005D_003M,B16005D_003MA,B16005D_004E,B16005D_004EA,B16005D_004M,B16005D_004MA,B16005D_005E,B16005D_005EA,B16005D_005M,B16005D_005MA,B16005D_006E,B16005D_006EA,B16005D_006M,B16005D_006MA,B16005D_007E,B16005D_007EA,B16005D_007M,B16005D_007MA,B16005D_008E,B16005D_008EA,B16005D_008M,B16005D_008MA,B16005D_009E,B16005D_009EA,B16005D_009M,B16005D_009MA,B16005D_010E,B16005D_010EA,B16005D_010M,B16005D_010MA,B16005D_011E,B16005D_011EA,B16005D_011M,B16005D_011MA,GEO_ID,NAME,state
217214,null,3507,null,49294,null,3777,null,20597,null,2402,null,28697,null,3490,null,23754,null,3234,null,4943,null,1410,null,167920,null,3500,null,22753,null,2344,null,145167,null,3678,null,74943,null,3937,null,70224,null,3668,null,0400000US26,Michigan,26
167039,null,2557,null,49718,null,2737,null,13575,null,1639,null,36143,null,2866,null,26088,null,2762,null,10055,null,2247,null,117321,null,3412,null,20065,null,3005,null,97256,null,3316,null,44234,null,3759,null,53022,null,3913,null,0400000US27,Minnesota,27
20858,null,2584,null,6570,null,1283,null,3161,null,972,null,3409,null,916,null,2691,null,693,null,718,null,490,null,14288,null,2410,null,1241,null,688,null,13047,null,2442,null,6883,null,1657,null,6164,null,1662,null,0400000US28,Mississippi,28
77461,null,2692,null,19385,null,1938,null,11008,null,1603,null,8377,null,1466,null,6728,null,1292,null,1649,null,621,null,58076,null,2355,null,9369,null,1705,null,48707,null,2484,null,22092,null,2069,null,26615,null,2386,null,0400000US29,Missouri,29
6271,null,1314,null,1568,null,864,null,1194,null,710,null,374,null,328,null,356,null,330,null,18,null,37,null,4703,null,920,null,1128,null,577,null,3575,null,639,null,1345,null,592,null,2230,null,512,null,0400000US30,Montana,30
24476,null,1744,null,6533,null,1238,null,3589,null,901,null,2944,null,927,null,2268,null,806,null,676,null,469,null,17943,null,1632,null,2972,null,1078,null,14971,null,1577,null,7692,null,1502,null,7279,null,1197,null,0400000US31,Nebraska,31
148008,null,2791,null,46146,null,3463,null,29455,null,3330,null,16691,null,2476,null,13572,null,2520,null,3119,null,847,null,101862,null,4085,null,14250,null,2529,null,87612,null,4416,null,48485,null,3612,null,39127,null,3217,null,0400000US32,Nevada,32
24011,null,1507,null,5112,null,1343,null,3063,null,1154,null,2049,null,767,null,1868,null,691,null,181,null,293,null,18899,null,1638,null,2917,null,851,null,15982,null,1598,null,8713,null,1504,null,7269,null,1809,null,0400000US33,New Hampshire,33
616716,null,3985,null,135904,null,5096,null,60532,null,3998,null,75372,null,4707,null,62730,null,4639,null,12642,null,1898,null,480812,null,5757,null,50490,null,4421,null,430322,null,6940,null,246874,null,6973,null,183448,null,7114,null,0400000US34,New Jersey,34
24717,null,1608,null,6884,null,1416,null,3991,null,1069,null,2893,null,1125,null,2411,null,1094,null,482,null,378,null,17833,null,1419,null,3456,null,1073,null,14377,null,1487,null,6643,null,1292,null,7734,null,1735,null,0400000US35,New Mexico,35
1274808,null,7363,null,305123,null,8538,null,114637,null,6486,null,190486,null,7863,null,149432,null,7787,null,41054,null,4402,null,969685,null,10095,null,131778,null,7497,null,837907,null,12406,null,313113,null,10286,null,524794,null,10575,null,0400000US36,New York,36
157963,null,3537,null,41326,null,3290,null,19357,null,2385,null,21969,null,3008,null,18558,null,2909,null,3411,null,1186,null,116637,null,3657,null,14623,null,2292,null,102014,null,4188,null,54734,null,3835,null,47280,null,3317,null,0400000US37,North Carolina,37
5167,null,1082,null,1467,null,465,null,728,null,343,null,739,null,422,null,652,null,408,null,87,null,171,null,3700,null,985,null,665,null,441,null,3035,null,957,null,1258,null,722,null,1777,null,715,null,0400000US38,North Dakota,38
162284,null,3385,null,37334,null,3203,null,20363,null,2834,null,16971,null,2278,null,13771,null,2037,null,3200,null,762,null,124950,null,3739,null,20121,null,2157,null,104829,null,4307,null,53676,null,3693,null,51153,null,3632,null,0400000US39,Ohio,39
58004,null,2262,null,14516,null,2072,null,6812,null,1351,null,7704,null,1695,null,6510,null,1592,null,1194,null,616,null,43488,null,2557,null,6152,null,1400,null,37336,null,2442,null,19447,null,2322,null,17889,null,1750,null,0400000US40,Oklahoma,40
122067,null,3429,null,38235,null,2474,null,21511,null,2305,null,16724,null,2228,null,13245,null,2026,null,3479,null,984,null,83832,null,3604,null,11447,null,1906,null,72385,null,3729,null,32649,null,2305,null,39736,null,3457,null,0400000US41,Oregon,41
276119,null,3433,null,70420,null,3800,null,30844,null,3047,null,39576,null,3119,null,33015,null,2768,null,6561,null,1339,null,205699,null,4234,null,22821,null,2667,null,182878,null,5144,null,87744,null,5160,null,95134,null,6098,null,0400000US42,Pennsylvania,42
28536,null,1209,null,11287,null,1533,null,4831,null,1298,null,6456,null,1381,null,4806,null,1378,null,1650,null,899,null,17249,null,1410,null,2906,null,947,null,14343,null,1324,null,7011,null,1136,null,7332,null,1352,null,0400000US44,Rhode Island,44
46970,null,2213,null,12217,null,1480,null,6092,null,1443,null,6125,null,1353,null,5274,null,1273,null,851,null,575,null,34753,null,2243,null,7184,null,1656,null,27569,null,2446,null,14418,null,1710,null,13151,null,1980,null,0400000US45,South Carolina,45
5817,null,1336,null,2236,null,919,null,1052,null,536,null,1184,null,724,null,1056,null,713,null,128,null,140,null,3581,null,1110,null,908,null,634,null,2673,null,972,null,1212,null,547,null,1461,null,799,null,0400000US46,South Dakota,46
76011,null,2503,null,17677,null,1765,null,9296,null,1797,null,8381,null,1429,null,6414,null,1280,null,1967,null,790,null,58334,null,2351,null,8038,null,1609,null,50296,null,2684,null,24047,null,2096,null,26249,null,2543,null,0400000US47,Tennessee,47
778028,null,6307,null,197984,null,7114,null,81120,null,4999,null,116864,null,6290,null,97098,null,5605,null,19766,null,2511,null,580044,null,6951,null,53225,null,4269,null,526819,null,7695,null,267515,null,9064,null,259304,null,8709,null,0400000US48,Texas,48
49778,null,2464,null,16631,null,2137,null,11362,null,2021,null,5269,null,1270,null,4370,null,1301,null,899,null,387,null,33147,null,2402,null,4906,null,1140,null,28241,null,2809,null,12686,null,1917,null,15555,null,2721,null,0400000US49,Utah,49
6733,null,812,null,1580,null,549,null,845,null,414,null,735,null,338,null,500,null,258,null,235,null,232,null,5153,null,663,null,1400,null,546,null,3753,null,672,null,1871,null,825,null,1882,null,765,null,0400000US50,Vermont,50
349604,null,4998,null,79817,null,3976,null,40758,null,3116,null,39059,null,2935,null,33563,null,2640,null,5496,null,1189,null,269787,null,5442,null,29206,null,3762,null,240581,null,6101,null,128301,null,5530,null,112280,null,5573,null,0400000US51,Virginia,51
399966,null,4684,null,115426,null,4978,null,66982,null,4384,null,48444,null,3761,null,36838,null,3611,null,11606,null,1968,null,284540,null,5891,null,35078,null,3335,null,249462,null,6781,null,110988,null,5558,null,138474,null,5457,null,0400000US53,Washington,53
8819,null,1478,null,1481,null,600,null,988,null,533,null,493,null,335,null,363,null,251,null,130,null,219,null,7338,null,1316,null,2209,null,792,null,5129,null,1039,null,3218,null,854,null,1911,null,891,null,0400000US54,West Virginia,54
104719,null,2484,null,36939,null,2480,null,10891,null,1968,null,26048,null,2385,null,21154,null,2582,null,4894,null,1259,null,67780,null,2624,null,9955,null,1727,null,57825,null,2763,null,31962,null,2818,null,25863,null,2722,null,0400000US55,Wisconsin,55
3220,null,999,null,992,null,548,null,642,null,335,null,350,null,314,null,350,null,314,null,0,null,261,null,2228,null,768,null,610,null,505,null,1618,null,721,null,768,null,441,null,850,null,510,null,0400000US56,Wyoming,56
13563,null,3154,null,9539,null,2821,null,145,null,140,null,9394,null,2825,null,1618,null,1041,null,7776,null,2475,null,4024,null,1192,null,455,null,435,null,3569,null,1045,null,537,null,380,null,3032,null,1047,null,0400000US72,Puerto Rico,72
