C16006_001E,C16006_001EA,C16006_001M,C16006_001MA,C16006_002E,C16006_002EA,C16006_002M,C16006_002MA,C16006_003E,C16006_003EA,C16006_003M,C16006_003MA,C16006_004E,C16006_004EA,C16006_004M,C16006_004MA,C16006_005E,C16006_005EA,C16006_005M,C16006_005MA,C16006_006E,C16006_006EA,C16006_006M,C16006_006MA,GEO_ID,NAME,state
135432,null,686,null,49520,null,4513,null,85466,null,4513,null,44670,null,4011,null,40796,null,3263,null,446,null,363,null,0400000US16,Idaho,16
1743055,null,1963,null,323165,null,13645,null,1413779,null,13894,null,698309,null,17542,null,715470,null,16702,null,6111,null,1443,null,0400000US17,Illinois,17
282332,null,1746,null,92221,null,5196,null,189292,null,5406,null,87822,null,4772,null,101470,null,5395,null,819,null,458,null,0400000US18,Indiana,18
106381,null,1718,null,34467,null,3494,null,71211,null,3705,null,34068,null,3023,null,37143,null,3053,null,703,null,616,null,0400000US19,Iowa,19
221391,null,1094,null,72826,null,5653,null,147681,null,5582,null,74282,null,5243,null,73399,null,3860,null,884,null,641,null,0400000US20,Kansas,20
84394,null,1924,null,29148,null,2716,null,55117,null,3169,null,23043,null,2635,null,32074,null,2574,null,129,null,127,null,0400000US21,Kentucky,21
134506,null,2342,null,49841,null,3673,null,83399,null,3557,null,41047,null,2900,null,42352,null,4043,null,1266,null,598,null,0400000US22,Louisiana,22
12010,null,796,null,7493,null,1306,null,4517,null,1056,null,3068,null,985,null,1449,null,559,null,0,null,228,null,0400000US23,Maine,23
324315,null,1389,null,80784,null,5790,null,239962,null,6013,null,113063,null,5714,null,126899,null,5788,null,3569,null,1256,null,0400000US24,Maryland,24
498629,null,451,null,96698,null,6698,null,395844,null,7095,null,211528,null,7734,null,184316,null,8315,null,6087,null,2007,null,0400000US25,Massachusetts,25
365157,null,1424,null,165244,null,7835,null,198020,null,7764,null,104428,null,5483,null,93592,null,7258,null,1893,null,694,null,0400000US26,Michigan,26
184516,null,1045,null,56485,null,4633,null,126760,null,4653,null,57662,null,3925,null,69098,null,4525,null,1271,null,660,null,0400000US27,Minnesota,27
51232,null,3466,null,14519,null,2609,null,36060,null,3718,null,13721,null,1996,null,22339,null,3349,null,653,null,695,null,0400000US28,Mississippi,28
160126,null,1997,null,68792,null,4712,null,90540,null,4027,null,42939,null,3745,null,47601,null,3674,null,794,null,538,null,0400000US29,Missouri,29
23538,null,943,null,18496,null,1602,null,4863,null,1323,null,3505,null,1055,null,1358,null,633,null,179,null,203,null,0400000US30,Montana,30
120293,null,1006,null,36673,null,3539,null,83393,null,3499,null,34586,null,3045,null,48807,null,3085,null,227,null,164,null,0400000US31,Nebraska,31
587821,null,870,null,137469,null,9318,null,448378,null,9437,null,208614,null,8660,null,239764,null,8794,null,1974,null,727,null,0400000US32,Nevada,32
30774,null,1008,null,13042,null,2344,null,17559,null,2417,null,10071,null,2065,null,7488,null,1714,null,173,null,197,null,0400000US33,New Hampshire,33
1274961,null,736,null,219116,null,7888,null,1047098,null,8170,null,523743,null,10942,null,523355,null,12023,null,8747,null,2046,null,0400000US34,New Jersey,34
807463,null,1123,null,320354,null,12538,null,483627,null,12345,null,339474,null,8787,null,144153,null,9295,null,3482,null,1157,null,0400000US35,New Mexico,35
2952003,null,1718,null,534642,null,15682,null,2399166,null,15639,null,1215797,null,19599,null,1183369,null,17938,null,18195,null,2901,null,0400000US36,New York,36
575550,null,2862,null,94718,null,6721,null,479759,null,7579,null,179004,null,8712,null,300755,null,9572,null,1073,null,646,null,0400000US37,North Carolina,37
11266,null,967,null,6243,null,1064,null,4903,null,996,null,3804,null,796,null,1099,null,514,null,120,null,135,null,0400000US38,North Dakota,38
259311,null,2519,null,116939,null,5636,null,140101,null,5560,null,76492,null,4826,null,63609,null,4844,null,2271,null,861,null,0400000US39,Ohio,39
240584,null,1482,null,79674,null,4782,null,160162,null,4822,null,77625,null,4581,null,82537,null,3990,null,748,null,423,null,0400000US40,Oklahoma,40
362221,null,857,null,107145,null,7151,null,253193,null,7174,null,113836,null,6940,null,139357,null,7965,null,1883,null,898,null,0400000US41,Oregon,41
517019,null,1241,null,159452,null,7539,null,353439,null,7480,null,197177,null,7665,null,156262,null,7305,null,4128,null,1109,null,0400000US42,Pennsylvania,42
107697,null,633,null,18444,null,3008,null,88808,null,3075,null,40544,null,3929,null,48264,null,3503,null,445,null,265,null,0400000US44,Rhode Island,44
153158,null,2020,null,36811,null,3871,null,115002,null,4285,null,39753,null,3328,null,75249,null,3555,null,1345,null,615,null,0400000US45,South Carolina,45
16690,null,1075,null,7068,null,1423,null,9553,null,1111,null,5747,null,1397,null,3806,null,1018,null,69,null,101,null,0400000US46,South Dakota,46
189475,null,2208,null,48351,null,5079,null,140570,null,4967,null,58865,null,4022,null,81705,null,4018,null,554,null,347,null,0400000US47,Tennessee,47
7860124,null,1453,null,1693935,null,28759,null,6154019,null,28780,null,3332713,null,32235,null,2821306,null,32219,null,12170,null,2013,null,0400000US48,Texas,48
282699,null,1127,null,91057,null,6918,null,190962,null,6885,null,97901,null,5637,null,93061,null,6252,null,680,null,496,null,0400000US49,Utah,49
6619,null,660,null,4550,null,718,null,2030,null,596,null,1290,null,522,null,740,null,403,null,39,null,64,null,0400000US50,Vermont,50
463440,null,3583,null,107043,null,7607,null,353062,null,8424,null,174803,null,7582,null,178259,null,7774,null,3335,null,1030,null,0400000US51,Virginia,51
554661,null,878,null,166135,null,8339,null,385301,null,8185,null,177819,null,8630,null,207482,null,8413,null,3225,null,1024,null,0400000US53,Washington,53
18491,null,1678,null,10566,null,1449,null,7889,null,1533,null,5329,null,1219,null,2560,null,1079,null,36,null,63,null,0400000US54,West Virginia,54
248599,null,1417,null,79699,null,5112,null,168085,null,4955,null,83909,null,4226,null,84176,null,4725,null,815,null,447,null,0400000US55,Wisconsin,55
36209,null,855,null,22282,null,2146,null,13791,null,2368,null,9036,null,1866,null,4755,null,1528,null,136,null,234,null,0400000US56,Wyoming,56
3679161,null,4312,null,172183,null,7972,null,3505041,null,9170,null,508916,null,14080,null,2996125,null,16055,null,1937,null,620,null,0400000US72,Puerto Rico,72
