B18101I_001E,B18101I_001EA,B18101I_001M,B18101I_001MA,B18101I_002E,B18101I_002EA,B18101I_002M,B18101I_002MA,B18101I_003E,B18101I_003EA,B18101I_003M,B18101I_003MA,B18101I_004E,B18101I_004EA,B18101I_004M,B18101I_004MA,B18101I_005E,B18101I_005EA,B18101I_005M,B18101I_005MA,B18101I_006E,B18101I_006EA,B18101I_006M,B18101I_006MA,B18101I_007E,B18101I_007EA,B18101I_007M,B18101I_007MA,B18101I_008E,B18101I_008EA,B18101I_008M,B18101I_008MA,B18101I_009E,B18101I_009EA,B18101I_009M,B18101I_009MA,B18101I_010E,B18101I_010EA,B18101I_010M,B18101I_010MA,GEO_ID,NAME,state
758247,null,2830,null,293919,null,1727,null,9139,null,1852,null,284780,null,2581,null,443638,null,3472,null,21280,null,3280,null,422358,null,4400,null,20690,null,1727,null,7704,null,1344,null,12986,null,1812,null,0400000US13,Georgia,13
104750,null,1385,null,42142,null,7,null,1291,null,592,null,40851,null,594,null,57315,null,1454,null,5059,null,1008,null,52256,null,1715,null,5293,null,324,null,2123,null,465,null,3170,null,517,null,0400000US15,Hawaii,15
153675,null,783,null,64567,null,387,null,2998,null,1107,null,61569,null,1184,null,84348,null,1399,null,8264,null,1343,null,76084,null,1974,null,4760,null,1049,null,2221,null,843,null,2539,null,818,null,0400000US16,Idaho,16
1951458,null,3096,null,691172,null,1389,null,15855,null,2612,null,675317,null,3152,null,1180179,null,2772,null,72566,null,5404,null,1107613,null,6309,null,80107,null,1432,null,30634,null,2896,null,49473,null,3021,null,0400000US17,Illinois,17
324625,null,2161,null,127407,null,1564,null,5056,null,1183,null,122351,null,1931,null,185884,null,1904,null,13164,null,1993,null,172720,null,2610,null,11334,null,1237,null,3561,null,894,null,7773,null,1091,null,0400000US18,Indiana,18
122362,null,1270,null,50614,null,1018,null,1843,null,687,null,48771,null,1120,null,68357,null,1517,null,4615,null,1097,null,63742,null,1711,null,3391,null,905,null,1612,null,624,null,1779,null,598,null,0400000US19,Iowa,19
249517,null,1069,null,98173,null,866,null,2969,null,918,null,95204,null,1183,null,141443,null,1559,null,11442,null,2160,null,130001,null,2617,null,9901,null,1196,null,3464,null,840,null,6437,null,983,null,0400000US20,Kansas,20
95462,null,2415,null,40245,null,1681,null,2014,null,723,null,38231,null,1644,null,52763,null,1976,null,3199,null,899,null,49564,null,2196,null,2454,null,900,null,1470,null,698,null,984,null,524,null,0400000US21,Kentucky,21
144851,null,1864,null,45404,null,1624,null,1712,null,584,null,43692,null,1734,null,87991,null,1798,null,8610,null,1822,null,79381,null,1991,null,11456,null,1060,null,5144,null,994,null,6312,null,1004,null,0400000US22,Louisiana,22
13203,null,712,null,4940,null,542,null,471,null,388,null,4469,null,559,null,7394,null,619,null,431,null,288,null,6963,null,639,null,869,null,549,null,400,null,356,null,469,null,292,null,0400000US23,Maine,23
370429,null,1401,null,125531,null,1092,null,2765,null,899,null,122766,null,1618,null,229109,null,1810,null,10904,null,1771,null,218205,null,2380,null,15789,null,948,null,4894,null,930,null,10895,null,1241,null,0400000US24,Maryland,24
548117,null,1077,null,186943,null,382,null,13842,null,1771,null,173101,null,1775,null,338022,null,1471,null,48181,null,4070,null,289841,null,4246,null,23152,null,775,null,10768,null,1323,null,12384,null,1435,null,0400000US25,Massachusetts,25
406941,null,1736,null,153204,null,957,null,9246,null,1719,null,143958,null,1789,null,235541,null,1910,null,22741,null,2268,null,212800,null,2863,null,18196,null,1315,null,7678,null,1093,null,10518,null,1525,null,0400000US26,Michigan,26
212782,null,1546,null,85606,null,843,null,3730,null,1070,null,81876,null,1459,null,121586,null,1781,null,7229,null,1291,null,114357,null,1915,null,5590,null,875,null,2122,null,733,null,3468,null,707,null,0400000US27,Minnesota,27
54483,null,2818,null,19137,null,1647,null,519,null,331,null,18618,null,1623,null,33532,null,2435,null,2346,null,915,null,31186,null,2262,null,1814,null,730,null,1024,null,489,null,790,null,408,null,0400000US28,Mississippi,28
182759,null,1567,null,72660,null,1123,null,2301,null,1107,null,70359,null,1533,null,102585,null,1735,null,9889,null,1628,null,92696,null,2041,null,7514,null,906,null,2890,null,784,null,4624,null,933,null,0400000US29,Missouri,29
26088,null,669,null,12309,null,1004,null,533,null,454,null,11776,null,1140,null,12729,null,1183,null,1190,null,589,null,11539,null,1136,null,1050,null,449,null,310,null,246,null,740,null,387,null,0400000US30,Montana,30
138059,null,718,null,56499,null,818,null,2952,null,1061,null,53547,null,1468,null,77130,null,1353,null,4081,null,946,null,73049,null,1459,null,4430,null,969,null,2007,null,798,null,2423,null,732,null,0400000US31,Nebraska,31
663497,null,813,null,251623,null,103,null,5122,null,1562,null,246501,null,1566,null,385633,null,998,null,21204,null,2592,null,364429,null,2884,null,26241,null,705,null,9523,null,1445,null,16718,null,1535,null,0400000US32,Nevada,32
34144,null,977,null,12717,null,462,null,640,null,498,null,12077,null,690,null,20121,null,863,null,1267,null,710,null,18854,null,1088,null,1306,null,525,null,317,null,292,null,989,null,480,null,0400000US33,New Hampshire,33
1404012,null,1484,null,423921,null,132,null,16484,null,2555,null,407437,null,2547,null,889540,null,2005,null,63362,null,4952,null,826178,null,4954,null,90551,null,1833,null,31410,null,3019,null,59141,null,2662,null,0400000US34,New Jersey,34
878259,null,1278,null,274018,null,40,null,11075,null,1966,null,262943,null,1967,null,522961,null,1444,null,61152,null,3905,null,461809,null,3914,null,81280,null,1061,null,38435,null,2140,null,42845,null,2390,null,0400000US35,New Mexico,35
3204977,null,3248,null,936491,null,1519,null,39179,null,3884,null,897312,null,3908,null,2036556,null,3172,null,202195,null,9541,null,1834361,null,9594,null,231930,null,1917,null,103856,null,4333,null,128074,null,4299,null,0400000US36,New York,36
668091,null,1864,null,268174,null,2266,null,4987,null,1340,null,263187,null,2266,null,387356,null,2684,null,16893,null,2398,null,370463,null,3570,null,12561,null,1473,null,5458,null,1291,null,7103,null,1350,null,0400000US37,North Carolina,37
12325,null,1105,null,4557,null,743,null,182,null,249,null,4375,null,754,null,7643,null,843,null,746,null,418,null,6897,null,843,null,125,null,142,null,17,null,38,null,108,null,128,null,0400000US38,North Dakota,38
294603,null,2400,null,114700,null,1664,null,5081,null,1314,null,109619,null,1854,null,165732,null,1830,null,18405,null,2153,null,147327,null,2345,null,14171,null,1271,null,5285,null,1055,null,8886,null,1166,null,0400000US39,Ohio,39
270767,null,1964,null,111548,null,1473,null,4139,null,1095,null,107409,null,1810,null,149219,null,1950,null,13121,null,1911,null,136098,null,2469,null,10000,null,1075,null,4560,null,1025,null,5440,null,876,null,0400000US40,Oklahoma,40
411742,null,688,null,164089,null,712,null,7412,null,2079,null,156677,null,2188,null,235310,null,1460,null,19239,null,2638,null,216071,null,2924,null,12343,null,1416,null,4786,null,1102,null,7557,null,1241,null,0400000US41,Oregon,41
581288,null,2122,null,223445,null,1015,null,15946,null,2415,null,207499,null,2645,null,332856,null,2218,null,50337,null,3794,null,282519,null,4026,null,24987,null,1277,null,13097,null,1487,null,11890,null,1275,null,0400000US42,Pennsylvania,42
120233,null,718,null,43742,null,527,null,3576,null,972,null,40166,null,1118,null,71219,null,580,null,11766,null,1828,null,59453,null,1850,null,5272,null,468,null,2212,null,664,null,3060,null,655,null,0400000US44,Rhode Island,44
175092,null,1972,null,69225,null,1676,null,618,null,328,null,68607,null,1715,null,99915,null,1626,null,5033,null,1101,null,94882,null,1609,null,5952,null,896,null,2002,null,702,null,3950,null,843,null,0400000US45,South Carolina,45
18103,null,1255,null,7925,null,817,null,439,null,341,null,7486,null,791,null,9780,null,951,null,1273,null,659,null,8507,null,1095,null,398,null,243,null,277,null,229,null,121,null,134,null,0400000US46,South Dakota,46
224192,null,2034,null,90742,null,2096,null,3068,null,926,null,87674,null,2255,null,126888,null,2187,null,7921,null,1696,null,118967,null,2495,null,6562,null,1312,null,1989,null,637,null,4573,null,1141,null,0400000US47,Tennessee,47
8734789,null,6780,null,3107601,null,2318,null,119686,null,7450,null,2987915,null,7708,null,5144301,null,5637,null,491844,null,13129,null,4652457,null,13753,null,482887,null,3750,null,241556,null,5777,null,241331,null,6634,null,0400000US48,Texas,48
325448,null,658,null,133778,null,111,null,2825,null,867,null,130953,null,881,null,181157,null,795,null,9197,null,1403,null,171960,null,1648,null,10513,null,546,null,3925,null,895,null,6588,null,1022,null,0400000US49,Utah,49
7516,null,446,null,2340,null,515,null,157,null,138,null,2183,null,516,null,4541,null,662,null,334,null,188,null,4207,null,652,null,635,null,292,null,138,null,124,null,497,null,287,null,0400000US50,Vermont,50
513416,null,3695,null,176183,null,1623,null,4687,null,1160,null,171496,null,1903,null,321835,null,3633,null,15059,null,1931,null,306776,null,4189,null,15398,null,1344,null,4622,null,1014,null,10776,null,1422,null,0400000US51,Virginia,51
631307,null,1770,null,256805,null,251,null,7570,null,1345,null,249235,null,1326,null,355975,null,2274,null,30152,null,2882,null,325823,null,3761,null,18527,null,1445,null,7643,null,1319,null,10884,null,1369,null,0400000US53,Washington,53
19615,null,1751,null,7436,null,975,null,301,null,225,null,7135,null,999,null,10626,null,1421,null,1306,null,822,null,9320,null,1230,null,1553,null,560,null,782,null,345,null,771,null,450,null,0400000US54,West Virginia,54
281774,null,1226,null,111094,null,744,null,4294,null,1028,null,106800,null,1187,null,162427,null,1273,null,12728,null,1680,null,149699,null,1937,null,8253,null,698,null,3575,null,692,null,4678,null,738,null,0400000US55,Wisconsin,55
40220,null,328,null,14705,null,834,null,119,null,158,null,14586,null,872,null,23309,null,1201,null,2183,null,747,null,21126,null,1245,null,2206,null,710,null,799,null,374,null,1407,null,580,null,0400000US56,Wyoming,56
3882143,null,4235,null,973018,null,1861,null,74414,null,4496,null,898604,null,5229,null,2379247,null,3662,null,463161,null,11311,null,1916086,null,11464,null,529878,null,1409,null,298704,null,5618,null,231174,null,5444,null,0400000US72,Puerto Rico,72
