B18101G_001E,B18101G_001EA,B18101G_001M,B18101G_001MA,B18101G_002E,B18101G_002EA,B18101G_002M,B18101G_002MA,B18101G_003E,B18101G_003EA,B18101G_003M,B18101G_003MA,B18101G_004E,B18101G_004EA,B18101G_004M,B18101G_004MA,B18101G_005E,B18101G_005EA,B18101G_005M,B18101G_005MA,B18101G_006E,B18101G_006EA,B18101G_006M,B18101G_006MA,B18101G_007E,B18101G_007EA,B18101G_007M,B18101G_007MA,B18101G_008E,B18101G_008EA,B18101G_008M,B18101G_008MA,B18101G_009E,B18101G_009EA,B18101G_009M,B18101G_009MA,B18101G_010E,B18101G_010EA,B18101G_010M,B18101G_010MA,GEO_ID,NAME,state
22266,null,2756,null,11187,null,1774,null,626,null,396,null,10561,null,1673,null,10168,null,1659,null,2036,null,565,null,8132,null,1480,null,911,null,423,null,288,null,188,null,623,null,347,null,0400000US30,Montana,30
38100,null,3531,null,22185,null,2422,null,1070,null,529,null,21115,null,2336,null,14904,null,2129,null,2570,null,955,null,12334,null,1811,null,1011,null,529,null,654,null,373,null,357,null,292,null,0400000US31,Nebraska,31
82292,null,5983,null,41538,null,3903,null,1180,null,599,null,40358,null,3865,null,37988,null,3687,null,4999,null,1467,null,32989,null,3226,null,2766,null,786,null,1081,null,468,null,1685,null,601,null,0400000US32,Nevada,32
18125,null,2174,null,8458,null,1674,null,426,null,404,null,8032,null,1595,null,8891,null,1163,null,1815,null,728,null,7076,null,1141,null,776,null,367,null,166,null,176,null,610,null,331,null,0400000US33,New Hampshire,33
161226,null,8729,null,76744,null,5453,null,3447,null,1397,null,73297,null,5380,null,78093,null,5620,null,8663,null,1349,null,69430,null,5327,null,6389,null,1366,null,2117,null,646,null,4272,null,1101,null,0400000US34,New Jersey,34
62187,null,6379,null,27349,null,3700,null,1249,null,609,null,26100,null,3470,null,30484,null,3693,null,5108,null,1226,null,25376,null,3383,null,4354,null,1059,null,2253,null,655,null,2101,null,705,null,0400000US35,New Mexico,35
383537,null,15191,null,162195,null,9213,null,8781,null,2006,null,153414,null,8794,null,200349,null,9717,null,25460,null,2991,null,174889,null,8459,null,20993,null,2657,null,8957,null,1408,null,12036,null,2023,null,0400000US36,New York,36
150190,null,9173,null,82798,null,6170,null,3638,null,1083,null,79160,null,5871,null,62253,null,5012,null,10583,null,1822,null,51670,null,4567,null,5139,null,1051,null,2383,null,771,null,2756,null,856,null,0400000US37,North Carolina,37
8170,null,1611,null,4262,null,1098,null,228,null,271,null,4034,null,1016,null,3477,null,952,null,628,null,368,null,2849,null,876,null,431,null,250,null,216,null,135,null,215,null,211,null,0400000US38,North Dakota,38
205474,null,9433,null,112483,null,7946,null,8665,null,1980,null,103818,null,7159,null,83604,null,4130,null,15472,null,2000,null,68132,null,3634,null,9387,null,1435,null,4512,null,1052,null,4875,null,1093,null,0400000US39,Ohio,39
234955,null,10124,null,98299,null,5611,null,5765,null,1185,null,92534,null,5427,null,118613,null,5964,null,23425,null,2259,null,95188,null,5395,null,18043,null,1748,null,9904,null,1266,null,8139,null,1261,null,0400000US40,Oklahoma,40
129835,null,7722,null,61501,null,4741,null,2297,null,931,null,59204,null,4556,null,62535,null,4297,null,11215,null,1627,null,51320,null,3947,null,5799,null,1021,null,3057,null,689,null,2742,null,663,null,0400000US41,Oregon,41
182478,null,9227,null,101324,null,6299,null,7598,null,1519,null,93726,null,6009,null,73456,null,4398,null,13636,null,1853,null,59820,null,4111,null,7698,null,1293,null,4641,null,955,null,3057,null,723,null,0400000US42,Pennsylvania,42
19425,null,3090,null,9596,null,2037,null,994,null,561,null,8602,null,1809,null,9273,null,1679,null,1251,null,534,null,8022,null,1544,null,556,null,309,null,249,null,212,null,307,null,218,null,0400000US44,Rhode Island,44
67036,null,5381,null,37923,null,3666,null,1348,null,529,null,36575,null,3591,null,26928,null,2996,null,4470,null,1105,null,22458,null,2478,null,2185,null,691,null,1211,null,517,null,974,null,440,null,0400000US45,South Carolina,45
16333,null,2529,null,9648,null,1859,null,205,null,164,null,9443,null,1819,null,6211,null,1422,null,869,null,564,null,5342,null,1307,null,474,null,209,null,260,null,183,null,214,null,145,null,0400000US46,South Dakota,46
94827,null,6900,null,50571,null,4788,null,2591,null,1159,null,47980,null,4658,null,39233,null,3888,null,8053,null,1256,null,31180,null,3617,null,5023,null,997,null,3026,null,860,null,1997,null,552,null,0400000US47,Tennessee,47
465800,null,16727,null,222644,null,10375,null,9913,null,1672,null,212731,null,9913,null,220307,null,8873,null,31476,null,3264,null,188831,null,8214,null,22849,null,2301,null,11939,null,1624,null,10910,null,1683,null,0400000US48,Texas,48
55137,null,4671,null,31133,null,2874,null,1162,null,584,null,29971,null,2968,null,22717,null,2718,null,2001,null,711,null,20716,null,2516,null,1287,null,500,null,390,null,235,null,897,null,423,null,0400000US49,Utah,49
9483,null,1433,null,3568,null,829,null,469,null,380,null,3099,null,775,null,5388,null,979,null,1248,null,451,null,4140,null,956,null,527,null,246,null,310,null,202,null,217,null,198,null,0400000US50,Vermont,50
162880,null,10268,null,86662,null,7163,null,2681,null,934,null,83981,null,6989,null,72022,null,5414,null,7415,null,1682,null,64607,null,4859,null,4196,null,940,null,1832,null,614,null,2364,null,737,null,0400000US51,Virginia,51
254734,null,9295,null,126579,null,5782,null,7499,null,1601,null,119080,null,5531,null,119483,null,5623,null,17067,null,1911,null,102416,null,5386,null,8672,null,1243,null,4203,null,939,null,4469,null,947,null,0400000US53,Washington,53
24667,null,3102,null,12556,null,2018,null,907,null,591,null,11649,null,1852,null,10434,null,1850,null,3320,null,897,null,7114,null,1545,null,1677,null,629,null,909,null,396,null,768,null,474,null,0400000US54,West Virginia,54
88074,null,6665,null,51872,null,4880,null,2673,null,942,null,49199,null,4755,null,33764,null,3425,null,5730,null,1395,null,28034,null,2878,null,2438,null,670,null,1326,null,467,null,1112,null,406,null,0400000US55,Wisconsin,55
14616,null,2201,null,7775,null,1762,null,228,null,262,null,7547,null,1728,null,5774,null,1143,null,1030,null,467,null,4744,null,1124,null,1067,null,510,null,508,null,352,null,559,null,372,null,0400000US56,Wyoming,56
304907,null,11457,null,87617,null,5407,null,7185,null,1556,null,80432,null,5063,null,188465,null,7806,null,39305,null,3691,null,149160,null,6834,null,28825,null,2929,null,17925,null,2063,null,10900,null,1571,null,0400000US72,Puerto Rico,72
