C12002I_001E,C12002I_001EA,C12002I_001M,C12002I_001MA,C12002I_002E,C12002I_002EA,C12002I_002M,C12002I_002MA,C12002I_003E,C12002I_003EA,C12002I_003M,C12002I_003MA,C12002I_004E,C12002I_004EA,C12002I_004M,C12002I_004MA,C12002I_005E,C12002I_005EA,C12002I_005M,C12002I_005MA,C12002I_006E,C12002I_006EA,C12002I_006M,C12002I_006MA,GEO_ID,NAME,state
9556,null,781,null,4174,null,638,null,3362,null,1100,null,0,null,228,null,501,null,413,null,1519,null,627,null,0400000US23,Maine,23
263520,null,1394,null,100563,null,4081,null,127173,null,4816,null,7861,null,1754,null,6684,null,1237,null,21239,null,2588,null,0400000US24,Maryland,24
400045,null,495,null,196917,null,5447,null,133303,null,5908,null,21855,null,2588,null,13210,null,1828,null,34760,null,3451,null,0400000US25,Massachusetts,25
281334,null,1296,null,113851,null,4137,null,126428,null,5120,null,7331,null,1660,null,9933,null,1624,null,23791,null,2101,null,0400000US26,Michigan,26
140317,null,1274,null,57429,null,3423,null,65222,null,3243,null,4278,null,1053,null,4076,null,909,null,9312,null,1723,null,0400000US27,Minnesota,27
41343,null,3333,null,15704,null,2324,null,21154,null,2675,null,1728,null,749,null,721,null,309,null,2036,null,730,null,0400000US28,Mississippi,28
123819,null,1643,null,46904,null,3085,null,58677,null,3375,null,3542,null,853,null,3619,null,886,null,11077,null,1695,null,0400000US29,Missouri,29
16185,null,1217,null,6928,null,1335,null,5654,null,1146,null,177,null,166,null,1150,null,543,null,2276,null,704,null,0400000US30,Montana,30
89448,null,1112,null,33532,null,2463,null,43080,null,2651,null,1932,null,776,null,2355,null,851,null,8549,null,1616,null,0400000US31,Nebraska,31
452402,null,1113,null,158148,null,6507,null,223525,null,7909,null,15002,null,2593,null,11775,null,1683,null,43952,null,3893,null,0400000US32,Nevada,32
23753,null,755,null,10072,null,1464,null,9822,null,1653,null,566,null,496,null,1150,null,567,null,2143,null,870,null,0400000US33,New Hampshire,33
1056186,null,608,null,423373,null,9171,null,471299,null,11448,null,38939,null,4287,null,34186,null,3223,null,88389,null,5444,null,0400000US34,New Jersey,34
661299,null,421,null,243956,null,6170,null,290500,null,6722,null,14963,null,2418,null,35293,null,2173,null,76587,null,4466,null,0400000US35,New Mexico,35
2461196,null,1603,null,1086203,null,14482,null,925696,null,16367,null,122736,null,7023,null,104788,null,5283,null,221773,null,7895,null,0400000US36,New York,36
439009,null,2626,null,164495,null,6397,null,226567,null,7723,null,17697,null,2697,null,7710,null,1398,null,22540,null,3294,null,0400000US37,North Carolina,37
8762,null,780,null,3297,null,835,null,4987,null,907,null,15,null,28,null,32,null,48,null,431,null,281,null,0400000US38,North Dakota,38
200321,null,2202,null,79253,null,3625,null,88638,null,4201,null,4968,null,1264,null,6759,null,1275,null,20703,null,2515,null,0400000US39,Ohio,39
181987,null,1785,null,60473,null,3433,null,96724,null,3754,null,5572,null,1200,null,3921,null,687,null,15297,null,2074,null,0400000US40,Oklahoma,40
273693,null,1358,null,105540,null,4456,null,131405,null,5847,null,9945,null,2235,null,6778,null,1539,null,20025,null,3033,null,0400000US41,Oregon,41
403494,null,1529,null,180775,null,4870,null,157896,null,5623,null,16823,null,2508,null,13276,null,1669,null,34724,null,3117,null,0400000US42,Pennsylvania,42
84978,null,571,null,37312,null,2507,null,32303,null,3016,null,5612,null,1583,null,2017,null,687,null,7734,null,1543,null,0400000US44,Rhode Island,44
120697,null,1764,null,50277,null,3039,null,54417,null,3378,null,4911,null,1235,null,2868,null,914,null,8224,null,1630,null,0400000US45,South Carolina,45
11802,null,1095,null,4304,null,1103,null,5689,null,991,null,293,null,243,null,135,null,147,null,1381,null,641,null,0400000US46,South Dakota,46
146449,null,2138,null,53563,null,3818,null,75807,null,4155,null,4363,null,1196,null,2532,null,832,null,10184,null,1622,null,0400000US47,Tennessee,47
6204167,null,2468,null,2101222,null,21095,null,3115667,null,29759,null,237852,null,8012,null,240140,null,7792,null,509286,null,13841,null,0400000US48,Texas,48
211707,null,666,null,74475,null,3356,null,109426,null,4346,null,5712,null,1412,null,5049,null,1061,null,17045,null,2638,null,0400000US49,Utah,49
5676,null,655,null,1908,null,586,null,2874,null,623,null,53,null,70,null,148,null,115,null,693,null,286,null,0400000US50,Vermont,50
374198,null,3372,null,145615,null,5499,null,179106,null,6360,null,14161,null,2519,null,7807,null,1290,null,27509,null,3003,null,0400000US51,Virginia,51
420674,null,1175,null,163665,null,6013,null,200800,null,6345,null,11154,null,1898,null,9669,null,1603,null,35386,null,3063,null,0400000US53,Washington,53
14567,null,1451,null,5133,null,1072,null,7336,null,1156,null,730,null,666,null,732,null,375,null,636,null,432,null,0400000US54,West Virginia,54
188451,null,1173,null,75104,null,3363,null,88336,null,3704,null,5383,null,1160,null,4027,null,824,null,15601,null,1933,null,0400000US55,Wisconsin,55
28336,null,1021,null,9970,null,1424,null,13964,null,1134,null,804,null,484,null,805,null,505,null,2793,null,785,null,0400000US56,Wyoming,56
3114961,null,3747,null,1197638,null,16554,null,1188682,null,17016,null,106863,null,4726,null,222841,null,5223,null,398937,null,10740,null,0400000US72,Puerto Rico,72
