C18102_001E,C18102_001EA,C18102_001M,C18102_001MA,C18102_002E,C18102_002EA,C18102_002M,C18102_002MA,C18102_003E,C18102_003EA,C18102_003M,C18102_003MA,C18102_004E,C18102_004EA,C18102_004M,C18102_004MA,C18102_005E,C18102_005EA,C18102_005M,C18102_005MA,C18102_006E,C18102_006EA,C18102_006M,C18102_006MA,C18102_007E,C18102_007EA,C18102_007M,C18102_007MA,C18102_008E,C18102_008EA,C18102_008M,C18102_008MA,C18102_009E,C18102_009EA,C18102_009M,C18102_009MA,C18102_010E,C18102_010EA,C18102_010M,C18102_010MA,C18102_011E,C18102_011EA,C18102_011M,C18102_011MA,C18102_012E,C18102_012EA,C18102_012M,C18102_012MA,C18102_013E,C18102_013EA,C18102_013M,C18102_013MA,C18102_014E,C18102_014EA,C18102_014M,C18102_014MA,C18102_015E,C18102_015EA,C18102_015M,C18102_015MA,C18102_016E,C18102_016EA,C18102_016M,C18102_016MA,C18102_017E,C18102_017EA,C18102_017M,C18102_017MA,C18102_018E,C18102_018EA,C18102_018M,C18102_018MA,C18102_019E,C18102_019EA,C18102_019M,C18102_019MA,C18102_020E,C18102_020EA,C18102_020M,C18102_020MA,C18102_021E,C18102_021EA,C18102_021M,C18102_021MA,GEO_ID,NAME,state
623970,null,1057,null,312378,null,1539,null,73572,null,1184,null,151,null,139,null,73421,null,1216,null,200829,null,1409,null,7710,null,1250,null,193119,null,1795,null,37977,null,487,null,8640,null,946,null,29337,null,1108,null,311592,null,1459,null,67328,null,1117,null,24,null,32,null,67304,null,1119,null,195672,null,1097,null,2957,null,660,null,192715,null,1206,null,48592,null,413,null,6039,null,774,null,42553,null,790,null,0400000US38,North Dakota,38
11296200,null,2080,null,5485330,null,5553,null,1391312,null,3455,null,9598,null,1746,null,1381714,null,3601,null,3465487,null,6058,null,102094,null,4694,null,3363393,null,7607,null,628531,null,2523,null,121397,null,4446,null,507134,null,4799,null,5810870,null,5204,null,1336236,null,3422,null,6967,null,1466,null,1329269,null,4071,null,3609987,null,3945,null,63707,null,3566,null,3546280,null,4899,null,864647,null,2800,null,111987,null,5589,null,752660,null,5897,null,0400000US39,Ohio,39
3550098,null,2185,null,1729251,null,4876,null,460833,null,3948,null,4989,null,1164,null,455844,null,4322,null,1069244,null,3628,null,54870,null,3939,null,1014374,null,5582,null,199174,null,2161,null,51016,null,2586,null,148158,null,3263,null,1820847,null,4918,null,442391,null,3822,null,2590,null,802,null,439801,null,3913,null,1112217,null,3325,null,27431,null,2203,null,1084786,null,4085,null,266239,null,2707,null,40277,null,2275,null,225962,null,3437,null,0400000US40,Oklahoma,40
3746320,null,833,null,1855086,null,3736,null,443049,null,2637,null,3480,null,1190,null,439569,null,2833,null,1193350,null,2873,null,43623,null,3013,null,1149727,null,3963,null,218687,null,1685,null,50305,null,2798,null,168382,null,3142,null,1891234,null,3574,null,422066,null,2548,null,2975,null,1053,null,419091,null,2713,null,1197113,null,2448,null,22633,null,3142,null,1174480,null,4124,null,272055,null,2385,null,37883,null,3147,null,234172,null,3460,null,0400000US41,Oregon,41
12209227,null,2068,null,5918305,null,5156,null,1408104,null,3462,null,8747,null,1668,null,1399357,null,3854,null,3758619,null,4609,null,109916,null,4635,null,3648703,null,6684,null,751582,null,2946,null,143056,null,4576,null,608526,null,5026,null,6290922,null,5134,null,1348959,null,3551,null,7189,null,1359,null,1341770,null,3744,null,3900267,null,3702,null,59369,null,3679,null,3840898,null,5529,null,1041696,null,4104,null,130328,null,5083,null,911368,null,5865,null,0400000US42,Pennsylvania,42
1030284,null,4423,null,495497,null,3899,null,115670,null,1143,null,1378,null,709,null,114292,null,1321,null,321604,null,3427,null,7756,null,1681,null,313848,null,3302,null,58223,null,1041,null,10795,null,1402,null,47428,null,1709,null,534787,null,1804,null,112402,null,1346,null,386,null,254,null,112016,null,1373,null,340164,null,1740,null,4745,null,1008,null,335419,null,1911,null,82221,null,925,null,9836,null,1128,null,72385,null,1572,null,0400000US44,Rhode Island,44
4373390,null,2822,null,2101934,null,4919,null,544336,null,3758,null,1810,null,615,null,542526,null,3789,null,1311033,null,3977,null,41905,null,3262,null,1269128,null,5212,null,246565,null,1499,null,49945,null,2958,null,196620,null,3138,null,2271456,null,4609,null,520094,null,3760,null,2223,null,832,null,517871,null,3808,null,1423581,null,2505,null,23986,null,2278,null,1399595,null,3296,null,327781,null,1564,null,43498,null,2602,null,284283,null,2664,null,0400000US45,South Carolina,45
783531,null,1162,null,388385,null,2158,null,101948,null,1888,null,402,null,204,null,101546,null,1904,null,238561,null,1847,null,7528,null,1106,null,231033,null,2115,null,47876,null,688,null,9833,null,1141,null,38043,null,1133,null,395146,null,2136,null,94243,null,1695,null,243,null,217,null,94000,null,1691,null,240547,null,1597,null,4248,null,956,null,236299,null,1740,null,60356,null,661,null,7825,null,1004,null,52531,null,1260,null,0400000US46,South Dakota,46
6113391,null,1928,null,2965006,null,5642,null,755103,null,3586,null,7759,null,1847,null,747344,null,4097,null,1877479,null,4252,null,71866,null,4187,null,1805613,null,5486,null,332424,null,2194,null,72861,null,3065,null,259563,null,3262,null,3148385,null,5055,null,721008,null,3458,null,4452,null,1427,null,716556,null,3549,null,1979072,null,4078,null,37468,null,3078,null,1941604,null,5365,null,448305,null,2805,null,66388,null,3798,null,381917,null,4431,null,0400000US47,Tennessee,47
23827328,null,5045,null,11782416,null,9396,null,3440864,null,7699,null,26440,null,3423,null,3414424,null,7994,null,7320154,null,8444,null,222304,null,8118,null,7097850,null,11780,null,1021398,null,3814,null,227855,null,6542,null,793543,null,7050,null,12044912,null,9304,null,3273182,null,7010,null,17879,null,2755,null,3255303,null,7678,null,7433373,null,7200,null,129736,null,6878,null,7303637,null,9449,null,1338357,null,4364,null,186271,null,6317,null,1152086,null,7038,null,0400000US48,Texas,48
2704865,null,2409,null,1355931,null,3486,null,436419,null,2219,null,1691,null,641,null,434728,null,2382,null,811229,null,3157,null,19427,null,2157,null,791802,null,3805,null,108283,null,1203,null,25652,null,2078,null,82631,null,2021,null,1348934,null,2688,null,412703,null,2384,null,1976,null,662,null,410727,null,2325,null,805511,null,1766,null,10077,null,1471,null,795434,null,2532,null,130720,null,993,null,15027,null,1506,null,115693,null,1928,null,0400000US49,Utah,49
615089,null,299,null,302410,null,1311,null,66064,null,821,null,769,null,468,null,65295,null,855,null,199940,null,999,null,7058,null,1077,null,192882,null,1456,null,36406,null,569,null,8689,null,930,null,27717,null,996,null,312679,null,1320,null,62780,null,930,null,390,null,203,null,62390,null,930,null,203283,null,934,null,3418,null,800,null,199865,null,1183,null,46616,null,793,null,7088,null,1083,null,39528,null,1329,null,0400000US50,Vermont,50
7520250,null,5297,null,3630522,null,8970,null,932701,null,5685,null,6983,null,1588,null,925718,null,5906,null,2312111,null,6414,null,50780,null,3490,null,2261331,null,7546,null,385710,null,2482,null,62649,null,3178,null,323061,null,3953,null,3889728,null,7638,null,882639,null,5684,null,3892,null,1090,null,878747,null,5597,null,2490817,null,4542,null,33042,null,2682,null,2457775,null,5168,null,516272,null,2473,null,61758,null,3486,null,454514,null,4323,null,0400000US51,Virginia,51
6428235,null,3970,null,3175663,null,5485,null,786591,null,3025,null,4377,null,1047,null,782214,null,3079,null,2050139,null,4714,null,69557,null,3956,null,1980582,null,6342,null,338933,null,1674,null,76729,null,3217,null,262204,null,3307,null,3252572,null,4399,null,753897,null,2685,null,4095,null,1061,null,749802,null,3093,null,2073859,null,3724,null,34886,null,3500,null,2038973,null,5437,null,424816,null,2710,null,59920,null,4432,null,364896,null,4673,null,0400000US53,Washington,53
1787710,null,950,null,873420,null,2953,null,197941,null,2369,null,1660,null,756,null,196281,null,2411,null,557236,null,1955,null,33705,null,3117,null,523531,null,3452,null,118243,null,1115,null,29829,null,2095,null,88414,null,1920,null,914290,null,3042,null,186874,null,2378,null,1538,null,582,null,185336,null,2448,null,573207,null,1648,null,15540,null,1764,null,557667,null,2330,null,154209,null,1127,null,25921,null,1878,null,128288,null,2177,null,0400000US54,West Virginia,54
5540009,null,1255,null,2741589,null,3342,null,670318,null,2424,null,3733,null,900,null,666585,null,2494,null,1761561,null,2921,null,46916,null,2724,null,1714645,null,3923,null,309710,null,1154,null,56640,null,2335,null,253070,null,2388,null,2798420,null,3054,null,638849,null,2358,null,3135,null,708,null,635714,null,2408,null,1756067,null,2320,null,23153,null,1891,null,1732914,null,2853,null,403504,null,1685,null,45911,null,2777,null,357593,null,2915,null,0400000US55,Wisconsin,55
523428,null,1036,null,263297,null,2062,null,65929,null,1640,null,366,null,274,null,65563,null,1641,null,167722,null,1853,null,7409,null,1062,null,160313,null,2129,null,29646,null,785,null,7603,null,1131,null,22043,null,1201,null,260131,null,1769,null,61486,null,1413,null,326,null,302,null,61160,null,1463,null,165002,null,1188,null,2817,null,683,null,162185,null,1254,null,33643,null,655,null,3832,null,582,null,29811,null,861,null,0400000US56,Wyoming,56
3922338,null,1225,null,1871454,null,3246,null,499469,null,2746,null,6160,null,1112,null,493309,null,2875,null,1141645,null,1560,null,38113,null,3506,null,1103532,null,3691,null,230340,null,621,null,43559,null,2649,null,186781,null,2612,null,2050884,null,3275,null,481301,null,2739,null,3387,null,975,null,477914,null,3017,null,1265801,null,974,null,30156,null,2442,null,1235645,null,2639,null,303782,null,1032,null,46558,null,2863,null,257224,null,3170,null,0400000US72,Puerto Rico,72
