B16005H_001E,B16005H_001EA,B16005H_001M,B16005H_001MA,B16005H_002E,B16005H_002EA,B16005H_002M,B16005H_002MA,B16005H_003E,B16005H_003EA,B16005H_003M,B16005H_003MA,B16005H_004E,B16005H_004EA,B16005H_004M,B16005H_004MA,B16005H_005E,B16005H_005EA,B16005H_005M,B16005H_005MA,B16005H_006E,B16005H_006EA,B16005H_006M,B16005H_006MA,B16005H_007E,B16005H_007EA,B16005H_007M,B16005H_007MA,B16005H_008E,B16005H_008EA,B16005H_008M,B16005H_008MA,B16005H_009E,B16005H_009EA,B16005H_009M,B16005H_009MA,B16005H_010E,B16005H_010EA,B16005H_010M,B16005H_010MA,B16005H_011E,B16005H_011EA,B16005H_011M,B16005H_011MA,GEO_ID,NAME,state
1158318,null,805,null,1126960,null,3745,null,1085615,null,5633,null,41345,null,3594,null,34214,null,3400,null,7131,null,1355,null,31358,null,3606,null,14856,null,1961,null,16502,null,3188,null,11212,null,2268,null,5290,null,1670,null,0400000US33,New Hampshire,33
5062682,null,3149,null,4639207,null,12618,null,4392885,null,15768,null,246322,null,8224,null,213895,null,7914,null,32427,null,2655,null,423475,null,12657,null,114283,null,6427,null,309192,null,11861,null,154766,null,7291,null,154426,null,8155,null,0400000US34,New Jersey,34
785275,null,1650,null,764437,null,2950,null,728589,null,4646,null,35848,null,3239,null,31781,null,3211,null,4067,null,820,null,20838,null,2376,null,10158,null,1330,null,10680,null,2061,null,7586,null,1688,null,3094,null,1021,null,0400000US35,New Mexico,35
11058471,null,8533,null,9972357,null,24503,null,9323015,null,29488,null,649342,null,14565,null,519158,null,12976,null,130184,null,9246,null,1086114,null,22790,null,273517,null,10034,null,812597,null,19534,null,390484,null,13429,null,422113,null,13917,null,0400000US36,New York,36
5834034,null,4119,null,5725243,null,7678,null,5618698,null,10558,null,106545,null,6196,null,87516,null,5646,null,19029,null,2665,null,108791,null,6908,null,49303,null,4159,null,59488,null,5876,null,40049,null,4074,null,19439,null,3096,null,0400000US37,North Carolina,37
542229,null,317,null,534994,null,1497,null,517755,null,2563,null,17239,null,2012,null,13956,null,1751,null,3283,null,703,null,7235,null,1498,null,3760,null,850,null,3475,null,1322,null,2093,null,874,null,1382,null,650,null,0400000US38,North Dakota,38
8909832,null,2467,null,8736039,null,9076,null,8534034,null,12947,null,202005,null,8539,null,152044,null,7737,null,49961,null,4719,null,173793,null,8934,null,64322,null,4788,null,109471,null,7602,null,63291,null,4780,null,46180,null,5020,null,0400000US39,Ohio,39
2439744,null,1069,null,2409116,null,3776,null,2373764,null,5017,null,35352,null,3193,null,29533,null,2975,null,5819,null,1197,null,30628,null,3692,null,13465,null,1921,null,17163,null,3100,null,12146,null,2257,null,5017,null,1638,null,0400000US40,Oklahoma,40
2871077,null,1097,null,2771361,null,7534,null,2693466,null,10115,null,77895,null,5397,null,68429,null,5270,null,9466,null,1304,null,99716,null,7733,null,44213,null,3390,null,55503,null,7470,null,33007,null,5321,null,22496,null,3855,null,0400000US41,Oregon,41
9596100,null,4885,null,9353720,null,9794,null,9079258,null,16378,null,274462,null,11781,null,213987,null,10161,null,60475,null,4669,null,242380,null,8923,null,81803,null,4491,null,160577,null,8756,null,90931,null,5239,null,69646,null,5643,null,0400000US42,Pennsylvania,42
785897,null,1771,null,748077,null,4398,null,709616,null,5451,null,38461,null,3580,null,32471,null,3211,null,5990,null,1524,null,37820,null,4058,null,9633,null,1679,null,28187,null,3880,null,14038,null,2083,null,14149,null,2839,null,0400000US44,Rhode Island,44
2750139,null,2122,null,2698004,null,5818,null,2650626,null,7380,null,47378,null,3976,null,37355,null,3606,null,10023,null,1774,null,52135,null,5261,null,25458,null,3467,null,26677,null,3787,null,17534,null,2736,null,9143,null,1988,null,0400000US45,South Carolina,45
648087,null,1075,null,642938,null,1946,null,626613,null,3209,null,16325,null,2542,null,12546,null,2044,null,3779,null,1144,null,5149,null,1646,null,2050,null,739,null,3099,null,1530,null,1454,null,551,null,1645,null,1357,null,0400000US46,South Dakota,46
4509658,null,1729,null,4450417,null,6386,null,4387865,null,9462,null,62552,null,5685,null,49506,null,5196,null,13046,null,1936,null,59241,null,6031,null,24341,null,3069,null,34900,null,5123,null,21704,null,3229,null,13196,null,2930,null,0400000US47,Tennessee,47
10814624,null,11519,null,10492820,null,16544,null,10133600,null,21229,null,359220,null,12032,null,305797,null,11390,null,53423,null,3996,null,321804,null,12233,null,138033,null,7467,null,183771,null,9266,null,117801,null,6765,null,65970,null,5955,null,0400000US48,Texas,48
2034437,null,1431,null,1989145,null,5115,null,1923132,null,6193,null,66013,null,3519,null,56000,null,3073,null,10013,null,1719,null,45292,null,5104,null,21776,null,2461,null,23516,null,4440,null,14685,null,2704,null,8831,null,2749,null,0400000US49,Utah,49
560424,null,590,null,544091,null,1961,null,528857,null,3090,null,15234,null,1834,null,12619,null,1800,null,2615,null,639,null,16333,null,1959,null,8580,null,1263,null,7753,null,1641,null,4996,null,1191,null,2757,null,896,null,0400000US50,Vermont,50
4898214,null,3269,null,4726084,null,9518,null,4607875,null,12393,null,118209,null,7034,null,96256,null,6421,null,21953,null,2475,null,172130,null,9021,null,64383,null,4063,null,107747,null,7809,null,69108,null,5239,null,38639,null,4877,null,0400000US51,Virginia,51
4667580,null,2700,null,4447324,null,10183,null,4320681,null,12258,null,126643,null,5746,null,105454,null,5653,null,21189,null,2424,null,220256,null,10523,null,91326,null,4951,null,128930,null,8615,null,70784,null,5681,null,58146,null,5442,null,0400000US53,Washington,53
1601618,null,1544,null,1593556,null,2274,null,1577682,null,2979,null,15874,null,2083,null,12142,null,1806,null,3732,null,1037,null,8062,null,1935,null,3715,null,923,null,4347,null,1433,null,3092,null,1257,null,1255,null,605,null,0400000US54,West Virginia,54
4514658,null,1749,null,4444791,null,6303,null,4328725,null,7890,null,116066,null,5413,null,92363,null,4955,null,23703,null,2015,null,69867,null,6028,null,28914,null,2568,null,40953,null,5153,null,24090,null,2833,null,16863,null,3520,null,0400000US55,Wisconsin,55
432190,null,486,null,428152,null,967,null,418966,null,1900,null,9186,null,1649,null,6966,null,1615,null,2220,null,743,null,4038,null,862,null,2717,null,708,null,1321,null,530,null,1191,null,531,null,130,null,116,null,0400000US56,Wyoming,56
29171,null,3276,null,27133,null,3318,null,6006,null,1848,null,21127,null,3032,null,9329,null,1643,null,11798,null,2557,null,2038,null,727,null,179,null,183,null,1859,null,696,null,769,null,397,null,1090,null,565,null,0400000US72,Puerto Rico,72
