B01001A_001E,B01001A_001EA,B01001A_001M,B01001A_001MA,B01001A_002E,B01001A_002EA,B01001A_002M,B01001A_002MA,B01001A_003E,B01001A_003EA,B01001A_003M,B01001A_003MA,B01001A_004E,B01001A_004EA,B01001A_004M,B01001A_004MA,B01001A_005E,B01001A_005EA,B01001A_005M,B01001A_005MA,B01001A_006E,B01001A_006EA,B01001A_006M,B01001A_006MA,B01001A_007E,B01001A_007EA,B01001A_007M,B01001A_007MA,B01001A_008E,B01001A_008EA,B01001A_008M,B01001A_008MA,B01001A_009E,B01001A_009EA,B01001A_009M,B01001A_009MA,B01001A_010E,B01001A_010EA,B01001A_010M,B01001A_010MA,B01001A_011E,B01001A_011EA,B01001A_011M,B01001A_011MA,B01001A_012E,B01001A_012EA,B01001A_012M,B01001A_012MA,B01001A_013E,B01001A_013EA,B01001A_013M,B01001A_013MA,B01001A_014E,B01001A_014EA,B01001A_014M,B01001A_014MA,B01001A_015E,B01001A_015EA,B01001A_015M,B01001A_015MA,B01001A_016E,B01001A_016EA,B01001A_016M,B01001A_016MA,B01001A_017E,B01001A_017EA,B01001A_017M,B01001A_017MA,B01001A_018E,B01001A_018EA,B01001A_018M,B01001A_018MA,B01001A_019E,B01001A_019EA,B01001A_019M,B01001A_019MA,B01001A_020E,B01001A_020EA,B01001A_020M,B01001A_020MA,B01001A_021E,B01001A_021EA,B01001A_021M,B01001A_021MA,B01001A_022E,B01001A_022EA,B01001A_022M,B01001A_022MA,B01001A_023E,B01001A_023EA,B01001A_023M,B01001A_023MA,B01001A_024E,B01001A_024EA,B01001A_024M,B01001A_024MA,B01001A_025E,B01001A_025EA,B01001A_025M,B01001A_025MA,B01001A_026E,B01001A_026EA,B01001A_026M,B01001A_026MA,B01001A_027E,B01001A_027EA,B01001A_027M,B01001A_027MA,B01001A_028E,B01001A_028EA,B01001A_028M,B01001A_028MA,B01001A_029E,B01001A_029EA,B01001A_029M,B01001A_029MA,B01001A_030E,B01001A_030EA,B01001A_030M,B01001A_030MA,B01001A_031E,B01001A_031EA,B01001A_031M,B01001A_031MA,GEO_ID,NAME,state
5436898,null,8556,null,2675625,null,5216,null,180924,null,1942,null,179293,null,4748,null,181702,null,4516,null,116752,null,1060,null,81809,null,2360,null,179640,null,2511,null,185922,null,2484,null,167418,null,1568,null,382611,null,1883,null,410733,null,1310,null,304403,null,908,null,171642,null,652,null,102435,null,2252,null,30341,null,2146,null,2761273,null,4964,null,168704,null,1702,null,175261,null,5211,null,169080,null,4781,null,111676,null,1243,null,73629,null,2356,null,174952,null,2657,null,182055,null,1606,null,163474,null,1187,null,379696,null,1575,null,413168,null,1191,null,320521,null,794,null,201310,null,583,null,158511,null,3009,null,69236,null,2929,null,0400000US18,Indiana,18
2766081,null,5527,null,1358829,null,3245,null,89692,null,1431,null,86546,null,2668,null,88887,null,2660,null,58682,null,957,null,40687,null,1418,null,98045,null,1745,null,87675,null,1286,null,78903,null,1177,null,179643,null,1075,null,212305,null,1406,null,159562,null,600,null,94284,null,564,null,62674,null,1512,null,21244,null,1411,null,1407252,null,3536,null,82976,null,1196,null,81931,null,2558,null,84127,null,2857,null,56046,null,1063,null,39805,null,1571,null,97449,null,1779,null,84098,null,1084,null,75823,null,1089,null,179920,null,1082,null,211149,null,723,null,163072,null,620,null,108068,null,442,null,93836,null,1924,null,48952,null,1844,null,0400000US19,Iowa,19
2374824,null,6520,null,1170957,null,4228,null,78816,null,1061,null,78653,null,2419,null,79248,null,2537,null,50956,null,1110,null,38272,null,1891,null,87010,null,1993,null,79864,null,1894,null,69368,null,1556,null,158194,null,1701,null,178528,null,1122,null,132886,null,736,null,73487,null,565,null,49264,null,1293,null,16411,null,1131,null,1203867,null,3756,null,75720,null,1456,null,72066,null,2327,null,75843,null,2296,null,49507,null,1239,null,34499,null,1569,null,83337,null,1956,null,76590,null,1468,null,66107,null,1505,null,158026,null,1413,null,180555,null,1286,null,135681,null,792,null,86555,null,660,null,71137,null,1857,null,38244,null,1702,null,0400000US20,Kansas,20
3781361,null,4853,null,1851797,null,4109,null,121480,null,2110,null,121385,null,4017,null,120856,null,3837,null,79457,null,1588,null,53223,null,2872,null,121400,null,3110,null,134173,null,1821,null,117820,null,1233,null,272182,null,2001,null,276345,null,774,null,219274,null,646,null,128152,null,976,null,68437,null,2095,null,17613,null,1979,null,1929564,null,2798,null,113858,null,1356,null,113819,null,4048,null,115737,null,3894,null,72817,null,1402,null,50095,null,2098,null,115053,null,2315,null,136371,null,1522,null,118255,null,1067,null,271680,null,1395,null,289572,null,992,null,233323,null,506,null,149780,null,711,null,105034,null,2424,null,44170,null,2376,null,0400000US21,Kentucky,21
2756277,null,4944,null,1352228,null,3641,null,85193,null,1421,null,83909,null,3325,null,89382,null,3133,null,55963,null,1138,null,38953,null,1720,null,100163,null,1992,null,97285,null,1250,null,79084,null,1564,null,187764,null,1489,null,208584,null,1321,null,159737,null,546,null,94538,null,642,null,55661,null,1594,null,16012,null,1504,null,1404049,null,3672,null,82181,null,1304,null,78992,null,3179,null,84477,null,3451,null,53004,null,1226,null,36567,null,2037,null,99358,null,1853,null,94887,null,1257,null,78731,null,1107,null,188902,null,1606,null,209228,null,996,null,168535,null,704,null,110692,null,717,null,83564,null,2597,null,34931,null,2494,null,0400000US22,Louisiana,22
1254460,null,3314,null,610726,null,2365,null,32271,null,1021,null,33771,null,2029,null,38173,null,1984,null,26818,null,567,null,16899,null,696,null,37458,null,1111,null,34367,null,852,null,33269,null,353,null,88533,null,569,null,103227,null,462,null,83712,null,583,null,45949,null,160,null,28586,null,1098,null,7693,null,1114,null,643734,null,2039,null,30941,null,944,null,32943,null,1788,null,35133,null,1609,null,24933,null,531,null,16500,null,721,null,36051,null,859,null,35412,null,558,null,35023,null,470,null,93173,null,757,null,108507,null,492,null,85424,null,463,null,51729,null,236,null,40294,null,1417,null,17671,null,1395,null,0400000US23,Maine,23
3402960,null,10537,null,1663488,null,5704,null,100195,null,1645,null,100244,null,3754,null,105794,null,3938,null,71749,null,875,null,49045,null,993,null,109198,null,1942,null,102527,null,1781,null,94661,null,1563,null,244080,null,2081,null,272312,null,1460,null,207986,null,743,null,114584,null,609,null,68703,null,1763,null,22410,null,1751,null,1739472,null,5995,null,96914,null,1913,null,99269,null,3558,null,99129,null,3187,null,67760,null,914,null,44086,null,1178,null,106918,null,1468,null,100034,null,1161,null,95887,null,1412,null,249036,null,1591,null,280575,null,1442,null,216693,null,1094,null,132843,null,749,null,104210,null,2618,null,46118,null,2661,null,0400000US24,Maryland,24
5330421,null,12171,null,2578612,null,7341,null,144055,null,1525,null,145843,null,4496,null,171839,null,4257,null,107324,null,1137,null,79825,null,2087,null,171846,null,2327,null,157672,null,2313,null,153684,null,2074,null,389452,null,2331,null,419550,null,2396,null,313888,null,1120,null,172001,null,954,null,112222,null,2524,null,39411,null,2423,null,2751809,null,7227,null,135977,null,1883,null,141667,null,4800,null,158904,null,4835,null,102014,null,1155,null,73874,null,1015,null,177581,null,1625,null,157316,null,1632,null,154789,null,1864,null,401327,null,2481,null,439084,null,1775,null,338490,null,1407,null,205788,null,932,null,171717,null,3428,null,93281,null,3429,null,0400000US25,Massachusetts,25
8001673,null,8566,null,3960284,null,5430,null,235911,null,1593,null,249549,null,4785,null,267438,null,4786,null,174762,null,942,null,113993,null,1579,null,274122,null,2265,null,251193,null,1651,null,227634,null,1603,null,572293,null,1880,null,637944,null,1638,null,478539,null,1179,null,265254,null,646,null,165444,null,2157,null,46208,null,2052,null,4041389,null,4711,null,222676,null,1609,null,230812,null,4595,null,255499,null,4548,null,166006,null,1016,null,109834,null,1532,null,258382,null,1744,null,243750,null,1605,null,218475,null,1436,null,561471,null,1778,null,637635,null,1002,null,490863,null,1071,null,303144,null,790,null,234798,null,3588,null,108044,null,3482,null,0400000US26,Michigan,26
4570486,null,6559,null,2266756,null,3975,null,144212,null,1175,null,137278,null,3642,null,149491,null,3839,null,95519,null,765,null,64624,null,1169,null,157755,null,1438,null,158276,null,1503,null,136260,null,1102,null,327353,null,1515,null,372336,null,1135,null,262947,null,713,null,142695,null,492,null,88322,null,1649,null,29688,null,1625,null,2303730,null,3955,null,138328,null,1361,null,130608,null,3212,null,141222,null,3165,null,92036,null,815,null,61958,null,973,null,153938,null,1185,null,145050,null,1220,null,133465,null,1150,null,321920,null,1110,null,367559,null,833,null,266044,null,710,null,159348,null,419,null,124800,null,2995,null,67454,null,2964,null,0400000US27,Minnesota,27
1745130,null,3190,null,856784,null,3461,null,55574,null,1839,null,55611,null,3213,null,56266,null,3491,null,35695,null,1678,null,28746,null,2272,null,58600,null,2661,null,55662,null,1896,null,50238,null,1824,null,118155,null,1628,null,126049,null,1403,null,104819,null,618,null,66535,null,1121,null,35904,null,1583,null,8930,null,1282,null,888346,null,2882,null,53704,null,1758,null,52182,null,2575,null,51576,null,2533,null,33902,null,1645,null,24165,null,2104,null,53551,null,2229,null,55414,null,1542,null,50067,null,1596,null,117609,null,1760,null,127216,null,1241,null,110968,null,626,null,75487,null,724,null,59647,null,2128,null,22858,null,2031,null,0400000US28,Mississippi,28
4930507,null,6300,null,2412614,null,4318,null,155840,null,1727,null,152157,null,4139,null,163473,null,4230,null,104297,null,1246,null,67973,null,2235,null,166713,null,2519,null,167731,null,1888,null,144899,null,1300,null,337583,null,1690,null,371116,null,923,null,280966,null,876,null,167897,null,534,null,102878,null,1771,null,29091,null,1767,null,2517893,null,3932,null,151165,null,1598,null,142617,null,4020,null,157580,null,4144,null,99610,null,1194,null,66244,null,1772,null,161251,null,2360,null,167555,null,1387,null,141057,null,1252,null,336295,null,1207,null,381415,null,1272,null,299514,null,666,null,192347,null,672,null,149580,null,2912,null,71663,null,2942,null,0400000US29,Missouri,29
858205,null,2418,null,431595,null,1595,null,25896,null,711,null,25260,null,1527,null,26335,null,1507,null,18500,null,382,null,12576,null,1184,null,32031,null,818,null,28638,null,678,null,23072,null,510,null,53560,null,910,null,70028,null,475,null,58233,null,295,null,31681,null,116,null,18987,null,889,null,6798,null,884,null,426610,null,1587,null,23354,null,585,null,22378,null,1489,null,25126,null,1432,null,16721,null,345,null,12145,null,1082,null,26424,null,1259,null,27500,null,782,null,22141,null,462,null,54094,null,748,null,71240,null,385,null,55661,null,136,null,32901,null,104,null,24923,null,1198,null,12002,null,1196,null,0400000US30,Montana,30
1582113,null,4791,null,780692,null,3146,null,54428,null,1126,null,53436,null,2496,null,50841,null,2205,null,34656,null,733,null,22475,null,1147,null,60174,null,1644,null,53819,null,1383,null,46411,null,1120,null,103318,null,1106,null,118840,null,903,null,87154,null,560,null,50126,null,488,null,33801,null,1245,null,11213,null,1092,null,801421,null,2564,null,52214,null,1105,null,48793,null,1961,null,50059,null,1919,null,32518,null,577,null,23862,null,1443,null,56898,null,1463,null,48959,null,893,null,46026,null,1126,null,101559,null,905,null,119735,null,906,null,88908,null,493,null,57636,null,458,null,49856,null,1635,null,24398,null,1577,null,0400000US31,Nebraska,31
1897158,null,13889,null,967996,null,8048,null,67097,null,2460,null,62037,null,3328,null,62363,null,3512,null,38076,null,1512,null,21193,null,1863,null,59108,null,2135,null,72094,null,2818,null,65574,null,2366,null,148067,null,2799,null,141540,null,1844,null,117760,null,1308,null,66358,null,919,null,38174,null,1395,null,8555,null,1344,null,929162,null,8320,null,64062,null,2295,null,59510,null,3313,null,61900,null,3349,null,35857,null,1375,null,19999,null,1162,null,53548,null,2217,null,67168,null,1797,null,58730,null,1984,null,132099,null,2097,null,134750,null,1279,null,117173,null,1040,null,66929,null,829,null,42554,null,1877,null,14883,null,1739,null,0400000US32,Nevada,32
1247023,null,2726,null,614669,null,1603,null,34638,null,382,null,37895,null,2331,null,40901,null,2204,null,27720,null,324,null,17437,null,923,null,40289,null,965,null,34544,null,600,null,33881,null,750,null,94838,null,894,null,105872,null,517,null,76962,null,367,null,39577,null,243,null,22459,null,1025,null,7656,null,1046,null,632354,null,1741,null,33021,null,469,null,35761,null,2198,null,38238,null,2168,null,26496,null,590,null,19255,null,910,null,36164,null,1183,null,35299,null,847,null,33892,null,525,null,96533,null,771,null,106393,null,578,null,78572,null,311,null,43930,null,324,null,33602,null,1373,null,15198,null,1371,null,0400000US33,New Hampshire,33
6037580,null,18406,null,2946578,null,10618,null,171743,null,2604,null,182801,null,4819,null,196681,null,5418,null,126374,null,1831,null,78368,null,1404,null,180335,null,2616,null,154268,null,2766,null,168168,null,2377,null,448231,null,3472,null,492775,null,2617,null,359621,null,2031,null,205713,null,1751,null,138308,null,2534,null,43192,null,2669,null,3091002,null,9919,null,162286,null,2842,null,173912,null,4906,null,185057,null,5088,null,118527,null,1412,null,73549,null,1521,null,173233,null,2396,null,147122,null,2293,null,163524,null,1715,null,453823,null,3340,null,501612,null,2718,null,384881,null,1757,null,245417,null,1683,null,210808,null,4054,null,97251,null,4286,null,0400000US34,New Jersey,34
1360378,null,11251,null,672289,null,7257,null,44471,null,2156,null,42933,null,2960,null,43897,null,2881,null,30608,null,1803,null,20808,null,2124,null,47017,null,2472,null,44613,null,1945,null,39926,null,1963,null,86084,null,2663,null,99053,null,2432,null,82475,null,1384,null,51131,null,1240,null,29633,null,1470,null,9640,null,1322,null,688089,null,6969,null,41844,null,2442,null,38595,null,2180,null,41500,null,2094,null,25439,null,1541,null,19586,null,2102,null,43438,null,2787,null,44099,null,2109,null,37590,null,1834,null,88212,null,2279,null,104720,null,2673,null,88512,null,1471,null,56737,null,1262,null,39165,null,2095,null,18652,null,1874,null,0400000US35,New Mexico,35
12742889,null,31915,null,6219660,null,17532,null,351032,null,3882,null,354896,null,5939,null,383726,null,5818,null,258279,null,2547,null,190726,null,2078,null,443479,null,3382,null,374763,null,3887,null,375813,null,3682,null,910273,null,4848,null,989360,null,4327,null,758842,null,3578,null,440377,null,1980,null,297690,null,3340,null,90404,null,3482,null,6523229,null,16892,null,333844,null,3687,null,332870,null,6731,null,369293,null,6686,null,243514,null,2338,null,180094,null,2061,null,429210,null,3771,null,368255,null,3559,null,368846,null,3198,null,909181,null,4982,null,1000023,null,3994,null,818234,null,3293,null,521928,null,2584,null,435442,null,5966,null,212495,null,5701,null,0400000US36,New York,36
6340312,null,14126,null,3099403,null,8645,null,197636,null,2874,null,195728,null,5430,null,199092,null,4573,null,122881,null,1780,null,86947,null,3517,null,214646,null,4051,null,189049,null,3858,null,194674,null,2581,null,469009,null,3375,null,467105,null,2180,null,385191,null,1233,null,219780,null,1092,null,123746,null,2289,null,33919,null,2184,null,3240909,null,7217,null,187335,null,2797,null,190956,null,5329,null,183521,null,5056,null,115370,null,1704,null,83174,null,2949,null,190710,null,3209,null,196109,null,2618,null,199987,null,2168,null,470909,null,2528,null,484302,null,2136,null,415820,null,1119,null,260157,null,1217,null,184712,null,3006,null,77847,null,3022,null,0400000US37,North Carolina,37
580333,null,1184,null,291068,null,1126,null,16911,null,450,null,15934,null,1303,null,16968,null,1298,null,11838,null,359,null,10751,null,865,null,28732,null,959,null,21377,null,679,null,16039,null,394,null,35212,null,326,null,44834,null,50,null,33973,null,181,null,19390,null,45,null,14799,null,672,null,4310,null,661,null,289265,null,867,null,16341,null,579,null,14311,null,1057,null,17204,null,1082,null,10751,null,289,null,9947,null,715,null,24313,null,894,null,17925,null,685,null,14608,null,301,null,34920,null,442,null,44395,null,24,null,32415,null,153,null,21869,null,120,null,19432,null,960,null,10834,null,956,null,0400000US38,North Dakota,38
9629758,null,7249,null,4706911,null,4617,null,295808,null,1328,null,295274,null,5983,null,318630,null,6251,null,204402,null,1274,null,135605,null,1744,null,311766,null,1857,null,314808,null,1513,null,282216,null,1295,null,670896,null,1744,null,746151,null,1451,null,556445,null,814,null,317835,null,660,null,199182,null,2842,null,57893,null,2808,null,4922847,null,4266,null,279902,null,1329,null,289324,null,5435,null,297511,null,5280,null,194334,null,1097,null,125920,null,1919,null,308640,null,2052,null,311694,null,1289,null,280681,null,1149,null,670065,null,1738,null,761994,null,1233,null,587563,null,1007,null,378741,null,866,null,304413,null,4442,null,132065,null,4260,null,0400000US39,Ohio,39
2710090,null,7689,null,1336563,null,4887,null,91681,null,1650,null,85842,null,2851,null,81777,null,2825,null,55504,null,1552,null,36974,null,2024,null,101803,null,2370,null,96415,null,1789,null,78195,null,1524,null,176377,null,1622,null,196944,null,950,null,159312,null,966,null,98567,null,415,null,62484,null,1511,null,14688,null,1465,null,1373527,null,4508,null,85218,null,1722,null,80371,null,2920,null,75422,null,2827,null,50103,null,1557,null,34711,null,1858,null,90039,null,1861,null,93846,null,1585,null,76059,null,1353,null,176969,null,1509,null,203097,null,985,null,168815,null,637,null,114849,null,706,null,87084,null,2242,null,36944,null,2191,null,0400000US40,Oklahoma,40
