C03002_001E,C03002_001EA,C03002_001M,C03002_001MA,C03002_002E,C03002_002EA,C03002_002M,C03002_002MA,C03002_003E,C03002_003EA,C03002_003M,C03002_003MA,C03002_004E,C03002_004EA,C03002_004M,C03002_004MA,C03002_005E,C03002_005EA,C03002_005M,C03002_005MA,C03002_006E,C03002_006EA,C03002_006M,C03002_006MA,C03002_007E,C03002_007EA,C03002_007M,C03002_007MA,C03002_008E,C03002_008EA,C03002_008M,C03002_008MA,C03002_009E,C03002_009EA,C03002_009M,C03002_009MA,C03002_010E,C03002_010EA,C03002_010M,C03002_010MA,C03002_011E,C03002_011EA,C03002_011M,C03002_011MA,C03002_012E,C03002_012EA,C03002_012M,C03002_012MA,GEO_ID,NAME,state
3617316,null,0,*****,3357449,null,1067,null,2593289,null,2213,null,266794,null,4604,null,235341,null,6874,null,57567,null,2941,null,2510,null,1352,null,3941,null,2087,null,198007,null,9652,null,2880,null,973,null,195127,null,9530,null,259867,null,1067,null,0400000US40,Oklahoma,40
3747455,null,0,*****,3351310,null,0,*****,3009497,null,2039,null,60293,null,2663,null,36614,null,3014,null,133128,null,3443,null,7245,null,880,null,4799,null,2072,null,99734,null,6004,null,2535,null,1144,null,97199,null,5823,null,396145,null,0,*****,0400000US41,Oregon,41
12432792,null,0,*****,11878444,null,953,null,10151098,null,3598,null,1260841,null,6035,null,14637,null,1733,null,292953,null,3260,null,2581,null,1074,null,19476,null,4021,null,136858,null,6771,null,6245,null,1575,null,130613,null,6544,null,554348,null,953,null,0400000US42,Pennsylvania,42
1057832,null,0,*****,938898,null,522,null,833827,null,1532,null,52102,null,1838,null,2857,null,895,null,29197,null,1603,null,58,null,102,null,5156,null,1813,null,15701,null,2392,null,1864,null,754,null,13837,null,2242,null,118934,null,522,null,0400000US44,Rhode Island,44
4407709,null,0,*****,4241788,null,863,null,2872159,null,1848,null,1247732,null,6485,null,12622,null,2139,null,53348,null,2288,null,1775,null,928,null,6036,null,2348,null,48116,null,5348,null,977,null,491,null,47139,null,5304,null,165921,null,863,null,0400000US45,South Carolina,45
796215,null,0,*****,779683,null,1384,null,688783,null,1138,null,8359,null,1690,null,63808,null,1758,null,6305,null,804,null,331,null,510,null,198,null,211,null,11899,null,2200,null,150,null,161,null,11749,null,2196,null,16532,null,1384,null,0400000US46,South Dakota,46
6156719,null,0,*****,5945167,null,2228,null,4749310,null,1534,null,1024033,null,4966,null,11760,null,1746,null,78857,null,2850,null,3490,null,1909,null,8089,null,2497,null,69628,null,5066,null,2445,null,1482,null,67183,null,4814,null,211552,null,2228,null,0400000US47,Tennessee,47
23904380,null,0,*****,15303995,null,0,*****,11405417,null,5712,null,2718294,null,8990,null,73336,null,4221,null,795432,null,6522,null,14740,null,2254,null,44906,null,6075,null,251870,null,11112,null,16073,null,2631,null,235797,null,10639,null,8600385,null,0,*****,0400000US48,Texas,48
2645330,null,0,*****,2338816,null,0,*****,2174405,null,865,null,23507,null,2471,null,28986,null,1725,null,51655,null,2499,null,20199,null,1570,null,2132,null,832,null,37932,null,3535,null,953,null,572,null,36979,null,3487,null,306514,null,0,*****,0400000US49,Utah,49
621254,null,0,*****,613193,null,639,null,591489,null,321,null,3711,null,653,null,1776,null,486,null,6921,null,684,null,69,null,88,null,431,null,315,null,8796,null,1225,null,195,null,179,null,8601,null,1202,null,8061,null,639,null,0400000US50,Vermont,50
7712091,null,0,*****,7211384,null,2125,null,5174855,null,3346,null,1491393,null,8219,null,18984,null,3106,null,371925,null,4061,null,4967,null,1663,null,18356,null,3786,null,130904,null,7554,null,4069,null,1133,null,126835,null,7239,null,500707,null,2125,null,0400000US51,Virginia,51
6468424,null,0,*****,5858418,null,0,*****,4908774,null,2495,null,210262,null,4934,null,77181,null,4399,null,425573,null,5598,null,26802,null,1450,null,10732,null,2383,null,199094,null,8786,null,4430,null,1311,null,194664,null,8459,null,610006,null,0,*****,0400000US53,Washington,53
1812035,null,0,*****,1792835,null,1977,null,1696951,null,1591,null,62255,null,2313,null,2478,null,840,null,10126,null,1421,null,0,null,265,null,1710,null,1139,null,19315,null,2478,null,431,null,518,null,18884,null,2416,null,19200,null,1977,null,0400000US54,West Virginia,54
5601640,null,0,*****,5331461,null,1075,null,4779285,null,1190,null,331115,null,3824,null,43678,null,2131,null,108219,null,3318,null,2173,null,939,null,5116,null,1207,null,61875,null,4787,null,2443,null,1069,null,59432,null,4677,null,270179,null,1075,null,0400000US55,Wisconsin,55
522830,null,0,*****,485987,null,331,null,457260,null,364,null,3075,null,1346,null,11953,null,1155,null,2865,null,1159,null,53,null,77,null,0,null,259,null,10781,null,1789,null,211,null,235,null,10570,null,1765,null,36843,null,331,null,0400000US56,Wyoming,56
3942375,null,0,*****,52356,null,4701,null,41963,null,3812,null,4369,null,1363,null,62,null,105,null,2270,null,1269,null,96,null,121,null,3344,null,1162,null,252,null,219,null,38,null,64,null,214,null,206,null,3890019,null,4701,null,0400000US72,Puerto Rico,72
