C21001G_001E,C21001G_001EA,C21001G_001M,C21001G_001MA,C21001G_002E,C21001G_002EA,C21001G_002M,C21001G_002MA,C21001G_003E,C21001G_003EA,C21001G_003M,C21001G_003MA,C21001G_004E,C21001G_004EA,C21001G_004M,C21001G_004MA,C21001G_005E,C21001G_005EA,C21001G_005M,C21001G_005MA,C21001G_006E,C21001G_006EA,C21001G_006M,C21001G_006MA,C21001G_007E,C21001G_007EA,C21001G_007M,C21001G_007MA,C21001G_008E,C21001G_008EA,C21001G_008M,C21001G_008MA,C21001G_009E,C21001G_009EA,C21001G_009M,C21001G_009MA,C21001G_010E,C21001G_010EA,C21001G_010M,C21001G_010MA,C21001G_011E,C21001G_011EA,C21001G_011M,C21001G_011MA,C21001G_012E,C21001G_012EA,C21001G_012M,C21001G_012MA,C21001G_013E,C21001G_013EA,C21001G_013M,C21001G_013MA,C21001G_014E,C21001G_014EA,C21001G_014M,C21001G_014MA,C21001G_015E,C21001G_015EA,C21001G_015M,C21001G_015MA,GEO_ID,NAME,state
15147,null,2134,null,6686,null,1505,null,6317,null,1466,null,805,null,379,null,5512,null,1341,null,369,null,266,null,191,null,206,null,178,null,167,null,8461,null,1497,null,8166,null,1479,null,196,null,187,null,7970,null,1513,null,295,null,197,null,0,null,218,null,295,null,197,null,0400000US31,Nebraska,31
37678,null,3709,null,18619,null,2254,null,17467,null,2198,null,3264,null,957,null,14203,null,1925,null,1152,null,489,null,647,null,365,null,505,null,290,null,19059,null,2093,null,17338,null,1918,null,253,null,209,null,17085,null,1953,null,1721,null,602,null,0,null,298,null,1721,null,602,null,0400000US32,Nevada,32
7330,null,1242,null,2993,null,759,null,2541,null,744,null,418,null,351,null,2123,null,692,null,452,null,275,null,129,null,137,null,323,null,237,null,4337,null,988,null,3622,null,753,null,0,null,253,null,3622,null,753,null,715,null,492,null,0,null,253,null,715,null,492,null,0400000US33,New Hampshire,33
73942,null,4778,null,36108,null,3057,null,33811,null,2923,null,4063,null,1003,null,29748,null,3009,null,2297,null,751,null,1024,null,471,null,1273,null,549,null,37834,null,3235,null,34027,null,2950,null,322,null,217,null,33705,null,2950,null,3807,null,1114,null,134,null,181,null,3673,null,1101,null,0400000US34,New Jersey,34
26696,null,2626,null,14987,null,1773,null,13451,null,1723,null,2362,null,784,null,11089,null,1675,null,1536,null,522,null,1022,null,501,null,514,null,315,null,11709,null,1793,null,10224,null,1712,null,211,null,218,null,10013,null,1707,null,1485,null,475,null,140,null,188,null,1345,null,482,null,0400000US35,New Mexico,35
206955,null,10007,null,97822,null,5338,null,90359,null,5324,null,8815,null,1715,null,81544,null,4957,null,7463,null,1231,null,1957,null,525,null,5506,null,1122,null,109133,null,6521,null,95603,null,5989,null,1272,null,670,null,94331,null,5846,null,13530,null,2052,null,177,null,148,null,13353,null,2052,null,0400000US36,New York,36
67317,null,4594,null,32161,null,2917,null,30347,null,2862,null,5895,null,1285,null,24452,null,2577,null,1814,null,663,null,1261,null,570,null,553,null,324,null,35156,null,3191,null,32106,null,3064,null,871,null,620,null,31235,null,3064,null,3050,null,877,null,81,null,150,null,2969,null,839,null,0400000US37,North Carolina,37
4234,null,1032,null,2227,null,774,null,1985,null,724,null,621,null,425,null,1364,null,634,null,242,null,170,null,173,null,149,null,69,null,85,null,2007,null,627,null,1890,null,619,null,0,null,203,null,1890,null,619,null,117,null,109,null,0,null,203,null,117,null,109,null,0400000US38,North Dakota,38
83362,null,4371,null,42506,null,3112,null,38136,null,2983,null,5710,null,1164,null,32426,null,2595,null,4370,null,850,null,2299,null,589,null,2071,null,648,null,40856,null,2907,null,36629,null,2938,null,873,null,397,null,35756,null,2821,null,4227,null,714,null,110,null,159,null,4117,null,705,null,0400000US39,Ohio,39
138576,null,6524,null,68336,null,4104,null,61729,null,3957,null,9463,null,1321,null,52266,null,3777,null,6607,null,894,null,4020,null,715,null,2587,null,568,null,70240,null,3864,null,61251,null,3656,null,809,null,471,null,60442,null,3625,null,8989,null,1118,null,54,null,66,null,8935,null,1111,null,0400000US40,Oklahoma,40
