B10001_001E,B10001_001EA,B10001_001M,B10001_001MA,B10001_002E,B10001_002EA,B10001_002M,B10001_002MA,B10001_003E,B10001_003EA,B10001_003M,B10001_003MA,B10001_004E,B10001_004EA,B10001_004M,B10001_004MA,GEO_ID,NAME,state
41541,null,4463,null,18033,null,2371,null,12871,null,2299,null,10637,null,2331,null,0400000US32,Nevada,32
11232,null,1954,null,5083,null,1189,null,2772,null,802,null,3377,null,1181,null,0400000US33,New Hampshire,33
109630,null,7056,null,47107,null,3808,null,34373,null,3432,null,28150,null,3134,null,0400000US34,New Jersey,34
43737,null,4448,null,22713,null,3226,null,11013,null,1752,null,10011,null,1724,null,0400000US35,New Mexico,35
285840,null,11615,null,133934,null,7768,null,86474,null,5677,null,65432,null,4976,null,0400000US36,New York,36
145776,null,7631,null,64393,null,4471,null,44082,null,3864,null,37301,null,3483,null,0400000US37,North Carolina,37
5377,null,1205,null,2636,null,867,null,1452,null,484,null,1289,null,475,null,0400000US38,North Dakota,38
152700,null,8270,null,65740,null,5329,null,46144,null,3765,null,40816,null,3309,null,0400000US39,Ohio,39
69751,null,4967,null,30758,null,2869,null,20633,null,2441,null,18360,null,2303,null,0400000US40,Oklahoma,40
38084,null,3953,null,16939,null,2406,null,11977,null,1994,null,9168,null,1629,null,0400000US41,Oregon,41
166080,null,9407,null,79175,null,5621,null,47855,null,4434,null,39050,null,3377,null,0400000US42,Pennsylvania,42
10565,null,2287,null,5386,null,1406,null,3364,null,1307,null,1815,null,562,null,0400000US44,Rhode Island,44
90092,null,6336,null,38898,null,3881,null,26524,null,2644,null,24670,null,3007,null,0400000US45,South Carolina,45
9920,null,1761,null,5303,null,1162,null,2503,null,703,null,2114,null,655,null,0400000US46,South Dakota,46
114067,null,7570,null,47902,null,4190,null,36480,null,3456,null,29685,null,3370,null,0400000US47,Tennessee,47
517229,null,19288,null,265922,null,12687,null,144081,null,7945,null,107226,null,6825,null,0400000US48,Texas,48
37658,null,3698,null,17499,null,1993,null,12346,null,1800,null,7813,null,1310,null,0400000US49,Utah,49
3603,null,1052,null,1110,null,421,null,1558,null,744,null,935,null,351,null,0400000US50,Vermont,50
109225,null,6937,null,50376,null,4297,null,31525,null,3508,null,27324,null,3211,null,0400000US51,Virginia,51
71565,null,4588,null,33454,null,3166,null,21448,null,2940,null,16663,null,2150,null,0400000US53,Washington,53
29771,null,3432,null,11949,null,1956,null,8758,null,1659,null,9064,null,1865,null,0400000US54,West Virginia,54
44982,null,3863,null,22141,null,2486,null,12449,null,1694,null,10392,null,1584,null,0400000US55,Wisconsin,55
10793,null,2340,null,6719,null,1605,null,2496,null,834,null,1578,null,700,null,0400000US56,Wyoming,56
128760,null,6822,null,57889,null,4559,null,36969,null,3530,null,33902,null,3127,null,0400000US72,Puerto Rico,72
