B18023_001E,B18023_001EA,B18023_001M,B18023_001MA,B18023_002E,B18023_002EA,B18023_002M,B18023_002MA,B18023_003E,B18023_003EA,B18023_003M,B18023_003MA,B18023_004E,B18023_004EA,B18023_004M,B18023_004MA,B18023_005E,B18023_005EA,B18023_005M,B18023_005MA,B18023_006E,B18023_006EA,B18023_006M,B18023_006MA,B18023_007E,B18023_007EA,B18023_007M,B18023_007MA,B18023_008E,B18023_008EA,B18023_008M,B18023_008MA,B18023_009E,B18023_009EA,B18023_009M,B18023_009MA,B18023_010E,B18023_010EA,B18023_010M,B18023_010MA,B18023_011E,B18023_011EA,B18023_011M,B18023_011MA,B18023_012E,B18023_012EA,B18023_012M,B18023_012MA,B18023_013E,B18023_013EA,B18023_013M,B18023_013MA,B18023_014E,B18023_014EA,B18023_014M,B18023_014MA,B18023_015E,B18023_015EA,B18023_015M,B18023_015MA,B18023_016E,B18023_016EA,B18023_016M,B18023_016MA,B18023_017E,B18023_017EA,B18023_017M,B18023_017MA,B18023_018E,B18023_018EA,B18023_018M,B18023_018MA,B18023_019E,B18023_019EA,B18023_019M,B18023_019MA,B18023_020E,B18023_020EA,B18023_020M,B18023_020MA,B18023_021E,B18023_021EA,B18023_021M,B18023_021MA,B18023_022E,B18023_022EA,B18023_022M,B18023_022MA,B18023_023E,B18023_023EA,B18023_023M,B18023_023MA,B18023_024E,B18023_024EA,B18023_024M,B18023_024MA,B18023_025E,B18023_025EA,B18023_025M,B18023_025MA,B18023_026E,B18023_026EA,B18023_026M,B18023_026MA,B18023_027E,B18023_027EA,B18023_027M,B18023_027MA,B18023_028E,B18023_028EA,B18023_028M,B18023_028MA,B18023_029E,B18023_029EA,B18023_029M,B18023_029MA,B18023_030E,B18023_030EA,B18023_030M,B18023_030MA,B18023_031E,B18023_031EA,B18023_031M,B18023_031MA,GEO_ID,NAME,state
6197084,null,6330,null,285530,null,8794,null,139195,null,6178,null,48323,null,4528,null,14602,null,2179,null,33721,null,3819,null,90872,null,4211,null,23563,null,2746,null,67309,null,3515,null,146335,null,6815,null,32001,null,3486,null,9359,null,2114,null,22642,null,2635,null,114334,null,5905,null,21722,null,2881,null,92612,null,4927,null,5911554,null,10201,null,2880610,null,8340,null,1170173,null,8034,null,821548,null,8586,null,348625,null,8698,null,1710437,null,6983,null,1416360,null,11646,null,294077,null,8406,null,3030944,null,8630,null,1210669,null,6656,null,727588,null,10074,null,483081,null,10476,null,1820275,null,7230,null,1244820,null,11144,null,575455,null,10709,null,0400000US13,Georgia,13
804033,null,3163,null,27547,null,2746,null,16076,null,1811,null,5989,null,1345,null,1821,null,939,null,4168,null,1100,null,10087,null,1349,null,2232,null,724,null,7855,null,1197,null,11471,null,1754,null,2277,null,846,null,472,null,402,null,1805,null,734,null,9194,null,1510,null,2078,null,657,null,7116,null,1281,null,776486,null,4347,null,382140,null,3292,null,147836,null,3161,null,104556,null,3428,null,43280,null,2940,null,234304,null,2241,null,194179,null,3317,null,40125,null,2770,null,394346,null,2509,null,147624,null,1979,null,90934,null,3462,null,56690,null,3302,null,246722,null,1896,null,181880,null,3389,null,64842,null,2874,null,0400000US15,Hawaii,15
945567,null,3152,null,43571,null,3607,null,21670,null,2295,null,8650,null,1615,null,4129,null,1311,null,4521,null,929,null,13020,null,1828,null,3706,null,996,null,9314,null,1449,null,21901,null,2581,null,5982,null,1300,null,2001,null,761,null,3981,null,984,null,15919,null,2190,null,4984,null,1209,null,10935,null,1714,null,901996,null,4798,null,452640,null,3576,null,189643,null,3096,null,148591,null,2950,null,41052,null,2886,null,262997,null,2417,null,223072,null,3186,null,39925,null,2903,null,449356,null,3330,null,185785,null,2183,null,118147,null,3630,null,67638,null,3393,null,263571,null,2685,null,184760,null,3503,null,78811,null,3506,null,0400000US16,Idaho,16
8371247,null,6306,null,304122,null,8895,null,156284,null,6159,null,58267,null,3967,null,19536,null,2368,null,38731,null,3270,null,98017,null,4265,null,27463,null,2269,null,70554,null,3472,null,147838,null,6922,null,41883,null,3444,null,15398,null,2053,null,26485,null,2407,null,105955,null,5740,null,26245,null,2627,null,79710,null,4785,null,8067125,null,10331,null,4003567,null,7997,null,1653991,null,6499,null,1159450,null,9943,null,494541,null,9155,null,2349576,null,6036,null,1959484,null,10876,null,390092,null,9246,null,4063558,null,8386,null,1627720,null,5513,null,1028533,null,10101,null,599187,null,10412,null,2435838,null,6499,null,1715418,null,12216,null,720420,null,10900,null,0400000US17,Illinois,17
4096381,null,4067,null,210225,null,7868,null,103887,null,5025,null,36583,null,3440,null,12819,null,1730,null,23764,null,2724,null,67304,null,3610,null,19034,null,1974,null,48270,null,2918,null,106338,null,5221,null,28027,null,2658,null,9790,null,1430,null,18237,null,2265,null,78311,null,4103,null,16840,null,1986,null,61471,null,3709,null,3886156,null,8466,null,1928106,null,5634,null,772435,null,4448,null,554102,null,7837,null,218333,null,6980,null,1155671,null,4157,null,969276,null,6282,null,186395,null,5007,null,1958050,null,6112,null,772509,null,4121,null,480746,null,6877,null,291763,null,5626,null,1185541,null,5072,null,848147,null,8747,null,337394,null,8422,null,0400000US18,Indiana,18
1906124,null,3017,null,97520,null,5005,null,51632,null,3262,null,17575,null,1806,null,8945,null,1527,null,8630,null,1356,null,34057,null,2656,null,12177,null,1476,null,21880,null,2276,null,45888,null,3285,null,13625,null,1545,null,5577,null,1011,null,8048,null,1333,null,32263,null,2779,null,10293,null,1516,null,21970,null,2590,null,1808604,null,6027,null,904248,null,4257,null,360072,null,3127,null,280514,null,4909,null,79558,null,4210,null,544176,null,3747,null,475900,null,4426,null,68276,null,3077,null,904356,null,4031,null,356031,null,2687,null,256744,null,4038,null,99287,null,3849,null,548325,null,3538,null,425172,null,4358,null,123153,null,3856,null,0400000US19,Iowa,19
1772004,null,4069,null,81840,null,4665,null,43053,null,3057,null,16745,null,2220,null,7613,null,1512,null,9132,null,1516,null,26308,null,1978,null,7916,null,1222,null,18392,null,1748,null,38787,null,3443,null,11221,null,1619,null,4284,null,1014,null,6937,null,1170,null,27566,null,2690,null,7203,null,1399,null,20363,null,2137,null,1690164,null,5982,null,842407,null,4457,null,344359,null,3854,null,257500,null,4663,null,86859,null,4628,null,498048,null,3383,null,432871,null,4426,null,65177,null,3490,null,847757,null,4282,null,337917,null,3517,null,231543,null,5829,null,106374,null,5123,null,509840,null,3318,null,385286,null,4654,null,124554,null,3701,null,0400000US20,Kansas,20
2758808,null,4362,null,205187,null,7452,null,102179,null,5080,null,33950,null,3211,null,10037,null,1672,null,23913,null,2914,null,68229,null,4251,null,13394,null,2303,null,54835,null,3731,null,103008,null,4981,null,25097,null,2873,null,6570,null,1345,null,18527,null,2453,null,77911,null,4198,null,13335,null,1876,null,64576,null,3393,null,2553621,null,8439,null,1248153,null,6424,null,491701,null,4140,null,345886,null,6158,null,145815,null,6808,null,756452,null,5686,null,594482,null,6712,null,161970,null,5019,null,1305468,null,5883,null,508701,null,4140,null,320280,null,6815,null,188421,null,6763,null,796767,null,5441,null,533844,null,7418,null,262923,null,6080,null,0400000US21,Kentucky,21
2748761,null,4585,null,168052,null,6605,null,82722,null,5191,null,32469,null,3512,null,9946,null,1574,null,22523,null,3089,null,50253,null,3478,null,11032,null,1591,null,39221,null,3239,null,85330,null,4635,null,23544,null,2505,null,6201,null,1342,null,17343,null,2515,null,61786,null,3668,null,15630,null,1481,null,46156,null,3226,null,2580709,null,7803,null,1240385,null,6683,null,511400,null,5392,null,355207,null,7093,null,156193,null,6031,null,728985,null,4655,null,583125,null,7008,null,145860,null,5405,null,1340324,null,5030,null,550541,null,4693,null,322554,null,7605,null,227987,null,7397,null,789783,null,4719,null,513478,null,7067,null,276305,null,7789,null,0400000US22,Louisiana,22
873828,null,2046,null,58103,null,3444,null,31200,null,2243,null,10695,null,1608,null,3635,null,1042,null,7060,null,1306,null,20505,null,1966,null,5740,null,1058,null,14765,null,1808,null,26903,null,2518,null,7457,null,1200,null,2115,null,657,null,5342,null,1029,null,19446,null,2139,null,4036,null,1034,null,15410,null,2052,null,815725,null,3928,null,397802,null,2758,null,136576,null,2195,null,99513,null,2835,null,37063,null,2048,null,261226,null,2078,null,217351,null,2850,null,43875,null,2603,null,417923,null,2965,null,141219,null,1728,null,95220,null,2572,null,45999,null,2406,null,276704,null,2455,null,204508,null,3437,null,72196,null,3433,null,0400000US23,Maine,23
