B98021_001E,B98021_001EA,B98021_002E,B98021_002EA,B98021_003E,B98021_003EA,B98021_004E,B98021_004EA,B98021_005E,B98021_005EA,B98021_006E,B98021_006EA,B98021_007E,B98021_007EA,B98021_008E,B98021_008EA,B98021_009E,B98021_009EA,GEO_ID,NAME,state
97.3,null,2.7,null,1.1,null,0.0,null,0.5,null,0.2,null,0.1,null,0.4,null,0.3,null,0400000US32,Nevada,32
96.7,null,3.3,null,1.3,null,0.3,null,0.8,null,0.1,null,0.1,null,0.5,null,0.2,null,0400000US33,New Hampshire,33
96.1,null,3.9,null,1.5,null,0.3,null,1.3,null,0.1,null,0.1,null,0.5,null,0.2,null,0400000US34,New Jersey,34
97.7,null,2.3,null,0.9,null,0.0,null,0.6,null,0.1,null,0.0,null,0.3,null,0.3,null,0400000US35,New Mexico,35
95.9,null,4.1,null,1.7,null,0.1,null,1.4,null,0.1,null,0.1,null,0.4,null,0.2,null,0400000US36,New York,36
97.9,null,2.1,null,0.7,null,0.2,null,0.4,null,0.0,null,0.1,null,0.4,null,0.2,null,0400000US37,North Carolina,37
98.9,null,1.1,null,0.2,null,0.0,null,0.3,null,0.1,null,0.0,null,0.4,null,0.0,null,0400000US38,North Dakota,38
98.2,null,1.8,null,0.9,null,0.2,null,0.0,null,0.0,null,0.0,null,0.5,null,0.0,null,0400000US39,Ohio,39
98.0,null,2.0,null,0.9,null,0.1,null,0.4,null,0.0,null,0.0,null,0.4,null,0.2,null,0400000US40,Oklahoma,40
97.7,null,2.3,null,1.1,null,0.0,null,0.5,null,0.1,null,0.1,null,0.4,null,0.0,null,0400000US41,Oregon,41
97.0,null,3.0,null,1.3,null,0.3,null,0.5,null,0.0,null,0.0,null,0.5,null,0.3,null,0400000US42,Pennsylvania,42
96.7,null,3.3,null,1.7,null,0.0,null,0.8,null,0.1,null,0.0,null,0.5,null,0.1,null,0400000US44,Rhode Island,44
98.5,null,1.5,null,0.6,null,0.1,null,0.2,null,0.0,null,0.0,null,0.5,null,0.1,null,0400000US45,South Carolina,45
98.6,null,1.4,null,0.4,null,0.0,null,0.5,null,0.0,null,0.0,null,0.5,null,0.0,null,0400000US46,South Dakota,46
98.0,null,2.0,null,0.6,null,0.1,null,0.6,null,0.1,null,0.0,null,0.5,null,0.2,null,0400000US47,Tennessee,47
97.7,null,2.3,null,0.7,null,0.1,null,0.7,null,0.1,null,0.0,null,0.4,null,0.4,null,0400000US48,Texas,48
98.6,null,1.4,null,0.6,null,0.0,null,0.3,null,0.0,null,0.0,null,0.3,null,0.1,null,0400000US49,Utah,49
97.9,null,2.1,null,1.0,null,0.3,null,0.3,null,0.1,null,0.0,null,0.4,null,0.0,null,0400000US50,Vermont,50
98.3,null,1.7,null,0.6,null,0.1,null,0.2,null,0.0,null,0.0,null,0.4,null,0.2,null,0400000US51,Virginia,51
97.5,null,2.5,null,1.4,null,0.1,null,0.5,null,0.0,null,0.0,null,0.4,null,0.1,null,0400000US53,Washington,53
99.1,null,0.9,null,0.4,null,0.1,null,0.1,null,0.0,null,0.0,null,0.3,null,0.0,null,0400000US54,West Virginia,54
99.3,null,0.7,null,0.1,null,0.1,null,0.1,null,0.0,null,0.0,null,0.4,null,0.1,null,0400000US55,Wisconsin,55
98.7,null,1.3,null,0.3,null,0.0,null,0.3,null,0.3,null,0.0,null,0.5,null,0.0,null,0400000US56,Wyoming,56
97.9,null,2.1,null,0.5,null,0.6,null,0.4,null,0.1,null,0.0,null,0.3,null,0.2,null,0400000US72,Puerto Rico,72
