B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015EA,B25098_015MA,B25098_016EA,B25098_016MA,B25098_017MA,B25098_017EA,B25098_018MA,B25098_018EA,B25098_019EA,B25098_019MA,NAME,B25098_001MA,B25098_001EA,B25098_002MA,B25098_002EA,B25098_003EA,B25098_003MA,B25098_004EA,B25098_004MA,B25098_005EA,B25098_005MA,B25098_006MA,B25098_006EA,B25098_007MA,B25098_007EA,B25098_008EA,B25098_008MA,B25098_009MA,B25098_009EA,B25098_010EA,B25098_010MA,B25098_011EA,B25098_011MA,B25098_012MA,B25098_012EA,B25098_013EA,B25098_013MA,B25098_014EA,B25098_014MA,state
95903,3869,99413,3376,53499,2794,40612,2537,29300,2716,0400000US18,1720780,14241,1170188,12303,24013,2484,94695,4035,96072,4401,174706,5932,277240,5802,209634,5451,199305,6776,94523,4006,550592,8158,32398,2492,119902,4436,79565,3280,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
55490,2935,64794,2857,33968,2435,30428,2257,20986,1981,0400000US19,882584,7833,545782,7661,8757,1228,34892,2463,40170,2435,71730,3359,135170,4554,106067,3818,102283,3852,46713,2717,336802,6166,16837,1517,69069,3223,45230,3003,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
46272,2135,53233,2681,27785,1943,25113,1733,17607,1647,0400000US20,739191,7686,461942,6490,8586,1189,28331,2192,32399,2594,56845,2931,106620,4746,82268,3756,94790,3601,52103,3048,277249,4891,13412,1464,56305,2967,37522,2644,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
68350,3229,75508,3426,36936,2614,30345,2103,17561,1515,0400000US21,1144309,10967,696216,10218,20803,2101,66197,3189,59133,3425,99124,4919,155550,5437,119911,5296,117371,4321,58127,2560,448093,6959,44128,3313,112348,3799,62917,2721,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
70301,3602,82023,3390,48132,3470,38610,2758,30475,2105,0400000US22,1130134,10390,626821,10062,20966,2412,59698,3896,48263,3234,79834,4139,125011,5336,101612,4997,119068,5122,72369,3714,503313,7795,47257,3122,122184,3756,64331,3652,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
22222,1548,28719,1825,12668,1255,11207,1474,6592,1050,0400000US23,396014,5199,252865,4954,4976,905,22219,1675,21888,1893,36659,2947,59654,3165,44680,2505,42650,2581,20139,1633,143149,3603,10178,1198,31518,1766,20045,1792,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
46412,2697,60568,3020,42266,2451,45913,2479,46953,2751,0400000US24,1433937,10091,1077903,11781,17111,1735,42730,2956,45097,3130,83672,4818,173386,6072,166201,5385,269338,6478,280368,6698,356034,6422,17198,1561,60420,2700,36304,2524,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
60489,3498,75903,3518,55393,3078,56351,3352,57122,3367,0400000US25,1570055,10932,1121921,10032,19476,1858,47602,3020,45723,3261,85878,4150,183118,6736,176896,5667,278135,6833,285093,6781,448134,10031,19173,2200,76177,3955,47526,3102,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
170558,3713,176191,5389,92012,4411,74691,3210,48776,2699,0400000US26,2713964,15597,1726769,14397,45613,3199,144537,4685,136503,4349,235963,6107,389066,7126,289742,6616,304481,6992,180864,5095,987195,11398,70502,3255,213116,5445,141349,5078,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
75258,2868,92573,3253,56115,2692,48356,2394,36994,2257,0400000US27,1508810,9302,1036410,9414,14464,1574,48964,2394,54190,2739,114449,4903,222242,5359,198814,4655,227638,5754,155649,5317,472400,6161,25232,1685,81347,2966,56525,2361,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
54088,3927,58195,3425,25403,2067,20895,2262,13369,1877,0400000US28,743611,9469,393597,7188,15064,1753,46370,3159,41292,3724,59198,4225,86521,4098,57370,3665,57111,3808,30671,2687,350014,7430,38709,2823,94954,4383,44401,2875,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
96222,4294,99355,4118,51330,2685,41576,2799,30726,2187,0400000US29,1591686,12609,1021044,11871,24132,2420,81131,4087,83698,3901,140875,5310,242595,7558,175663,6077,171915,5829,101035,4292,570642,9487,38699,2623,128843,4416,83891,4038,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
17994,1452,21103,1474,10439,1205,9656,1143,6314,903,0400000US30,274196,4635,158858,4324,3473,818,14042,1597,12519,1591,22311,1915,37137,2744,29369,2290,27820,1970,12187,1213,115338,3294,8596,1279,24904,1818,16332,1540,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
28182,1900,36322,2217,20506,1789,16408,1495,11655,1218,0400000US31,486642,6333,307101,5479,4430,787,18573,1730,19193,1912,39755,2847,74051,3512,58294,3119,60742,3151,32063,1806,179541,4170,8719,1077,34552,2056,23197,1526,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
24713,1738,28370,2540,15560,1673,13839,1374,13761,1634,0400000US32,552324,7892,395852,7831,9571,1517,29394,2419,33097,2906,51666,3511,86942,4375,67616,4002,73901,3931,43665,3086,156472,4682,10092,1542,30612,2534,19525,1816,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
18029,1424,20484,1887,13630,1635,14347,1564,11834,1371,0400000US33,367863,5474,252163,5199,3352,693,13281,1819,10397,1391,23320,2041,49159,3049,47791,2719,59814,3020,45049,2608,115700,3323,5698,971,18264,1704,13414,1598,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
79506,3382,105571,4082,71502,3784,87682,4235,91494,4028,0400000US34,2081481,13198,1459810,14421,19906,2076,60221,4193,60521,4066,107983,5222,225937,6268,231453,7914,353245,7760,400544,7997,621671,8693,28024,2119,95052,4021,62840,3473,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
29236,2235,33806,2496,20586,1539,17299,1798,12220,1327,0400000US35,518106,7759,302540,7245,11273,1599,33072,3098,27198,2898,39226,2846,63402,3562,47711,3258,50074,2863,30584,2677,215566,5006,21456,1866,50876,2691,30087,2364,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
193706,5937,251962,6588,156136,5109,171626,5330,157615,5435,0400000US36,3883893,16541,2500901,16298,42723,2640,134349,5387,128040,5614,223897,6767,448834,9752,411684,8389,564890,10149,546484,9054,1382992,12928,67450,3906,237400,6439,147097,4812,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
130255,5141,136538,5130,72286,3537,56469,3489,39371,2586,0400000US37,2441626,15846,1611485,13689,42922,3145,142446,6193,132885,5361,221504,6350,353864,10102,269243,7344,272424,8257,176197,5709,830141,11144,65992,3798,211332,7102,117898,4670,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
13488,1440,17847,1379,10566,1218,9705,999,8767,953,0400000US38,189193,3576,101259,2710,1109,384,4432,843,5618,981,11441,1733,21653,2112,21599,1888,22891,1842,12516,1490,87934,2599,4882,857,13511,1212,9168,998,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
175952,6087,186465,5148,100324,4057,81062,3536,56593,3638,0400000US39,3019382,13908,1990839,13071,38757,2777,155172,5845,148247,5228,266395,7144,456457,9427,348848,8110,359817,8215,217146,6181,1028543,10989,60403,3086,227703,5448,140041,3876,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
64751,2561,71073,2794,38116,1957,30406,1856,22781,1935,0400000US40,960369,7142,554903,7314,12671,1243,46904,2306,44874,2535,80449,3844,129982,4823,96775,4186,91440,3944,51808,2459,405466,5183,31061,2087,92282,3670,54996,2437,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
49717,2807,52727,3402,29739,2214,25985,2207,18151,1858,0400000US41,933775,9126,637990,9224,15149,1816,44155,2562,42147,2975,80424,3833,145839,5354,111898,4561,126432,4638,71946,3542,295785,6552,17406,1739,62979,3101,39081,2688,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
211553,5526,236082,6208,132810,4630,111586,4386,84931,3253,0400000US42,3416499,15135,2122249,14023,45007,3053,139872,5502,136242,4742,243793,6097,455514,7502,383492,7907,428102,7792,290227,6961,1294250,11618,72205,2968,270103,5858,174980,5841,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
10794,1303,13049,1627,7855,1399,8387,1140,5918,814,0400000US44,247790,4277,177131,4385,3636,938,9844,1456,8611,1240,18202,2064,34440,2631,31928,2543,40219,2274,30251,2698,70659,3143,3638,983,12911,1489,8107,1323,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
74769,3860,77850,3540,37843,3019,31853,2063,19904,1788,0400000US45,1217692,9732,744020,10190,21108,2019,65700,3787,61256,3561,109114,4603,170640,5958,120938,4985,119410,5558,75854,3843,473672,8709,44933,3407,120039,4780,66481,3474,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
15105,1328,18321,1435,11164,1418,9253,1177,5998,1054,0400000US46,217200,3814,124577,3219,2180,627,7397,1170,9550,1247,18333,1960,30731,2046,25499,1991,20474,1894,10413,1122,92623,2355,5221,757,15843,1251,11718,1326,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
99359,4846,105752,4287,59222,3580,49342,3445,34694,2442,0400000US47,1654001,14531,1023082,12374,26711,2669,103993,4820,95882,5481,152464,5869,231964,6463,162032,6019,154252,5226,95784,4134,630919,9179,50893,3350,144989,5369,86668,4534,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
315304,9727,373940,8086,222524,7838,221922,6719,185346,5446,0400000US48,5586856,26359,3412384,24920,75000,4409,233009,8028,229084,7637,399029,9874,673932,12819,556469,14376,699712,12229,546149,11153,2174472,20404,160149,5691,430413,8397,264874,7076,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
24812,2069,33064,2313,19676,1719,20579,1494,15296,1510,0400000US49,623589,6650,454508,6760,7808,1299,25057,2178,26675,1971,60143,3478,111594,4903,86209,4427,89878,3891,47144,2833,169081,4782,8593,1165,27699,2124,19362,1675,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
10627,1055,10964,1240,6759,816,5763,691,4445,774,0400000US50,183563,2872,120388,2868,2283,543,7502,1063,8101,1056,14612,1444,29188,1792,22810,1793,23691,1769,12201,1283,63175,2455,3612,610,13290,1359,7715,1003,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
83953,3573,101321,4652,59086,3100,58320,3219,52599,2573,0400000US51,2010442,15164,1436421,14189,25367,2445,78668,4353,74283,3565,138807,5512,258043,7575,227817,5786,310613,6784,322823,6606,574021,9741,38146,2944,112008,4695,68588,3299,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
73638,3331,92353,4059,54134,3273,51843,2653,40966,2859,0400000US53,1643637,12066,1163103,11731,20416,2202,62140,3896,62448,2637,123959,5142,235336,7017,201374,5509,261407,6213,196023,5341,480534,8086,26676,2255,84582,4161,56342,3549,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
44090,2350,45987,2950,25456,2037,15679,1569,9146,1225,0400000US54,533758,5867,257959,5912,6794,1116,27285,2420,22879,2235,38313,2715,60029,3481,44785,2744,39384,3207,18490,1650,275799,5302,22063,2332,73479,3049,39899,2420,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
86844,3199,102722,3011,56604,2594,46851,2116,33600,2062,0400000US55,1539778,10829,1022766,10042,17251,1501,62434,2841,66197,3123,129351,4094,240780,5488,199771,5100,206791,4299,100191,3512,517012,6625,26625,1942,97357,3759,66409,2826,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
10549,1545,12036,1355,8043,1019,8197,1111,3869,724,0400000US56,154329,3897,88744,3236,1754,649,5598,1187,4701,1102,9502,1327,19079,2187,18937,2061,18728,2350,10445,1496,65585,2695,3013,745,12760,1552,7118,1219,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
55805,3555,33581,2870,11332,1289,5998,1115,3787,1000,0400000US72,877877,8341,373424,7357,29843,2790,88267,4192,54838,3970,73699,3943,68599,4448,27300,2345,18543,1943,12335,1720,504453,7229,154124,5282,177208,5658,62618,3792,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
84344,4058,83336,3886,44946,2581,38834,2645,22907,2173,0400000US01,1268565,12217,739941,10765,24011,2363,72449,4408,65526,4050,101623,4174,158992,5821,126722,5296,123917,4432,66701,3397,528624,10012,49899,3346,131198,5218,73160,3827,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
6556,837,10563,1470,6246,990,8709,1186,6458,996,0400000US02,159427,3595,103938,3600,1272,478,4701,899,4543,848,8649,1261,17184,1626,19538,2189,25384,2207,22667,2107,55489,2738,2675,500,8741,1239,5541,978,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
84821,4293,88003,3965,44005,3012,42345,2532,28031,2567,0400000US04,1496650,13898,990680,12789,27590,2712,80567,3889,79280,4204,132906,5835,217704,7139,152356,5891,182071,5557,118206,4314,505970,8149,40221,2708,108892,4285,69652,4022,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
51083,3298,54631,3473,25852,2324,20562,1755,12225,1298,0400000US05,757722,8214,436822,7038,12035,1655,46462,2904,43290,2813,63384,3571,102762,4543,69506,3302,67120,3329,32263,3254,320900,7019,24268,2241,86430,3826,45849,2465,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
