GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002MA,B27001G_002EA,B27001G_003MA,B27001G_003EA,B27001G_004EA,B27001G_004MA,B27001G_005EA,B27001G_005MA,B27001G_006EA,B27001G_006MA,B27001G_007MA,B27001G_007EA,B27001G_008MA,B27001G_008EA,B27001G_009EA,B27001G_009MA,B27001G_010EA,B27001G_010MA,B27001G_011EA,B27001G_011MA,B27001G_012EA,B27001G_012MA,B27001G_013MA,B27001G_013EA,B27001G_014MA,B27001G_014EA,B27001G_015EA,B27001G_015MA,B27001G_016EA,B27001G_016MA,B27001G_017EA,B27001G_017MA,B27001G_018MA,B27001G_018EA,B27001G_019MA,B27001G_019EA,B27001G_020EA,B27001G_020MA,B27001G_021EA,B27001G_021MA,B27001G_022EA,B27001G_022MA,B27001G_023EA,B27001G_023MA,B27001G_024MA,B27001G_024EA,B27001G_025MA,B27001G_025EA,B27001G_026EA,B27001G_026MA,B27001G_027EA,B27001G_027MA,B27001G_028EA,B27001G_028MA,state
0400000US36,525367,16090,87943,5034,83799,5068,4144,1273,127150,6188,121099,5948,6051,1344,66171,4431,55653,4227,10518,1811,73499,4747,52787,3834,20712,2808,55585,3745,42858,3169,12727,1980,47781,3683,39870,3051,7911,1492,36318,2829,30703,2491,5615,1234,20410,1932,19485,1904,925,714,10510,1692,10324,1646,186,208,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,219920,10670,46648,3497,45027,3442,1621,793,72588,5480,68641,5328,3947,1073,26149,2897,19758,2186,6391,1545,22342,2837,14391,2121,7951,1639,17354,2188,12936,1806,4418,1085,15480,2172,12040,1748,3440,1354,11661,1816,9836,1576,1825,625,4435,940,4279,941,156,228,3263,911,3147,919,116,174,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,13656,2206,2652,798,2370,764,282,245,4022,1074,3740,1048,282,243,2429,854,1596,682,833,563,2187,724,1798,704,389,259,919,415,617,337,302,216,843,400,499,325,344,246,327,243,287,229,40,73,190,190,190,190,0,141,87,118,87,118,0,141,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,260158,10066,52924,4200,51825,4113,1099,506,90404,4959,86199,4779,4205,1607,32381,2455,25975,2114,6406,1364,22671,2885,16435,2354,6236,1344,21829,2629,17963,2197,3866,1101,16277,2273,13078,1793,3199,928,12722,1418,11507,1324,1215,497,7280,1232,7152,1239,128,150,3670,783,3670,783,0,182,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,285319,8516,46562,2359,41248,2234,5314,1111,76261,3946,65877,3843,10384,1470,36810,2483,23492,2107,13318,1656,35031,2163,21419,1718,13612,1545,27895,2084,17012,1563,10883,1618,24556,1967,17279,1599,7277,953,18896,1458,14155,1073,4741,888,12657,1115,12564,1121,93,66,6651,652,6651,652,0,149,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,153384,7721,25686,2435,24112,2458,1574,818,42794,3408,40133,3314,2661,892,19525,2360,15402,1988,4123,1184,18527,2122,13091,1747,5436,1342,16239,2164,12005,1798,4234,1160,14057,2150,10703,1799,3354,950,9223,1376,7307,1188,1916,665,4516,823,4516,823,0,193,2817,762,2762,744,55,91,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,256497,11360,53246,4407,51499,4255,1747,899,76249,5106,73491,5138,2758,925,39596,3643,31757,3030,7839,1868,27607,2905,18438,2327,9169,1724,22114,2103,18336,1890,3778,1022,16032,2228,13050,1956,2982,774,12423,1630,11013,1566,1410,529,5687,930,5687,930,0,165,3543,947,3543,947,0,165,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,28175,2871,4994,1077,4962,1078,32,54,7399,1372,7278,1369,121,154,5164,1181,3959,872,1205,625,2777,933,1770,678,1007,565,2369,748,1941,681,428,404,2519,632,1789,537,730,393,1405,510,873,424,532,367,1125,463,1125,463,0,200,423,266,423,266,0,200,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,90479,6272,22798,3068,22024,3146,774,589,26661,3717,25403,3665,1258,558,11582,2262,8988,2144,2594,873,7843,1574,5576,1254,2267,824,7705,1616,5914,1329,1791,806,5393,1343,4191,1118,1202,628,4599,1020,3398,857,1201,501,2827,843,2827,843,0,197,1071,468,988,442,83,115,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,17169,2694,4198,1303,4183,1297,15,27,5781,1332,5526,1315,255,191,1594,606,1194,563,400,245,1972,642,1034,420,938,444,1543,477,1195,426,348,245,978,387,685,337,293,187,708,318,607,300,101,87,261,153,261,153,0,147,134,86,134,86,0,147,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
