GEO_ID,C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,NAME,C15002G_001EA,C15002G_001MA,C15002G_002EA,C15002G_002MA,C15002G_003MA,C15002G_003EA,C15002G_004EA,C15002G_004MA,C15002G_005EA,C15002G_005MA,C15002G_006EA,C15002G_006MA,C15002G_007EA,C15002G_007MA,C15002G_008MA,C15002G_008EA,C15002G_009MA,C15002G_009EA,C15002G_010EA,C15002G_010MA,C15002G_011EA,C15002G_011MA,state
0400000US49,21494,2480,11260,1267,948,411,2486,824,4698,771,3128,686,10234,1708,1174,490,2799,943,3896,973,2365,632,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,5198,804,2263,530,301,190,473,206,780,346,709,330,2935,589,276,218,358,165,930,340,1371,420,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,100185,5503,44621,2986,7260,1614,8824,1201,12908,1537,15629,2005,55564,3718,7014,1536,9176,1765,17860,1975,21514,2405,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,139893,5541,69009,3822,7486,1432,16886,2097,27362,2530,17275,2034,70884,3655,7059,1337,12826,2032,30003,2641,20996,2239,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,15701,1722,8297,1069,1334,595,3501,770,2457,760,1005,425,7404,1181,1201,412,2024,440,2444,835,1735,721,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,35649,3013,17711,1989,2368,642,6004,1105,5529,1096,3810,986,17938,2108,1772,715,4432,935,7298,1222,4436,962,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,7121,1484,3852,1088,797,452,1359,672,1025,414,671,382,3269,741,506,285,744,455,1125,405,894,456,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,279152,9830,132063,5922,37665,3696,38600,3512,30594,2771,25204,2799,147089,5918,37413,2847,30899,2916,37965,3532,40812,3306,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,31770,2471,16644,1876,4036,1134,4868,1194,4021,966,3719,824,15126,1665,2405,616,3634,917,5746,1090,3341,909,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22081,2308,10148,1556,1306,485,3871,807,3849,1058,1122,364,11933,1408,1171,512,3172,897,4997,1046,2593,627,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,74209,4360,34776,2808,4753,986,8052,1353,13017,1717,8954,1319,39433,2865,4529,1114,6827,1222,17032,2314,11045,1581,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24822,2145,12303,1488,1679,543,3494,1010,4208,913,2922,930,12519,1556,1868,662,3703,884,3982,862,2966,909,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
