B18103_036E,B18103_036M,B18103_037E,B18103_037M,B18103_038E,B18103_038M,B18103_039E,B18103_039M,GEO_ID,B18103_001E,B18103_001M,B18103_002E,B18103_002M,B18103_003E,B18103_003M,B18103_004E,B18103_004M,B18103_005E,B18103_005M,B18103_006E,B18103_006M,B18103_007E,B18103_007M,B18103_008E,B18103_008M,B18103_009E,B18103_009M,B18103_010E,B18103_010M,B18103_011E,B18103_011M,B18103_012E,B18103_012M,B18103_013E,B18103_013M,B18103_014E,B18103_014M,B18103_015E,B18103_015M,B18103_016E,B18103_016M,B18103_017E,B18103_017M,B18103_018E,B18103_018M,B18103_019E,B18103_019M,B18103_020E,B18103_020M,B18103_021E,B18103_021M,B18103_022E,B18103_022M,B18103_023E,B18103_023M,B18103_024E,B18103_024M,B18103_025E,B18103_025M,B18103_026E,B18103_026M,B18103_027E,B18103_027M,B18103_028E,B18103_028M,B18103_029E,B18103_029M,B18103_030E,B18103_030M,B18103_031E,B18103_031M,B18103_032E,B18103_032M,B18103_033E,B18103_033M,B18103_034E,B18103_034M,B18103_035E,B18103_035M,B18103_036MA,B18103_036EA,B18103_037EA,B18103_037MA,B18103_038EA,B18103_038MA,B18103_039EA,B18103_039MA,NAME,B18103_001EA,B18103_001MA,B18103_002MA,B18103_002EA,B18103_003MA,B18103_003EA,B18103_004EA,B18103_004MA,B18103_005EA,B18103_005MA,B18103_006EA,B18103_006MA,B18103_007EA,B18103_007MA,B18103_008MA,B18103_008EA,B18103_009EA,B18103_009MA,B18103_010MA,B18103_010EA,B18103_011EA,B18103_011MA,B18103_012EA,B18103_012MA,B18103_013MA,B18103_013EA,B18103_014MA,B18103_014EA,B18103_015EA,B18103_015MA,B18103_016EA,B18103_016MA,B18103_017EA,B18103_017MA,B18103_018MA,B18103_018EA,B18103_019MA,B18103_019EA,B18103_020EA,B18103_020MA,B18103_021EA,B18103_021MA,B18103_022EA,B18103_022MA,B18103_023EA,B18103_023MA,B18103_024MA,B18103_024EA,B18103_025MA,B18103_025EA,B18103_026EA,B18103_026MA,B18103_027MA,B18103_027EA,B18103_028EA,B18103_028MA,B18103_029EA,B18103_029MA,B18103_030MA,B18103_030EA,B18103_031EA,B18103_031MA,B18103_032EA,B18103_032MA,B18103_033EA,B18103_033MA,B18103_034EA,B18103_034MA,B18103_035MA,B18103_035EA,state
246502,2028,222476,1733,20588,1821,201888,2325,0400000US18,6437142,986,3151875,3967,216539,1869,1304,583,215235,1974,595446,3097,4989,1026,590457,3367,729538,3500,8438,1750,721100,3790,1237459,3699,32122,2881,1205337,4495,227287,1455,9250,1240,218037,1873,145606,1527,12802,1427,132804,2043,3285267,3952,207618,2405,1720,849,205898,2336,565832,2878,4389,1091,561443,3122,740081,3271,6376,1178,733705,3662,1291180,2596,30683,2915,1260497,3832,258080,1336,11578,1539,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
120686,1302,125145,1220,10140,1151,115005,1708,0400000US19,3028864,500,1499872,3681,99826,1965,201,240,99625,1948,269380,2555,1397,440,267983,2685,352133,1993,2536,842,349597,2171,582375,2253,10547,1336,571828,2590,112566,980,2552,557,110014,1175,83592,868,5053,767,78539,1087,1528992,3772,96171,1531,203,168,95968,1576,255050,2343,1734,639,253316,2365,343839,1770,2312,700,341527,1881,584406,2183,8941,1187,575465,2295,124381,1295,3695,717,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
104292,1303,101653,1410,9476,1176,92177,1814,0400000US20,2825416,2092,1391359,3671,102507,1423,891,450,101616,1465,263400,2151,1831,551,261569,2146,333250,3033,2771,740,330479,3154,525436,2429,9311,1222,516125,2756,97143,1305,2744,608,94399,1389,69623,1110,5600,883,64023,1402,1434057,3294,98911,1585,519,312,98392,1611,255099,1985,1059,417,254040,2064,327940,2117,2224,716,325716,2124,543210,2158,10813,1539,532397,2641,107244,1218,2952,723,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
177242,1664,145134,1321,17195,1554,127939,1703,0400000US21,4292718,1736,2092010,4500,140587,1883,630,413,139957,1930,380550,2290,4072,957,376478,2556,468005,2937,6030,1389,461975,3340,844281,3253,29505,2611,814776,3833,163277,980,8726,1121,154551,1420,95310,1105,11005,1089,84305,1400,2200708,3991,136086,2290,494,371,135592,2270,358803,2324,3312,873,355491,2605,485124,2702,7420,1472,477704,3163,888325,2413,28150,2009,860175,3090,187236,1323,9994,1442,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
167977,2122,144975,1832,18186,1812,126789,2651,0400000US22,4498884,1484,2168498,4615,154816,2146,1110,792,153706,2262,413792,3316,4004,816,409788,3504,524483,3654,8345,1506,516138,3945,825650,4051,30540,2686,795110,4758,156033,1727,9597,1183,146436,2161,93724,1658,10693,1564,83031,2073,2330386,4247,154464,2471,1084,655,153380,2579,394355,2607,4526,1046,389829,2663,556970,3164,9110,1702,547860,3774,897728,3667,33675,2864,864053,4304,181894,1519,13917,1638,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
61668,1047,56059,638,5554,857,50505,1049,0400000US23,1315703,427,643219,2135,34042,760,0,155,34042,760,102787,1081,533,313,102254,1132,128585,1316,1843,705,126742,1483,278577,1425,6509,1168,272068,1495,59704,523,1843,458,57861,650,39524,722,3590,781,35934,1067,672484,2098,32148,726,87,84,32061,735,96518,1261,467,263,96051,1304,131459,1365,1290,564,130169,1447,292146,1129,4425,907,287721,1426,64154,608,2486,756,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
222974,1754,190135,1479,18424,1814,171711,2010,0400000US24,5788196,2269,2779107,3466,185624,1508,280,238,185344,1541,496868,2004,2771,948,494097,2173,654010,3135,4400,1103,649610,3165,1123876,3331,20338,2713,1103538,3934,195122,1297,5290,1086,189832,1741,123607,1366,8744,1126,114863,1738,3009089,3422,178997,1499,1096,686,177901,1649,479629,1960,2617,877,477012,2368,678526,2433,5338,1275,673188,2853,1251834,2398,19356,1998,1232478,3083,229968,1299,6994,1108,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
261184,1838,256424,1781,25553,2429,230871,3323,0400000US25,6566851,897,3172658,2546,186715,952,1288,570,185427,1108,526346,1493,4132,1124,522214,1803,767822,2121,6292,1312,761530,2585,1296831,2618,20960,2008,1275871,3368,232348,1223,7174,1364,225174,1732,162596,1484,13297,1825,149299,2297,3394193,2443,177144,975,158,157,176986,981,507767,1616,3622,917,504145,1783,790441,1479,6920,1488,783521,2031,1391841,1525,22405,2410,1369436,2906,270576,1069,9392,1385,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
400521,2134,368956,1921,34899,2229,334057,2531,0400000US26,9772550,789,4775215,4271,292539,1626,1806,591,290733,1751,866210,2013,6602,1235,859608,2435,1061145,3073,9557,1620,1051588,3378,1936396,3495,43732,3336,1892664,4734,371082,1386,14152,1428,356930,1957,247843,1377,17563,1526,230280,2038,4997335,4207,279057,1610,1781,748,277276,1807,825865,2353,5278,920,820587,2461,1072471,2456,8965,1695,1063506,2673,2034737,2913,43763,3127,1990974,4517,416249,1670,15728,1437,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
196768,1570,185638,1575,15106,1581,170532,2136,0400000US27,5319783,751,2635101,3232,176092,1442,482,254,175610,1433,474780,2314,3123,815,471657,2604,616396,2548,5282,1117,611114,2625,1056006,2437,14022,1719,1041984,2878,184341,1040,4061,842,180280,1190,127486,1285,8802,824,118684,1506,2684682,3147,171257,1841,530,244,170727,1875,453380,2104,2436,786,450944,2210,608865,2229,3372,779,605493,2279,1062817,2608,11644,1613,1051173,3224,202725,1229,5957,899,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
114659,1950,100113,1654,12783,1586,87330,1858,0400000US28,2918405,1292,1389814,4196,100474,2448,261,203,100213,2398,277670,3279,2713,943,274957,3411,319598,4324,5193,1294,314405,4294,527013,4191,21473,2604,505540,4097,104963,1631,7128,1088,97835,1834,60096,1356,7518,1403,52578,1579,1528591,4162,101922,2384,456,376,101466,2433,265537,2923,3357,1072,262180,2953,352277,3560,5752,1245,346525,3475,584956,3185,25839,2410,559117,3725,123786,1451,9127,1610,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
246732,1916,218265,2027,22970,2278,195295,3157,0400000US29,5908769,1421,2878473,4638,192462,1917,757,599,191705,1909,527754,3639,6623,1388,521131,3741,662701,3119,6082,1435,656619,3285,1121993,3198,28208,2569,1093785,4151,226071,1425,10298,1231,215773,1694,147492,1710,13641,1559,133851,2245,3030296,4618,182112,1973,1038,424,181074,2055,497346,2725,4328,1020,493018,2713,683711,3224,7090,1431,676621,3400,1193052,3443,30330,2346,1162722,4099,255810,1607,9078,1069,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
42876,744,36534,703,3827,815,32707,990,0400000US30,989823,845,493958,2193,29985,761,89,107,29896,759,82207,1013,662,397,81545,1108,109885,1607,1186,556,108699,1604,198464,1317,3243,888,195221,1469,44939,546,1985,526,42954,675,28478,496,2325,512,26153,663,495865,1890,28854,753,51,49,28803,748,78152,1056,636,421,77516,1148,106799,1429,946,459,105853,1458,201648,1467,4484,1083,197164,1577,43878,679,1002,340,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
66329,991,68062,985,6671,920,61391,1305,0400000US31,1826832,904,905129,1778,68703,1174,185,183,68518,1211,168519,1505,1116,420,167403,1577,215138,1931,1349,509,213789,1983,344159,1808,5932,1127,338227,2078,63033,684,1759,581,61274,794,45577,713,3629,593,41948,846,921703,1912,63298,1089,88,88,63210,1096,160789,1121,1010,360,159779,1137,212204,1437,1713,604,210491,1517,349505,1613,5650,1054,343855,1884,67845,866,1516,409,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
106255,1464,73793,906,8631,1119,65162,1346,0400000US32,2723965,1559,1363626,2499,94224,1218,932,565,93292,1395,247050,1522,1740,627,245310,1578,317648,2084,4535,1495,313113,2739,536927,1759,11010,1883,525917,2709,107204,919,5130,1433,102074,1664,60573,603,4554,1040,56019,1330,1360339,2115,88688,1169,577,478,88111,1209,233519,1113,2421,863,231098,1348,313804,1949,3559,1106,310245,2146,537350,2019,14503,2490,522847,3298,113185,728,6930,1369,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
53807,979,46316,790,4692,894,41624,1206,0400000US33,1306026,548,639606,2048,32945,721,160,188,32785,729,105796,1263,428,251,105368,1275,134495,1584,606,424,133889,1652,281537,1524,3286,864,278251,1584,52253,828,932,463,51321,946,32580,548,2731,698,29849,869,666420,1903,32561,770,0,181,32561,770,103261,1234,268,185,102993,1274,136083,1559,1033,525,135050,1517,292462,1231,3753,857,288709,1546,55737,721,1930,557,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
349581,1911,334692,1813,32816,2364,301876,3001,0400000US34,8756542,1146,4249042,3165,267962,1089,968,506,266994,1194,763844,2018,6944,1427,756900,2452,945133,2524,10217,1981,934916,3164,1756868,2474,28764,2855,1728104,3374,304129,1707,9902,1325,294227,2012,211106,1716,15261,1571,195845,2196,4507500,2870,258625,1351,1070,518,257555,1439,733719,1806,5271,1118,728448,2185,939103,1630,9568,1709,929535,2423,1879525,2111,34681,3207,1844844,3770,361836,1309,12255,1424,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
82557,1387,69058,1061,10163,1339,58895,1303,0400000US35,2051805,1427,1008424,3158,73089,1499,376,394,72713,1529,191203,2303,2336,785,188867,2340,234303,2628,3271,1063,231032,2740,377777,2669,14452,1993,363325,3065,79458,1126,4416,874,75042,1328,52594,1097,7329,1026,45265,1445,1043381,2668,69947,1226,239,247,69708,1226,181102,1940,2274,785,178828,1994,233703,2191,2648,934,231055,2582,401101,1995,11825,1950,389276,2662,88470,976,5913,992,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
776484,2779,732097,2562,74615,4493,657482,5233,0400000US36,19316728,2028,9321215,5208,596090,1854,3735,1094,592355,2117,1575554,2938,9214,1609,1566340,3309,2311692,3922,18715,2138,2292977,4285,3713456,4490,64950,4245,3648506,6315,661643,1741,22089,1920,639554,2550,462780,2186,36676,2587,426104,3224,9995513,4792,567781,1686,2444,853,565337,1691,1513396,2636,9459,1434,1503937,2973,2369834,3509,15703,2124,2354131,4086,4007595,3271,72924,4118,3934671,5533,804810,1925,28326,2073,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
