GEO_ID,C19101I_001E,C19101I_001M,C19101I_002E,C19101I_002M,C19101I_003E,C19101I_003M,C19101I_004E,C19101I_004M,C19101I_005E,C19101I_005M,C19101I_006E,C19101I_006M,C19101I_007E,C19101I_007M,C19101I_008E,C19101I_008M,C19101I_009E,C19101I_009M,C19101I_010E,C19101I_010M,C19101I_011E,C19101I_011M,NAME,C19101I_001MA,C19101I_001EA,C19101I_002EA,C19101I_002MA,C19101I_003EA,C19101I_003MA,C19101I_004MA,C19101I_004EA,C19101I_005MA,C19101I_005EA,C19101I_006MA,C19101I_006EA,C19101I_007MA,C19101I_007EA,C19101I_008EA,C19101I_008MA,C19101I_009EA,C19101I_009MA,C19101I_010EA,C19101I_010MA,C19101I_011EA,C19101I_011MA,state
0400000US29,42146,2297,4519,1020,1923,726,6859,1350,5189,1215,7253,1115,6180,1286,5086,1152,2653,655,1151,491,1333,485,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6413,993,359,341,106,71,862,385,1350,619,1036,454,1017,402,473,331,918,572,206,198,86,112,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,37049,2103,2313,684,3094,959,5633,1194,7136,1366,6127,1157,7668,1233,2793,697,1805,610,264,226,216,170,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,153393,4090,10773,1791,8548,1597,21815,2209,22648,2282,28073,2637,32890,3076,14910,2021,10227,1590,2401,750,1108,645,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,7205,1251,646,497,309,390,671,453,801,499,1361,557,971,477,717,368,1032,394,399,253,298,242,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,363494,6098,26338,2720,19723,2422,42506,3554,43867,2981,55316,3825,65803,3759,39617,2998,40304,3012,18908,2056,11112,1658,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,216899,5543,20678,1981,14326,1835,33056,2799,29854,2558,32632,3185,36979,2970,23167,2223,18078,1724,5855,1309,2274,596,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,746514,8381,75477,4958,49196,3760,111111,5137,87997,5235,110762,5750,124694,5503,73393,4064,67510,3942,25140,2287,21234,2256,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,162565,4309,17885,2528,12062,2147,31199,3142,28221,3010,27335,2693,19996,2087,14069,2178,7891,1584,1927,651,1980,596,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3024,629,160,139,73,78,376,279,486,365,704,345,555,351,517,275,131,159,0,141,22,31,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,69981,2716,8345,1563,4848,1072,9264,1310,9981,1532,12620,1625,11578,1681,4959,1053,4498,950,1753,604,2135,633,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,69401,2239,6474,1193,4122,785,11065,1557,11651,1299,13959,1308,10459,1044,6325,1028,3418,709,967,497,961,444,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,90109,2714,7326,1509,7326,1528,16328,2440,12757,1769,11640,1551,16644,2338,8055,1692,7206,1430,1699,476,1128,558,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,152859,4340,21763,2687,13008,1868,23653,2354,21584,2382,19338,2406,23296,2394,12227,1575,12230,1617,3318,908,2442,661,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,28698,1978,4166,1104,2681,904,4761,1004,3601,827,4548,856,4377,1140,1662,580,1868,739,372,307,662,475,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,46950,2626,4842,1428,2419,880,8773,1823,5503,1331,7271,1317,7754,1658,5736,1465,3082,1010,593,346,977,562,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3897,653,351,304,56,54,774,385,257,240,843,426,602,277,453,278,495,307,26,61,40,45,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,58290,2393,4366,1133,5810,1621,12466,2033,8578,1530,8926,1590,9208,1863,3546,1072,3205,994,877,587,1308,579,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2119468,16139,164461,5944,133991,5833,315800,8815,286653,8121,349537,10529,395731,9155,218512,9015,177450,6930,44919,3306,32414,3020,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,72931,2601,6168,1567,5007,1292,11083,1734,11424,1889,10952,1660,13691,1991,6638,1115,5804,1159,1374,537,790,460,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,1557,408,17,32,207,183,254,126,113,103,230,168,136,121,126,143,330,217,107,97,37,48,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,137319,4486,7211,1538,4959,1205,13377,2154,14641,2103,22302,2413,25579,2400,18180,2323,15800,1928,8270,1426,7000,1138,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,157223,3806,11382,1954,9630,1521,23638,2341,20660,2521,28590,2718,30839,2390,14517,2037,12929,1814,2871,854,2167,675,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,4318,774,407,371,226,253,681,408,341,225,310,246,1029,453,224,172,554,408,317,248,229,201,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,66469,2516,7739,1413,2956,779,10159,1323,11270,1589,11692,1570,11425,1642,6144,1385,4118,933,573,293,393,253,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,10564,1334,813,435,530,408,799,439,1161,540,2349,805,2267,739,1358,430,687,455,400,272,200,219,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,886714,12002,209160,6686,91422,4296,177022,6187,121773,5703,120761,5214,95049,5608,35122,2816,22794,2207,8345,1480,5266,1203,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,36014,2497,2705,813,4139,1313,7216,1703,5711,1183,5322,1218,5036,1127,3147,979,2104,714,460,308,174,169,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8606,1240,660,495,70,119,713,453,1337,685,917,474,1681,741,1448,642,977,497,441,232,362,245,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,401656,7810,37899,3407,28370,2480,60295,3836,58449,4173,66250,4329,74215,3759,33122,2833,31168,2630,6912,1352,4976,1184,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40961,2390,3366,884,1862,671,8121,1519,8067,1368,7098,1493,6338,1484,3267,1021,2025,762,491,342,326,378,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
