GEO_ID,C19101_001E,C19101_001M,C19101_002E,C19101_002M,C19101_003E,C19101_003M,C19101_004E,C19101_004M,C19101_005E,C19101_005M,C19101_006E,C19101_006M,C19101_007E,C19101_007M,C19101_008E,C19101_008M,C19101_009E,C19101_009M,C19101_010E,C19101_010M,C19101_011E,C19101_011M,NAME,C19101_001MA,C19101_001EA,C19101_002MA,C19101_002EA,C19101_003EA,C19101_003MA,C19101_004EA,C19101_004MA,C19101_005EA,C19101_005MA,C19101_006MA,C19101_006EA,C19101_007MA,C19101_007EA,C19101_008EA,C19101_008MA,C19101_009EA,C19101_009MA,C19101_010EA,C19101_010MA,C19101_011EA,C19101_011MA,state
0400000US45,1204041,11533,77906,4318,49467,4116,130909,5514,131328,5174,180415,6407,240695,6898,155699,5534,146692,6228,48964,3036,41966,3090,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,206668,3783,8133,1149,5034,814,16423,1843,19617,1945,32339,2598,45408,2349,35572,2319,28910,2261,7947,1155,7285,1186,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1641665,13839,94766,5009,69089,4837,168881,6827,181533,6624,251124,8554,334409,7856,218647,7362,196506,6835,64602,3701,62108,3332,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6239195,24705,332612,8415,244565,7914,595409,11712,618477,11997,844877,13642,1150212,15010,820110,16012,924062,12541,355362,9666,353509,7998,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,666661,6750,23745,2619,17293,2383,47755,2912,55396,3170,93968,4438,152062,5252,109076,4268,107540,4074,32494,2245,27332,2323,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,160878,3335,5220,1023,4344,956,10574,1345,12995,1312,24202,1747,34601,1953,26791,1833,27128,1725,7320,1030,7703,843,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2044422,13958,77443,4485,50820,3866,134590,5680,158534,4963,240946,7400,365522,9765,292891,7194,358033,7780,174711,5660,190932,4784,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1687786,13965,68974,4429,43489,3247,113058,5334,129771,5223,213781,6693,336864,7795,250596,6515,309119,7099,116266,4537,105868,4173,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,471536,7578,30014,2654,18966,1991,49912,3675,54738,2962,75562,3548,97771,4397,66941,3451,52032,3326,14126,1449,11474,1307,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1461573,10805,56751,3409,38493,3094,100656,4217,127077,4487,207640,5394,320491,5698,243421,6333,241588,4734,65957,3291,59499,3035,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,146745,3551,5633,969,3608,870,8651,1478,11757,1444,19807,1921,31120,2524,26539,2172,25606,2279,9291,1391,4733,1017,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,895380,12009,210921,6652,92149,4297,178236,6259,123179,5761,121943,5205,95914,5588,35882,2758,22934,2204,8621,1506,5601,1231,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,1233937,11653,82813,4214,56111,3579,129993,5137,131577,4804,179179,5421,237703,7276,167192,6503,159239,5271,50963,3009,39167,2779,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,166400,3894,4627,918,3300,729,9703,1256,11011,1635,16007,1605,32137,2581,27859,2447,34852,2500,15349,1643,11555,1286,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1560687,15808,88819,4331,57913,3837,143383,5504,164941,6626,232171,7958,308266,9480,203514,7168,222893,6744,74096,3752,64691,3293,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758601,8707,45440,3101,34180,2519,89253,4609,89439,4394,118441,4826,159432,5495,93778,3894,85249,3920,22425,2378,20964,2117,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
