GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001MA,B19082_001EA,B19082_002MA,B19082_002EA,B19082_003EA,B19082_003MA,B19082_004EA,B19082_004MA,B19082_005MA,B19082_005EA,B19082_006MA,B19082_006EA,state
0400000US18,3.70,0.07,9.43,0.09,15.40,0.12,23.67,0.18,47.81,0.35,20.09,0.43,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3.87,0.09,9.61,0.13,15.76,0.16,23.74,0.19,47.01,0.44,19.68,0.51,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3.77,0.09,9.26,0.12,15.05,0.17,23.12,0.25,48.79,0.49,21.31,0.64,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3.22,0.06,8.48,0.11,14.78,0.14,23.80,0.20,49.72,0.40,21.06,0.47,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2.96,0.06,7.90,0.12,14.18,0.19,23.50,0.24,51.45,0.50,22.29,0.60,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3.74,0.12,9.29,0.18,15.33,0.24,23.41,0.36,48.22,0.70,20.67,0.89,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3.41,0.06,9.29,0.10,15.39,0.12,23.77,0.15,48.14,0.32,19.99,0.38,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2.83,0.05,8.21,0.11,14.68,0.13,23.35,0.18,50.93,0.39,22.41,0.49,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3.32,0.05,8.82,0.07,14.90,0.09,23.38,0.11,49.58,0.26,21.28,0.31,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3.68,0.05,9.42,0.09,15.45,0.10,23.32,0.14,48.12,0.31,20.72,0.38,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,3.06,0.08,7.99,0.17,14.14,0.22,22.97,0.30,51.84,0.65,22.90,0.83,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3.45,0.06,8.87,0.10,14.86,0.12,23.22,0.17,49.60,0.36,21.41,0.45,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3.75,0.14,9.03,0.24,15.08,0.34,23.58,0.45,48.56,1.01,20.97,1.36,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,3.95,0.09,9.64,0.16,15.57,0.18,23.55,0.23,47.29,0.48,19.92,0.51,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,3.73,0.12,9.31,0.20,15.06,0.25,22.87,0.28,49.03,0.69,21.65,0.86,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3.90,0.16,9.70,0.25,15.80,0.27,23.80,0.30,46.80,0.68,19.15,0.71,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3.09,0.05,8.53,0.08,14.80,0.11,23.24,0.15,50.34,0.30,21.96,0.38,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,3.07,0.11,8.40,0.18,14.55,0.22,23.84,0.25,50.14,0.57,20.70,0.65,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2.74,0.03,7.77,0.07,13.93,0.10,22.54,0.13,53.01,0.28,24.45,0.34,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3.30,0.05,8.69,0.08,14.61,0.12,23.05,0.15,50.35,0.32,22.05,0.39,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3.61,0.20,9.14,0.26,14.83,0.35,22.74,0.43,49.68,0.98,22.73,1.19,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3.34,0.05,8.83,0.07,14.96,0.10,23.37,0.12,49.50,0.28,21.30,0.32,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3.43,0.07,8.80,0.14,14.79,0.17,23.11,0.23,49.87,0.53,22.06,0.71,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3.38,0.09,8.96,0.12,15.12,0.16,23.56,0.22,48.98,0.46,20.90,0.54,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3.41,0.04,8.74,0.06,14.81,0.07,23.17,0.09,49.86,0.19,21.81,0.25,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,3.03,0.14,8.56,0.24,15.09,0.32,23.99,0.34,49.33,0.77,20.56,0.92,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3.23,0.08,8.64,0.12,14.72,0.15,23.23,0.19,50.18,0.42,21.56,0.53,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,4.07,0.20,9.74,0.29,15.45,0.35,23.33,0.43,47.40,1.06,20.42,1.29,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3.32,0.07,8.60,0.11,14.47,0.14,22.81,0.17,50.80,0.40,22.63,0.48,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3.20,0.04,8.46,0.06,14.36,0.07,22.98,0.10,51.01,0.20,22.45,0.26,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,4.09,0.13,10.12,0.18,15.89,0.22,23.30,0.27,46.60,0.65,19.83,0.74,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3.84,0.14,9.52,0.22,15.51,0.32,23.39,0.41,47.74,0.87,20.66,1.08,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3.28,0.05,8.74,0.08,14.68,0.10,23.20,0.14,50.10,0.27,21.24,0.30,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3.50,0.07,9.27,0.10,15.24,0.12,23.42,0.15,48.57,0.34,20.56,0.41,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,3.33,0.12,8.57,0.20,14.88,0.25,23.79,0.29,49.43,0.69,21.21,0.78,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3.82,0.07,9.46,0.10,15.50,0.14,23.49,0.18,47.72,0.41,20.57,0.53,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,4.03,0.24,9.85,0.33,16.21,0.40,24.57,0.48,45.34,1.06,17.72,1.22,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1.57,0.10,7.13,0.18,13.28,0.22,22.81,0.35,55.22,0.73,24.93,0.97,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,3.07,0.06,8.35,0.11,14.64,0.15,23.72,0.19,50.23,0.38,21.20,0.43,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3.99,0.20,9.80,0.32,16.00,0.35,23.98,0.43,46.23,0.99,18.33,1.15,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3.39,0.06,8.96,0.10,14.82,0.15,23.23,0.19,49.60,0.38,21.36,0.47,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3.41,0.10,8.65,0.14,14.79,0.19,23.38,0.27,49.77,0.53,21.03,0.63,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
