GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002MA,B17025_002EA,B17025_003EA,B17025_003MA,B17025_004EA,B17025_004MA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009EA,B17025_009MA,B17025_010EA,B17025_010MA,B17025_011MA,B17025_011EA,B17025_012MA,B17025_012EA,B17025_013MA,B17025_013EA,B17025_014EA,B17025_014MA,B17025_015EA,B17025_015MA,state
0400000US45,4585454,2040,837770,22603,792305,22397,785721,22104,6584,1934,45465,4322,8108,1473,37357,4092,3747684,22644,3577393,22698,3535817,22373,41576,4084,170291,7666,72186,4659,98105,6718,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,804310,815,107846,5355,103671,5211,102948,5255,723,443,4175,1187,1011,553,3164,974,696464,5436,678746,5716,674706,5690,4040,960,17718,2346,7322,1479,10396,1709,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6295994,3016,1129330,27122,1056285,25330,1049190,25182,7095,1507,73045,6496,14554,2617,58491,5900,5166664,27433,4953748,26846,4909113,27076,44635,4303,212916,9351,88585,5315,124331,7550,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25450518,6257,4562352,58642,3551382,47269,3510083,47517,41299,4520,1010970,24693,180194,9537,830776,23380,20888166,58230,17691118,59961,17408773,58723,282345,12060,3197048,35770,1244896,22320,1952152,34414,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2806020,2814,360017,18926,298911,15955,294347,15776,4564,1302,61106,6495,11137,1917,49969,6246,2446003,19520,2269731,18001,2247934,17712,21797,2732,176272,7416,72542,5075,103730,6959,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,601611,741,71084,4549,68142,4518,67747,4521,395,289,2942,932,1174,403,1768,859,530527,4713,508699,4760,502960,5036,5739,930,21828,2358,13965,1765,7863,1352,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,7936903,2853,931805,22863,817253,20277,806251,20252,11002,2109,114552,9223,31278,4115,83274,7316,7005098,23278,6185419,24345,6061907,23261,123512,5959,819679,13918,418594,11032,401085,12351,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6761934,3299,915278,30419,758827,24931,743803,24353,15024,2575,156451,9703,52150,5001,104301,9034,5846656,30358,5098041,29749,4993989,30047,104052,4520,748615,17167,378182,11029,370433,13965,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1801131,2144,320055,13000,315922,13019,315051,13031,871,468,4133,1213,1426,595,2707,1030,1481076,13486,1460550,13525,1453488,13517,7062,1253,20526,2411,11107,1795,9419,1541,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5573134,3298,737356,16981,683802,16128,674774,15668,9028,2065,53554,5092,14227,2190,39327,4558,4835778,16909,4622250,18288,4588068,18046,34182,2848,213528,7872,99215,5169,114313,5301,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,561445,1473,71019,6087,68106,5884,67927,5862,179,142,2913,1112,422,355,2491,1000,490426,6166,474503,6077,469333,6165,5170,1433,15923,2281,6796,1377,9127,1918,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3633892,1704,1632533,27010,1594442,27031,75682,5033,1518760,25126,38091,4099,10901,1920,27190,3601,2001359,27179,1941614,27552,106693,5110,1834921,26156,59745,4283,29112,2811,30633,3154,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,4706978,2160,892564,20244,851522,19618,846858,19309,4664,1237,41042,4594,7027,1808,34015,4575,3814414,20462,3694193,19921,3662974,19334,31219,2927,120221,6004,48512,4154,71709,4655,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,715608,613,72400,5190,67590,5154,65860,5129,1730,902,4810,1419,1934,899,2876,1042,643208,5204,596325,6721,581879,6833,14446,1922,46883,4448,24951,2587,21932,3393,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6401273,3092,1194506,25758,973331,21062,962496,21321,10835,1923,221175,10573,49295,4073,171880,9367,5206767,25612,4571952,26236,4512578,26262,59374,4287,634815,14816,291451,8460,343364,11662,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2865098,2160,568065,16759,539073,16813,536584,16657,2489,952,28992,3523,3982,1268,25010,3240,2297033,16516,2199550,18098,2184227,18013,15323,2562,97483,5646,36744,4200,60739,5403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
