GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001MA,B16005A_001EA,B16005A_002MA,B16005A_002EA,B16005A_003MA,B16005A_003EA,B16005A_004MA,B16005A_004EA,B16005A_005EA,B16005A_005MA,B16005A_006MA,B16005A_006EA,B16005A_007MA,B16005A_007EA,B16005A_008MA,B16005A_008EA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,state
0400000US24,3237429,11318,2979045,10743,2838302,10678,140743,6011,121479,5849,19264,2474,258384,11373,67973,6099,190411,11547,93067,5565,97344,8758,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5066351,11196,4630184,12670,4294548,15615,335636,9788,271734,9727,63902,4935,436167,12033,103111,4535,333056,11565,168557,7271,164499,8055,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7431930,8037,7084783,11676,6789437,13740,295346,9691,245888,9110,49458,3595,347147,9866,88048,4147,259099,8807,120920,6123,138179,5741,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4332511,6020,4206439,8155,4067735,9410,138704,5056,113177,4161,25527,2347,126072,7169,31520,2970,94552,6907,43699,4287,50853,4759,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1669245,4277,1643388,4304,1612253,4558,31135,3325,24725,2341,6410,1863,25857,3100,7061,1465,18796,3023,7000,1713,11796,2327,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4696108,6224,4602018,7250,4493370,8767,108648,5985,88063,6023,20585,2190,94090,5879,26247,2967,67843,4994,33256,3296,34587,3628,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,847867,1783,836583,2376,817182,3047,19401,2348,15108,1916,4293,1089,11284,1645,6846,1266,4438,972,2994,689,1444,608,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1527144,4752,1467525,4285,1405207,4307,62318,4215,49549,4023,12769,1946,59619,3684,8194,1469,51425,3457,17179,1892,34246,3115,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1807966,11103,1551586,9540,1370113,9490,181473,9027,155598,8670,25875,3341,256380,9151,35313,3191,221067,8616,84289,5032,136778,6937,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1183047,2429,1142311,4048,1098504,5208,43807,3571,37349,3335,6458,1236,40736,3724,17245,2097,23491,3110,13172,2302,10319,2073,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5794034,18939,4963486,18385,4400286,18615,563200,15677,470669,14758,92531,5676,830548,18471,118125,5601,712423,17840,294468,10038,417955,12001,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1407340,11931,1289155,13234,998026,13177,291129,10813,255697,10227,35432,3433,118185,7111,13943,1938,104242,6688,40230,3646,64012,5241,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12095344,29080,10520998,23573,9347231,25490,1173767,21989,944716,21040,229051,7371,1574346,24743,292425,10124,1281921,24804,550737,14828,731184,17113,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6442352,15265,6072494,12215,5823427,12030,249067,11603,198109,11087,50958,4662,369858,13056,68476,4349,301382,11832,110840,6183,190542,9318,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,588179,1029,580059,2126,561194,2338,18865,1642,15190,1519,3675,766,8120,1968,2884,639,5236,1881,3353,1707,1883,703,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9026729,6520,8818871,9765,8540631,13171,278240,9087,211117,7819,67123,4971,207858,8508,58206,3781,149652,7788,74632,5034,75020,5138,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2639448,7414,2532589,6023,2441208,6041,91381,4259,74699,3789,16682,1812,106859,6095,17171,1838,89688,5703,32055,3228,57633,3969,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3143482,10066,2959591,9855,2808468,10654,151123,7737,124726,7059,26397,3819,183891,8321,44028,3840,139863,7938,59429,4293,80434,6343,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9929284,11624,9605690,15672,9171108,16225,434582,13886,330316,11750,104266,5750,323594,10795,84778,5290,238816,10175,110625,5709,128191,7567,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,817471,5866,754402,6431,697388,6023,57014,4214,47053,3886,9961,1689,63069,5950,13522,1950,49547,5120,22753,3060,26794,3490,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2993929,6692,2873620,6400,2789705,7118,83915,5258,68902,4917,15013,1947,120309,6452,30696,3162,89613,5732,41752,3630,47861,4561,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,667357,2236,659436,2121,644483,2695,14953,1597,11999,1480,2954,790,7921,1783,2484,762,5437,1522,2085,845,3352,1164,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4757283,8909,4614192,8186,4503217,8971,110975,7421,92937,6775,18038,2495,143091,7554,31243,3116,111848,7350,50048,4556,61800,4993,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,18148011,44721,15515966,42330,11861030,35989,3654936,36968,2949078,30740,705858,16188,2632045,35927,202166,11062,2429879,36191,772265,19459,1657614,32056,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2297567,8799,2174039,8652,2054587,8670,119452,6577,104617,6289,14835,1702,123528,7443,25804,2843,97724,7068,41796,3673,55928,5265,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,567468,700,551295,1905,536573,2635,14722,1367,12705,1301,2017,542,16173,1874,7935,1163,8238,1533,6245,1304,1993,620,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5348277,11358,4976263,10926,4754804,12223,221459,8452,190813,8037,30646,2878,372014,13064,76720,4575,295294,11866,148039,7763,147255,9744,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5098608,11681,4709868,13952,4439905,15145,269963,10103,229592,9008,40371,3682,388740,12946,96885,4938,291855,12561,136033,6892,155822,9317,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1645019,2129,1632572,2516,1610406,3679,22166,2539,16370,1962,5796,1521,12447,2011,5499,1112,6948,1626,4772,1344,2176,823,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4694173,7636,4562929,7228,4389665,8529,173264,7381,136451,5759,36813,3560,131244,6962,30634,2600,100610,6760,43810,4357,56800,4409,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,490817,2812,478614,3425,460535,4062,18079,2620,14798,2162,3281,1303,12203,2044,3347,1220,8856,1656,4464,1051,4392,1264,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2391805,22442,2348560,22982,142934,7857,2205626,23708,374522,12724,1831104,21995,43245,3530,2574,743,40671,3464,6287,1132,34384,3283,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,3146408,6198,3073697,5837,3005342,6122,68355,5274,53138,4957,15217,2342,72711,6074,19999,3261,52712,4753,17248,2027,35464,4352,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,457047,1856,440588,2928,420427,3814,20161,2549,18160,2533,2001,581,16459,2513,5126,1065,11333,2199,5838,1375,5495,1634,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4851356,16025,4288918,19007,3700665,20040,588253,15504,513018,14627,75235,4698,562438,13859,101031,6089,461407,13104,174506,8052,286901,10266,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2172733,5082,2103193,4787,2050125,5900,53068,4667,42588,4121,10480,1817,69540,4653,15229,2523,54311,4280,18973,2705,35338,3705,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
