GEO_ID,C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,NAME,C17010G_001MA,C17010G_001EA,C17010G_002MA,C17010G_002EA,C17010G_003EA,C17010G_003MA,C17010G_004EA,C17010G_004MA,C17010G_005EA,C17010G_005MA,C17010G_006MA,C17010G_006EA,C17010G_007MA,C17010G_007EA,C17010G_008EA,C17010G_008MA,C17010G_009EA,C17010G_009MA,C17010G_010EA,C17010G_010MA,C17010G_011EA,C17010G_011MA,C17010G_012MA,C17010G_012EA,C17010G_013MA,C17010G_013EA,C17010G_014EA,C17010G_014MA,C17010G_015EA,C17010G_015MA,C17010G_016EA,C17010G_016MA,C17010G_017MA,C17010G_017EA,state
0400000US18,16198,1614,4164,1061,830,427,375,242,3334,902,425,251,371,247,2909,849,2743,859,12034,1389,8631,1248,3940,966,3403,724,828,372,514,292,2575,733,1897,696,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7780,1499,1667,647,422,246,165,111,1245,581,244,242,59,81,1001,509,974,494,6113,1301,4226,1140,2311,809,1887,542,725,340,515,294,1162,427,786,375,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12894,1708,2146,682,396,197,347,189,1750,656,775,461,547,389,975,411,975,411,10748,1516,7512,1445,3575,820,3236,900,877,432,518,335,2359,786,1928,723,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,13603,1601,3805,911,830,403,500,339,2975,810,203,185,122,117,2772,793,2374,711,9798,1380,6147,1105,2727,719,3651,923,1442,631,658,439,2209,791,1240,648,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,12032,1509,2381,806,891,469,492,318,1490,587,311,280,246,236,1179,503,1123,493,9651,1378,5757,1051,2869,869,3894,994,1415,636,764,551,2479,701,1662,567,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3754,730,602,276,60,56,44,50,542,275,125,118,125,118,417,262,417,262,3152,733,2245,635,956,353,907,457,38,48,13,27,869,453,476,370,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,27450,2730,2058,679,604,323,384,262,1454,582,112,133,112,133,1342,579,1182,559,25392,2710,16460,2061,8892,1308,8932,1527,2802,793,1653,658,6130,1279,4003,1048,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,27992,2770,5715,1251,1335,630,693,537,4380,1098,786,617,655,628,3594,904,3279,916,22277,2427,14173,1992,7739,1416,8104,1313,1955,611,968,442,6149,1134,3895,1056,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,33605,2278,8193,1299,2524,660,1916,629,5669,1091,771,392,490,284,4898,1010,4259,994,25412,2073,16732,1670,8237,1115,8680,1417,2292,651,1204,520,6388,1340,3781,988,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,15871,1874,2917,670,933,397,793,372,1984,494,362,213,254,186,1622,449,1553,450,12954,1742,8197,1320,4503,911,4757,1149,1714,741,1040,542,3043,823,2469,775,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
