GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001EA,C15010I_001MA,C15010I_002MA,C15010I_002EA,C15010I_003MA,C15010I_003EA,C15010I_004EA,C15010I_004MA,C15010I_005EA,C15010I_005MA,C15010I_006EA,C15010I_006MA,state
0400000US24,61274,4095,24510,2790,5631,1331,13380,2025,6492,1594,11261,1638,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,58989,4114,25246,2522,4212,973,11792,2115,5581,1247,12158,1592,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,37224,3217,13104,1729,3755,1000,7156,1300,4575,1118,8634,1481,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,23071,2283,8694,1678,1925,830,3733,867,2301,711,6418,1136,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,4921,1078,1941,779,391,276,1014,446,1098,652,477,325,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,19832,2377,6593,1305,1754,765,5626,1286,2163,646,3696,912,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,2667,753,880,428,366,314,495,283,244,206,682,372,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,8518,1452,2276,574,904,336,1727,611,1246,569,2365,756,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,32846,3094,9689,1469,3627,1074,8173,1652,4654,1130,6703,1249,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4573,931,1985,613,535,344,786,377,439,349,828,410,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,156034,6631,51113,3761,14068,1877,41191,3608,18358,2164,31304,3292,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,80283,5185,23560,2260,7625,1619,18041,2267,16641,1999,14416,1950,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,345287,8440,110259,5497,33160,2950,77380,5034,38532,3423,85956,5038,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,47388,3423,16658,1817,3485,888,13254,1896,5446,1156,8545,1436,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1486,515,525,290,14,35,207,158,50,63,690,391,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,31589,2643,11424,1766,3229,792,6912,1287,3674,1039,6350,1342,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,15246,1949,4828,985,1285,478,3285,864,1972,490,3876,1026,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,28957,3180,11649,2005,3192,1106,5840,1402,2345,795,5931,1145,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,54823,4044,21735,2935,4434,956,9654,1664,7049,1317,11951,1691,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,8205,1762,2806,913,393,247,1509,723,1170,574,2327,862,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,22480,2874,8376,1865,2365,867,6753,1795,1759,580,3227,1111,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,1324,502,682,377,229,207,169,165,76,89,168,157,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,21214,2874,8153,1852,1618,749,3648,1090,2910,1073,4885,1125,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,647411,15197,205072,8998,51299,4009,154423,7937,103059,5528,133558,6064,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,24653,2351,8333,1310,1874,731,5640,1359,2784,859,6022,1266,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,1678,441,722,365,15,22,217,191,277,320,447,188,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,90285,4891,38894,3582,5833,1430,21683,2471,6710,1426,17165,2581,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,51384,3851,21950,2679,3793,1066,8501,1565,4451,926,12689,2205,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,2989,699,1104,511,408,426,583,359,449,310,445,354,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,19120,2083,7600,1278,1009,406,3999,1219,1774,505,4738,1094,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3209,834,1589,729,234,234,606,534,413,275,367,245,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,579065,10456,145689,6403,54192,3097,187766,6143,118106,5082,73312,4220,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,12889,1762,5184,1159,876,475,2697,920,1574,581,2558,777,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5043,1089,1201,453,807,523,932,436,1016,701,1087,575,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,118947,5661,36016,3366,10226,1842,31972,3198,18061,2130,22672,2528,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8065,1764,2136,812,458,314,1746,567,1127,682,2598,909,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
