GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001EA,B08503_001MA,B08503_002EA,B08503_002MA,B08503_003MA,B08503_003EA,B08503_004EA,B08503_004MA,B08503_005MA,B08503_005EA,B08503_006EA,B08503_006MA,B08503_007EA,B08503_007MA,state
0400000US34,44.0,0.2,44.8,0.2,40.1,0.7,39.2,0.9,36.5,1.5,35.6,1.7,48.0,0.6,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,42.4,0.3,42.6,0.4,38.3,1.4,37.8,5.3,38.0,4.5,36.1,2.8,52.8,0.9,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,42.6,0.2,45.0,0.2,41.3,0.4,38.9,0.2,36.1,0.6,40.9,0.8,47.7,0.6,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,42.1,0.2,42.6,0.2,38.4,0.5,34.6,1.8,30.1,2.0,39.1,2.6,46.5,0.7,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,41.1,0.5,41.5,0.6,36.8,1.6,33.4,6.7,37.2,4.6,39.7,5.5,47.3,2.1,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,43.0,0.1,43.5,0.2,38.7,0.6,38.5,1.4,28.3,1.2,40.0,1.5,48.8,0.7,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,41.0,0.3,41.6,0.3,37.7,0.6,31.2,6.1,30.0,1.7,38.7,1.7,47.1,1.6,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,42.3,0.2,43.5,0.3,38.8,1.1,34.5,1.1,30.4,1.0,36.3,1.6,48.0,0.8,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,43.7,0.1,44.7,0.2,39.9,0.5,39.0,0.9,32.1,1.0,35.8,1.5,48.1,0.5,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,43.6,0.4,44.6,0.4,37.5,2.6,35.7,4.7,23.4,1.6,34.4,5.4,48.0,1.9,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,41.7,0.2,42.3,0.2,38.0,0.9,37.2,4.6,25.9,1.4,39.4,3.1,47.0,1.2,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,42.5,0.4,42.5,0.5,38.3,1.6,51.2,6.9,38.5,7.6,33.7,3.3,51.2,2.5,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,42.1,0.2,42.4,0.2,37.8,0.7,45.8,2.1,33.6,3.6,40.9,2.4,47.4,0.8,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,40.7,0.1,41.0,0.2,37.7,0.3,39.3,1.2,32.3,1.3,37.9,1.2,46.9,0.5,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,37.3,0.3,37.5,0.3,35.6,0.7,34.3,1.6,27.0,1.7,34.5,1.8,44.6,1.1,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,45.2,0.3,46.1,0.5,40.8,1.4,33.0,8.8,31.2,2.5,33.2,10.8,51.5,1.4,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,42.3,0.1,42.9,0.2,39.3,0.7,37.4,1.3,28.3,1.0,38.4,2.2,45.5,1.1,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,41.9,0.2,42.6,0.2,39.2,0.7,37.4,0.7,32.5,1.3,41.4,0.9,47.3,0.8,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,43.0,0.3,43.6,0.4,40.4,0.9,35.4,6.8,32.8,3.7,36.8,6.0,48.9,2.1,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,42.7,0.2,43.5,0.2,38.6,0.9,32.3,1.2,30.4,1.4,38.5,1.4,47.5,0.6,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,42.3,0.4,42.7,0.5,38.1,1.5,34.4,3.4,41.3,5.3,36.7,8.8,50.4,2.5,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,40.6,0.2,40.2,0.3,41.9,1.0,42.4,2.7,45.5,2.2,41.2,4.1,46.3,2.5,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,42.0,0.2,42.3,0.2,39.0,1.0,40.6,6.9,34.6,2.9,41.8,3.1,46.8,1.4,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41.1,0.5,41.2,0.6,37.4,2.9,36.9,5.4,40.6,2.2,43.2,2.2,47.1,2.8,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,41.2,0.2,41.4,0.2,38.6,0.6,37.6,2.2,31.7,1.7,36.7,1.2,48.3,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42.1,0.3,42.3,0.3,38.2,1.3,46.2,7.0,34.5,4.3,42.1,3.3,47.8,1.5,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
