GEO_ID,C01001C_001E,C01001C_001M,C01001C_002E,C01001C_002M,C01001C_003E,C01001C_003M,C01001C_004E,C01001C_004M,C01001C_005E,C01001C_005M,C01001C_006E,C01001C_006M,C01001C_007E,C01001C_007M,C01001C_008E,C01001C_008M,C01001C_009E,C01001C_009M,NAME,C01001C_001EA,C01001C_001MA,C01001C_002MA,C01001C_002EA,C01001C_003MA,C01001C_003EA,C01001C_004EA,C01001C_004MA,C01001C_005EA,C01001C_005MA,C01001C_006EA,C01001C_006MA,C01001C_007EA,C01001C_007MA,C01001C_008MA,C01001C_008EA,C01001C_009MA,C01001C_009EA,state
0400000US49,31448,2746,16399,1849,4720,933,10611,1242,1068,438,15049,1483,3683,695,10492,1210,874,321,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2165,670,1218,504,186,210,759,346,273,286,947,448,104,125,622,392,221,189,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,23022,3007,11481,2282,2010,609,8247,1974,1224,429,11541,1632,2098,777,8548,1354,895,391,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,95015,4437,45466,2347,13689,1560,29270,1990,2507,550,49549,3301,12942,1585,32404,2279,4203,650,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,2636,836,1139,478,45,71,1008,454,86,85,1497,551,315,278,1057,463,125,138,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,52161,2611,25909,1836,7513,943,16751,1475,1645,357,26252,1487,7434,897,16665,979,2153,437,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,12375,1899,6342,1207,1970,544,4131,793,241,126,6033,880,1639,356,3989,677,405,129,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,13043,3101,5685,1418,1606,774,3564,961,515,289,7358,2130,1528,839,5556,1576,274,163,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,24136,2598,11213,1579,2283,557,7902,1330,1028,411,12923,1780,2653,709,8899,1484,1371,562,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,102582,3525,52078,2275,17622,1340,31302,1625,3154,401,50504,1931,15021,1058,30942,1239,4541,444,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,289883,5051,143525,3292,44438,1943,90130,2083,8957,635,146358,2949,46043,1933,88046,2170,12269,643,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17485,2017,8008,1416,1420,555,6079,1233,509,280,9477,1260,1936,473,6630,1033,911,478,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
