GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001MA,B16005I_001EA,B16005I_002MA,B16005I_002EA,B16005I_003MA,B16005I_003EA,B16005I_004MA,B16005I_004EA,B16005I_005EA,B16005I_005MA,B16005I_006MA,B16005I_006EA,B16005I_007MA,B16005I_007EA,B16005I_008EA,B16005I_008MA,B16005I_009MA,B16005I_009EA,B16005I_010EA,B16005I_010MA,B16005I_011MA,B16005I_011EA,state
0400000US48,8973008,1982,6004537,33396,2028618,32310,3975919,31696,3170565,29987,805354,16058,2968471,33571,92039,7062,2876432,33732,823615,18866,2052817,29131,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,332776,802,196476,6639,105963,7177,90513,5275,78867,5265,11646,1675,136300,6659,7128,1626,129172,6895,47122,4344,82050,5875,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9223,409,6857,566,4552,635,2305,501,2037,476,268,246,2366,523,581,356,1785,499,1106,457,679,328,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,615603,2969,309388,8834,146085,8019,163303,8159,141754,7448,21549,2887,306215,8135,16905,2786,289310,8160,114660,7352,174650,10011,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,711674,846,433690,8762,207505,9366,226185,6993,187229,6417,38956,3751,277984,8677,11449,2301,266535,8379,88360,4958,178175,7815,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,19479,1598,14970,1736,10273,1755,4697,1035,3664,994,1033,533,4509,1113,965,513,3544,1069,1444,632,2100,743,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,311399,1347,202051,5305,100887,5146,101164,4447,78220,4292,22944,3020,109348,5073,6510,1678,102838,5254,35108,3613,67730,4228,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,49185,978,40164,1807,26190,2175,13974,1905,12378,1918,1596,678,9021,1432,563,318,8458,1479,3531,895,4927,1179,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3423298,3814,3330944,7136,173782,8999,3157162,11836,501453,14633,2655709,16629,92354,5762,3638,855,88716,5670,7810,1250,80906,5303,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,158606,3308,82192,4847,38475,3882,43717,4063,31117,3459,12600,2169,76414,4115,7381,2026,69033,4279,17288,3067,51745,3990,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39067,645,30506,1920,21126,2358,9380,1630,8534,1545,846,379,8561,1736,330,275,8231,1776,3001,1083,5230,1496,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1779373,518,1220279,13287,556309,17584,663970,15576,577017,13980,86953,5543,559094,13249,23698,2745,535396,13797,179818,8789,355578,11515,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,174114,1458,93463,3992,48667,4280,44796,3389,35416,3336,9380,1638,80651,3768,7027,1969,73624,4197,22613,3078,51011,3407,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
