GEO_ID,C12002D_001E,C12002D_001M,C12002D_002E,C12002D_002M,C12002D_003E,C12002D_003M,C12002D_004E,C12002D_004M,C12002D_005E,C12002D_005M,C12002D_006E,C12002D_006M,NAME,C12002D_001EA,C12002D_001MA,C12002D_002EA,C12002D_002MA,C12002D_003EA,C12002D_003MA,C12002D_004MA,C12002D_004EA,C12002D_005EA,C12002D_005MA,C12002D_006EA,C12002D_006MA,state
0400000US37,179794,3496,53805,3285,110193,4078,1060,578,5534,1051,9202,1794,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5579,705,2521,728,2766,649,31,73,18,30,243,222,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,163037,2755,50789,2675,98797,3457,1205,467,4150,890,8096,1284,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,56955,1704,19414,1725,31607,1856,773,360,2395,601,2766,690,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,124129,2931,41856,3100,67545,2565,1630,624,5199,1145,7899,1364,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,298760,3553,103291,4018,170440,4461,3181,808,11062,1442,10786,1763,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,27297,1251,12413,1583,12605,1571,343,299,1022,398,914,589,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,48612,2081,13423,1800,29460,1949,717,429,2404,741,2608,774,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,7811,1224,3553,847,3719,895,83,117,204,186,252,242,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,76438,2250,22012,1663,46916,2726,741,437,2906,813,3863,1177,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,838006,5442,238048,6445,525285,7657,9338,2011,26280,2640,39055,3953,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,50064,1836,15482,1607,29175,2188,898,462,2203,469,2306,752,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,6549,702,1975,486,3646,582,163,178,216,124,549,314,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,377479,4754,107569,4815,232030,4753,5287,1279,14031,1503,18562,2023,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,424341,5061,132058,5268,236456,6213,5741,1333,20152,2151,29934,2602,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,9916,1041,3495,956,5619,972,11,19,164,172,627,319,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,100984,2258,37536,2520,53152,2662,1117,560,3275,835,5904,1358,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,4317,885,1197,589,2471,582,286,311,184,310,179,133,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,11531,2369,4959,1579,3470,1313,560,416,516,430,2026,789,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,46688,2221,12600,1885,30043,2447,440,376,1646,547,1959,714,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33847,1346,12574,1688,15459,1697,735,364,2058,618,3021,901,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,155870,2811,47820,3021,91640,3745,1228,663,6582,992,8600,1493,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30798,1572,10695,1444,16749,1547,309,236,1022,506,2023,677,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
