C08412_005E,C08412_005M,C08412_006E,C08412_006M,C08412_007E,C08412_007M,C08412_008E,C08412_008M,C08412_009E,C08412_009M,C08412_010E,C08412_010M,C08412_011E,C08412_011M,C08412_012E,C08412_012M,C08412_013E,C08412_013M,C08412_014E,C08412_014M,C08412_015E,C08412_015M,C08412_016E,C08412_016M,C08412_017E,C08412_017M,C08412_018E,C08412_018M,C08412_019E,C08412_019M,C08412_020E,C08412_020M,C08412_021E,C08412_021M,C08412_022E,C08412_022M,C08412_023E,C08412_023M,C08412_024E,C08412_024M,C08412_025E,C08412_025M,C08412_026E,C08412_026M,C08412_027E,C08412_027M,C08412_028E,C08412_028M,C08412_029E,C08412_029M,C08412_030E,C08412_030M,GEO_ID,C08412_001E,C08412_001M,C08412_002E,C08412_002M,C08412_003E,C08412_003M,C08412_004E,C08412_004M,C08412_005EA,C08412_005MA,C08412_006MA,C08412_006EA,C08412_007MA,C08412_007EA,C08412_008EA,C08412_008MA,C08412_009EA,C08412_009MA,C08412_010EA,C08412_010MA,C08412_011EA,C08412_011MA,C08412_012EA,C08412_012MA,C08412_013MA,C08412_013EA,C08412_014EA,C08412_014MA,C08412_015EA,C08412_015MA,C08412_016EA,C08412_016MA,C08412_017EA,C08412_017MA,C08412_018MA,C08412_018EA,C08412_019MA,C08412_019EA,C08412_020EA,C08412_020MA,C08412_021EA,C08412_021MA,C08412_022MA,C08412_022EA,C08412_023EA,C08412_023MA,C08412_024MA,C08412_024EA,C08412_025EA,C08412_025MA,C08412_026EA,C08412_026MA,C08412_027MA,C08412_027EA,C08412_028EA,C08412_028MA,C08412_029MA,C08412_029EA,C08412_030MA,C08412_030EA,NAME,C08412_001MA,C08412_001EA,C08412_002MA,C08412_002EA,C08412_003EA,C08412_003MA,C08412_004EA,C08412_004MA,state
441293,9569,186429,7155,334847,8559,168222,5713,174659,7053,147673,5692,1482096,12138,216722,6636,216197,7461,232196,7907,230468,6543,99478,5496,187825,5786,94009,4373,105813,5060,99388,4251,1327059,11343,226321,6258,230836,7564,233760,7123,210825,6652,86951,4372,147022,5469,74213,4324,68846,4005,48285,3327,0400000US18,2809155,16730,443043,8879,447033,11211,465956,11553,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,18
202693,6217,80806,4026,128834,5848,59683,2968,56455,3006,51693,2777,769087,7423,186914,5343,140831,5235,126063,4906,108701,4229,41242,2892,66152,3608,31298,2355,33910,2370,33976,2443,693361,7053,179078,5477,131908,4568,117490,4782,93992,4246,39564,2530,62682,3629,28385,2271,22545,1557,17717,1609,0400000US19,1462448,10661,365992,8134,272739,7132,243553,7085,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,19
197173,7634,76976,3845,135942,5762,55151,3865,53268,3421,41752,3074,721245,6378,154156,5260,126011,4497,124385,4744,106279,4509,41599,3344,80435,3949,29811,2644,31441,2896,27128,2470,619903,7854,145008,5111,120349,4430,110977,4247,90894,5121,35377,2210,55507,3287,25340,2470,21827,2241,14624,1645,0400000US20,1341148,10828,299164,8277,246360,6987,235362,6589,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,20
279050,6615,117143,5100,218295,7176,98019,4720,112067,4530,94447,4895,948550,10634,141357,6226,138410,5409,159235,5849,145835,5804,59299,3792,119582,5234,54601,3390,66560,3738,63671,3789,860753,9276,141604,5660,148027,6174,161649,5753,133215,4219,57844,2961,98713,4781,43418,2982,45507,2872,30776,2586,0400000US21,1809303,14639,282961,8580,286437,8623,320884,8970,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,21
283788,9323,101673,5263,256962,9057,92656,4911,131886,6261,158982,6676,1017166,9175,140727,6305,145907,6289,155942,6430,144325,6470,50234,3573,140468,6187,48988,3531,78215,4853,112360,5743,913318,9037,151474,6208,152442,6430,158045,5270,139463,6479,51439,3723,116494,5452,43668,3034,53671,4067,46622,3505,0400000US22,1930484,13539,292201,9074,298349,8598,313987,7951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,22
81407,4527,35143,2746,66716,3489,38593,3084,36305,2188,34803,2479,298286,4499,58486,3397,43773,2679,41327,2823,42026,2860,15453,1547,33180,2577,21855,2271,20067,1738,22119,1978,286686,5204,58275,3232,48173,2784,41971,2853,39381,2643,19690,2174,33536,2575,16738,1681,16238,1573,12684,1599,0400000US23,584972,7071,116761,4745,91946,4394,83298,4133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,23
367825,8927,158251,6647,402768,9362,212709,6768,257579,8018,299611,9327,1301913,11414,100127,4787,127339,4576,168817,7493,188076,7657,77661,4220,212702,6530,115330,5117,137077,5644,174784,6816,1228855,12144,120068,5314,137829,5871,177845,6042,179749,5660,80590,4537,190066,6204,97379,4480,120502,5399,124827,5698,0400000US24,2530768,16663,220195,7516,265168,7264,346662,10366,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,24
412757,10016,177407,6086,466112,11568,258739,8399,319487,9070,380271,9356,1635801,13394,168476,7445,188817,6714,200539,6493,204040,6228,87905,4298,239774,7851,147750,6394,176675,5933,221825,7719,1567176,12429,192946,6191,214531,6734,222895,6815,208717,6800,89502,4380,226338,7683,110989,4983,142812,6358,158446,4968,0400000US25,3202977,20460,361422,10064,403348,9907,423434,9286,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,25
615559,11116,269384,8327,503194,9945,270925,6910,276660,7716,228948,6877,2061807,11832,275760,6863,288852,6679,320461,7347,308709,8152,138005,5213,269182,6949,153861,5568,160439,5628,146538,5230,1930319,13393,298324,6959,316173,7643,327886,7832,306850,7277,131379,5074,234012,6591,117064,4124,116221,4578,82410,4004,0400000US26,3992126,17754,574084,10384,605025,11300,648347,10706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,26
397193,7648,186073,5655,323609,6780,163723,5497,164305,5324,144568,5071,1363282,10101,211606,5591,198971,6265,202455,5032,204471,5430,98861,4539,175825,5102,91693,4149,90681,4020,88719,3918,1245272,9396,219737,6118,197924,5026,198390,5376,192722,5579,87212,3554,147784,4990,72030,3755,73624,4017,55849,3022,0400000US27,2608554,14629,431343,8821,396895,7906,400845,8053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,27
164024,6820,61687,4572,152327,6256,54314,3942,62030,4052,63640,4282,570114,9401,89872,4613,83296,5356,89385,4950,85848,5392,32582,3309,81565,4173,29764,3093,35958,2733,41844,3263,531959,7368,93442,4884,92637,4484,95419,5045,78176,3835,29105,3084,70762,4591,24550,2095,26072,2696,21796,2599,0400000US28,1102073,11724,183314,6425,175933,7789,184804,7627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,28
400079,9555,178300,6182,355222,9729,174546,6571,168600,7270,139134,5189,1361920,13525,208689,7476,185434,7148,213100,6082,201537,7058,89234,4580,186746,5957,97964,4725,95111,5352,84105,4051,1293283,12369,219436,7362,196914,5901,215749,6753,198542,5912,89066,4236,168476,6870,76582,4183,73489,4062,55029,3475,0400000US29,2655203,18856,428125,10809,382348,10535,428849,10129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,29
53686,3596,14669,1529,29123,2257,11517,1308,13026,1402,18941,1801,232163,4407,58261,3346,50955,3630,43493,2861,28429,2722,6954,1153,16140,1523,6295,1029,7743,1159,13893,1588,207944,4088,58548,2975,48177,3071,39711,2584,25257,2338,7715,1109,12983,1449,5222,808,5283,967,5048,1012,0400000US30,440107,5993,116809,4424,99132,4309,83204,3424,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,30
140814,4333,51655,3110,81447,3442,28874,2367,28854,2674,28509,2493,486358,5161,112952,4088,92433,3588,84146,3489,73648,3108,26663,1999,45523,2746,16231,1913,16756,1957,18006,1884,426907,5337,103208,3454,84720,3415,75653,3843,67166,2695,24992,1978,35924,2154,12643,1206,12098,1584,10503,1307,0400000US31,913265,7515,216160,5653,177153,5230,159799,4968,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,31
225362,8281,93327,5085,193082,7832,57556,4140,50034,3374,65162,3967,636661,6552,66244,3735,81056,4315,111839,4942,123939,6544,50150,4152,104598,5917,29490,2812,28256,2661,41089,3064,546034,7367,64500,3914,74673,4985,99860,4821,101423,4997,43177,2955,88484,4682,28066,2472,21778,2513,24073,2609,0400000US32,1182695,10553,130744,5186,155729,6949,211699,6663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,32
85669,4086,45272,3137,74833,3789,42081,2590,42184,2874,35582,2658,308721,5707,44585,3287,44353,3350,45288,2772,39671,2676,24960,2317,38754,3010,22429,1938,25493,2163,23188,2179,295313,5379,45474,3189,53261,2961,45452,3350,45998,3001,20312,2009,36079,2389,19652,1841,16691,2007,12394,1302,0400000US33,604034,7040,90059,5105,97614,4690,90740,4477,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,33
515615,12582,228069,8404,502419,11277,277794,8632,336744,9197,404233,10289,1919976,15964,192483,7459,230670,7807,241742,5941,261272,8642,114006,5540,265259,7972,153431,6095,200483,6961,260630,7703,1756681,14942,219150,6414,261312,7033,266426,8131,254343,7730,114063,5913,237160,7485,124363,5842,136261,5681,143603,5793,0400000US34,3676657,23194,411633,10413,491982,11354,508168,9729,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,34
125805,5398,44231,3285,93790,5705,31468,3021,41041,3348,45556,3013,440153,7480,69164,4499,70750,4573,85269,4905,66269,4331,21456,2089,53059,4155,18379,2117,23923,2745,31884,2693,384588,6698,73744,4000,72856,3495,71067,3844,59536,3791,22775,2525,40731,3214,13089,1748,17118,2148,13672,1804,0400000US35,824741,11047,142908,6510,143606,5678,156336,5875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,35
1099902,20059,454472,10746,1244474,18925,682733,14765,929641,15610,1624838,19426,4649449,22050,433518,10216,466325,10887,508903,9857,561663,13302,233961,7016,648762,13031,364271,11053,509863,11115,922183,14403,4255945,18536,449576,10111,489814,10237,521198,8635,538239,13380,220511,7651,595712,13020,318462,8328,419778,8975,702655,12774,0400000US36,8905394,29164,883094,16672,956139,13933,1030101,13415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,36
647146,13503,274839,8653,522503,12326,249490,8279,264067,9011,226942,8626,2125213,14383,271426,7470,306853,8977,356254,10094,325514,9315,138254,6014,287370,7925,136214,6578,151820,6191,151508,7701,1947971,15039,265969,8448,320579,7753,367116,9246,321632,8359,136585,6996,235133,7218,113276,5381,112247,5269,75434,4223,0400000US37,4073184,22885,537395,13202,627432,11258,723370,14872,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,37
35793,2662,13688,2113,25507,2142,8624,1214,12279,1502,23366,1858,224403,4853,64874,2942,44911,3402,40562,3153,19950,2076,7103,1341,15448,1622,5221,1001,8437,1212,17897,1625,170865,3509,52947,2814,40062,2552,32655,2012,15843,1528,6585,1369,10059,1479,3403,594,3842,654,5469,930,0400000US38,395268,6418,117821,4449,84973,4411,73217,4176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,38
823219,13829,384424,9782,628402,11453,322478,9358,290207,7218,251663,7565,2599229,16405,356572,9325,374469,10012,401142,8881,421210,8652,195330,6644,342235,7915,180410,6656,167908,5554,159953,5969,2415594,17139,385301,8591,397824,10168,399122,8835,402009,9131,189094,6462,286167,8707,142068,5742,122299,4117,91710,4200,0400000US39,5014823,22130,741873,11975,772293,14273,800264,11736,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,39
257453,6385,95757,4783,193206,6570,66559,3742,71928,4064,72501,3597,878865,7291,160488,5482,141998,5339,144013,5308,139587,4322,52153,3153,110074,4664,37217,2410,43176,2903,50159,3046,737642,7658,144711,4510,139078,5205,128815,4093,117866,4328,43604,2996,83132,3764,29342,2196,28752,2345,22342,1790,0400000US40,1616507,9905,305199,7426,281076,7662,272828,6156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,40
243782,9110,99787,4808,198438,7200,96275,5345,107708,5743,93079,4530,875639,10643,133747,6359,133067,6182,136666,5701,132174,6409,55219,3222,106781,5603,56510,4272,64349,4079,57126,3459,764621,8512,137184,6423,134906,6023,125621,5544,111608,5331,44568,3391,91657,4830,39765,3121,43359,3696,35953,3050,0400000US41,1640260,13185,270931,9697,267973,9001,262287,8461,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,41
810430,13465,347277,8172,707983,12515,377551,8265,456833,9309,439853,9904,2877692,15491,370601,8070,381691,9400,406442,9050,418443,10353,181440,5350,380630,9079,211534,6225,257350,6412,269561,6993,2649582,17906,396093,8004,417186,8086,415334,9493,391987,8991,165837,5496,327353,7390,166017,5508,199483,6702,170292,5832,0400000US42,5527274,22043,766694,11260,798877,11875,821776,12595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,42
76191,3909,29497,3049,55269,3202,28356,2792,32628,3600,22427,2397,228114,5559,28491,2747,32285,2580,36942,2836,38798,3038,14835,2086,28347,2154,14698,1560,19407,2388,14311,1987,232738,5573,33939,2640,41501,2961,43326,2957,37393,2801,14662,1927,26922,2190,13658,1965,13221,2133,8116,1361,0400000US44,460852,7962,62430,3847,73786,4243,80268,3678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,44
322398,10332,122039,6064,261398,8093,105813,5074,119650,5434,94554,5232,975101,12247,126437,5704,140891,5969,162318,6905,161595,6752,62029,4019,137244,5621,56745,3770,68353,4096,59489,4182,917373,10183,125084,5394,147277,6172,164615,7294,160803,7114,60010,4184,124154,4876,49068,3599,51297,3777,35065,2798,0400000US45,1892474,17902,251521,7760,288168,7639,326933,9994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,45
48979,2995,13932,1393,27072,2387,12014,1508,11742,1378,11226,1313,209570,4596,63436,3153,44087,3296,37621,2336,24021,2319,6689,1008,14531,1476,6390,1143,5724,1242,7071,1026,191998,4036,57698,2856,38959,3097,34802,2564,24958,1996,7243,960,12541,1712,5624,953,6018,819,4155,722,0400000US46,401568,6142,121134,4471,83046,4445,72423,3789,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,46
