C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009EA,C05003_009MA,C05003_010EA,C05003_010MA,C05003_011MA,C05003_011EA,C05003_012MA,C05003_012EA,C05003_013EA,C05003_013MA,C05003_014MA,C05003_014EA,C05003_015EA,C05003_015MA,NAME,C05003_001MA,C05003_001EA,C05003_002EA,C05003_002MA,C05003_003MA,C05003_003EA,C05003_004EA,C05003_004MA,C05003_005EA,C05003_005MA,C05003_006MA,C05003_006EA,C05003_007EA,C05003_007MA,C05003_008MA,C05003_008EA,state
6558602,4276,1499281,3090,1448317,5356,50964,4579,5059321,2704,4217491,11179,841830,11005,0400000US17,12875255,-555555555,6316653,4276,1563770,3039,1513253,4837,50517,4464,4752883,3114,3904864,11929,848019,11166,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3320189,3678,774721,3240,761236,3934,13485,1828,2545468,2573,2412675,5545,132793,5186,0400000US18,6537334,-555555555,3217145,3678,814698,3446,801094,3968,13604,1882,2402447,3153,2259184,5116,143263,4874,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1550079,3514,352018,2794,344754,2985,7264,1318,1198061,2281,1138877,3167,59184,2682,0400000US19,3074186,-555555555,1524107,3514,370648,3137,364226,3245,6422,1221,1153459,1991,1088471,3669,64988,3254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1451288,2912,354095,2406,347327,2647,6768,1396,1097193,1945,1013628,3632,83565,3082,0400000US20,2885905,-555555555,1434617,2912,367182,2256,360045,2399,7137,1436,1067435,2574,978089,4092,89346,3718,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
2225476,3541,495714,3047,485887,3555,9827,1854,1729762,2145,1670843,3611,58919,3205,0400000US21,4380415,-555555555,2154939,3541,522265,3132,513418,3672,8847,1806,1632674,2326,1572856,3761,59818,3225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2353005,4274,549272,3510,543812,3577,5460,1043,1803733,2480,1729482,3729,74251,3516,0400000US22,4601893,-555555555,2248888,4274,569852,3576,565226,3526,4626,1100,1679036,2546,1595221,4475,83815,4171,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
678478,1896,128840,1247,126642,1230,2198,649,549638,1335,525399,2045,24239,1865,0400000US23,1329192,-555555555,650714,1896,137147,1150,134034,1227,3113,740,513567,1594,496022,2320,17545,1918,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
3035272,2636,658934,2258,630197,4086,28737,3352,2376338,1487,1969133,7795,407205,7775,0400000US24,5884563,-555555555,2849291,2636,684001,2059,654387,3210,29614,3324,2165290,1688,1791510,7446,373780,6983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
3426391,2324,685700,1872,652948,3076,32752,2904,2740691,1538,2256710,9841,483981,10011,0400000US25,6646144,-555555555,3219753,2324,715555,1666,684995,3084,30560,2729,2504198,1579,2055799,8473,448399,8250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
5031931,3886,1105777,3088,1077412,3773,28365,2738,3926154,2239,3645115,6898,281039,6098,0400000US26,9883360,-555555555,4851429,3886,1161846,2721,1134770,3430,27076,2593,3689583,2868,3418744,6397,270839,6024,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
2708398,3022,624908,2531,602763,3242,22145,2152,2083490,2277,1908541,5265,174949,5582,0400000US27,5379139,-555555555,2670741,3022,652892,2562,632558,2942,20334,2136,2017849,2358,1845953,5796,171896,5414,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
1542854,3816,368303,3501,365822,3556,2481,974,1174551,2305,1149862,3068,24689,2071,0400000US28,2984926,-555555555,1442072,3816,379366,3412,376347,3465,3019,894,1062706,2215,1033592,3410,29114,2870,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3068397,4454,681131,3417,669606,3693,11525,1735,2387266,3212,2281501,5484,105765,4790,0400000US29,6021988,-555555555,2953591,4454,722575,3575,712542,3764,10033,1534,2231016,3186,2130263,4337,100753,3798,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
501683,1842,107338,1351,106421,1355,917,398,394345,1371,384330,1827,10015,1406,0400000US30,1005141,-555555555,503458,1842,112802,1088,112348,1171,454,270,390656,1649,383698,2183,6958,1305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
932426,1803,224496,1352,217553,1691,6943,1169,707930,1372,657425,2721,50505,2468,0400000US31,1855525,-555555555,923099,1803,238306,1491,232059,1868,6247,1146,684793,1325,629966,2355,54827,2362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
1367067,1827,322461,1489,310520,2159,11941,1870,1044606,1130,783317,4884,261289,4866,0400000US32,2758931,-555555555,1391864,1827,341961,1526,327105,2430,14856,1918,1049903,1140,807399,6072,242504,6201,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
672430,1796,135930,1372,131829,1647,4101,1085,536500,1612,501844,2483,34656,2589,0400000US33,1320718,-555555555,648288,1796,139092,1517,136009,1701,3083,918,509196,1651,479667,2488,29529,2075,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
4543154,2448,992446,2171,933514,4419,58932,3822,3550708,1214,2642362,12087,908346,12046,0400000US34,8864590,-555555555,4321436,2448,1034292,2041,981933,4040,52359,3941,3287144,1235,2423482,11268,863662,11198,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
1050661,2603,251078,2375,243622,2547,7456,1559,799583,1212,713383,4370,86200,4233,0400000US35,2085538,-555555555,1034877,2603,264770,2557,256951,2936,7819,1723,770107,1645,679394,5617,90713,5274,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
10084389,4452,2083214,3230,1972511,6161,110703,5711,8001175,2824,5776484,15481,2224691,14980,0400000US36,19570261,-555555555,9485872,4452,2177796,3023,2060406,5716,117390,5268,7308076,3500,5336490,14442,1971586,15000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
5001026,5464,1117716,5104,1084819,6351,32897,3938,3883310,2616,3552263,7708,331047,7825,0400000US37,9752073,-555555555,4751047,5464,1166286,5129,1133961,5608,32325,2953,3584761,3239,3232958,7201,351803,7278,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
342037,1433,74415,977,73206,1110,1209,448,267622,1218,259492,1451,8130,1203,0400000US38,699628,-555555555,357591,1433,79683,1089,78402,988,1281,519,277908,1129,269148,1925,8760,1598,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
5901591,4379,1298776,3713,1280725,4361,18051,2433,4602815,2763,4394502,6480,208313,6639,0400000US39,11544225,-555555555,5642634,4379,1361149,3831,1343018,4593,18131,2635,4281485,3068,4074650,6637,206835,6339,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
1925013,2673,456576,2646,446737,2971,9839,1458,1468437,1628,1372970,3463,95467,3292,0400000US40,3814820,-555555555,1889807,2673,479708,2517,471873,2766,7835,1136,1410099,1728,1309956,3854,100143,3489,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1966564,3361,416551,2958,401767,3918,14784,2261,1550013,1774,1376825,5233,173188,4870,0400000US41,3899353,-555555555,1932789,3361,444195,2734,429672,3224,14523,2150,1488594,1862,1318322,6138,170272,6170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
6534203,3651,1336543,3136,1307464,3761,29079,2570,5197660,2327,4832093,8796,365567,8403,0400000US42,12763536,-555555555,6229333,3651,1400911,3060,1372488,4366,28423,3211,4828422,2660,4482227,9569,346195,9799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
543457,1355,106078,1026,100810,1762,5268,1523,437379,801,367067,3801,70312,3731,0400000US44,1050292,-555555555,506835,1355,110884,1047,106439,1658,4445,1289,395951,928,335851,3584,60100,3573,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
2427942,4676,529012,3478,520009,3973,9003,2077,1898930,2583,1799532,5177,99398,4812,0400000US45,4723723,-555555555,2295781,4676,551964,3960,544625,3848,7339,1513,1743817,2349,1637581,4221,106236,4153,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
415551,1674,99911,1408,98666,1360,1245,565,315640,1200,306181,1673,9459,1320,0400000US46,833354,-555555555,417803,1674,104311,1476,102881,1441,1430,495,313492,1411,302769,2006,10723,1624,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
3311487,4329,731623,4268,718161,4473,13462,1924,2579864,2912,2453482,5891,126382,4877,0400000US47,6456243,-555555555,3144756,4329,762594,4201,747268,4564,15326,2265,2382162,3016,2245691,5572,136471,5096,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
13113985,7615,3413673,6420,3262222,9291,151451,8228,9700312,4680,7712360,18307,1987952,18581,0400000US48,26059203,-555555555,12945218,7615,3567502,6016,3411005,10120,156497,8747,9377716,5264,7403923,24255,1973793,23409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
1420259,2086,432088,1969,420381,2682,11707,2152,988171,1181,876091,4149,112080,4179,0400000US49,2855287,-555555555,1435028,2086,455100,1600,444573,2414,10527,1759,979928,1275,873370,4105,106558,3929,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
316827,980,59734,662,58683,732,1051,348,257093,866,243608,1375,13485,1430,0400000US50,626011,-555555555,309184,980,64155,813,63022,822,1133,485,245029,1001,235157,1547,9872,1176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
4170822,6243,909779,5680,875311,6522,34468,2922,3261043,2894,2803693,8431,457350,8456,0400000US51,8185867,-555555555,4015045,6243,944853,5547,910980,6744,33873,3369,3070192,3398,2648563,8970,421629,8163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
3455583,2785,771522,2599,738791,3586,32731,3202,2684061,1919,2241467,8141,442594,8319,0400000US53,6897012,-555555555,3441429,2785,813507,2743,781985,4468,31522,3619,2627922,1876,2218370,9108,409552,9234,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
943732,2937,189050,2330,187626,2276,1424,441,754682,1629,741927,2038,12755,1400,0400000US54,1855413,-555555555,911681,2937,195170,1920,194485,1833,685,490,716511,1848,705529,2252,10982,1529,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
2883661,3446,641370,2779,629089,3070,12281,1704,2242291,1962,2122096,4996,120195,4583,0400000US55,5726398,-555555555,2842737,3446,675380,3020,662130,3303,13250,1925,2167357,2307,2041074,4582,126283,4185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
283676,1854,66236,1480,64934,1438,1302,427,217440,1167,207188,1778,10252,1604,0400000US56,576412,-555555555,292736,1854,70374,1607,69390,1689,984,523,222362,1288,215380,1638,6982,1207,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
1909811,2739,411907,2741,410685,2831,1222,456,1497904,-555555555,1446249,3985,51655,3987,0400000US72,3667084,-555555555,1757273,2739,437454,2735,435490,2881,1964,731,1319819,-555555555,1275831,3045,43988,3044,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,Puerto Rico,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,72
