B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,GEO_ID,B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004EA,B20017D_004MA,B20017D_005EA,B20017D_005MA,B20017D_006EA,B20017D_006MA,B20017D_007MA,B20017D_007EA,NAME,B20017D_001EA,B20017D_001MA,B20017D_002MA,B20017D_002EA,B20017D_003MA,B20017D_003EA,state
11408,1186,22115,2953,36045,4580,8505,1469,0400000US18,26020,2108,31376,7459,61596,2723,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,18
10840,1899,20913,1355,30210,2818,7955,1997,0400000US19,23990,1911,29374,4126,46710,6832,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,19
10260,6037,22472,3985,33432,4710,9683,2763,0400000US20,30391,3104,37453,4898,49819,7576,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,20
12738,6608,21313,2012,31525,2965,9521,2584,0400000US21,30621,1555,40953,6403,51520,6147,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,21
12697,5091,20069,3313,32086,4209,9036,1104,0400000US22,24721,5018,31349,3956,42153,4900,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,22
6237,7638,12348,2893,23021,16532,9195,2139,0400000US23,18216,6158,31481,11105,33871,2117,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,23
11912,1245,36526,4426,55759,3333,15219,2055,0400000US24,46324,2547,55673,3208,69537,4231,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,24
11089,1392,29550,2268,47926,3278,9953,1335,0400000US25,36168,1689,43468,4571,62193,3482,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,25
10740,1354,26684,2224,51367,4341,9128,2130,0400000US26,37118,3199,50649,3922,70100,4587,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,26
11061,1358,24548,2436,38225,2358,8888,1262,0400000US27,31147,939,36496,1526,50947,4744,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,27
11756,9960,15879,1471,26833,5688,9570,1581,0400000US28,20285,5467,35517,8992,40331,3593,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,28
12433,3424,23358,3750,34427,7962,8543,2089,0400000US29,28276,3297,33193,7310,51275,9861,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,29
20389,16195,29250,19593,40420,10242,10388,1785,0400000US30,23219,12310,21838,12019,35634,6324,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,30
14441,4028,20035,2180,28348,5188,10829,1515,0400000US31,26751,4494,36037,2710,46279,4885,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,31
14611,3434,30000,1590,35969,1772,13929,2547,0400000US32,30671,927,31560,1482,38245,2324,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,32
11236,16027,22231,6524,31635,10429,12006,10747,0400000US33,36042,7374,60571,18096,76066,10970,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,33
16065,2685,42310,2234,60224,3447,12359,1337,0400000US34,52242,1469,62384,3085,76906,2128,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,34
15030,10662,27824,9034,37928,3176,11072,5368,0400000US35,31389,7797,34830,10853,45799,9332,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,35
11636,533,30539,707,47184,1543,10793,512,0400000US36,32136,512,35224,1190,50162,1587,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,36
12523,2556,22706,1750,32659,4543,10551,1170,0400000US37,29687,2548,40195,4967,52329,4451,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,37
18475,20855,16053,8121,22024,34975,5361,4259,0400000US38,21155,8688,28428,24376,36149,106281,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
10727,2168,26955,3365,40658,2884,9758,1382,0400000US39,37040,2560,54131,4104,66869,4228,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,39
7099,1769,21253,1317,28810,3961,12093,2706,0400000US40,24325,1894,29396,3003,40783,2273,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,40
12406,7007,24641,1943,36249,4201,10811,1270,0400000US41,31429,1561,41507,4450,55136,6392,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,41
11800,1599,24658,1653,43547,4861,10966,1610,0400000US42,30787,999,37576,3946,55884,4345,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,42
11026,4181,25455,4173,40166,8166,6423,2632,0400000US44,30176,7302,35561,3478,50597,8531,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
9386,3825,21503,2331,30216,2599,10087,1592,0400000US45,23994,3121,31039,4263,38699,4201,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,45
8305,2373,23258,3284,28537,6931,10824,19972,0400000US46,24066,4784,27789,15439,44253,8875,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,46
13180,5731,21283,2306,32735,3576,9752,2012,0400000US47,30289,3257,43434,6743,54511,6948,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,47
14131,2386,30147,2109,46166,2493,11447,493,0400000US48,36124,1118,41971,1261,58724,5343,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,48
9531,4545,22179,2161,36296,2828,8881,2491,0400000US49,27070,2839,35517,4305,50334,10145,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,49
12338,8788,21527,3761,24205,5974,6935,16280,0400000US50,22917,5949,32349,11439,60721,12144,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
12191,2145,31506,1711,50098,2747,11448,647,0400000US51,41430,1531,51712,1174,70519,2550,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,51
11612,991,28181,1785,40808,1546,11194,675,0400000US53,34415,2267,45314,3187,60233,4961,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,53
6474,3989,25961,10930,42087,39201,7833,7171,0400000US54,36708,10015,50744,13688,58870,19743,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,54
8694,2674,20663,1455,31103,1794,7405,1591,0400000US55,24184,2089,30250,2939,40558,1904,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,55
10588,12381,8063,7251,29741,16736,3519,2737,0400000US56,19846,10940,35665,20247,40420,21771,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,56
5108,2474,16000,1492,18351,2337,6701,3469,0400000US72,14921,5933,11020,3025,18767,14238,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,72
12751,1865,16657,3247,31262,6397,9450,3168,0400000US01,22319,3542,35675,5095,52552,9637,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,01
10808,4489,24504,1685,30787,8203,11378,3413,0400000US02,24764,1787,25426,6024,31633,2124,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,02
10332,1833,26693,3522,40592,3414,10503,1460,0400000US04,32303,2978,41441,2064,56647,8286,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,04
11668,5815,20839,2273,29317,5152,8966,5348,0400000US05,28608,4718,39001,8765,51975,5733,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,05
