GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001MA,B17020A_001EA,B17020A_002MA,B17020A_002EA,B17020A_003MA,B17020A_003EA,B17020A_004EA,B17020A_004MA,B17020A_005EA,B17020A_005MA,B17020A_006EA,B17020A_006MA,B17020A_007MA,B17020A_007EA,B17020A_008MA,B17020A_008EA,B17020A_009EA,B17020A_009MA,B17020A_010EA,B17020A_010MA,B17020A_011EA,B17020A_011MA,B17020A_012MA,B17020A_012EA,B17020A_013MA,B17020A_013EA,B17020A_014MA,B17020A_014EA,B17020A_015EA,B17020A_015MA,B17020A_016EA,B17020A_016MA,B17020A_017MA,B17020A_017EA,state
0400000US22,2826861,7423,361855,14892,30369,3309,5599,1268,30161,2951,30560,3618,227200,10016,19173,2321,18793,1840,2465006,15115,136734,3608,29772,2766,167553,5340,182280,4679,1557418,10637,227502,2505,163747,2554,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1232526,1909,170631,8732,14820,1980,3014,883,16997,2418,10912,1701,107095,5448,9113,1383,8680,1207,1061895,8480,44600,2014,11036,1404,62685,3087,73129,2925,672124,5540,112620,1456,85701,1350,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3346027,13216,241329,12439,17451,2467,3773,1111,19778,2587,16561,2130,155189,8342,11925,1473,16652,1808,3104698,16718,160009,2952,34893,2519,207350,4671,218872,4195,1980245,11401,283330,2068,219999,2260,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5148652,13119,480402,15778,33101,3501,7068,1269,34275,3149,38875,3695,302647,11430,27955,2050,36481,2746,4668250,18115,220977,3752,43133,2868,305781,6353,336431,5935,2991471,12778,422018,2432,348439,3038,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7696198,8848,1052630,22974,87006,4834,17977,2134,101753,4730,97859,5768,659866,14127,43029,2755,45140,2746,6643568,23793,313034,4922,64836,3654,447568,7661,505463,8182,4171371,14193,639844,2925,501452,3210,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4500819,6935,393880,13593,32319,2566,5891,1036,31060,2924,25890,2424,249625,9113,19699,1523,29396,1944,4106939,14248,229855,2340,48675,2548,302828,5876,304236,3922,2600417,9305,347375,1888,273553,2345,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1721414,5141,267067,14908,23049,2999,4994,1267,25502,3710,23291,3140,158622,9152,16459,2264,15150,1841,1454347,15581,75412,3423,16332,1906,102021,5226,108885,4776,893306,9301,151282,2369,107109,2118,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4849109,6859,655629,17468,56223,3758,13962,2269,64296,4099,54400,3850,401708,11631,31666,2697,33374,2630,4193480,18215,222891,4002,45359,3054,287716,5975,320203,5345,2615838,11913,401022,2850,300451,3121,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,875850,2470,120446,7681,9467,1574,2302,771,11523,2047,8081,1631,77041,4885,6069,1012,5963,915,755404,7904,37997,1584,9250,1458,49215,2735,52233,2312,472025,5188,78421,1069,56263,984,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1589976,5303,172424,9562,17107,2155,3694,854,16597,2223,15477,2069,103114,5640,5693,846,10742,1314,1417552,10541,88983,2136,18165,1695,107884,3234,107440,2837,877383,6872,118235,1285,99462,1378,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1898761,12693,278475,14625,28850,3506,5814,1296,29410,3560,25475,2401,166742,8393,13287,1759,8897,1614,1620286,18680,83939,3226,17524,2147,106450,5175,109394,4244,1033424,11716,165925,2125,103630,1906,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1204664,2480,114334,9563,10018,2122,2237,955,11290,2333,12176,2216,66885,5185,5818,1082,5910,1083,1090330,10065,47649,2275,10551,1391,68426,3049,82423,3435,710271,5598,99534,1292,71476,1215,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6012646,20846,485693,17892,41606,3997,8095,1336,45833,3682,46524,4117,275297,10771,28409,2626,39929,3264,5526953,22926,272793,5246,62894,3168,380063,6698,417971,7540,3469277,15778,497123,3233,426832,3709,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1472997,13240,259592,11825,27756,2571,5340,1317,32113,3452,21082,2277,150280,7495,12155,1645,10866,1619,1213405,12931,63681,2981,13525,2002,83998,4342,85436,4178,748550,8719,127082,2558,91133,2128,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12447859,31173,1427898,32235,123902,6168,23171,2392,131893,6521,121925,6177,848162,21087,79216,4127,99629,4640,11019961,40165,540001,7495,107760,4805,688914,10433,766778,9749,7035509,27042,1018029,6003,862970,5799,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6664379,18912,915555,23944,82134,4729,17857,2490,90203,5781,76480,4340,567884,15412,41383,3297,39614,2906,5748824,27875,288209,5336,64387,3923,399292,8263,397733,7886,3614719,18320,584978,3604,399506,3247,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
