B18135_007E,B18135_007M,B18135_008E,B18135_008M,B18135_009E,B18135_009M,B18135_010E,B18135_010M,B18135_011E,B18135_011M,B18135_012E,B18135_012M,B18135_013E,B18135_013M,B18135_014E,B18135_014M,B18135_015E,B18135_015M,B18135_016E,B18135_016M,B18135_017E,B18135_017M,B18135_018E,B18135_018M,B18135_019E,B18135_019M,B18135_020E,B18135_020M,B18135_021E,B18135_021M,B18135_022E,B18135_022M,B18135_023E,B18135_023M,B18135_024E,B18135_024M,B18135_025E,B18135_025M,B18135_026E,B18135_026M,B18135_027E,B18135_027M,B18135_028E,B18135_028M,B18135_029E,B18135_029M,B18135_030E,B18135_030M,B18135_031E,B18135_031M,B18135_032E,B18135_032M,B18135_033E,B18135_033M,B18135_034E,B18135_034M,GEO_ID,B18135_001E,B18135_001M,B18135_002E,B18135_002M,B18135_003E,B18135_003M,B18135_004E,B18135_004M,B18135_005E,B18135_005M,B18135_006E,B18135_006M,B18135_007EA,B18135_007MA,B18135_008EA,B18135_008MA,B18135_009MA,B18135_009EA,B18135_010MA,B18135_010EA,B18135_011MA,B18135_011EA,B18135_012EA,B18135_012MA,B18135_013EA,B18135_013MA,B18135_014MA,B18135_014EA,B18135_015MA,B18135_015EA,B18135_016MA,B18135_016EA,B18135_017MA,B18135_017EA,B18135_018MA,B18135_018EA,B18135_019EA,B18135_019MA,B18135_020EA,B18135_020MA,B18135_021EA,B18135_021MA,B18135_022MA,B18135_022EA,B18135_023MA,B18135_023EA,B18135_024MA,B18135_024EA,B18135_025EA,B18135_025MA,B18135_026EA,B18135_026MA,B18135_027MA,B18135_027EA,B18135_028MA,B18135_028EA,B18135_029MA,B18135_029EA,B18135_030EA,B18135_030MA,B18135_031EA,B18135_031MA,B18135_032EA,B18135_032MA,B18135_033MA,B18135_033EA,B18135_034MA,B18135_034EA,NAME,B18135_001MA,B18135_001EA,B18135_002EA,B18135_002MA,B18135_003EA,B18135_003MA,B18135_004MA,B18135_004EA,B18135_005MA,B18135_005EA,B18135_006MA,B18135_006EA,state
4986,1370,1509272,4859,1380338,9034,936178,11697,494898,11710,128934,7014,3998258,3701,442927,9253,359964,8477,188552,6453,216959,7206,82963,4711,3555331,9921,2856277,16895,2635031,17677,291823,8767,699054,13953,853449,2291,308357,6303,307274,6297,199659,5857,305354,6382,1083,493,545092,6373,542246,6393,375976,6187,530314,6062,2846,838,0400000US18,6437142,986,1585435,2960,76163,4746,71177,4603,30866,3147,46997,3715,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
882,470,692051,3238,664241,4068,490530,6787,214230,6914,27810,3245,1862753,2597,171340,5958,151152,5520,79576,3475,94637,4483,20188,2255,1691413,5989,1486868,8953,1379973,10540,150164,6341,204545,7915,445684,1856,142955,3628,142784,3670,101561,3089,142002,3628,171,190,302729,3732,302050,3712,226630,3664,296213,3854,679,329,0400000US19,3028864,500,720427,2248,28376,2494,27494,2461,11465,1314,20166,2159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
1640,693,691792,3217,645574,4873,455154,7475,210659,7502,46218,3895,1729836,2832,177988,5572,145122,5119,87396,4102,80443,3960,32866,2287,1551848,6092,1278810,9648,1222240,9846,87372,4077,273038,8354,375663,1604,131671,3786,131186,3765,88788,3454,130295,3799,485,287,243992,3820,242675,3922,178094,4344,236179,4092,1317,611,0400000US20,2825416,2092,719917,1923,28125,2380,26485,2381,12474,1691,16899,2082,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
1650,545,955875,4417,901167,6851,566219,10784,364970,9895,54708,5389,2685735,3454,416672,9565,339863,8276,155663,4785,232184,7631,76809,4624,2269063,10247,1808040,14589,1650475,13853,215032,8151,461023,11231,590957,2104,251650,4780,251506,4771,146539,4425,250473,4763,144,165,339307,5001,338181,4965,227949,4816,331019,5109,1126,400,0400000US21,4292718,1736,1016026,1777,60151,4136,58501,4119,21091,2045,40841,4094,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
2360,1119,1053250,5631,996539,6962,519442,11978,519751,12164,56711,5070,2804831,3138,375698,9671,287039,8058,146632,5694,179785,7270,88659,5755,2429133,10394,1821196,14690,1619074,14320,266562,8638,607937,14420,576626,2669,246397,5470,245286,5574,135704,4130,241583,5573,1111,570,330229,5490,327380,5473,206251,5933,312443,5436,2849,1219,0400000US22,4498884,1484,1117427,1971,64177,5043,61817,5132,22600,2812,44106,4165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
666,300,246739,3030,235165,3304,145496,4897,101036,4937,11574,1977,830767,1602,112279,4919,98847,4751,41082,3001,70601,4389,13432,1594,718488,4791,609817,6736,515028,7001,115468,4725,108671,5828,219441,883,77738,2751,77698,2751,50980,2283,77191,2757,40,40,141703,2824,141377,2845,99939,3310,136540,2864,326,228,0400000US23,1315703,427,265495,1229,18756,2611,18090,2592,6723,1260,14336,2400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
811,446,1292079,4053,1241439,6596,873413,11362,399134,11185,50640,4996,3708246,2915,307020,9188,272730,9262,154852,6955,157349,6114,34290,3113,3401226,9465,2898473,16107,2660405,17436,313908,10221,502753,13134,738832,1877,241924,5981,239721,5878,156908,5599,234965,5749,2203,683,496908,5887,490051,5897,379712,6711,464323,5768,6857,1112,0400000US24,5788196,2269,1341118,1296,49039,3635,48228,3655,26165,2807,26320,2939,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
920,684,1333561,4596,1314275,4968,962840,8659,412270,8805,19286,3528,4246935,2651,377194,10801,360634,10536,158756,5421,246954,9599,16560,2134,3869741,10592,3655435,12309,3129465,15497,625939,14186,214306,9018,921944,2148,310718,7384,309717,7361,184972,5594,303244,7573,1001,602,611226,7281,609004,7358,443861,7836,573247,8102,2222,617,0400000US25,6566851,897,1397972,1065,64411,4584,63491,4594,30749,2779,40493,3761,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
3331,907,2148859,5210,2062145,7291,1329503,13232,836193,13488,86714,5534,6104749,3083,735371,12221,629497,10966,308904,8114,423352,9857,105874,4953,5369378,12143,4455629,15456,3971627,21341,614867,12329,913749,13623,1404130,2134,505535,7153,504273,7193,363009,6639,500126,7126,1262,517,898595,7500,895204,7517,699940,8057,878605,7561,3391,758,0400000US26,9772550,789,2263671,2541,114812,4695,111481,4413,45487,2987,76978,4099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
2176,975,1227062,3971,1160753,5735,904728,9602,298549,9046,66309,4545,3344084,2449,274359,7221,248723,7135,124030,4613,157741,5965,25636,2510,3069725,7833,2741373,10904,2487435,13091,317160,8231,328352,8753,700190,1746,221958,4583,221353,4538,155735,4076,219586,4612,605,324,478232,4752,476648,4643,367940,5157,462863,4841,1584,590,0400000US27,5319783,751,1275509,1760,48447,3831,46271,3663,23376,2338,28526,2785,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
2310,779,707540,4068,655109,6556,321981,9125,357108,8779,52431,4958,1783844,2739,270135,8733,215812,7872,91664,5420,155223,6290,54323,4467,1513709,9135,1126420,11127,989296,11170,176509,7158,387289,9369,388958,1880,172919,4726,172582,4681,91474,4030,171458,4688,337,253,216039,4562,215219,4542,134101,4713,210345,4542,820,411,0400000US28,2918405,1292,745603,1471,38063,3723,35753,3605,10190,1803,27807,3338,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
3073,740,1330053,5590,1235093,9645,825039,12482,445445,10973,94960,7839,3661457,3940,454722,11626,376549,10249,186835,6607,238919,7508,78173,4452,3206735,12164,2585078,17137,2395609,18524,261949,8263,621657,13878,847638,2876,321672,6698,320929,6708,192815,5410,318761,6747,743,449,525966,6654,523192,6657,361338,6940,509926,6769,2774,721,0400000US29,5908769,1421,1399674,3097,69621,4661,66548,4753,29451,3150,42060,4011,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
521,306,210744,1958,186863,3206,114937,4885,78019,4946,23881,2671,616796,1583,63344,3375,50901,3200,24498,2136,33456,2829,12443,1530,553452,3570,412585,5480,383226,5659,43296,3627,140867,5132,153829,1055,55506,2434,55338,2430,34864,2297,54790,2456,168,258,98323,2615,97791,2575,67867,2851,96177,2680,532,266,0400000US30,989823,845,219198,1233,8454,1536,7933,1493,2977,759,5645,1409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
1052,463,444964,2322,418210,3302,303158,5574,126233,5561,26754,2998,1121006,1784,94120,4059,79220,3446,45285,2637,45983,2698,14900,1659,1026886,4323,865060,8187,817802,8522,69862,3747,161826,7438,244517,1080,82596,2285,82290,2302,57006,1989,81438,2353,306,270,161921,2281,161152,2276,116253,2494,155739,2207,769,449,0400000US31,1826832,904,461309,1237,16345,1920,15293,1942,7959,1306,9281,1548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
1651,785,637082,3084,528586,7537,372173,9108,177441,8923,108496,7259,1705729,2149,177524,6989,131133,5800,75573,4194,73417,5067,46391,4733,1528205,6784,1088061,12438,1018892,13078,102741,6520,440144,11760,354755,1386,127076,4521,124261,4447,65195,3531,122071,4560,2815,991,227679,4613,223751,4765,130061,4241,214655,4698,3928,1095,0400000US32,2723965,1559,663481,765,26399,3011,24748,2931,12307,2012,15749,2549,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
161,195,259794,1994,249057,3337,183464,5954,73439,5096,10737,2480,844577,1678,80481,4408,68013,4022,40088,3212,38185,3301,12468,2110,764096,4331,649623,7347,619114,8038,45189,3346,114473,6262,186886,1273,58613,2680,58325,2617,40727,2567,57535,2593,288,353,128273,2867,127558,2761,92766,3238,122826,2911,715,561,0400000US33,1306026,548,274563,1331,14769,1929,14608,1894,7094,1427,8356,1554,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
2850,739,1949997,4460,1850031,9034,1336831,13519,560351,12795,99966,7186,5520629,2539,425486,9950,359073,8743,203714,7260,208656,8127,66413,5115,5095143,10143,4170668,22980,3840472,22456,400841,12101,924475,21132,1211763,1727,396273,6552,392224,6565,236724,5340,388760,6663,4049,974,815490,6706,800434,6545,542257,8088,764833,6659,15056,2034,0400000US34,8756542,1146,2024150,1327,74153,4300,71303,4303,39707,3396,35927,3237,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
865,504,492502,2588,451932,4992,222414,7601,251694,7121,40570,4425,1246884,2222,160703,5823,129756,5743,58995,3795,87913,5153,30947,2659,1086181,5766,785071,7802,672933,8865,142904,6031,301110,8233,289580,1281,119783,3864,117920,3852,62381,3723,116798,3799,1863,633,169797,3884,167166,3896,101974,3729,161875,3992,2631,972,0400000US35,2051805,1427,515341,1553,22839,2419,21974,2358,7136,1484,16907,2146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
3636,940,4097439,6416,3933408,10277,2522140,20573,1600437,19407,164031,8580,12402577,4328,1043603,16898,948846,16463,443477,11220,635325,13209,94757,4887,11358974,17429,9544202,31844,7990266,34601,1824771,25013,1814772,26614,2661330,2929,900473,11218,893889,11370,482758,7548,884005,11293,6584,1270,1760857,11193,1741728,10714,1123356,11295,1667219,10980,19129,2609,0400000US36,19316728,2028,4252821,2255,155382,6521,151746,6650,67743,4319,102581,5352,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
4350,1032,2182058,6953,2013447,10558,1192810,15542,879651,15421,168611,8276,5966410,4896,669022,15154,531297,12795,261266,7358,350644,10440,137725,7284,5297388,15302,4033779,25299,3665196,26463,490346,10706,1263609,21703,1304575,3023,477919,8027,475678,8099,277790,6756,473467,8125,2241,699,826656,7975,820952,8006,560669,8146,802474,7989,5704,1222,0400000US37,9552529,3461,2281544,2903,99486,5766,95136,5491,32857,3079,70544,4895,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
363,208,148435,1368,138249,2133,114641,3001,28090,2391,10186,1740,436041,1430,35636,2567,29604,2251,18490,1826,14953,1571,6032,1194,400405,2796,348771,4500,335428,4628,21650,2215,51634,3395,95030,701,30995,1523,30802,1516,23256,1498,30503,1480,193,214,64035,1668,63919,1656,50739,2137,62257,1617,116,94,0400000US38,684776,917,153705,979,5270,999,4907,929,3257,767,2433,645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
4592,1062,2526368,6728,2390294,9159,1603536,16454,902071,16214,136074,7258,7076483,4584,835213,13527,691898,12315,344006,8752,432078,9387,143315,5348,6241270,13958,5228221,21271,4699326,22721,666888,14082,1013049,17539,1638583,3323,577718,8814,576231,8802,372179,8358,568470,8852,1487,415,1060865,8439,1055135,8428,736581,10070,1024126,8317,5730,1211,0400000US39,11371766,1352,2656700,2547,130332,6141,125740,6035,54384,3776,85953,5387,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
3361,742,888304,3620,797456,6059,468100,7751,363739,7679,90848,4768,2281244,2724,312480,7241,240241,6158,126709,4543,145910,5024,72239,3422,1968764,7336,1453720,11166,1337412,10452,164082,5413,515044,10019,517197,1980,211206,4372,210451,4444,127938,3543,208847,4354,755,360,305991,4902,303162,4983,208028,4903,294707,5047,2829,799,0400000US40,3733058,1692,934617,1114,46313,3385,42952,3317,15028,1909,31443,2742,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
