VARIABLE,TYPE,LABEL,GROUP
DP04_0059PE,float,Percent!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,DP04
DP04_0060E,int,Number!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,DP04
DP04_0060PE,float,Percent!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,DP04
DP04_0061E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units,DP04
DP04_0061PE,int,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units,DP04
DP04_0062E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas,DP04
DP04_0062PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas,DP04
DP04_0063E,int,"Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas",DP04
DP04_0063PE,float,"Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas",DP04
DP04_0064E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity,DP04
DP04_0064PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity,DP04
DP04_0065E,int,"Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.",DP04
DP04_0065PE,float,"Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.",DP04
DP04_0066E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke,DP04
DP04_0066PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke,DP04
DP04_0067E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Wood,DP04
DP04_0067PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Wood,DP04
DP04_0068E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy,DP04
DP04_0068PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy,DP04
DP04_0069E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel,DP04
DP04_0069PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel,DP04
DP04_0070E,int,Number!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!No fuel used,DP04
DP04_0070PE,float,Percent!!Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!No fuel used,DP04
DP04_0071E,int,Number!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units,DP04
DP04_0071PE,int,Percent!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units,DP04
DP04_0072E,int,Number!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,DP04
DP04_0072PE,float,Percent!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,DP04
DP04_0073E,int,Number!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,DP04
DP04_0073PE,float,Percent!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,DP04
DP04_0074E,int,Number!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,DP04
DP04_0074PE,float,Percent!!Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,DP04
DP04_0075E,int,Number!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units,DP04
DP04_0075PE,int,Percent!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units,DP04
DP04_0076E,int,Number!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less,DP04
DP04_0076PE,float,Percent!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less,DP04
DP04_0077E,int,Number!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50,DP04
DP04_0077PE,float,Percent!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50,DP04
DP04_0078E,int,Number!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more,DP04
DP04_0078PE,float,Percent!!Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more,DP04
DP04_0079E,int,Number!!Estimate!!VALUE!!Owner-occupied units,DP04
DP04_0079PE,int,Percent!!Estimate!!VALUE!!Owner-occupied units,DP04
DP04_0080E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!Less than $50,000",DP04
DP04_0080PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!Less than $50,000",DP04
DP04_0081E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$50,000 to $99,999",DP04
DP04_0081PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$50,000 to $99,999",DP04
DP04_0082E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$100,000 to $149,999",DP04
DP04_0082PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$100,000 to $149,999",DP04
DP04_0083E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$150,000 to $199,999",DP04
DP04_0083PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$150,000 to $199,999",DP04
DP04_0084E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$200,000 to $299,999",DP04
DP04_0084PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$200,000 to $299,999",DP04
DP04_0085E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$300,000 to $499,999",DP04
DP04_0085PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$300,000 to $499,999",DP04
DP04_0086E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$500,000 to $999,999",DP04
DP04_0086PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$500,000 to $999,999",DP04
DP04_0087E,int,"Number!!Estimate!!VALUE!!Owner-occupied units!!$1,000,000 or more",DP04
DP04_0087PE,float,"Percent!!Estimate!!VALUE!!Owner-occupied units!!$1,000,000 or more",DP04
DP04_0088E,int,Number!!Estimate!!VALUE!!Owner-occupied units!!Median (dollars),DP04
DP04_0088PE,int,Percent!!Estimate!!VALUE!!Owner-occupied units!!Median (dollars),DP04
DP04_0089E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units,DP04
DP04_0089PE,int,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units,DP04
DP04_0090E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage,DP04
DP04_0090PE,int,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage,DP04
DP04_0091E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!Less than $300,DP04
DP04_0091PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!Less than $300,DP04
DP04_0092E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$300 to $499,DP04
DP04_0092PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$300 to $499,DP04
DP04_0093E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$500 to $699,DP04
DP04_0093PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$500 to $699,DP04
DP04_0094E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$700 to $999,DP04
DP04_0094PE,float,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$700 to $999,DP04
DP04_0095E,int,"Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$1,000 to $1,499",DP04
DP04_0095PE,float,"Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$1,000 to $1,499",DP04
DP04_0096E,int,"Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$1,500 to $1,999",DP04
DP04_0096PE,float,"Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$1,500 to $1,999",DP04
DP04_0097E,int,"Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$2,000 or more",DP04
DP04_0097PE,float,"Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!$2,000 or more",DP04
DP04_0098E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!Median (dollars),DP04
DP04_0098PE,int,Percent!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units with a mortgage!!Median (dollars),DP04
DP04_0099E,int,Number!!Estimate!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied units!!Housing units without a mortgage,DP04
