GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001MA,C27001D_001EA,C27001D_002EA,C27001D_002MA,C27001D_003MA,C27001D_003EA,C27001D_004MA,C27001D_004EA,C27001D_005MA,C27001D_005EA,C27001D_006MA,C27001D_006EA,C27001D_007EA,C27001D_007MA,C27001D_008EA,C27001D_008MA,C27001D_009EA,C27001D_009MA,C27001D_010MA,C27001D_010EA,state
0400000US15,516360,9859,79797,4917,77330,4915,2467,787,322293,6471,297166,6206,25127,2639,114270,1873,112529,2104,1741,852,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20746,2499,4589,1272,3576,1120,1013,830,13744,1800,11299,2213,2445,1551,2413,866,2281,817,132,236,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,596077,6561,132694,3639,126068,4465,6626,2508,408095,4277,327962,8352,80133,7837,55288,1963,50530,2000,4758,1151,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,102591,4394,24400,2377,21717,2385,2683,1101,71576,2926,59048,3296,12528,2268,6615,1154,6002,1091,613,366,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,55733,2339,12967,1372,11597,1387,1370,922,40092,1706,33943,1817,6149,1294,2674,522,2414,506,260,246,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,67081,3046,16580,1785,15409,1693,1171,517,46026,2067,36785,2616,9241,1844,4475,626,4203,653,272,235,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,50017,2733,14633,1549,13201,1386,1432,682,31565,2024,26003,2059,5562,1284,3819,631,3758,640,61,91,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,71908,2829,16910,1667,14451,1936,2459,974,49590,2340,29571,2986,20019,2838,5408,1085,5278,1055,130,200,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13456,1854,3403,997,3133,1003,270,317,8573,1279,6625,1102,1948,854,1480,500,1436,511,44,80,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,327511,4527,73542,2859,68550,2959,4992,1304,223221,2733,188839,5095,34382,4615,30748,875,28185,1211,2563,847,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,365280,4998,82586,2502,81370,2611,1216,625,257330,3472,241870,4631,15460,2882,25364,889,24325,1215,1039,849,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,241292,5050,60326,2816,56241,2836,4085,1315,163930,3477,140801,4236,23129,2776,17036,830,16101,972,935,435,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,215580,3749,65343,3041,59738,3258,5605,1798,139842,2349,119785,2942,20057,2164,10395,925,9823,924,572,389,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,26391,3188,7483,1735,4893,1105,2590,1437,17129,2123,10760,1748,6369,1625,1779,570,1779,570,0,206,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,95612,3162,21327,2051,19690,1855,1637,752,67663,1996,54687,2851,12976,2391,6622,714,5874,894,748,697,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5652,1171,860,422,518,382,342,333,4366,1062,2902,779,1464,812,426,297,426,297,0,165,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,34346,1781,8410,1033,7369,1185,1041,707,24301,1345,20812,1482,3489,984,1635,504,1635,504,0,155,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,193315,6088,36938,3593,33115,3454,3823,1969,132661,3898,102252,4825,30409,3844,23716,825,22454,1174,1262,761,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,28967,2161,7239,1288,6545,1283,694,433,20441,1423,16608,1804,3833,1488,1287,474,1287,474,0,184,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,745667,6864,177608,3691,166397,4079,11211,2445,508346,4110,420214,6153,88132,5599,59713,1188,53798,1920,5915,1479,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,25368,1944,5004,998,4596,938,408,326,17517,1603,13555,1538,3962,1027,2847,597,2470,506,377,317,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1443820,9724,289141,4838,271189,5369,17952,2835,1019872,6160,818042,9869,201830,8834,134807,1960,127981,2216,6826,1343,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,209469,5562,53149,3139,45076,3726,8073,2791,144535,4484,115913,5603,28622,4041,11785,1246,11015,1318,770,446,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,6885,1035,1330,643,1229,619,101,145,5437,824,4376,856,1061,522,118,130,118,130,0,143,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,194086,5011,45263,2998,42147,2986,3116,934,134189,3103,114969,3588,19220,2687,14634,1189,13500,1220,1134,532,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,64937,3147,13784,1753,13002,1658,782,559,46214,2124,37175,2476,9039,1597,4939,761,4789,787,150,207,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,152534,4401,34799,2506,32682,2407,2117,752,104528,2918,81593,3963,22935,3181,13207,1319,12816,1327,391,357,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,356816,4388,81160,3180,75300,3423,5860,1777,249511,2826,200243,5510,49268,4756,26145,1347,24601,1583,1544,744,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,32711,1459,7661,753,7460,747,201,242,22771,1125,19071,1473,3700,1104,2279,551,2188,579,91,142,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,62563,2760,13785,1704,11170,1598,2615,1155,44529,2630,33133,2733,11396,2701,4249,1262,3994,1187,255,244,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,7787,911,2158,547,1826,764,332,488,5190,754,4239,878,951,750,439,250,439,250,0,155,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,92181,4036,22851,2218,21544,2275,1307,747,62119,2791,49594,3017,12525,2914,7211,1164,6368,1145,843,581,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,992848,9901,245125,6665,212312,8246,32813,5034,672535,6096,491018,10645,181517,10488,75188,2132,68988,2387,6200,1526,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,56340,3039,13186,2035,11817,2039,1369,710,39430,1809,33065,2227,6365,1809,3724,546,3724,546,0,192,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7730,984,1649,429,1649,429,0,145,5570,804,4619,845,951,557,511,198,511,198,0,145,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,451155,8153,105917,3834,97773,3827,8144,1952,311284,5591,252726,6604,58558,5818,33954,1776,30196,2126,3758,1459,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,498894,7668,106129,4446,97718,4673,8411,1969,345293,5377,284694,6605,60599,5535,47472,1686,46388,1762,1084,501,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,11436,1374,2558,861,2385,844,173,100,8105,998,6538,1239,1567,681,773,356,625,339,148,149,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,130018,3386,40094,2259,37475,2224,2619,1041,84245,1878,69463,2617,14782,2171,5679,927,4594,909,1085,609,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,4726,1093,907,368,787,356,120,125,3289,858,3170,845,119,100,530,428,500,426,30,52,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,9472,2373,2229,1054,2136,1034,93,161,5893,1747,3991,1183,1902,1051,1350,671,1273,662,77,101,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
