GEO_ID,B17009_001E,B17009_001M,B17009_002E,B17009_002M,B17009_003E,B17009_003M,B17009_004E,B17009_004M,B17009_005E,B17009_005M,B17009_006E,B17009_006M,B17009_007E,B17009_007M,B17009_008E,B17009_008M,B17009_009E,B17009_009M,B17009_010E,B17009_010M,B17009_011E,B17009_011M,B17009_012E,B17009_012M,B17009_013E,B17009_013M,B17009_014E,B17009_014M,B17009_015E,B17009_015M,B17009_016E,B17009_016M,B17009_017E,B17009_017M,B17009_018E,B17009_018M,B17009_019E,B17009_019M,B17009_020E,B17009_020M,B17009_021E,B17009_021M,NAME,B17009_001EA,B17009_001MA,B17009_002EA,B17009_002MA,B17009_003EA,B17009_003MA,B17009_004MA,B17009_004EA,B17009_005MA,B17009_005EA,B17009_006MA,B17009_006EA,B17009_007EA,B17009_007MA,B17009_008EA,B17009_008MA,B17009_009EA,B17009_009MA,B17009_010EA,B17009_010MA,B17009_011MA,B17009_011EA,B17009_012EA,B17009_012MA,B17009_013EA,B17009_013MA,B17009_014EA,B17009_014MA,B17009_015EA,B17009_015MA,B17009_016MA,B17009_016EA,B17009_017MA,B17009_017EA,B17009_018EA,B17009_018MA,B17009_019EA,B17009_019MA,B17009_020MA,B17009_020EA,B17009_021EA,B17009_021MA,state
0400000US32,536204,15934,134978,7290,8379,2526,3095,1216,5284,2348,45764,4888,20736,3487,25028,3019,80835,5121,37580,3430,43255,5192,401226,14114,224949,10784,151929,7253,73020,6884,86813,6510,54940,4434,31873,4101,89464,5224,77091,4576,12373,1970,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,243223,9131,49998,4083,1689,616,1062,455,627,365,20344,2437,8465,1511,11879,2063,27965,2533,17028,1965,10937,1596,193225,7609,102716,5278,68578,3838,34138,3506,40292,2964,27468,2509,12824,1804,50217,3599,44352,3263,5865,1255,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1389158,22891,282452,9804,13187,1890,5653,1325,7534,1619,69353,4911,28599,2568,40754,3735,199912,8292,114157,5141,85755,5670,1106706,19956,590270,15175,397132,10873,193138,8312,204560,8140,141374,6180,63186,4570,311876,7664,289310,7177,22566,2485,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,377822,12515,116061,7202,6767,1616,3608,1044,3159,1103,39745,4067,19790,2654,19955,2747,69549,4538,41521,3041,28028,3071,261761,9094,134662,7284,95934,5943,38728,3832,55475,3712,38803,3220,16672,2386,71624,3752,65131,3601,6493,1627,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3790133,36481,974680,17604,42981,4306,20759,2703,22222,2957,281161,7404,121406,5000,159755,6246,650538,14552,368481,11328,282057,9379,2815453,30638,1549003,25054,1038043,17309,510960,15577,541248,10544,373695,7542,167553,7501,725202,12556,657918,12004,67284,4268,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1733733,25062,515282,13667,29182,3812,13511,2166,15671,2911,195613,8453,86962,5043,108651,7096,290487,10764,170827,6615,119660,7939,1218451,20664,634805,16991,469951,12848,164854,9298,242999,8662,173051,7753,69948,5646,340647,8304,313498,7747,27149,3467,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,148619,5242,37799,2891,2825,849,1868,689,957,381,18687,2454,8837,1422,9850,1756,16287,1789,10992,1458,5295,1109,110820,4934,64157,4367,48305,3333,15852,1995,25105,2458,17720,2071,7385,1361,21558,1577,20499,1475,1059,651,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2217153,25100,619654,12348,30118,2924,18421,2117,11697,2143,225601,9204,97827,4624,127774,7839,363935,8923,232569,6523,131366,5912,1597499,19571,811225,15912,604706,12149,206519,8947,288736,8792,204415,7673,84321,4772,497538,9246,464690,8305,32848,3190,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,673495,11942,198122,7620,13561,2514,7073,1529,6488,1757,70914,4955,33869,2832,37045,3608,113647,4808,70103,3186,43544,3612,475373,8917,250604,6539,184270,5512,66334,4240,84465,4574,57592,2982,26873,2730,140304,4746,131969,4589,8335,1259,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,865198,15829,261118,9675,10733,2017,4730,1249,6003,1581,117859,6546,48714,3620,69145,5329,132526,6752,69501,4404,63025,4285,604080,12964,280686,10830,187845,7483,92841,5973,152506,6295,97736,4878,54770,4271,170888,6318,151707,5927,19181,2782,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2398697,26625,621230,13109,22226,2613,12344,1620,9882,1884,202048,9271,87029,5413,115019,6714,396956,9677,236159,6618,160797,6755,1777467,21498,880468,16432,641912,10557,238556,10768,322389,9399,236400,7264,85989,5513,574610,9321,529788,8759,44822,3392,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,225552,8282,57145,4650,2531,923,379,232,2152,922,17441,2550,7964,1518,9477,1808,37173,3578,22160,2506,15013,2212,168407,6912,88759,5551,62309,3687,26450,2956,34564,3222,21112,2304,13452,2536,45084,3043,42154,2858,2930,959,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,781125,17899,235851,9198,12023,2320,4995,1160,7028,1969,82883,5716,40025,3392,42858,4422,140945,6702,89781,4706,51164,5058,545274,15553,280335,12152,210060,9093,70275,6514,100228,6650,68445,4029,31783,4390,164711,6543,153840,5913,10871,2192,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,160709,5983,41261,3123,2909,767,1489,550,1420,628,18563,2246,8793,1398,9770,1737,19789,2146,11769,1564,8020,1198,119448,5738,69970,4807,49958,3231,20012,2924,22708,2569,15113,1773,7595,1740,26770,2556,25414,2374,1356,618,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1150122,20264,340428,10201,15719,2586,8981,1632,6738,1775,110152,6318,53175,4661,56977,4625,214557,7113,134897,5660,79660,5556,809694,16989,430276,13410,323639,10145,106637,6557,149326,6879,107939,5268,41387,3800,230092,6696,213111,6242,16981,2197,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3885960,37674,1052896,20239,67185,6269,31217,3407,35968,4998,403864,14286,178488,7780,225376,10608,581847,14146,335463,10089,246384,9216,2833064,28508,1722541,30087,1234957,18721,487584,17975,517514,15081,354702,12468,162812,8706,593009,11177,544226,10533,48783,4417,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,356917,12002,105191,7337,4768,1164,2281,783,2487,734,54154,5175,18537,2352,35617,4296,46269,4072,22690,2219,23579,2838,251726,9316,142087,7138,93581,5626,48506,4728,53462,4545,31810,3088,21652,2864,56177,3233,52876,3086,3301,608,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,143031,5054,35008,2432,1624,537,1217,407,407,253,16540,1825,7019,1160,9521,1241,16844,1856,9622,1219,7222,1360,108023,4164,56540,3702,36242,2296,20298,2262,25333,2040,17281,1602,8052,1067,26150,1883,24358,1849,1792,514,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1453318,22306,334255,10566,18873,2819,7910,1418,10963,2527,128508,6172,48872,4169,79636,5055,186874,7453,106747,4849,80127,6418,1119063,20401,682538,16373,463551,11771,218987,9018,186953,7193,122691,5275,64262,5423,249572,7187,229965,6865,19607,2757,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1423850,17149,363539,11364,15023,2399,6755,1667,8268,1864,141732,7559,57379,4211,84353,5437,206784,8550,104815,6175,101969,5858,1060311,14722,547718,13546,373562,10774,174156,7549,246270,9037,158769,6392,87501,5706,266323,7825,231490,7244,34833,2827,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,350409,9162,120117,5718,6280,1261,3202,962,3078,768,34235,3040,15884,1621,18351,2286,79602,4449,50774,3052,28828,2856,230292,8011,104205,6074,78207,4793,25998,3023,36698,3084,26422,2315,10276,1796,89389,3499,83110,3301,6279,1429,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1132839,18845,277167,9132,13128,1641,8066,1274,5062,947,122112,6291,55698,3557,66414,4554,141927,6237,86736,3361,55191,4675,855672,15954,437993,12299,315473,7955,122520,6834,181975,6829,127633,5499,54342,3644,235704,6012,218819,5639,16885,1908,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,118107,5378,24421,2657,2589,828,1824,732,765,429,9360,1233,3922,927,5438,1163,12472,1951,6299,1107,6173,1476,93686,5224,54299,3907,35817,2417,18482,2665,20349,2719,14287,2203,6062,1361,19038,1550,17772,1542,1266,607,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,509414,11222,285831,8879,8838,1465,4907,1058,3931,1027,52049,3633,27524,2163,24525,2515,224944,7816,154030,6017,70914,4280,223583,8149,124101,5924,84114,4360,39987,4056,24656,2030,16050,1907,8606,1338,74826,3968,65866,3350,8960,1552,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
