B25073_012E,B25073_012M,B25073_013E,B25073_013M,B25073_014E,B25073_014M,B25073_015E,B25073_015M,B25073_016E,B25073_016M,B25073_017E,B25073_017M,B25073_018E,B25073_018M,B25073_019E,B25073_019M,B25073_020E,B25073_020M,B25073_021E,B25073_021M,B25073_022E,B25073_022M,B25073_023E,B25073_023M,B25073_024E,B25073_024M,B25073_025E,B25073_025M,B25073_026E,B25073_026M,B25073_027E,B25073_027M,B25073_028E,B25073_028M,B25073_029E,B25073_029M,B25073_030E,B25073_030M,B25073_031E,B25073_031M,B25073_032E,B25073_032M,B25073_033E,B25073_033M,B25073_034E,B25073_034M,B25073_035E,B25073_035M,B25073_036E,B25073_036M,B25073_037E,B25073_037M,B25073_038E,B25073_038M,B25073_039E,B25073_039M,B25073_040E,B25073_040M,B25073_041E,B25073_041M,B25073_042E,B25073_042M,B25073_043E,B25073_043M,B25073_044E,B25073_044M,B25073_045E,B25073_045M,B25073_046E,B25073_046M,B25073_047E,B25073_047M,B25073_048E,B25073_048M,B25073_049E,B25073_049M,B25073_050E,B25073_050M,GEO_ID,B25073_001E,B25073_001M,B25073_002E,B25073_002M,B25073_003E,B25073_003M,B25073_004E,B25073_004M,B25073_005E,B25073_005M,B25073_006E,B25073_006M,B25073_007E,B25073_007M,B25073_008E,B25073_008M,B25073_009E,B25073_009M,B25073_010E,B25073_010M,B25073_011E,B25073_011M,B25073_012EA,B25073_012MA,B25073_013MA,B25073_013EA,B25073_014MA,B25073_014EA,B25073_015MA,B25073_015EA,B25073_016MA,B25073_016EA,B25073_017EA,B25073_017MA,B25073_018EA,B25073_018MA,B25073_019MA,B25073_019EA,B25073_020MA,B25073_020EA,B25073_021EA,B25073_021MA,B25073_022EA,B25073_022MA,B25073_023EA,B25073_023MA,B25073_024MA,B25073_024EA,B25073_025MA,B25073_025EA,B25073_026EA,B25073_026MA,B25073_027EA,B25073_027MA,B25073_028EA,B25073_028MA,B25073_029EA,B25073_029MA,B25073_030MA,B25073_030EA,B25073_031MA,B25073_031EA,B25073_032EA,B25073_032MA,B25073_033EA,B25073_033MA,B25073_034EA,B25073_034MA,B25073_035MA,B25073_035EA,B25073_036MA,B25073_036EA,B25073_037MA,B25073_037EA,B25073_038EA,B25073_038MA,B25073_039EA,B25073_039MA,B25073_040EA,B25073_040MA,B25073_041EA,B25073_041MA,B25073_042MA,B25073_042EA,B25073_043EA,B25073_043MA,B25073_044EA,B25073_044MA,B25073_045EA,B25073_045MA,B25073_046EA,B25073_046MA,B25073_047MA,B25073_047EA,B25073_048EA,B25073_048MA,B25073_049MA,B25073_049EA,B25073_050EA,B25073_050MA,NAME,B25073_001MA,B25073_001EA,B25073_002EA,B25073_002MA,B25073_003MA,B25073_003EA,B25073_004EA,B25073_004MA,B25073_005MA,B25073_005EA,B25073_006EA,B25073_006MA,B25073_007EA,B25073_007MA,B25073_008MA,B25073_008EA,B25073_009MA,B25073_009EA,B25073_010MA,B25073_010EA,B25073_011MA,B25073_011EA,state
16629,2563,15089,2383,76566,4812,11235,1843,304436,10400,63351,4773,33432,4327,34405,4592,28751,3370,129104,6550,15393,2346,78513,5535,18510,3251,10532,2502,10940,2029,5882,1648,29681,3689,2968,856,83759,6184,17462,2941,10805,2230,11212,2174,6046,1646,34426,3575,3808,1259,108883,6564,17517,2703,9374,1854,8626,1872,8947,1849,44577,4097,19842,2490,1064,554,164,226,0,225,85,146,0,225,551,404,264,269,0400000US13,1237839,18123,496223,14442,94261,5430,55172,5177,46819,4853,36850,3964,197542,10070,65579,4582,164961,7227,30366,3021,15076,2335,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
3014,885,2591,836,11419,1804,931,465,32697,2430,5480,1051,3608,978,4693,926,3347,943,14499,1781,1070,518,14259,2163,2573,743,1796,669,1731,515,1304,594,6243,1662,612,344,32692,2742,5119,1104,3692,959,3757,1049,4666,1203,13228,1871,2230,997,225,178,0,187,79,131,50,80,38,61,58,74,0,187,47,79,0,187,0,187,0,187,0,187,0,187,47,79,0400000US15,193863,5082,90355,3888,13813,1790,7768,1309,9501,1793,5933,1225,40305,3251,13035,1943,23588,2389,3002,937,2631,836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
6069,1497,3379,1128,17207,2475,1268,677,24176,2815,4559,1308,2444,1024,2199,870,2187,663,11556,1871,1231,982,10537,1774,1425,646,1179,610,2014,794,809,597,4720,1339,390,358,7884,1372,1408,624,804,513,1164,694,698,519,3805,909,5,8,14698,2133,3115,960,1373,604,844,614,984,552,6130,1396,2252,647,333,438,63,84,0,195,0,195,0,195,270,421,0,195,0400000US16,181377,6700,82862,4786,19068,2315,9728,1642,8683,1661,6776,1547,25633,2929,12974,1961,40887,3953,8481,1824,4483,1166,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
41449,3708,33318,3018,180035,6441,24518,2759,358890,9317,86694,5010,45586,3534,37178,3286,33217,3371,142390,6428,13825,1851,119628,5206,26147,2986,11801,1750,12444,1651,11108,1636,51298,3573,6830,1780,226433,6354,39281,3589,24952,3346,32654,4114,22370,2666,95617,5553,11559,2258,28256,3048,7376,1760,3183,1106,1594,703,1433,627,11074,1619,3596,886,896,770,0,189,89,147,550,709,0,189,215,256,42,53,0400000US17,1546926,16631,396095,10124,84234,4314,43407,3882,36284,3156,27348,2705,151821,6180,53001,3457,416728,10034,90051,5150,47357,3647,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
14360,1927,12492,2191,54449,3923,5267,1308,188108,7413,44951,3784,22206,2743,18722,2589,16401,2229,76972,4601,8856,1864,47679,4138,11357,2298,7032,1860,5660,1351,3227,917,17530,2571,2873,991,41687,2910,5862,1076,3893,751,6750,1242,4029,987,19383,1980,1770,520,30608,2947,6976,1484,2882,974,1635,544,1467,486,12820,1842,4828,1084,87,136,0,190,0,190,0,190,0,190,5,9,82,136,0400000US18,747049,12479,306509,8052,71809,4268,33192,2503,26631,3005,22816,2579,113523,6124,38538,3314,132371,5043,29179,2775,16624,2339,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
6912,1214,6215,1146,23554,2402,2294,797,81552,3923,22324,2448,8930,1296,7436,1284,8779,1356,30518,2947,3565,1039,37774,2923,7853,1423,4048,977,4408,1075,3196,921,17031,2234,1238,632,19783,1966,4330,951,1833,705,3309,951,1817,520,7892,1376,602,248,8348,1350,2680,1016,525,229,624,413,583,348,2570,820,1366,443,222,212,0,155,0,155,0,155,89,141,32,55,101,147,0400000US19,336397,7489,127034,5208,37300,2993,13116,1507,11622,1722,8004,1197,35675,3147,21317,2092,61684,3374,15320,1902,7389,1332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5504,1116,6098,1122,21531,2906,3174,1045,77672,4351,21788,2888,11448,1886,8309,1494,7149,1501,27549,3187,1429,543,25031,2494,4910,1134,3336,862,3078,942,2013,765,10864,1721,830,420,21456,1953,3693,958,2484,863,3898,916,1109,372,9388,1312,884,565,11706,1467,3273,955,928,436,1059,597,988,503,3616,788,1842,513,92,109,0,168,0,168,0,168,0,168,0,168,92,109,0400000US20,354622,5979,160512,4591,41783,3288,19954,2347,16451,2034,12120,1855,49425,3524,20779,1676,58153,4186,14902,1799,6944,1366,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
9203,1392,10546,1780,42615,3367,4066,970,110248,5758,29645,2908,13403,2129,11785,1785,9632,1554,41160,4204,4623,1061,24470,2892,4121,1202,3525,860,3041,740,1908,552,11097,1986,778,438,24815,2218,6104,1076,2807,789,3465,843,2057,573,8545,1573,1837,694,54468,4115,12067,2097,4684,1255,3156,1074,2666,839,19875,2469,12020,1644,98,123,46,82,0,189,0,189,0,189,0,189,52,88,0400000US21,520655,11195,201785,6884,41111,3194,21623,2759,15730,2209,15563,1873,68297,4726,39461,2995,104771,5209,26374,2949,11967,1989,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
10273,1341,9428,1605,54523,4376,6068,1281,96290,5028,20282,2354,9076,1593,10058,2184,8744,2026,44136,3572,3994,1385,25866,2821,5313,1311,1995,941,2779,823,2385,856,11939,1997,1455,608,34229,2052,8903,1486,2805,691,3857,738,3367,790,13980,1810,1317,461,57363,4733,12999,2236,2869,943,4533,1056,2752,912,20813,2795,13397,1990,640,376,184,259,62,96,35,59,0,198,0,198,359,253,0400000US22,571336,10145,239099,7474,45721,3781,21990,2612,17734,2188,12831,1875,88898,5178,51925,3502,117849,5443,23827,2770,13730,1633,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
5812,1398,4629,931,23408,2382,1284,512,33265,2821,6195,1306,3642,1041,4714,1214,2542,691,15338,2073,834,564,10931,1707,1780,633,1387,762,2197,694,1469,543,3535,984,563,345,7655,1317,990,525,773,441,1337,405,704,330,3561,940,290,262,14341,1581,2742,815,1473,665,1020,462,1083,515,6699,1309,1324,370,15,26,15,26,0,157,0,157,0,157,0,157,0,157,0400000US23,160354,5460,41215,2968,9438,1481,3640,993,3264,938,2801,780,13841,1506,8231,1279,52932,3579,10762,1614,7037,1270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
7040,1580,5107,1179,26819,2581,2972,1076,239731,6916,51755,4544,31536,3349,25281,2566,26045,3829,98788,6316,6326,1583,35268,3598,8815,2592,3908,1076,5861,1374,3321,1086,12064,1686,1299,682,104984,4643,19915,2364,11761,1690,14862,2062,11312,2058,43287,3203,3847,1074,8003,1414,1503,699,876,540,752,485,533,331,3262,1167,1077,411,151,138,0,204,0,204,83,81,0,204,68,114,0,204,0400000US24,697070,9889,247752,7676,48042,3737,27098,3305,26984,2288,17409,2453,104855,5733,23364,2543,61181,3914,12565,1873,6678,1407,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
39967,3770,35690,3290,153150,6677,15384,2186,215250,6289,48031,3622,26294,3098,27030,2783,21436,2400,85153,4336,7306,1436,86670,4831,16881,2511,12453,1651,11422,1895,7235,1394,35646,3240,3033,1048,132638,5052,23863,2259,13337,1982,23395,2434,18553,2096,47608,3238,5882,1329,2904,961,434,441,102,144,225,231,446,501,997,468,700,427,301,347,145,239,0,204,0,204,156,260,0,204,0,204,0400000US25,958788,13982,141597,7030,29018,3170,15765,1766,14322,2493,11219,1887,51996,4637,19277,1857,379428,10214,89296,5191,45941,3655,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
