GEO_ID,C08505G_001E,C08505G_001M,C08505G_002E,C08505G_002M,C08505G_003E,C08505G_003M,C08505G_004E,C08505G_004M,C08505G_005E,C08505G_005M,C08505G_006E,C08505G_006M,NAME,C08505G_001MA,C08505G_001EA,C08505G_002EA,C08505G_002MA,C08505G_003EA,C08505G_003MA,C08505G_004MA,C08505G_004EA,C08505G_005EA,C08505G_005MA,C08505G_006MA,C08505G_006EA,state
0400000US31,10911,2318,7248,1580,2307,956,89,151,1060,914,207,147,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,32198,4533,25592,4071,3888,1116,1311,847,597,431,810,505,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6069,1175,4869,1055,827,458,0,193,373,230,0,193,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,67920,5830,47011,4854,8207,1886,5829,1097,4858,1203,2015,839,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,20443,2426,15468,2322,2370,877,219,191,1273,564,1113,644,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,184095,7683,74033,5094,16626,2983,66537,4362,20568,2723,6331,1228,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,50598,5475,38021,4710,6790,1577,1154,671,2439,801,2194,832,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4617,975,3080,938,702,412,0,193,228,171,607,288,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,62419,4246,49387,3595,5530,1203,1281,512,2953,892,3268,1031,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,98143,4492,78594,3871,13100,2078,550,272,2827,622,3072,820,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,48416,4337,33202,3709,5060,1325,2474,801,4532,1181,3148,903,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,60938,4453,40482,3626,7928,1271,5060,1094,5403,1086,2065,657,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,8923,1897,6197,1486,1594,749,225,203,795,378,112,152,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,20747,3042,14823,2413,2955,1207,526,686,1377,490,1066,670,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,6878,1265,5122,1069,1157,594,73,121,257,176,269,297,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,31841,3558,24406,3032,3439,840,607,403,2587,1133,802,561,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,193052,7501,143128,7313,29636,3893,3627,1145,8592,1881,8069,1759,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,20385,2954,15018,2521,3167,899,311,268,1383,525,506,360,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,4281,843,2670,751,521,354,248,356,745,383,97,98,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,79094,6451,59093,5643,10775,2834,2441,859,3346,1055,3439,1173,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,101157,5936,67236,4992,11773,1999,9203,2016,7744,1410,5201,1107,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,8587,1392,6086,1317,1297,578,428,303,744,372,32,62,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,33623,3128,23993,2415,4002,1015,1532,751,2930,976,1166,495,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,6425,1592,4758,1446,795,418,69,78,568,343,235,253,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,140603,7085,111352,6514,11125,1912,6150,1549,8052,1552,3924,1122,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
