GEO_ID,B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,NAME,B01001G_001EA,B01001G_001MA,B01001G_002EA,B01001G_002MA,B01001G_003MA,B01001G_003EA,B01001G_004MA,B01001G_004EA,B01001G_005EA,B01001G_005MA,B01001G_006EA,B01001G_006MA,B01001G_007EA,B01001G_007MA,B01001G_008EA,B01001G_008MA,B01001G_009MA,B01001G_009EA,B01001G_010MA,B01001G_010EA,B01001G_011MA,B01001G_011EA,B01001G_012MA,B01001G_012EA,B01001G_013EA,B01001G_013MA,B01001G_014MA,B01001G_014EA,B01001G_015MA,B01001G_015EA,B01001G_016MA,B01001G_016EA,B01001G_017MA,B01001G_017EA,B01001G_018EA,B01001G_018MA,B01001G_019EA,B01001G_019MA,B01001G_020MA,B01001G_020EA,B01001G_021MA,B01001G_021EA,B01001G_022MA,B01001G_022EA,B01001G_023EA,B01001G_023MA,B01001G_024EA,B01001G_024MA,B01001G_025MA,B01001G_025EA,B01001G_026MA,B01001G_026EA,B01001G_027MA,B01001G_027EA,B01001G_028EA,B01001G_028MA,B01001G_029EA,B01001G_029MA,B01001G_030EA,B01001G_030MA,B01001G_031MA,B01001G_031EA,state
0400000US13,190234,12372,95339,8034,18748,3316,15142,2813,13540,2492,7345,1867,3270,996,7362,1593,4894,1534,4049,1183,7911,1890,7297,1665,3783,1160,708,299,789,547,501,521,94895,6999,15553,2317,12624,2326,12297,2149,5988,1598,3141,1169,9203,1747,5562,1735,5698,1611,10001,1863,6222,1415,4670,1089,2072,695,1415,659,449,330,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,331552,13187,167217,7101,20385,1801,18765,1836,16539,1807,9759,1239,6012,1089,15139,1745,12976,1414,11308,1444,17859,1786,16518,2127,12769,1514,6005,1050,2600,714,583,427,164335,7595,17971,1700,17367,1966,17099,2164,9634,1432,5044,835,15004,1820,14356,1747,10447,1513,17643,1939,15771,1817,13598,1652,6662,983,2707,689,1032,452,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39460,4126,20538,2914,1980,855,3992,826,2779,864,576,382,1499,701,1529,645,1272,649,1503,1082,1603,901,1468,633,988,517,1056,649,35,44,258,204,18922,2399,2363,953,3416,1372,2776,813,753,387,806,440,1774,658,1002,600,802,279,1587,708,1329,562,1187,531,566,296,70,70,491,461,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,263559,12405,131018,7791,20353,2492,20040,2693,16273,2038,7230,1308,5328,1248,11804,2311,10262,2099,7268,1535,12258,1855,10008,1562,6196,1427,2557,671,1406,838,35,52,132541,6762,21248,2619,20319,2606,15267,1936,8707,1816,4741,1140,11894,1995,8944,1423,8531,1978,9022,1456,9389,1620,7317,1212,3659,828,2485,718,1018,531,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,142369,7286,71389,4683,12350,1808,9703,1571,10322,1938,6049,1349,4346,1054,5442,1138,4252,1094,3832,833,6275,1537,4170,868,2980,844,1205,484,368,222,95,98,70980,4656,12563,1887,10947,1861,8861,1540,5595,1094,3369,856,5206,1296,4286,1213,2596,696,5068,1082,5648,1151,3773,988,1580,607,1228,427,260,211,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,60888,4827,30172,2944,4709,1179,5819,1218,5658,1157,1557,407,2145,766,1862,612,1570,722,1567,598,2578,1096,1636,505,754,368,254,185,37,57,26,43,30716,3015,5830,1259,5151,1290,3447,877,3519,903,2010,807,1706,560,2051,912,1453,457,2438,675,1413,523,958,457,419,244,315,188,6,11,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,96539,6414,47745,3844,7975,1339,5415,1206,6734,1322,5470,1156,1973,729,3276,1005,3460,1035,2013,672,4221,1147,3245,813,2473,748,1017,410,318,177,155,162,48794,3788,7566,1160,7332,1517,7208,1384,2386,675,2732,892,3807,1198,2652,865,1971,685,4159,990,4220,876,2291,673,1724,594,451,299,295,195,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,80247,6532,37436,3850,8470,1867,6966,1325,4565,987,1976,624,1692,714,2007,847,917,468,1840,773,3048,952,2374,746,2378,881,969,505,234,220,0,189,42811,4219,7712,1802,8282,2036,5621,1084,3209,1102,1843,708,3063,954,2466,935,2515,1076,2477,767,2210,645,2117,811,470,332,506,270,320,285,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,77661,6414,38308,4330,7322,2038,4857,1223,5172,1413,3465,1015,1530,607,2415,843,1932,774,1094,564,2296,862,4064,924,2304,674,1284,492,444,235,129,126,39353,3942,5716,1460,3503,1249,5203,1246,1878,713,1543,752,3954,1146,1846,676,3159,1091,3500,1091,3595,885,2629,929,1215,431,1162,491,450,373,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25067,2640,14888,1799,1871,833,2856,1213,2747,706,796,420,831,433,789,414,747,400,399,296,1023,459,1133,445,803,269,365,183,488,431,40,75,10179,1640,1159,451,1984,595,1153,538,576,272,601,287,794,414,211,144,250,177,1142,408,939,430,773,290,271,218,309,226,17,27,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
