GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001MA,B08503_001EA,B08503_002MA,B08503_002EA,B08503_003EA,B08503_003MA,B08503_004EA,B08503_004MA,B08503_005EA,B08503_005MA,B08503_006MA,B08503_006EA,B08503_007MA,B08503_007EA,state
0400000US26,42.7,0.2,43.2,0.2,39.7,0.7,36.3,1.7,29.6,1.4,38.3,1.9,47.6,0.5,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42.4,0.1,42.8,0.2,39.4,0.7,36.9,1.5,34.3,1.5,39.4,2.2,47.2,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,41.9,0.3,42.3,0.4,39.8,1.4,41.6,2.4,32.5,3.7,40.4,2.8,48.7,1.6,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,42.1,0.2,42.5,0.2,39.4,0.8,38.5,3.0,30.9,2.1,38.1,2.6,45.7,0.8,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,43.6,0.4,43.8,0.6,39.9,1.4,50.0,9.5,42.0,5.5,34.6,5.4,51.1,1.5,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,42.4,0.3,42.6,0.3,38.8,1.2,34.3,6.4,35.2,3.2,38.2,3.7,50.2,1.0,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,41.3,0.4,41.5,0.4,38.6,1.2,37.9,3.4,41.4,2.8,41.5,2.6,46.8,2.3,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,44.5,0.3,44.9,0.4,40.8,1.2,34.8,5.6,31.4,3.8,41.5,2.8,49.7,1.0,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,44.0,0.2,44.7,0.2,41.0,0.7,37.9,0.9,38.8,1.0,38.2,1.5,49.1,0.6,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,42.2,0.4,42.3,0.4,38.3,0.9,42.4,4.1,34.7,6.5,42.0,4.6,53.0,1.9,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
