GEO_ID,C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,NAME,C21001H_001EA,C21001H_001MA,C21001H_002EA,C21001H_002MA,C21001H_003EA,C21001H_003MA,C21001H_004MA,C21001H_004EA,C21001H_005MA,C21001H_005EA,C21001H_006EA,C21001H_006MA,C21001H_007EA,C21001H_007MA,C21001H_008EA,C21001H_008MA,C21001H_009MA,C21001H_009EA,C21001H_010MA,C21001H_010EA,C21001H_011MA,C21001H_011EA,C21001H_012EA,C21001H_012MA,C21001H_013MA,C21001H_013EA,C21001H_014MA,C21001H_014EA,C21001H_015MA,C21001H_015EA,state
0400000US33,967720,958,471788,633,391859,633,57432,3455,334427,3421,79929,184,46923,2058,33006,2058,495932,543,396383,540,5478,1100,390905,1156,99549,66,1665,577,97884,580,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4126396,4593,1975080,2718,1588171,2570,134779,5397,1453392,6377,386909,514,211746,4186,175163,4229,2151316,2359,1617616,2083,8535,1532,1609081,2621,533700,499,4693,873,529007,1006,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,692123,2027,335682,1876,257257,1876,50890,3391,206367,3856,78425,412,46089,2014,32336,1947,356441,763,263879,744,6919,1208,256960,1500,92562,354,2112,589,90450,636,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,9081078,4141,4366276,2578,3547725,2509,307692,7133,3240033,7006,818551,533,396417,6067,422134,5924,4714802,2463,3605995,2295,25082,2353,3580913,3576,1108807,674,9583,1362,1099224,1337,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,4957431,4230,2361536,3443,1913899,3479,279915,8200,1633984,8735,447637,346,242018,5453,205619,5441,2595895,1961,2013649,1929,30447,3046,1983202,3907,582246,456,6845,1777,575401,1838,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,479266,778,239887,758,198232,758,27578,1879,170654,1815,41655,14,20852,1380,20803,1380,239379,143,185635,144,3105,811,182530,814,53744,9,191,147,53553,148,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7337238,2081,3540451,1847,2913354,1836,386883,9019,2526471,9052,627097,175,337066,5649,290031,5646,3796787,868,2958206,825,31943,2591,2926263,2864,838581,297,7459,1082,831122,1113,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2052353,1663,991567,1469,798244,1454,133744,4755,664500,4974,193323,89,109103,2721,84220,2709,1060786,640,814161,619,12962,1860,801199,1995,246625,141,3366,711,243259,729,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2450541,2226,1190937,1365,962357,1325,142428,5904,819929,5804,228580,414,134567,3516,94013,3498,1259604,1244,977762,1022,13449,1911,964313,2179,281842,426,4572,1021,277270,1111,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,8124016,3473,3908562,2865,3154590,2833,382592,7533,2771998,7709,753972,445,422718,5427,331254,5422,4215454,1327,3191531,1172,32130,2246,3159401,2472,1023923,336,10306,1107,1013617,1165,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,656629,1643,310043,1109,251724,1081,28812,2483,222912,2796,58319,181,33652,1398,24667,1407,346586,914,264307,900,3177,812,261130,1243,82279,113,587,334,81692,354,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2372561,3146,1137800,2910,909941,2909,151724,5542,758217,6158,227859,7,131283,4102,96576,4101,1234761,994,951379,999,12887,2357,938492,2559,283382,111,4238,1040,279144,1035,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,540688,1112,266426,1066,216714,1071,31495,2391,185219,2571,49712,33,27511,1445,22201,1444,274262,398,211000,398,3760,964,207240,1019,63262,11,687,359,62575,359,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3807208,2246,1826572,2028,1489989,2010,212836,6998,1277153,7386,336583,163,173302,4233,163281,4224,1980636,863,1546169,858,22535,2727,1523634,2766,434467,189,3330,728,431137,779,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9106693,5546,4430814,4867,3624026,4731,540446,13017,3083580,13090,806788,818,471573,7586,335215,7642,4675879,2545,3671672,2477,68862,5558,3602810,6171,1004207,826,13694,1783,990513,1879,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1587009,1890,782756,1434,673990,1435,66260,3714,607730,4011,108766,14,60691,2103,48075,2103,804253,875,674440,875,6985,1569,667455,1595,129813,28,1211,441,128602,443,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,474486,558,231129,341,190093,341,23399,1919,166694,1862,41036,4,23010,935,18026,935,243357,329,192348,329,2219,429,190129,567,51009,3,1039,458,49970,458,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4098248,4431,1972505,3736,1623012,3753,289424,8212,1333588,9136,349493,347,203832,4038,145661,4032,2125743,1906,1682347,1815,40433,3490,1641914,4036,443396,754,5616,1033,437780,1415,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3929634,3364,1925316,2772,1583212,2763,272612,7934,1310600,7820,342104,201,204791,3627,137313,3616,2004318,1731,1588096,1716,34091,3001,1554005,3727,416222,252,7715,1279,408507,1356,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1378340,1470,668849,1178,541339,1142,77251,3567,464088,3979,127510,182,63732,2560,63778,2574,709491,751,547425,541,5260,1076,542165,1128,162066,399,1763,615,160303,756,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3767220,1740,1847168,1249,1519683,1240,189705,5644,1329978,5966,327485,105,174857,2973,152628,2989,1920052,775,1499853,760,19330,2383,1480523,2425,420199,45,3887,841,416312,848,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,378251,769,191115,662,159580,662,24886,2766,134694,2799,31535,6,19249,1056,12286,1056,187136,335,151375,315,3648,966,147727,1031,35761,166,432,247,35329,277,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,22788,2888,12265,1859,10581,1767,625,377,9956,1702,1684,531,604,345,1080,460,10523,1743,9162,1602,0,210,9162,1602,1361,503,0,210,1361,503,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
