GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001EA,B19082_001MA,B19082_002EA,B19082_002MA,B19082_003EA,B19082_003MA,B19082_004EA,B19082_004MA,B19082_005MA,B19082_005EA,B19082_006MA,B19082_006EA,state
0400000US15,3.59,0.20,9.92,0.21,15.87,0.27,24.06,0.36,46.55,0.76,18.98,0.85,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3.99,0.17,9.59,0.24,15.55,0.27,23.75,0.37,47.13,0.78,19.23,1.01,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3.20,0.05,8.57,0.09,14.69,0.12,23.03,0.14,50.50,0.34,22.12,0.41,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3.59,0.08,9.32,0.13,15.41,0.17,23.56,0.22,48.12,0.51,20.56,0.59,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3.87,0.10,9.61,0.14,15.67,0.18,23.66,0.23,47.19,0.52,19.76,0.59,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3.80,0.11,9.36,0.15,15.23,0.19,23.42,0.21,48.19,0.52,20.64,0.62,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3.17,0.09,8.41,0.15,14.70,0.21,23.48,0.29,50.23,0.62,21.50,0.83,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2.87,0.08,7.90,0.14,14.28,0.20,23.99,0.25,50.96,0.54,21.60,0.64,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3.68,0.13,8.89,0.20,15.19,0.29,23.74,0.40,48.50,0.87,20.80,1.06,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3.43,0.08,9.30,0.11,15.40,0.14,23.78,0.20,48.09,0.41,19.84,0.47,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2.91,0.05,8.27,0.10,14.74,0.14,23.53,0.17,50.55,0.35,21.87,0.43,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3.35,0.05,8.80,0.08,14.91,0.10,23.50,0.11,49.44,0.26,21.08,0.35,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3.65,0.06,9.42,0.11,15.54,0.13,23.37,0.17,48.01,0.40,20.67,0.45,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,3.15,0.10,8.31,0.17,14.48,0.23,23.60,0.27,50.46,0.60,21.31,0.67,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3.48,0.09,8.94,0.12,14.80,0.16,23.08,0.22,49.70,0.48,21.66,0.63,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4.01,0.14,9.42,0.26,15.54,0.32,23.62,0.41,47.42,0.92,19.80,1.06,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,3.75,0.14,9.28,0.20,15.31,0.30,23.29,0.36,48.37,0.88,21.09,1.14,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,3.61,0.15,9.27,0.22,14.98,0.28,23.08,0.39,49.05,0.85,21.21,1.14,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3.84,0.15,9.45,0.24,15.78,0.30,23.81,0.37,47.11,0.86,19.63,1.09,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3.17,0.06,8.56,0.09,14.80,0.11,23.36,0.16,50.12,0.33,21.71,0.40,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,3.02,0.12,8.20,0.20,14.24,0.30,23.28,0.43,51.25,0.88,22.35,1.25,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2.75,0.04,7.69,0.07,13.84,0.11,22.47,0.15,53.26,0.31,24.72,0.40,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3.30,0.06,8.60,0.10,14.50,0.13,22.98,0.17,50.63,0.36,22.06,0.45,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3.52,0.20,9.25,0.30,15.62,0.32,23.83,0.42,47.78,0.92,20.46,1.06,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3.35,0.04,8.86,0.07,15.01,0.09,23.48,0.11,49.29,0.25,20.95,0.32,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3.47,0.07,8.84,0.11,14.84,0.15,23.26,0.21,49.59,0.41,21.59,0.52,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3.44,0.10,8.98,0.18,15.00,0.21,23.28,0.30,49.30,0.65,21.51,0.83,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3.44,0.04,8.80,0.07,14.91,0.09,23.22,0.09,49.64,0.22,21.27,0.26,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,3.07,0.16,8.48,0.28,15.01,0.40,23.94,0.52,49.50,1.09,21.14,1.37,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3.25,0.09,8.67,0.14,14.85,0.18,23.46,0.25,49.77,0.52,21.07,0.59,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3.95,0.17,9.49,0.25,15.77,0.36,23.87,0.41,46.91,0.92,19.82,1.04,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3.29,0.06,8.50,0.10,14.38,0.16,22.90,0.21,50.93,0.46,22.82,0.60,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3.21,0.05,8.42,0.07,14.35,0.11,22.96,0.14,51.05,0.29,22.51,0.36,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,4.04,0.11,10.04,0.21,15.99,0.23,23.33,0.29,46.59,0.66,19.74,0.78,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3.98,0.16,9.64,0.26,15.75,0.33,23.67,0.43,46.96,0.93,19.53,1.18,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3.31,0.06,8.80,0.11,14.82,0.12,23.22,0.15,49.85,0.33,20.97,0.41,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3.61,0.08,9.34,0.10,15.39,0.12,23.50,0.14,48.16,0.33,20.20,0.38,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,3.30,0.11,8.36,0.16,14.47,0.29,23.48,0.48,50.40,0.89,21.68,1.32,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3.84,0.06,9.53,0.09,15.66,0.11,23.57,0.18,47.41,0.36,20.23,0.49,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,4.48,0.21,10.03,0.29,16.30,0.40,24.39,0.50,44.79,1.16,18.01,1.42,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1.73,0.10,7.13,0.14,13.12,0.19,22.77,0.29,55.26,0.60,24.78,0.77,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
