GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001EA,B12002A_001MA,B12002A_002EA,B12002A_002MA,B12002A_003MA,B12002A_003EA,B12002A_004EA,B12002A_004MA,B12002A_005MA,B12002A_005EA,B12002A_006EA,B12002A_006MA,B12002A_007EA,B12002A_007MA,B12002A_008MA,B12002A_008EA,B12002A_009EA,B12002A_009MA,B12002A_010MA,B12002A_010EA,B12002A_011EA,B12002A_011MA,B12002A_012EA,B12002A_012MA,B12002A_013EA,B12002A_013MA,state
0400000US33,1037020,1821,507604,1334,156191,3862,281991,5649,5228,1100,11344,1487,52850,3676,529416,1087,132853,3524,273491,5741,7361,1744,45043,2528,70668,3456,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5038822,15866,2428839,9019,809519,11619,1328688,14348,33012,3054,76155,4173,181465,7770,2609983,9473,702730,11098,1286884,15261,52819,4078,291165,5315,276385,8088,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1210144,10389,592835,5799,184245,5606,309163,7416,6918,1248,16336,2106,76173,4805,617309,6279,160491,5074,292067,7473,13319,2013,57701,3010,93731,4731,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10633189,22673,5148172,12889,1874559,15252,2629463,17413,90117,4518,151880,5553,402153,8819,5485017,13602,1648696,16387,2551284,20768,130557,4921,585936,9652,568544,11215,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5562582,12026,2704046,7932,773504,11818,1542008,17308,67475,5533,71109,4766,249950,9086,2858536,7134,626695,10901,1522316,17460,85216,6247,288407,7833,335902,10006,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,509763,956,257332,918,84499,2807,141162,3514,1480,551,6259,876,23932,2309,252431,642,62477,2801,136846,3896,1955,689,26844,1522,24309,2101,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7861605,5426,3812160,3861,1188993,10776,2028991,16235,52619,3400,117888,3934,423669,9965,4049445,3191,1003308,9825,2024483,16200,73616,4484,416828,6767,531210,11753,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2291287,4456,1121914,3314,295978,6203,634043,7783,17311,2015,35425,2530,139157,4638,1169373,2683,233539,4780,625533,8093,24403,2516,124528,3812,161370,5986,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2726907,8411,1334909,5015,420595,7587,697147,9268,18162,2401,33164,2490,165841,6337,1391998,4430,347590,7838,694115,10743,25330,2854,122880,4429,202083,7586,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,8788821,8261,4251135,5541,1406768,11136,2263934,14535,73741,4064,143060,5277,363632,9556,4537686,5069,1214458,11588,2232209,18219,94400,4739,523220,7333,473399,11197,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,730529,4523,348055,2776,126397,4318,171161,4802,5085,1262,10467,1434,34945,3352,382474,2548,111554,3859,171578,5340,6253,1289,41437,2282,51652,3450,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2596176,6566,1266402,4630,355774,8999,719873,11210,28843,3024,35486,3126,126426,6842,1329774,3676,279908,7835,717423,11129,39265,5148,144584,5272,148594,7908,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,577413,1804,285846,1681,86590,3544,160004,4874,2617,734,8022,1075,28613,2654,291567,1395,70766,3004,158862,4045,3119,901,28456,1727,30364,2615,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4106856,5935,1990226,3789,551678,8759,1103022,12407,31264,3453,59989,3354,244273,8065,2116630,4081,440939,8159,1106549,12127,43368,3694,226271,6844,299503,9207,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,14974708,31450,7381730,18221,2362369,21600,3973903,25581,144266,9323,172485,7099,728707,14256,7592978,17225,1928140,20899,3849455,26604,217559,9469,652255,11344,945569,19161,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1844100,6887,916722,4204,282885,7645,529363,8531,11827,2137,14712,1846,77935,3617,927378,3989,230885,5444,527812,7577,15156,2405,54539,2799,98986,4627,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,502291,876,245500,592,81191,2465,129577,3338,2235,588,5070,716,27427,1970,256791,726,69429,2442,129263,3736,3303,719,21501,1511,33295,2279,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4645806,10279,2284212,6435,704704,10472,1276716,13967,44231,3876,56237,2969,202324,7624,2361594,5897,564200,9027,1247386,14362,58709,4805,216816,5846,274483,7570,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4435491,10826,2199965,6397,696849,9809,1166902,12818,27360,2378,52225,3325,256629,9341,2235526,6241,543987,8723,1131058,12487,41310,3759,187344,6696,331827,7414,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1451724,1911,706869,1756,216717,5148,366066,6913,9988,1469,25502,2352,88596,4045,744855,1722,168132,5421,365593,6830,17833,2108,93483,3693,99814,5032,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4104192,5497,2022379,3482,643379,8529,1112178,10216,18751,2241,50386,2719,197685,6126,2081813,3312,524501,7806,1096502,10679,21806,2016,201691,3959,237313,7044,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,416247,1763,209828,1165,64346,3413,113745,4214,2735,860,4729,898,24273,2270,206419,1298,47036,2623,111035,3345,2511,779,16876,1324,28961,2410,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2067134,17780,959534,10055,376632,9060,411679,7785,29241,2553,29157,2352,112825,5449,1107600,11071,360124,8290,422777,9419,36807,3225,123348,4958,164544,6076,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
