B27014_020E,B27014_020M,B27014_021E,B27014_021M,B27014_022E,B27014_022M,B27014_023E,B27014_023M,B27014_024E,B27014_024M,B27014_025E,B27014_025M,B27014_026E,B27014_026M,B27014_027E,B27014_027M,B27014_028E,B27014_028M,B27014_029E,B27014_029M,B27014_030E,B27014_030M,B27014_031E,B27014_031M,B27014_032E,B27014_032M,B27014_033E,B27014_033M,B27014_034E,B27014_034M,B27014_035E,B27014_035M,B27014_036E,B27014_036M,B27014_037E,B27014_037M,B27014_038E,B27014_038M,B27014_039E,B27014_039M,B27014_040E,B27014_040M,B27014_041E,B27014_041M,B27014_042E,B27014_042M,B27014_043E,B27014_043M,B27014_044E,B27014_044M,B27014_045E,B27014_045M,B27014_046E,B27014_046M,GEO_ID,B27014_001E,B27014_001M,B27014_002E,B27014_002M,B27014_003E,B27014_003M,B27014_004E,B27014_004M,B27014_005E,B27014_005M,B27014_006E,B27014_006M,B27014_007E,B27014_007M,B27014_008E,B27014_008M,B27014_009E,B27014_009M,B27014_010E,B27014_010M,B27014_011E,B27014_011M,B27014_012E,B27014_012M,B27014_013E,B27014_013M,B27014_014E,B27014_014M,B27014_015E,B27014_015M,B27014_016E,B27014_016M,B27014_017E,B27014_017M,B27014_018E,B27014_018M,B27014_019E,B27014_019M,B27014_020EA,B27014_020MA,B27014_021EA,B27014_021MA,B27014_022EA,B27014_022MA,B27014_023EA,B27014_023MA,B27014_024EA,B27014_024MA,B27014_025EA,B27014_025MA,B27014_026EA,B27014_026MA,B27014_027EA,B27014_027MA,B27014_028EA,B27014_028MA,B27014_029EA,B27014_029MA,B27014_030MA,B27014_030EA,B27014_031EA,B27014_031MA,B27014_032EA,B27014_032MA,B27014_033EA,B27014_033MA,B27014_034EA,B27014_034MA,B27014_035MA,B27014_035EA,B27014_036EA,B27014_036MA,B27014_037EA,B27014_037MA,B27014_038EA,B27014_038MA,B27014_039MA,B27014_039EA,B27014_040MA,B27014_040EA,B27014_041MA,B27014_041EA,B27014_042EA,B27014_042MA,B27014_043EA,B27014_043MA,B27014_044MA,B27014_044EA,B27014_045MA,B27014_045EA,B27014_046MA,B27014_046EA,NAME,B27014_001MA,B27014_001EA,B27014_002MA,B27014_002EA,B27014_003MA,B27014_003EA,B27014_004EA,B27014_004MA,B27014_005EA,B27014_005MA,B27014_006EA,B27014_006MA,B27014_007MA,B27014_007EA,B27014_008MA,B27014_008EA,B27014_009EA,B27014_009MA,B27014_010EA,B27014_010MA,B27014_011EA,B27014_011MA,B27014_012MA,B27014_012EA,B27014_013MA,B27014_013EA,B27014_014EA,B27014_014MA,B27014_015EA,B27014_015MA,B27014_016EA,B27014_016MA,B27014_017EA,B27014_017MA,B27014_018MA,B27014_018EA,B27014_019MA,B27014_019EA,state
51037,5099,639400,14257,55546,3226,53148,3180,2398,1201,938232,18033,885595,16681,77787,5540,807808,15677,52637,4225,50896,4253,1741,807,2499749,27530,977659,15478,636852,15278,222889,9483,413963,12040,340807,5302,335019,5398,5788,1421,1522090,19509,1004924,19515,264785,9047,740139,18378,517166,4567,507814,4948,9352,2002,0400000US13,7135025,4919,2951061,25821,1651517,17106,1600136,16442,53555,4338,1546581,16391,51381,3907,42734,3136,8647,1838,1299544,16565,1270994,16516,35652,4339,1235342,16323,28550,2746,23488,2557,5062,1130,1684215,24508,745983,14695,690437,14061,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
14238,2026,83104,4482,11888,1682,11297,1675,591,299,131916,5724,119603,5131,20106,2282,99497,4588,12313,1832,11112,1804,1201,673,341415,7547,143267,5232,78931,4862,32278,3452,46653,4023,64336,1823,62611,1885,1725,487,198148,5434,108130,4605,33796,2825,74334,3670,90018,2212,87403,2070,2615,746,0400000US15,1021988,2428,439427,8833,240749,5918,229142,5961,11956,1588,217186,5939,11607,1311,9021,1331,2586,782,198678,5429,190560,5404,7142,1238,183418,5573,8118,1461,5900,1179,2218,761,241146,7741,109230,4854,97342,4750,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
13575,1996,125228,5269,13035,1395,12684,1350,351,280,188149,6342,175680,5716,15422,2287,160258,5642,12469,1709,12065,1688,404,367,360330,8855,147619,4833,75889,4470,30344,3258,45545,3767,71730,1701,71085,1718,645,356,212711,6296,121427,5755,31748,2931,89679,5011,91284,2126,90615,2145,669,485,0400000US16,1138581,1394,438264,9360,262720,6814,255168,6591,11096,1861,244072,6734,7552,1055,6794,1044,758,421,175544,5706,171564,5767,5095,1228,166469,5718,3980,922,3450,870,530,365,339987,8934,151838,6052,138803,5768,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
108606,5258,908034,12705,95360,3369,90470,3433,4890,1345,1360956,15768,1262773,15453,193202,7507,1069571,15036,98183,4549,93828,4417,4355,871,3062115,20212,1217076,13378,708468,12052,232900,7716,475568,11285,508608,5137,497488,4951,11120,1787,1845039,15034,1085357,14526,330616,9139,754741,13648,759682,5185,742305,5425,17377,2206,0400000US17,9596119,2424,4061048,22671,2285907,16363,2213715,15761,92948,4974,2120767,16550,72192,3710,59366,3688,12826,2081,1775141,14923,1727142,14513,96241,5434,1630901,14080,47999,2907,36512,2592,11487,1689,2472956,21202,1112000,13198,1016640,13042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
52760,3753,450349,9573,57627,2892,56440,2791,1187,411,726318,10555,678205,10303,78848,4640,599357,9544,48113,2780,46444,2607,1669,763,1546566,15571,617064,10768,349102,9284,127373,5068,221729,7980,267962,4145,265627,3966,2335,934,929502,9621,534685,9208,172104,6485,362581,8618,394817,3757,391147,3772,3670,1134,0400000US18,4824008,2611,1990388,16291,1152352,12177,1122536,11386,46370,3583,1076166,11907,29816,2499,24398,2106,5418,1206,838036,10846,817033,10417,25859,2814,791174,10413,21003,1985,17446,1778,3557,1100,1287054,15159,560736,10908,503109,10541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
35868,2857,204040,5776,37005,1873,36677,1859,328,238,345959,7547,312663,7250,41940,3052,270723,6530,33296,2313,32674,2340,622,380,614983,7857,243368,5216,112166,5067,52181,3215,59985,3463,131202,2354,130495,2372,707,309,371615,6019,170453,5569,60960,3682,109493,4207,201162,2776,199019,2830,2143,669,0400000US19,2295904,2279,1058049,11152,602604,7618,581824,7594,27777,2427,554047,7560,20780,1636,18788,1515,1992,556,455445,7241,444397,7133,15628,1805,428769,7013,11048,1233,9410,1101,1638,576,622872,10428,276913,6560,239908,6283,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
20077,2132,187141,6075,28325,1718,27681,1688,644,409,311422,7204,284976,7039,24361,2147,260615,6779,26446,1727,25999,1750,447,263,571718,9122,219116,5881,111714,5170,43397,3117,68317,3850,107402,2482,105915,2569,1487,636,352602,6190,187149,5808,49673,3875,137476,5132,165453,2559,163441,2769,2012,775,0400000US20,2092319,2123,973636,10236,559196,8533,535393,7916,18040,2213,517353,8112,23803,1856,20625,1774,3178,753,414440,6606,401999,6440,8570,1344,393429,6483,12441,1411,10649,1356,1792,518,546965,10250,235543,6764,207218,6191,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
32533,3020,286978,7593,31549,2066,30660,2116,889,460,441797,9629,412469,9213,42688,3328,369781,9076,29328,2245,28768,2222,560,321,1210786,13622,503568,9054,307921,8107,158039,6622,149882,5871,195647,3248,194936,3302,711,386,707218,9573,427698,8587,168767,5625,258931,8158,279520,3153,276144,3146,3376,873,0400000US21,3261409,3402,1257766,12108,709401,7765,686958,7705,30713,2729,656245,7372,22443,1831,20225,1744,2218,719,548365,8867,535473,8749,13847,1788,521626,8525,12892,1752,10995,1536,1897,677,792857,12579,351060,7982,319511,7920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
33742,3433,285475,10238,29018,2423,28374,2444,644,330,441003,8146,412070,8063,60176,5091,351894,8098,28933,2138,27876,2105,1057,539,1167189,13208,466371,8437,287362,7830,133204,5199,154158,6799,179009,3142,176188,3239,2821,811,700818,9773,436975,9043,152341,5455,284634,7685,263843,3273,258648,3147,5195,1015,0400000US22,3355775,2537,1399348,16707,773733,12034,744870,11328,30302,2964,714568,11606,28863,2485,25281,2424,3582,859,625615,9850,604586,10126,27378,2639,577208,9860,21029,1917,18002,1762,3027,939,789238,13915,348235,11255,319217,10971,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
23920,2096,92975,4558,18333,1471,17972,1427,361,226,166004,4672,151887,4226,34630,3124,117257,3826,14117,1311,13486,1205,631,297,323659,5499,136882,4025,69654,3531,43728,3060,25926,1757,67228,1709,66772,1704,456,206,186777,3964,90216,3453,47724,2822,42492,2673,96561,1860,95204,1787,1357,477,0400000US23,1044220,1236,419329,7646,231269,5162,222947,4979,18849,2324,204098,4947,8322,1166,7215,1075,1107,409,188060,4588,182422,4492,13055,1793,169367,4581,5638,870,4611,907,1027,333,301232,6670,135228,4782,116895,4682,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
48997,4089,363485,9686,45837,3047,44309,2935,1528,732,594662,12923,546971,12493,72871,4931,474100,11088,47691,2917,44818,2833,2873,840,1243364,15382,486001,9631,273890,9056,102743,4997,171147,7923,212111,3777,206530,3837,5581,1229,757363,11570,430233,10056,140931,7371,289302,9191,327130,4622,316700,4809,10430,1663,0400000US24,4392090,2512,2095745,16569,1126176,11575,1080977,10892,38636,2765,1042341,11239,45199,2513,36811,2630,8388,1403,969569,13109,939985,12660,39592,3281,900393,12558,29584,2976,21675,2348,7909,1432,1052981,16213,458319,11364,412482,10625,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
128496,5857,428569,8452,60983,3460,58579,3459,2404,758,840741,10764,775165,10404,170167,6836,604998,10463,65576,3014,61639,3042,3937,975,1475207,14734,583613,9309,315175,8125,170144,6404,145031,6114,268438,4217,263044,4108,5394,1150,891594,10363,477603,10598,223148,7485,254455,8200,413991,3610,404432,3946,9559,1592,0400000US25,5105723,1589,2171727,14737,1224676,10388,1179469,9620,80088,5015,1099381,10740,45207,2966,36715,2782,8492,1282,947051,10975,918662,11287,69805,4603,848857,11102,28389,2027,22295,1861,6094,1011,1458789,14216,618048,10276,557065,9576,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
113357,5051,715871,10409,75403,3341,74123,3315,1280,408,1144383,12445,1077613,11879,166348,5680,911265,11973,66770,3000,64882,2895,1888,481,2748810,17172,1178776,12017,701974,11416,311652,7765,390322,10052,476802,4051,472904,4125,3898,863,1570034,12723,903301,12576,351672,9917,551629,10624,666733,3809,660203,3729,6530,1052,0400000US26,7472775,2458,2674951,17906,1513330,14362,1475327,14213,65961,3538,1409366,13758,38003,2449,32421,2238,5582,1085,1161621,11333,1135310,11320,55070,4011,1080240,11332,26311,1767,21394,1682,4917,1033,2049014,16965,904631,10846,829228,10285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
