GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001EA,B13002I_001MA,B13002I_002MA,B13002I_002EA,B13002I_003MA,B13002I_003EA,B13002I_004EA,B13002I_004MA,B13002I_005EA,B13002I_005MA,B13002I_006EA,B13002I_006MA,B13002I_007MA,B13002I_007EA,state
0400000US24,134571,1630,11423,2073,6186,1453,5237,1575,123148,2829,51746,3006,71402,3570,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,188187,1033,12738,1986,4872,1309,7866,1606,175449,2194,61444,3327,114005,3684,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,114871,1853,8226,1309,5318,1203,2908,789,106645,2017,45415,2341,61230,2839,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,65034,1895,5786,1206,2653,906,3133,855,59248,2092,27237,2020,32011,2063,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,17880,1651,1719,822,1047,677,672,491,16161,1747,8894,1502,7267,1314,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,55399,1764,3928,1012,2566,796,1362,602,51471,1832,23242,1457,28229,1871,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7399,1022,206,266,206,266,0,165,7193,1051,2622,838,4571,902,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,44550,1386,3886,951,2707,794,1179,586,40664,1557,20278,1950,20386,1878,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,199881,1751,12495,2171,7080,1691,5415,1279,187386,2643,87346,4840,100040,5057,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,10607,895,318,271,193,174,125,206,10289,934,3794,759,6495,1035,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,444408,1778,26220,2577,14330,2001,11890,1838,418188,3054,175210,5062,242978,5350,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,244927,2047,16010,2536,7474,1999,8536,1785,228917,3282,91576,4320,137341,4698,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,966290,2411,61210,4778,27457,3150,33753,3571,905080,5118,332202,7376,572878,8380,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,212683,4024,18776,3063,11494,2208,7282,1874,193907,4487,96693,4831,97214,4981,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3061,724,74,82,47,71,27,53,2987,728,1395,541,1592,672,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,91775,1915,5926,1345,2580,821,3346,1127,85849,2291,32831,1929,53018,2484,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,83860,1777,6350,1240,3822,1128,2528,694,77510,2006,40045,2208,37465,2574,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,122004,1599,9958,2068,6384,1635,3574,1176,112046,2591,55816,2941,56230,2788,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,201100,1927,14182,2283,5760,1663,8422,1556,186918,3048,68071,3262,118847,3572,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,38038,498,3363,840,1283,568,2080,763,34675,942,14689,1700,19986,1826,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,58833,2178,5728,1749,4228,1667,1500,822,53105,2446,29628,2983,23477,2530,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5761,934,354,269,191,231,163,143,5407,967,2145,613,3262,755,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,75498,2812,6878,1503,4644,1187,2234,1102,68620,3123,35584,2569,33036,3648,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2579460,6043,190382,8683,114519,6387,75863,5222,2389078,11162,1156153,16321,1232925,17127,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,98801,1973,6778,1378,4771,1280,2007,675,92023,2593,48352,2944,43671,2870,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2641,541,80,120,80,120,0,145,2561,519,764,355,1797,544,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,181940,2863,12643,2229,6924,1588,5719,1577,169297,3576,83394,4158,85903,4187,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,209559,2531,16020,2731,9964,2039,6056,1641,193539,3479,89527,3745,104012,4225,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,4638,1080,172,108,134,97,38,64,4466,1057,1471,556,2995,924,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,86690,1485,6231,1264,3385,1063,2846,907,80459,2120,34384,2077,46075,2648,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,12811,1027,878,543,706,506,172,197,11933,1035,6048,1153,5885,1186,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,919123,3741,38936,2920,18057,1957,20879,2195,880187,4750,303460,7343,576727,8262,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
