GEO_ID,B17013_001E,B17013_001M,B17013_002E,B17013_002M,B17013_003E,B17013_003M,B17013_004E,B17013_004M,B17013_005E,B17013_005M,B17013_006E,B17013_006M,B17013_007E,B17013_007M,B17013_008E,B17013_008M,B17013_009E,B17013_009M,B17013_010E,B17013_010M,B17013_011E,B17013_011M,B17013_012E,B17013_012M,B17013_013E,B17013_013M,B17013_014E,B17013_014M,B17013_015E,B17013_015M,B17013_016E,B17013_016M,B17013_017E,B17013_017M,B17013_018E,B17013_018M,B17013_019E,B17013_019M,B17013_020E,B17013_020M,B17013_021E,B17013_021M,B17013_022E,B17013_022M,B17013_023E,B17013_023M,B17013_024E,B17013_024M,B17013_025E,B17013_025M,B17013_026E,B17013_026M,B17013_027E,B17013_027M,B17013_028E,B17013_028M,B17013_029E,B17013_029M,B17013_030E,B17013_030M,B17013_031E,B17013_031M,B17013_032E,B17013_032M,B17013_033E,B17013_033M,B17013_034E,B17013_034M,B17013_035E,B17013_035M,NAME,B17013_001EA,B17013_001MA,B17013_002MA,B17013_002EA,B17013_003EA,B17013_003MA,B17013_004MA,B17013_004EA,B17013_005MA,B17013_005EA,B17013_006EA,B17013_006MA,B17013_007MA,B17013_007EA,B17013_008EA,B17013_008MA,B17013_009MA,B17013_009EA,B17013_010EA,B17013_010MA,B17013_011EA,B17013_011MA,B17013_012MA,B17013_012EA,B17013_013MA,B17013_013EA,B17013_014EA,B17013_014MA,B17013_015EA,B17013_015MA,B17013_016EA,B17013_016MA,B17013_017MA,B17013_017EA,B17013_018MA,B17013_018EA,B17013_019EA,B17013_019MA,B17013_020EA,B17013_020MA,B17013_021EA,B17013_021MA,B17013_022EA,B17013_022MA,B17013_023MA,B17013_023EA,B17013_024MA,B17013_024EA,B17013_025EA,B17013_025MA,B17013_026EA,B17013_026MA,B17013_027EA,B17013_027MA,B17013_028MA,B17013_028EA,B17013_029MA,B17013_029EA,B17013_030MA,B17013_030EA,B17013_031EA,B17013_031MA,B17013_032EA,B17013_032MA,B17013_033EA,B17013_033MA,B17013_034EA,B17013_034MA,B17013_035MA,B17013_035EA,state
0400000US47,1625686,15329,223369,7357,81622,4409,23413,2382,32919,3787,21332,2852,3958,1120,141747,6842,24637,2688,13320,1739,8832,1684,1780,735,705,517,117110,6271,44818,3435,57130,4106,12834,2069,2328,889,1402317,16014,1107920,13455,550720,10808,439927,10930,105938,5309,11335,2025,294397,9606,82770,4758,52372,4059,28056,2895,1872,655,470,308,211627,7387,115311,5750,82973,5327,11575,2075,1768,721,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6171317,25795,886201,15796,370324,11490,80744,5437,128615,6322,125109,7376,35856,3620,515877,10741,80295,4976,36577,3860,30750,3507,10199,2174,2769,1011,435582,9404,134871,6408,216747,7561,66731,4640,17233,2217,5285116,28584,4059559,27866,1685000,18211,1695613,21616,591864,13186,87082,5358,1225557,21267,376169,13084,198125,8985,147545,7582,25199,3179,5300,1577,849388,18772,410000,11014,365504,11759,60036,5605,13848,2608,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,662478,8210,69117,4249,32740,3181,7535,1362,11435,1597,9610,1703,4160,1395,36377,3033,7756,1832,4829,1478,2298,1058,323,317,306,300,28621,2677,9279,1572,14365,2278,3818,1025,1159,559,593361,8210,501266,7994,190647,5053,179506,6548,105173,5222,25940,2368,92095,4818,30370,3408,15058,2228,11274,1734,3095,1231,943,652,61725,3971,27594,2511,26673,2900,6520,1319,938,513,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,161619,3467,11127,1393,4155,869,1554,462,1623,524,909,362,69,68,6972,1109,1283,512,669,389,614,321,0,145,0,145,5689,980,2851,780,2772,789,66,84,0,145,150492,3125,124112,3197,66428,2401,47359,2320,9525,1245,800,299,26380,1953,10048,1246,6122,980,3607,803,310,277,9,16,16332,1576,8655,1121,7077,1059,600,301,0,145,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2010914,15488,165280,7219,54446,4564,18815,2349,19632,2581,13320,2208,2679,882,110834,6126,15783,2288,8927,1764,5393,1321,1324,775,139,148,95051,5718,35936,2999,47696,4436,10292,2077,1127,553,1845634,14844,1464498,13888,652888,9064,628546,11010,165292,6911,17772,2215,381136,10459,110751,5902,65987,4593,37801,3888,5846,1481,1117,608,270385,9295,145505,6226,104983,6086,18002,2341,1895,732,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1699851,11753,160632,5606,62925,3978,20313,1740,20806,2322,16853,2261,4953,1256,97707,4305,17707,2302,9031,1754,7124,1437,1465,746,87,72,80000,4081,29387,3002,38507,3421,10410,1900,1696,827,1539219,10641,1240493,11246,590358,8006,495246,10320,136680,6223,18209,2221,298726,9022,98645,6146,59739,4803,32986,3781,4391,1127,1529,666,200081,6258,110098,5288,78371,4228,9623,1721,1989,794,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,477809,7963,65327,3718,25844,2152,9944,1408,10692,1705,3714,926,1494,668,39483,3228,6621,1307,4064,936,1955,631,602,436,0,184,32862,2811,14431,2113,15513,1930,2729,804,189,179,412482,7638,330853,6464,178343,5389,121209,4837,28005,2700,3296,1105,81629,4501,28687,2307,18133,1921,9610,1347,712,403,232,266,52942,3932,33012,3301,16813,1829,3067,990,50,70,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1462927,12624,129303,4787,40272,2871,13789,1555,12985,1670,10608,1692,2890,576,89031,4226,17911,2346,9459,1926,5671,1129,2719,1220,62,78,71120,3816,24720,2443,34713,2898,10210,1603,1477,529,1333624,12843,1093852,11339,563823,8005,403848,7819,112449,5127,13732,1614,239772,6615,81812,4034,48285,3202,30676,2593,2359,621,492,322,157960,5318,86856,4133,63338,3557,7098,1117,668,406,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,142618,4167,11312,1711,4193,1062,1109,500,1519,691,1334,556,231,170,7119,1437,1354,625,579,408,686,418,89,125,0,189,5765,1384,2563,889,2447,911,710,413,45,54,131306,4137,110270,3819,61706,2860,36629,2928,10363,1326,1572,541,21036,2175,7346,1386,4141,1168,2715,711,425,351,65,90,13690,1628,6938,978,5941,1246,587,365,224,181,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,903660,10060,376960,8027,157240,6176,60177,4061,68565,4310,25184,2519,3314,958,219720,7463,41973,3180,19015,1960,19713,2153,2797,745,448,303,177747,6446,63547,4020,92911,4626,18554,1808,2735,765,526700,9644,363462,8278,146794,4518,178670,6651,36332,2718,1666,467,163238,5902,36631,2811,19579,2037,15139,1972,1623,562,290,244,126607,4760,63297,3431,56777,3359,6164,1214,369,268,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
