B20005A_079M,B20005A_080E,B20005A_080M,B20005A_081E,B20005A_081M,B20005A_082E,B20005A_082M,B20005A_083E,B20005A_083M,B20005A_084E,B20005A_084M,B20005A_085E,B20005A_085M,B20005A_086E,B20005A_086M,B20005A_087E,B20005A_087M,B20005A_088E,B20005A_088M,B20005A_089E,B20005A_089M,B20005A_090E,B20005A_090M,B20005A_091E,B20005A_091M,B20005A_092E,B20005A_092M,B20005A_093E,B20005A_093M,B20005A_094E,B20005A_094M,B20005A_095E,B20005A_095M,GEO_ID,B20005A_001E,B20005A_001M,B20005A_002E,B20005A_002M,B20005A_003E,B20005A_003M,B20005A_004E,B20005A_004M,B20005A_005E,B20005A_005M,B20005A_006E,B20005A_006M,B20005A_007E,B20005A_007M,B20005A_008E,B20005A_008M,B20005A_009E,B20005A_009M,B20005A_010E,B20005A_010M,B20005A_011E,B20005A_011M,B20005A_012E,B20005A_012M,B20005A_013E,B20005A_013M,B20005A_014E,B20005A_014M,B20005A_015E,B20005A_015M,B20005A_016E,B20005A_016M,B20005A_017E,B20005A_017M,B20005A_018E,B20005A_018M,B20005A_019E,B20005A_019M,B20005A_020E,B20005A_020M,B20005A_021E,B20005A_021M,B20005A_022E,B20005A_022M,B20005A_023E,B20005A_023M,B20005A_024E,B20005A_024M,B20005A_025E,B20005A_025M,B20005A_026E,B20005A_026M,B20005A_027E,B20005A_027M,B20005A_028E,B20005A_028M,B20005A_029E,B20005A_029M,B20005A_030E,B20005A_030M,B20005A_031E,B20005A_031M,B20005A_032E,B20005A_032M,B20005A_033E,B20005A_033M,B20005A_034E,B20005A_034M,B20005A_035E,B20005A_035M,B20005A_036E,B20005A_036M,B20005A_037E,B20005A_037M,B20005A_038E,B20005A_038M,B20005A_039E,B20005A_039M,B20005A_040E,B20005A_040M,B20005A_041E,B20005A_041M,B20005A_042E,B20005A_042M,B20005A_043E,B20005A_043M,B20005A_044E,B20005A_044M,B20005A_045E,B20005A_045M,B20005A_046E,B20005A_046M,B20005A_047E,B20005A_047M,B20005A_048E,B20005A_048M,B20005A_049E,B20005A_049M,B20005A_050E,B20005A_050M,B20005A_051E,B20005A_051M,B20005A_052E,B20005A_052M,B20005A_053E,B20005A_053M,B20005A_054E,B20005A_054M,B20005A_055E,B20005A_055M,B20005A_056E,B20005A_056M,B20005A_057E,B20005A_057M,B20005A_058E,B20005A_058M,B20005A_059E,B20005A_059M,B20005A_060E,B20005A_060M,B20005A_061E,B20005A_061M,B20005A_062E,B20005A_062M,B20005A_063E,B20005A_063M,B20005A_064E,B20005A_064M,B20005A_065E,B20005A_065M,B20005A_066E,B20005A_066M,B20005A_067E,B20005A_067M,B20005A_068E,B20005A_068M,B20005A_069E,B20005A_069M,B20005A_070E,B20005A_070M,B20005A_071E,B20005A_071M,B20005A_072E,B20005A_072M,B20005A_073E,B20005A_073M,B20005A_074E,B20005A_074M,B20005A_075E,B20005A_075M,B20005A_076E,B20005A_076M,B20005A_077E,B20005A_077M,B20005A_078E,B20005A_078M,B20005A_079E,B20005A_079MA,B20005A_080MA,B20005A_080EA,B20005A_081MA,B20005A_081EA,B20005A_082EA,B20005A_082MA,B20005A_083MA,B20005A_083EA,B20005A_084EA,B20005A_084MA,B20005A_085MA,B20005A_085EA,B20005A_086EA,B20005A_086MA,B20005A_087EA,B20005A_087MA,B20005A_088EA,B20005A_088MA,B20005A_089EA,B20005A_089MA,B20005A_090MA,B20005A_090EA,B20005A_091EA,B20005A_091MA,B20005A_092EA,B20005A_092MA,B20005A_093EA,B20005A_093MA,B20005A_094EA,B20005A_094MA,B20005A_095EA,B20005A_095MA,NAME,B20005A_001MA,B20005A_001EA,B20005A_002MA,B20005A_002EA,B20005A_003MA,B20005A_003EA,B20005A_004MA,B20005A_004EA,B20005A_005EA,B20005A_005MA,B20005A_006MA,B20005A_006EA,B20005A_007MA,B20005A_007EA,B20005A_008MA,B20005A_008EA,B20005A_009MA,B20005A_009EA,B20005A_010EA,B20005A_010MA,B20005A_011MA,B20005A_011EA,B20005A_012MA,B20005A_012EA,B20005A_013MA,B20005A_013EA,B20005A_014MA,B20005A_014EA,B20005A_015EA,B20005A_015MA,B20005A_016MA,B20005A_016EA,B20005A_017MA,B20005A_017EA,B20005A_018MA,B20005A_018EA,B20005A_019MA,B20005A_019EA,B20005A_020EA,B20005A_020MA,B20005A_021EA,B20005A_021MA,B20005A_022MA,B20005A_022EA,B20005A_023MA,B20005A_023EA,B20005A_024MA,B20005A_024EA,B20005A_025EA,B20005A_025MA,B20005A_026EA,B20005A_026MA,B20005A_027EA,B20005A_027MA,B20005A_028EA,B20005A_028MA,B20005A_029EA,B20005A_029MA,B20005A_030MA,B20005A_030EA,B20005A_031EA,B20005A_031MA,B20005A_032EA,B20005A_032MA,B20005A_033EA,B20005A_033MA,B20005A_034EA,B20005A_034MA,B20005A_035MA,B20005A_035EA,B20005A_036EA,B20005A_036MA,B20005A_037EA,B20005A_037MA,B20005A_038EA,B20005A_038MA,B20005A_039EA,B20005A_039MA,B20005A_040EA,B20005A_040MA,B20005A_041EA,B20005A_041MA,B20005A_042EA,B20005A_042MA,B20005A_043EA,B20005A_043MA,B20005A_044EA,B20005A_044MA,B20005A_045MA,B20005A_045EA,B20005A_046MA,B20005A_046EA,B20005A_047EA,B20005A_047MA,B20005A_048EA,B20005A_048MA,B20005A_049EA,B20005A_049MA,B20005A_050MA,B20005A_050EA,B20005A_051MA,B20005A_051EA,B20005A_052EA,B20005A_052MA,B20005A_053EA,B20005A_053MA,B20005A_054EA,B20005A_054MA,B20005A_055EA,B20005A_055MA,B20005A_056MA,B20005A_056EA,B20005A_057MA,B20005A_057EA,B20005A_058EA,B20005A_058MA,B20005A_059EA,B20005A_059MA,B20005A_060EA,B20005A_060MA,B20005A_061MA,B20005A_061EA,B20005A_062MA,B20005A_062EA,B20005A_063EA,B20005A_063MA,B20005A_064EA,B20005A_064MA,B20005A_065MA,B20005A_065EA,B20005A_066MA,B20005A_066EA,B20005A_067MA,B20005A_067EA,B20005A_068MA,B20005A_068EA,B20005A_069EA,B20005A_069MA,B20005A_070MA,B20005A_070EA,B20005A_071MA,B20005A_071EA,B20005A_072MA,B20005A_072EA,B20005A_073MA,B20005A_073EA,B20005A_074EA,B20005A_074MA,B20005A_075EA,B20005A_075MA,B20005A_076MA,B20005A_076EA,B20005A_077EA,B20005A_077MA,B20005A_078MA,B20005A_078EA,B20005A_079EA,state
5066,64136,6269,32879,3922,31610,3234,16395,2342,25861,3114,12633,2371,19854,2713,16214,2379,12317,1945,10118,1875,6130,1397,8987,1936,8854,1646,7176,1925,4170,1297,4283,1001,0400000US13,4767206,14099,2346282,8573,1156478,15056,396,427,1156082,15130,3724,1241,3086,991,6150,1444,7985,1630,20214,3082,16727,2782,32059,3581,24717,3296,50056,5167,34875,4892,75247,6320,94786,5686,73500,4829,80343,5582,64269,4409,78756,5438,102097,6668,71334,5594,126319,6400,189838,7362,1189804,14938,691973,11873,497831,11442,83303,5865,60482,4830,56303,4870,34769,4213,48936,4310,22230,3224,27603,3416,14305,2560,27542,3796,12149,2040,23508,3437,18702,2864,10457,1882,10241,2215,7914,2058,7100,1732,6445,1418,4152,1125,6556,1292,15134,2813,2420924,8589,784164,13148,333,449,783831,13176,1206,503,1688,606,6883,1370,6356,1388,22379,2630,22282,2972,29439,3787,25800,3602,41775,4374,36040,3105,68342,5259,85305,5729,68521,5662,60500,5426,46991,3971,58792,4702,64315,6024,41144,4408,49717,4236,46356,3497,1636760,13556,1051850,15906,584910,14299,112444,5524,74165,6297,61352,5075,55332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
911,3039,692,1578,603,2406,728,2037,824,2573,724,2078,1275,1893,747,1922,700,904,409,637,342,532,343,1024,481,722,361,820,420,605,306,269,231,0400000US15,297758,2451,161849,1631,84030,3324,0,187,84030,3324,426,335,206,240,895,507,343,236,1640,719,290,228,2009,744,1336,577,3495,1081,2294,849,4650,1316,5958,1348,6646,1451,5478,1174,4304,932,7766,1596,8848,1463,6010,1607,8372,1449,13064,1620,77819,3346,42407,2867,35412,2853,4005,1170,2176,797,3381,1233,1716,689,3399,1076,1203,474,2532,1037,1507,763,1668,582,767,349,2902,1100,1914,676,1135,499,1602,644,858,454,512,264,1315,698,691,357,832,516,1297,518,135909,1556,41448,2643,29,48,41419,2651,187,182,34,54,628,481,174,130,584,296,143,147,1098,487,514,263,1412,730,1470,624,2005,768,4022,976,2260,658,5630,1357,3905,1119,2710,755,4493,1220,2005,763,4882,1166,3263,969,94461,2678,52943,2568,41518,2857,6318,1439,5210,1334,3983,953,2968,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
2214,23149,3045,8807,1284,10169,1592,6207,1310,8155,1338,4198,1198,6274,1610,3436,1062,2191,648,2430,851,1402,637,1284,563,1103,422,837,410,565,421,666,398,0400000US16,1118619,5147,554842,3059,247020,6738,0,195,247020,6738,2058,1065,254,223,3305,957,1605,758,5026,1122,3733,1043,7366,1538,6054,1404,11315,1938,8246,1708,21102,2863,21665,2722,19231,2704,18792,2241,16583,2277,14729,2019,23268,2305,14610,1882,24292,2462,23786,2812,307822,6442,157202,5612,150620,5983,28101,3174,19420,2755,14912,1860,12466,2061,13971,2211,8184,2092,7633,1482,4609,1094,6439,1279,3482,972,5249,1416,5685,1258,4425,1288,2603,934,2903,1049,2035,699,2150,809,1889,1156,1928,699,2536,909,563777,3047,165945,5190,9,15,165936,5193,1058,643,482,407,1886,775,3480,949,6639,1266,6033,1406,7773,1674,6319,1243,12294,1955,11761,1833,17396,2204,19368,2912,16998,2726,9990,1608,8772,1423,10375,2162,9920,1608,4700,944,5786,1309,4906,1340,397832,5915,214106,6628,183726,6333,37663,3506,24944,2967,24091,2704,16155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4564,124329,5597,54857,3670,69249,4106,38973,3211,46702,3979,26374,2989,40082,3000,36900,2797,23220,2395,21892,2255,16299,2184,15352,1864,18143,2088,9819,1337,14371,2026,12585,2293,0400000US17,7530297,19680,3673037,12511,1804322,14687,32,56,1804290,14687,3130,762,2165,728,10221,1947,8307,1349,24305,2186,20777,2451,35440,2835,35246,3215,55990,4149,41696,4140,101233,5608,122252,6001,117608,5960,127980,6140,98255,4575,124545,5434,178562,6657,138910,6184,228654,7668,329014,8174,1868715,13875,991886,10019,876829,12748,143910,6203,106369,5371,89391,4984,61704,4024,82188,3608,35340,2834,47940,3730,26164,2830,37864,2806,17827,2354,37943,3000,35943,3044,23083,2874,23214,2392,14634,2388,18054,2453,20001,1933,14623,1925,17398,2209,23239,2041,3857260,10167,1325966,14082,92,92,1325874,14082,2516,777,2664,695,8975,1542,11024,1816,30735,2882,25463,2494,47462,3132,43468,3542,74236,3962,51972,3597,115660,6113,127152,6420,110386,5681,104175,5222,79728,4153,92233,5600,111983,4746,82760,4617,103671,5146,99611,4480,2531294,14968,1451232,13921,1080062,13676,175795,6349,130950,5937,123064,5660,81106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3287,73513,4265,32948,2655,37717,2610,22500,2323,27305,2513,15126,2214,23766,2658,20638,2561,14460,1822,10130,1245,8035,1589,7625,1430,12724,1868,3975,995,2539,678,2722,682,0400000US18,4394741,7439,2142159,4901,1027372,10447,59,90,1027313,10443,2762,838,1690,580,5911,999,5561,1211,15864,1844,11541,1624,24728,2841,21541,2797,36188,2825,25953,2528,77796,4271,92780,5284,82391,4215,88066,4136,65083,4010,79769,5832,107358,4954,75493,4640,100061,4746,106777,5001,1114787,10680,604332,9899,510455,9825,92234,4856,69946,4415,57476,3764,36839,2991,50152,3940,18811,1898,27253,2646,16086,1960,25119,3057,6882,1215,21140,2196,19780,1968,10780,1563,13865,2196,8166,1143,9053,1375,9588,1515,5040,1123,5552,1144,6693,1170,2252582,4031,730513,9929,29,47,730484,9927,739,341,1411,606,7325,1538,6610,1430,20344,2347,14440,1486,30911,2902,25722,2882,47895,3583,36188,2647,83688,4498,95091,5119,65663,4274,64747,4063,39354,2871,43437,3529,55343,3664,32634,2949,33531,2802,25411,3043,1522069,10420,874150,8603,647919,10299,121764,4950,84467,4469,77154,3992,48811,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2222,39288,2611,17104,1817,19180,1536,11376,1548,14357,1871,6654,1036,12206,1548,9170,1266,5914,1063,5729,1340,3405,584,4189,1066,4076,1104,1609,421,2278,992,881,429,0400000US19,2247159,4125,1097316,3023,567637,6969,329,318,567308,6989,2137,578,710,362,3691,850,3055,766,10037,1301,5697,1074,10590,1562,10993,1456,21821,2070,14298,1523,40868,3054,56603,3303,48888,2962,56412,3671,39587,2659,45815,2995,54145,3645,36147,2566,48989,3238,56825,3364,529679,7260,257040,5214,272639,6351,53202,3583,38352,2631,33847,2604,20466,2124,24974,2563,10102,1419,12091,1353,7018,969,10386,1308,5681,1237,10867,1414,10436,1328,5424,885,6630,1089,2935,649,5330,1274,4154,1046,3377,856,2756,640,4611,799,1149843,2277,431515,6615,39,67,431476,6619,1198,478,922,328,3300,866,3457,786,11135,1362,8463,1403,17738,1657,14877,1828,28197,2180,25098,2211,52071,2995,55602,3387,40826,2690,35532,2425,25951,2529,25799,2431,32426,2352,16033,1826,19611,1936,13240,1655,718328,6787,382725,5579,335603,7036,64261,3208,42123,2604,45221,3645,26582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2072,35212,2864,14924,1468,13622,1467,8641,1323,10292,1510,7588,1433,8782,1524,8170,1295,5543,1027,5616,1055,3288,810,2926,935,3224,769,1198,441,1725,626,1792,641,0400000US20,1927026,4873,943158,3048,507399,6706,52,71,507347,6698,2512,756,1395,652,2869,688,3268,769,9283,1543,5815,938,12439,1726,11030,1681,20775,2551,16165,2088,37924,2558,44967,3375,39470,3001,42068,2925,32248,3023,34075,2700,45197,3034,35656,2533,48587,2655,61604,4359,435759,7637,219130,5301,216629,5614,42437,3121,27027,2315,23264,2364,17355,2130,21329,2404,8421,1229,14429,2130,5284,997,8868,1532,4575,798,7827,1582,7698,1558,5001,950,5252,1090,3667,1026,2679,723,3452,816,2262,598,2772,529,3030,724,983868,2649,364212,6217,24,47,364188,6210,806,316,2038,549,3989,1057,4541,1125,12343,1694,7254,1254,16407,1748,13748,1718,23978,2064,17737,2197,43335,3264,39837,2820,32522,2562,31581,2537,24350,2485,23009,1972,23005,1947,14547,1702,15355,1913,13806,1939,619656,6445,336824,5990,282832,6895,57241,3070,36413,2605,33279,2574,23356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
2953,43996,3232,23541,2637,20853,2416,15841,2420,16467,1935,8770,1734,16368,2047,9462,1502,6476,1463,6239,1219,4523,1102,5108,1156,5203,1090,2377,658,2685,1016,1619,583,0400000US21,3081111,5159,1496663,3917,659233,7334,0,189,659233,7334,1528,570,1562,516,6688,1635,6084,1177,16009,2008,10106,1763,22894,2490,18608,2038,31302,2974,22171,2441,51127,3685,62782,3600,43782,3275,52938,3602,38208,3142,47639,3079,59459,3932,41631,3105,60484,3827,64231,3630,837430,7935,513107,8642,324323,7111,58020,3855,38024,2950,34767,2644,24860,2549,36292,3511,16437,2063,16560,1993,9549,1667,15321,2045,8212,1372,12767,1869,12204,1707,9876,1706,6593,1341,4021,933,3311,823,5186,1180,3331,845,3186,813,5806,1104,1584448,3128,489751,8651,27,35,489724,8647,872,388,1478,665,4217,1029,5084,1131,16008,2183,13319,1655,26669,2960,23202,2165,32905,2972,25450,2423,55463,3707,53320,3486,43608,3406,40809,3676,29271,3069,29615,2596,33898,2949,18554,2011,21526,2049,14456,1916,1094697,8409,693362,8953,401335,8622,71373,3672,52829,3238,50171,3838,37434,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2633,32623,2712,15041,2212,14095,2104,8860,1366,11597,1928,5543,1329,10122,1645,8056,1250,5712,983,7000,1347,4361,1298,4621,1211,4333,1122,1950,650,1735,771,2233,920,0400000US22,2322206,6069,1138469,3595,572888,9789,99,120,572789,9791,1542,661,1179,489,5296,1205,5094,1332,11263,1823,4712,1216,9087,1602,9655,1656,21424,2597,14580,2305,32872,3412,43325,3183,34482,3335,42289,3615,30000,2653,42392,3857,59745,3758,47201,3811,70991,4011,85660,4650,565581,9880,321335,6515,244246,8120,39094,3114,25465,2607,23321,2793,18149,2398,19715,2901,9793,1529,12528,2057,7321,1536,12188,2109,5590,1458,9545,1713,11278,1751,6698,1092,7519,1268,3690,954,5078,1218,6223,1361,4560,1234,6479,1345,10012,1523,1183737,4110,398363,7788,29,48,398334,7783,605,324,853,593,2988,877,4651,1267,15300,2012,12899,2035,19284,1926,14122,1850,24980,2729,17024,2124,37716,3309,44240,3541,36068,3362,34148,3110,27585,2687,26024,2816,29042,3055,16468,2283,19126,2055,15211,1791,785374,7569,500352,7634,285022,6774,54025,3809,36620,3555,33384,3237,23111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1379,17083,2097,8295,1171,11207,1547,6656,1220,6967,1143,5301,1162,7016,1120,4180,792,2821,591,3411,873,2213,674,2897,848,2793,725,1480,422,572,297,973,603,0400000US23,1048302,1770,506910,1590,225834,5092,0,157,225834,5092,784,467,157,101,1354,413,1467,596,4633,1077,2651,800,4216,961,4991,1107,8283,1392,7023,1430,18660,1976,21425,1927,18973,2022,19970,1878,13783,1384,18712,1896,21794,2080,15598,1924,20007,1654,21353,1962,281076,5521,145474,3999,135602,4789,27260,2183,14493,1594,14252,1645,9687,1544,15100,2155,6284,1169,7440,1112,4650,859,6463,1147,2527,791,6473,1166,4987,1009,3243,944,2496,797,1483,567,1667,459,1621,457,827,291,1880,534,2769,773,541392,1248,182596,4590,7,11,182589,4588,461,358,356,308,1276,448,1706,535,4517,1081,3784,903,7197,1403,7913,1319,11888,1723,9448,1269,22337,2261,20937,1736,15592,1751,14693,1833,9923,1500,11342,1484,16906,1922,7040,1189,7960,1155,7313,1449,358796,4778,193523,3630,165273,4655,30457,2319,18083,2042,21369,1956,11499,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2893,36930,2819,14148,1645,21380,2482,13235,2366,18245,2320,7836,1277,18251,2261,17365,2142,8891,1485,10179,1682,7532,1420,7787,1145,11932,1512,7684,1426,10032,1411,8174,1556,0400000US24,2802381,9238,1358225,5857,737370,10444,0,204,737370,10444,1709,768,798,320,2818,982,4252,1196,9080,1452,4007,1109,8844,1669,8711,1909,17712,2171,12210,2238,26896,2619,40225,3087,33496,3447,46049,3248,36312,3227,54628,3791,63400,4290,56255,4456,107118,5185,202850,6749,620855,10897,331992,8341,288863,6672,49304,3450,27144,2581,31849,2811,16270,2068,21791,2344,10758,1723,14271,1953,9834,1803,17325,2020,5854,1110,12200,2043,11530,1630,5736,1152,7503,1422,6135,1223,6389,1354,8822,1386,5669,1194,7688,1317,12791,1947,1444156,5004,537962,8366,0,204,537962,8366,593,357,648,277,2985,893,2722,980,9465,1460,6423,1608,11877,2193,10924,1859,22073,2614,16675,2133,35671,2743,37192,3082,35459,2983,39583,2970,30330,2533,37543,2967,53222,3548,39362,3039,69743,4014,75472,4175,906194,9106,518158,8429,388036,8748,61000,3872,42964,3047,38151,2774,26320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
