B27017_050M,B27017_051E,B27017_051M,B27017_052E,B27017_052M,B27017_053E,B27017_053M,B27017_054E,B27017_054M,B27017_055E,B27017_055M,B27017_056E,B27017_056M,B27017_057E,B27017_057M,B27017_058E,B27017_058M,B27017_059E,B27017_059M,B27017_060E,B27017_060M,B27017_061E,B27017_061M,B27017_062E,B27017_062M,B27017_063E,B27017_063M,B27017_064E,B27017_064M,B27017_065E,B27017_065M,B27017_066E,B27017_066M,B27017_067E,B27017_067M,B27017_068E,B27017_068M,B27017_069E,B27017_069M,B27017_070E,B27017_070M,B27017_071E,B27017_071M,B27017_072E,B27017_072M,B27017_073E,B27017_073M,B27017_074E,B27017_074M,B27017_075E,B27017_075M,B27017_076E,B27017_076M,B27017_077E,B27017_077M,B27017_078E,B27017_078M,B27017_079E,B27017_079M,B27017_080E,B27017_080M,B27017_081E,B27017_081M,B27017_082E,B27017_082M,B27017_083E,B27017_083M,B27017_084E,B27017_084M,B27017_085E,B27017_085M,B27017_086E,B27017_086M,B27017_087E,B27017_087M,B27017_088E,B27017_088M,B27017_089E,B27017_089M,B27017_090E,B27017_090M,B27017_091E,B27017_091M,GEO_ID,B27017_001E,B27017_001M,B27017_002E,B27017_002M,B27017_003E,B27017_003M,B27017_004E,B27017_004M,B27017_005E,B27017_005M,B27017_006E,B27017_006M,B27017_007E,B27017_007M,B27017_008E,B27017_008M,B27017_009E,B27017_009M,B27017_010E,B27017_010M,B27017_011E,B27017_011M,B27017_012E,B27017_012M,B27017_013E,B27017_013M,B27017_014E,B27017_014M,B27017_015E,B27017_015M,B27017_016E,B27017_016M,B27017_017E,B27017_017M,B27017_018E,B27017_018M,B27017_019E,B27017_019M,B27017_020E,B27017_020M,B27017_021E,B27017_021M,B27017_022E,B27017_022M,B27017_023E,B27017_023M,B27017_024E,B27017_024M,B27017_025E,B27017_025M,B27017_026E,B27017_026M,B27017_027E,B27017_027M,B27017_028E,B27017_028M,B27017_029E,B27017_029M,B27017_030E,B27017_030M,B27017_031E,B27017_031M,B27017_032E,B27017_032M,B27017_033E,B27017_033M,B27017_034E,B27017_034M,B27017_035E,B27017_035M,B27017_036E,B27017_036M,B27017_037E,B27017_037M,B27017_038E,B27017_038M,B27017_039E,B27017_039M,B27017_040E,B27017_040M,B27017_041E,B27017_041M,B27017_042E,B27017_042M,B27017_043E,B27017_043M,B27017_044E,B27017_044M,B27017_045E,B27017_045M,B27017_046E,B27017_046M,B27017_047E,B27017_047M,B27017_048E,B27017_048M,B27017_049E,B27017_049M,B27017_050E,B27017_050MA,B27017_051EA,B27017_051MA,B27017_052EA,B27017_052MA,B27017_053MA,B27017_053EA,B27017_054MA,B27017_054EA,B27017_055MA,B27017_055EA,B27017_056MA,B27017_056EA,B27017_057EA,B27017_057MA,B27017_058EA,B27017_058MA,B27017_059EA,B27017_059MA,B27017_060MA,B27017_060EA,B27017_061MA,B27017_061EA,B27017_062MA,B27017_062EA,B27017_063EA,B27017_063MA,B27017_064EA,B27017_064MA,B27017_065EA,B27017_065MA,B27017_066MA,B27017_066EA,B27017_067MA,B27017_067EA,B27017_068EA,B27017_068MA,B27017_069EA,B27017_069MA,B27017_070EA,B27017_070MA,B27017_071MA,B27017_071EA,B27017_072MA,B27017_072EA,B27017_073EA,B27017_073MA,B27017_074EA,B27017_074MA,B27017_075EA,B27017_075MA,B27017_076EA,B27017_076MA,B27017_077MA,B27017_077EA,B27017_078MA,B27017_078EA,B27017_079EA,B27017_079MA,B27017_080EA,B27017_080MA,B27017_081EA,B27017_081MA,B27017_082MA,B27017_082EA,B27017_083MA,B27017_083EA,B27017_084EA,B27017_084MA,B27017_085EA,B27017_085MA,B27017_086EA,B27017_086MA,B27017_087EA,B27017_087MA,B27017_088MA,B27017_088EA,B27017_089MA,B27017_089EA,B27017_090EA,B27017_090MA,B27017_091EA,B27017_091MA,NAME,B27017_001MA,B27017_001EA,B27017_002MA,B27017_002EA,B27017_003MA,B27017_003EA,B27017_004MA,B27017_004EA,B27017_005EA,B27017_005MA,B27017_006EA,B27017_006MA,B27017_007MA,B27017_007EA,B27017_008MA,B27017_008EA,B27017_009EA,B27017_009MA,B27017_010EA,B27017_010MA,B27017_011EA,B27017_011MA,B27017_012MA,B27017_012EA,B27017_013MA,B27017_013EA,B27017_014EA,B27017_014MA,B27017_015EA,B27017_015MA,B27017_016EA,B27017_016MA,B27017_017EA,B27017_017MA,B27017_018MA,B27017_018EA,B27017_019EA,B27017_019MA,B27017_020EA,B27017_020MA,B27017_021EA,B27017_021MA,B27017_022EA,B27017_022MA,B27017_023MA,B27017_023EA,B27017_024EA,B27017_024MA,B27017_025EA,B27017_025MA,B27017_026EA,B27017_026MA,B27017_027EA,B27017_027MA,B27017_028EA,B27017_028MA,B27017_029EA,B27017_029MA,B27017_030EA,B27017_030MA,B27017_031EA,B27017_031MA,B27017_032EA,B27017_032MA,B27017_033EA,B27017_033MA,B27017_034MA,B27017_034EA,B27017_035EA,B27017_035MA,B27017_036EA,B27017_036MA,B27017_037EA,B27017_037MA,B27017_038EA,B27017_038MA,B27017_039MA,B27017_039EA,B27017_040EA,B27017_040MA,B27017_041EA,B27017_041MA,B27017_042EA,B27017_042MA,B27017_043MA,B27017_043EA,B27017_044MA,B27017_044EA,B27017_045MA,B27017_045EA,B27017_046EA,B27017_046MA,B27017_047EA,B27017_047MA,B27017_048MA,B27017_048EA,B27017_049MA,B27017_049EA,B27017_050EA,state
4664,61453,4133,842621,24739,217823,12640,134418,10076,83405,7919,518577,16308,320309,13823,198268,11013,106221,6075,62074,4540,44147,4839,753587,32722,180525,13040,135441,11843,45084,6158,488033,20543,352912,17288,135121,9036,85029,6659,54794,4552,30235,4238,1215143,30984,276277,12162,236305,10965,39972,4436,786087,21644,625142,18976,160945,11106,152779,7771,107695,6535,45084,4225,2894102,43582,552750,17435,517144,16828,35606,4891,2001326,32326,1810178,29097,191148,12362,340026,10357,263699,10305,76327,5352,0400000US13,9518529,5986,820998,24209,285013,15734,38402,5840,246611,14032,508821,13924,135241,8624,373580,13474,27164,3178,8838,1750,18326,2789,1005485,39011,361811,20459,61966,7007,299845,18494,556795,22109,136890,10358,419905,19600,86879,5287,30018,3061,56861,4416,797131,31927,240438,14310,73360,8353,167078,12520,459040,19225,159557,10975,299483,14454,97653,5434,42625,3639,55028,3611,233270,18108,74490,9705,30005,6111,44485,7358,131646,10196,53054,6014,78592,7575,27134,3018,12905,1675,14229,2362,956192,33309,265636,13129,128587,10438,137049,12077,567354,23138,272234,13754,295120,18086,123202,5780,61749,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1561,6643,1481,107836,10104,31225,4354,23283,3580,7942,2104,63750,6205,49262,4943,14488,2497,12861,1521,7753,1172,5108,1179,112745,9452,30365,4066,23996,3555,6369,1593,67069,5719,55098,5176,11971,2348,15311,1746,10166,1425,5145,1071,209367,11942,47921,4403,41809,4486,6112,1712,129394,7944,113665,7339,15729,2756,32052,3185,22617,2164,9435,2365,523994,15359,82207,5342,77333,5313,4874,1304,354233,10012,330921,9402,23312,3072,87554,3706,72123,3489,15431,2060,0400000US15,1313658,2695,81146,9325,25645,4915,4874,1279,20771,4633,49363,5296,14652,2199,34711,4906,6138,1519,2638,956,3500,1276,79593,8721,25189,4017,8661,2683,16528,3158,44188,4845,15529,2343,28659,3738,10216,1769,3128,751,7088,1624,68642,5763,19158,2487,8978,1877,10180,2298,35778,3855,20728,2956,15050,2336,13706,1690,7044,1201,6662,1281,28147,6284,8264,3081,4518,2379,3746,1912,15142,3363,8883,2388,6259,1716,4741,1255,2199,655,2542,955,102188,9024,29196,4080,17656,2905,11540,3026,57291,5331,38174,4291,19117,2840,15701,1907,9058,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1988,10773,1637,174787,14297,54759,7380,43167,6874,11592,2305,95155,7806,65988,7015,29167,3514,24873,3158,16870,2285,8003,1774,148497,11109,41089,5182,35521,4942,5568,1457,86030,6606,67139,5445,18891,3144,21378,2811,16290,2391,5088,1173,217790,11561,55205,5508,47645,4973,7560,2269,130224,7402,107683,6998,22541,3118,32361,3103,24317,2924,8044,1635,381736,14847,65649,6641,60542,6601,5107,2201,261569,10551,239987,10000,21582,2998,54518,3490,42971,3560,11547,1937,0400000US16,1548284,2957,110765,9214,36604,5105,5872,2072,30732,4862,71261,6124,24833,3167,46428,5231,2900,694,1516,520,1384,451,144230,10747,48569,5402,9592,2461,38977,4904,85010,6157,28284,3020,56726,5500,10651,1736,5338,1052,5313,1325,135005,10953,44354,5786,19997,4096,24357,4062,70861,5701,34192,3687,36669,4132,19790,2054,10002,1537,9788,1450,52371,7701,15592,3316,7881,2373,7711,2019,28221,4753,13334,3386,14887,2995,8558,1763,4934,1320,3624,1297,183103,13065,55081,6539,34093,5116,20988,4016,103001,7319,56844,5465,46157,5070,25021,2631,14248,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
5434,71706,4084,1037982,29381,260720,13122,169556,10060,91164,7280,604011,16875,381181,11452,222830,11630,173251,7312,113642,5078,59609,4615,1001533,32570,247392,14874,190886,12020,56506,6840,609810,20013,442952,16283,166858,10849,144331,5918,99928,4544,44403,3645,1723426,31542,381231,12884,322036,12513,59195,5644,1108497,21221,895841,20056,212656,9509,233698,7076,165247,4775,68451,4406,4671495,45188,855066,18566,811724,18980,43342,4643,3260299,29498,3023050,28291,237249,11268,556130,10166,424206,9571,131924,6129,0400000US17,12558069,4206,863801,25577,299673,13468,30024,4492,269649,14086,524485,15339,149075,8861,375410,12754,39643,3092,16347,2144,23296,2607,1016068,31505,358667,16624,53095,6344,305572,14850,566961,17143,131604,7940,435357,14488,90440,4569,31242,2507,59198,4302,908923,34950,285208,16206,72889,7748,212319,13840,498276,19877,159836,8155,338440,16457,125439,6094,59038,3784,66401,5512,250116,15271,68674,6643,21831,3573,46843,6099,140866,9427,54491,4410,86375,8036,40576,3026,22010,2167,18566,2316,1084725,29907,297901,13650,134573,11151,163328,9762,608308,17212,295212,11514,313096,13035,178516,6901,106810,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
4021,38043,2466,623481,22994,163111,10073,116991,8828,46120,5599,358179,13965,238810,11632,119369,8169,102191,5238,66913,3908,35278,2927,576161,19963,141211,8889,112724,7472,28487,3934,349318,12055,268785,11077,80533,6002,85632,5171,63075,4215,22557,2809,958570,24542,218317,9549,198683,9317,19634,3097,605045,16914,519524,15966,85521,5404,135208,6195,101390,5236,33818,2711,1917111,28646,333364,9860,312785,9745,20579,3252,1343853,21333,1248702,18888,95151,7193,239894,6237,185626,5805,54268,3276,0400000US18,6315227,3744,497859,19685,180971,12133,23492,4576,157479,10488,302679,9858,91116,6397,211563,9250,14209,2064,6686,1055,7523,1687,513092,19816,179888,11247,31567,4728,148321,9811,288738,10582,68151,4711,220587,9142,44466,3500,18817,2190,25649,2587,458873,19681,131194,10273,42476,4924,88718,8314,257272,11332,96385,6982,160887,8468,70407,3748,38323,2709,32084,2928,147861,10327,44856,4700,17133,2966,27723,3392,80210,6440,32745,3372,47465,4723,22795,2336,13814,1847,8981,1719,622219,20345,173438,9623,98018,7857,75420,6322,344245,12819,190631,9196,153614,8718,104536,4479,66493,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2840,16754,1668,281181,11507,76350,5520,57223,5112,19127,3183,154862,7083,114957,5773,39905,4181,49969,2957,37340,2562,12629,1677,273293,12801,69941,6189,60863,5838,9078,1812,156681,7460,130586,6747,26095,3130,46671,2920,35096,2346,11575,1727,481264,14432,111451,6237,103132,6285,8319,1368,299365,9111,265763,8829,33602,3377,70448,3800,53572,3285,16876,1828,1005335,16103,171212,7225,166322,7012,4890,1280,703112,11875,670375,11575,32737,3496,131011,4507,104796,4237,26215,2412,0400000US19,2962043,1834,174092,10376,57203,5704,13655,2873,43548,5073,109265,5735,45145,4284,64120,4272,7624,1171,4092,740,3532,940,204766,10534,65625,6330,15213,2529,50412,5682,116988,6120,38600,3391,78388,5471,22153,1828,11422,1281,10731,1311,199438,10497,57228,5211,18837,2840,38391,4356,103039,6149,43879,3877,59160,4342,39171,2684,24112,2169,15059,1731,70098,5683,22084,2921,11466,2290,10618,1846,34088,3177,17600,2223,16488,2089,13926,1538,9748,1355,4178,782,272576,9552,79401,5069,51125,4795,28276,3690,139655,4997,90861,4171,48794,4286,53520,3325,36766,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2803,13427,1426,265429,15730,72937,7170,56470,6413,16467,2591,151985,8803,110700,7106,41285,4507,40507,3021,27911,2347,12596,1991,238030,10916,61421,4666,51320,4458,10101,2050,141312,7155,111438,6332,29874,3459,35297,2673,25641,2252,9656,1407,420242,14423,101729,6972,93883,6659,7846,1920,258602,8847,226033,8696,32569,3271,59911,3795,44934,3415,14977,1693,925727,16776,169198,7738,163622,7403,5576,1314,634083,11210,597814,10750,36269,3625,122446,4361,94166,4333,28280,2130,0400000US20,2774483,2650,157776,8347,52730,4938,12040,2305,40690,4394,98762,4718,39629,3473,59133,3566,6284,1109,3245,630,3039,921,225675,9743,80826,5567,17358,2920,63468,4825,124984,6062,38311,3550,86673,5476,19865,2046,9205,1540,10660,1418,195627,11167,66985,5733,24462,3918,42523,4842,101876,6328,45590,4388,56286,4600,26766,2185,15357,1509,11409,1382,60665,6280,17726,3036,9175,2205,8551,1970,32147,3533,18819,2798,13328,2208,10792,1514,6504,1201,4288,891,285312,13473,86254,6133,54318,5068,31936,4164,157056,8105,96311,5681,60745,5637,42002,3343,28575,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
2889,27780,2165,378604,15195,84869,5606,62166,5508,22703,3069,224227,9938,150412,7416,73815,5117,69508,4171,44679,3333,24829,2115,365704,15739,84969,6671,66201,5758,18768,2802,224687,10221,169593,7864,55094,5009,56048,3933,41864,3413,14184,1772,599616,17699,131011,8686,114705,7733,16306,2658,389471,11186,331520,10056,57951,5033,79134,4109,61164,3839,17970,2271,1201620,23562,208728,9818,197626,9329,11102,2155,850335,16029,790007,14991,60328,4715,142557,4492,114105,4389,28452,2856,0400000US21,4229921,3668,354464,16188,132602,8752,14578,3042,118024,8662,206222,9717,46601,5312,159621,8010,15640,2025,7487,1521,8153,1395,456629,16900,142792,8358,19683,3651,123109,8129,261783,9763,51824,4320,209959,8487,52054,3647,18991,2083,33063,2674,351202,13527,90530,6544,26031,3346,64499,6151,200933,8645,66633,5127,134300,7684,59739,3229,28842,2299,30897,2599,104869,7423,25960,3526,9896,2054,16064,3269,56869,4332,24882,2573,31987,3666,22040,2689,10797,1570,11243,2184,417213,16021,102597,8008,58618,6283,43979,4128,239957,10090,132655,7818,107302,6582,74659,3398,46879,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
3273,32044,2895,371375,16968,84972,7508,47229,6041,37743,5093,229937,11687,135235,7739,94702,6971,56466,3766,33529,2730,22937,2457,329448,17126,78916,7738,51757,5639,27159,4585,200890,10787,137908,8416,62982,5511,49642,3352,31451,2853,18191,2016,581581,22545,136995,8348,109128,7779,27867,3448,374620,14988,285815,11999,88805,7313,69966,4348,48759,3587,21207,2207,1339976,26057,245618,10461,220577,10155,25041,3403,941585,15825,833269,16295,108316,7598,152773,5809,113557,4947,39216,3458,0400000US22,4434602,3663,418903,18883,159314,10605,17585,3710,141729,9327,243483,11300,62208,6075,181275,9034,16106,1615,6373,1202,9733,1575,489077,18272,158154,10035,24157,4033,133997,8752,277108,10279,63656,5579,213452,9048,53815,3434,16261,1713,37554,2820,376504,19699,101446,9679,26490,4414,74956,8001,211080,10138,70473,4716,140607,8122,63978,4084,28669,2881,35309,2577,115542,11118,31152,4989,7064,1902,24088,4298,65617,6239,25266,3559,40351,4453,18773,1979,7900,1040,10873,1711,412196,19586,106702,8369,44366,5602,62336,6452,236318,11558,113045,7105,123273,8096,69176,4148,37132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1530,11643,1676,118964,7761,24943,3142,17476,2802,7467,1555,69712,5238,45706,3920,24006,2313,24309,2351,16635,2084,7674,1187,112299,6487,24094,2351,20320,2410,3774,930,68954,4614,53213,4097,15741,1788,19251,2023,13945,1789,5306,1148,187743,7903,37125,3158,31806,3009,5319,1455,117522,5348,92840,4663,24682,2667,33096,2852,24171,2494,8925,1667,424852,12008,64045,4464,60518,4414,3527,859,299505,8588,276978,8976,22527,2459,61302,3255,49338,3220,11964,2037,0400000US23,1290123,1970,66847,5384,18139,2412,2550,985,15589,2233,44877,3597,10959,1979,33918,3182,3831,939,2206,759,1625,536,115500,7455,31380,3429,3793,1311,27587,3399,71045,5008,14363,2182,56682,4405,13075,1547,4968,964,8107,1214,104319,6484,26924,3283,7687,1577,19237,2910,56388,4246,14136,1971,42252,3729,21007,2157,9942,1337,11065,1646,29991,4536,8697,2166,3421,1138,5276,1765,15613,2582,6509,1629,9104,2138,5681,1046,3253,743,2428,721,129608,8614,27711,3258,12365,2105,15346,2659,73250,5739,31331,3102,41919,4100,28647,2302,17004,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2576,22721,2556,389181,20233,105546,8571,62355,6766,43191,4453,229269,12875,143630,8954,85639,7289,54366,4167,37332,3503,17034,2283,395614,16588,98959,6459,67260,5285,31699,5067,244508,11693,175229,9087,69279,6031,52147,3535,37440,3296,14707,1979,718031,22999,169472,10104,142187,9716,27285,3713,457928,15912,365614,13620,92314,7236,90631,5462,69126,4652,21505,2672,2837219,33536,547998,13255,518773,13288,29225,3716,1948956,22246,1807462,20935,141494,8297,340265,7654,285586,7154,54679,3802,0400000US24,5668087,4295,282490,14819,93295,8804,14705,3638,78590,8438,175227,8797,50893,4954,124334,7052,13968,1939,5892,1228,8076,1408,289151,13780,85430,7578,13853,2799,71577,6922,164897,7660,46043,3812,118854,6838,38824,3150,14815,1879,24009,2810,263060,15519,74289,8665,21838,4398,52451,6889,144176,8317,53579,5323,90597,6602,44595,2894,22685,2216,21910,2347,96287,11088,28643,5126,7390,1958,21253,4770,50092,6254,22410,3737,27682,4574,17552,2280,9635,1718,7917,1693,397054,20869,119257,9883,53861,6901,65396,6801,222593,12639,110924,8079,111669,8031,55204,3419,32483,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
3923,33063,2852,458962,16949,108215,7005,70567,5931,37648,4437,262224,11341,164543,8365,97681,6402,88523,5849,58955,4342,29568,3344,452254,19045,100025,7609,74531,6707,25494,4334,282538,13077,212985,9976,69553,6707,69691,4394,48647,3594,21044,2807,816018,23456,174407,8495,152526,7525,21881,3025,519741,16809,432763,13894,86978,6908,121870,5752,90223,4991,31647,3257,3022756,29684,588976,11176,569799,10612,19177,3228,2094064,20787,1978503,19591,115561,7496,339716,8293,271235,7220,68481,4849,0400000US25,6362374,2147,339193,15996,101496,7831,13572,2283,87924,7350,215358,10223,85999,6735,129359,7798,22339,2551,10380,1584,11959,1950,399321,17322,110293,8501,18481,3714,91812,7490,228891,10197,59565,4784,169326,8656,60137,4144,21660,2572,38477,3297,345244,15848,80931,6383,25933,4163,54998,5051,193437,10265,64051,5440,129386,8557,70876,4085,33872,2931,37004,3126,100452,8094,23620,3686,11194,2810,12426,2704,53644,5396,23622,3523,30022,3734,23188,2429,13694,1757,9494,1798,428174,18929,102934,8015,55174,5964,47760,5450,238996,12371,129226,7455,109770,7980,86244,5138,53181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
