GEO_ID,C17015_001E,C17015_001M,C17015_002E,C17015_002M,C17015_003E,C17015_003M,C17015_004E,C17015_004M,C17015_005E,C17015_005M,C17015_006E,C17015_006M,C17015_007E,C17015_007M,C17015_008E,C17015_008M,C17015_009E,C17015_009M,C17015_010E,C17015_010M,C17015_011E,C17015_011M,C17015_012E,C17015_012M,C17015_013E,C17015_013M,C17015_014E,C17015_014M,C17015_015E,C17015_015M,NAME,C17015_001EA,C17015_001MA,C17015_002EA,C17015_002MA,C17015_003EA,C17015_003MA,C17015_004MA,C17015_004EA,C17015_005MA,C17015_005EA,C17015_006EA,C17015_006MA,C17015_007EA,C17015_007MA,C17015_008EA,C17015_008MA,C17015_009MA,C17015_009EA,C17015_010MA,C17015_010EA,C17015_011MA,C17015_011EA,C17015_012EA,C17015_012MA,C17015_013EA,C17015_013MA,C17015_014EA,C17015_014MA,C17015_015MA,C17015_015EA,state
0400000US30,253131,4418,24521,2093,4019,780,904,370,3115,677,20502,2013,3036,693,17466,1851,228610,4454,67503,2225,3599,774,63904,2126,161107,4419,6395,1050,154712,4410,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,470445,6228,42692,3018,4512,843,1349,559,3163,701,38180,2772,5884,1305,32296,2683,427753,5995,107580,2346,5427,730,102153,2442,320173,6073,8851,1146,311322,5856,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,636981,10614,75701,5093,10760,1872,1996,770,8764,1628,64941,4716,9741,1873,55200,4525,561280,9863,151091,4975,12998,1905,138093,4698,410189,9770,16975,2409,393214,9936,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,349501,4958,19729,2344,3951,1130,1198,554,2753,812,15778,2039,4182,915,11596,1764,329772,4735,88535,2801,5201,953,83334,2772,241237,4319,10491,1507,230746,4156,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2191404,14596,171559,6460,22461,2530,5599,1309,16862,1897,149098,6000,31934,2827,117164,5535,2019845,14324,512238,7171,39532,2945,472706,7342,1507607,13106,61263,3329,1446344,13479,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,502498,8737,83298,5108,14085,2123,4175,1031,9910,1738,69213,4696,13524,1894,55689,4229,419200,7648,125114,4044,11626,1269,113488,4068,294086,7208,14692,1714,279394,7244,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4607636,22601,567575,11385,89526,5134,24306,2366,65220,4523,478049,10395,121632,5211,356417,9581,4040061,22850,1110400,12508,105208,4729,1005192,11843,2929661,19753,148742,6451,2780919,18338,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2455564,21325,325239,10097,54991,3654,11172,1748,43819,3315,270248,8873,40443,3646,229805,7712,2130325,19806,620060,8705,44057,3652,576003,8436,1510265,18310,58518,4628,1451747,18035,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,175219,3737,13805,1595,2016,657,269,149,1747,617,11789,1532,1902,594,9887,1501,161414,3550,39199,1705,1701,454,37498,1677,122215,3369,3154,700,119061,3281,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2915927,16276,350368,8799,52183,3027,14351,1456,37832,2670,298185,8456,77150,4534,221035,7244,2565559,16549,741456,8937,60907,3438,680549,9432,1824103,16100,83086,4185,1741017,16636,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
