GEO_ID,C08105G_001E,C08105G_001M,C08105G_002E,C08105G_002M,C08105G_003E,C08105G_003M,C08105G_004E,C08105G_004M,C08105G_005E,C08105G_005M,C08105G_006E,C08105G_006M,NAME,C08105G_001EA,C08105G_001MA,C08105G_002EA,C08105G_002MA,C08105G_003MA,C08105G_003EA,C08105G_004EA,C08105G_004MA,C08105G_005MA,C08105G_005EA,C08105G_006EA,C08105G_006MA,state
0400000US15,129574,6356,90314,5275,21290,2886,5430,1231,8768,1993,3772,919,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10346,1687,8022,1491,1128,509,102,132,883,507,211,172,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,83398,5983,54784,4907,9580,1685,11061,1976,5143,1464,2830,872,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,35486,3304,26150,2763,4224,1383,741,406,2763,926,1608,671,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15688,2265,11309,1912,2595,1211,319,354,1140,460,325,219,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,27360,2569,21078,2476,4059,1151,248,217,895,353,1080,446,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17088,2468,11108,1981,2878,1025,856,602,1252,544,994,513,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22525,2693,17565,2612,2422,937,273,220,1728,578,537,382,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6023,1166,3907,828,1045,554,0,157,688,446,383,217,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,52154,4748,35376,3578,7674,2150,4436,1179,2906,911,1762,521,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,62386,6524,34478,4488,6711,1429,12756,2385,6338,1579,2103,726,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,67191,4165,51822,3824,7234,1354,2027,794,3562,1034,2546,870,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,37726,3250,26484,2606,5409,1046,2421,800,1948,729,1464,520,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7741,1659,6141,1482,720,363,195,191,418,355,267,254,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,41934,3152,29589,2654,4830,1307,1929,728,1862,844,3724,1379,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7893,1524,5583,1313,756,366,225,228,1068,663,261,223,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,10966,2340,7477,1605,2297,947,89,151,896,878,207,147,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,32675,4583,26070,4125,3887,1136,1311,847,597,431,810,505,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6168,1133,4810,1005,916,436,98,167,344,225,0,184,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,72860,5994,47697,4782,8322,1836,9777,1506,5049,1149,2015,839,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,20371,2332,15240,2221,2386,866,305,236,1327,579,1113,644,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,177801,7489,71837,5022,16821,2932,62401,4381,20411,2725,6331,1228,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,50401,5581,37936,4754,6664,1566,1154,671,2453,809,2194,832,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3992,956,2839,896,265,173,0,143,281,218,607,288,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,62593,4251,49550,3532,5600,1194,1281,512,2894,833,3268,1031,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,99825,4393,80228,3724,13220,1994,550,272,2755,668,3072,820,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,46568,4319,31817,3646,4688,1280,2474,801,4441,1159,3148,903,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,60469,4614,40650,3602,7594,1263,4955,1092,5205,1064,2065,657,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,9267,1954,6321,1571,1652,782,477,362,705,326,112,152,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,20862,3028,15252,2470,2545,1131,649,711,1350,487,1066,670,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,6881,1291,5086,1066,1187,584,73,121,266,178,269,297,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,30903,3442,23801,3021,3495,892,607,403,2198,936,802,561,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,192665,7507,142550,7316,29985,3948,3627,1145,8434,1835,8069,1759,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,20261,2931,14880,2556,3172,899,311,268,1392,534,506,360,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,4548,885,2880,804,488,352,248,356,835,395,97,98,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,84838,6778,61744,5704,12124,2954,3849,1147,3682,1130,3439,1173,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,103308,6097,68603,5003,12362,1999,9203,2016,7939,1456,5201,1107,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,8760,1321,6311,1290,1236,478,437,306,744,372,32,62,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,33566,3137,23927,2472,4161,1032,1206,604,3106,992,1166,495,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,6485,1628,4659,1401,708,414,69,78,814,435,235,253,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,140675,7089,111456,6511,11125,1912,6150,1549,8020,1545,3924,1122,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
