GEO_ID,C17020G_001E,C17020G_001M,C17020G_002E,C17020G_002M,C17020G_003E,C17020G_003M,C17020G_004E,C17020G_004M,C17020G_005E,C17020G_005M,C17020G_006E,C17020G_006M,C17020G_007E,C17020G_007M,C17020G_008E,C17020G_008M,C17020G_009E,C17020G_009M,NAME,C17020G_001EA,C17020G_001MA,C17020G_002MA,C17020G_002EA,C17020G_003MA,C17020G_003EA,C17020G_004MA,C17020G_004EA,C17020G_005MA,C17020G_005EA,C17020G_006EA,C17020G_006MA,C17020G_007MA,C17020G_007EA,C17020G_008MA,C17020G_008EA,C17020G_009MA,C17020G_009EA,state
0400000US19,57950,4827,17392,3678,10255,2660,7048,1776,89,85,40558,3904,24336,2900,15373,2015,849,320,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,93882,6348,21093,3395,11997,2651,8130,1453,966,492,72789,6095,37457,4276,32425,3437,2907,667,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,77663,6539,29418,5302,20372,4396,8719,1678,327,273,48245,4490,25405,3398,20761,2790,2079,708,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,73967,6370,19683,3631,12598,3007,6321,1395,764,331,54284,5446,23472,3548,26920,3009,3892,810,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,22438,2863,6902,1793,4041,1366,2747,892,114,125,15536,2496,7555,1638,6626,1272,1355,570,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,146997,8295,22950,4312,15535,3987,6910,1352,505,285,124047,7834,58678,4839,59837,4969,5532,1135,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,161026,11005,32438,4891,13581,2325,17257,3149,1600,736,128588,10434,52989,4848,69254,7458,6345,1137,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,244974,10013,70991,5823,42143,4577,27318,2473,1530,410,173983,8751,81694,5517,82551,5112,9738,1428,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,130975,8718,30761,4293,17324,3174,12678,1902,759,450,100214,6964,56430,4926,40185,3763,3599,837,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,33724,4637,10368,2565,7402,2532,2683,1057,283,208,23356,3779,12370,2904,9268,1671,1718,744,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,138867,7993,35292,5476,21646,4066,13137,2154,509,264,103575,6017,46753,4011,50639,3945,6183,992,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23362,2770,6736,1748,3148,1227,3450,1063,138,152,16626,2201,8215,1428,7451,1498,960,438,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,38507,3706,9449,2272,6092,1941,3142,885,215,240,29058,3498,16299,2266,11556,2228,1203,579,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,104766,10615,14448,2792,6899,1982,7188,1802,361,307,90318,9976,42736,6007,44012,5510,3570,807,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,21732,2395,2717,890,1204,678,1393,555,120,147,19015,2451,9561,1659,8114,1418,1340,562,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,212959,12748,36010,5453,17961,2910,17197,3229,852,336,176949,11096,74748,5833,93399,7004,8802,1461,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,62743,5894,15216,3101,8027,2315,6517,1468,672,414,47527,4947,20194,3592,24275,2656,3058,619,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,506574,16031,112719,8723,57148,5926,49945,4691,5626,1239,393855,14157,152427,8357,215903,8625,25525,2707,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,197923,14502,57618,8657,34450,6362,22895,3831,273,159,140305,11006,76041,7643,57324,5606,6940,1487,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,12060,1882,2722,1075,1811,949,851,392,60,88,9338,1796,4914,1201,3996,969,428,234,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,258136,11124,91404,8425,58885,6165,31176,3541,1343,530,166732,9309,88643,6108,69943,4638,8146,1228,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,290650,9029,68330,6731,33570,4003,32010,3274,2750,866,222320,7842,91537,5026,114548,4654,16235,1057,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,129168,6980,27346,3761,11295,2590,15082,2128,969,424,101822,6065,40603,3557,55218,4499,6001,1410,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,236274,11269,62348,7308,40823,5717,20514,2916,1011,483,173926,9293,93930,6018,72870,4905,7126,1249,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,26545,4143,6220,2179,4175,1821,1957,745,88,108,20325,3264,7865,1802,11136,2315,1324,511,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,80321,6954,19786,4026,11500,3075,7619,1997,667,449,60535,6903,33659,5185,24558,3509,2318,781,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,18951,2658,2935,929,1585,575,1350,600,0,155,16016,2636,7247,1609,7830,1633,939,520,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,118019,7862,34357,5190,19726,4051,12530,2545,2101,986,83662,6116,40940,4162,39062,3836,3660,965,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,583801,18893,110217,8721,56336,6306,49861,4626,4020,862,473584,16284,216876,10141,231469,10044,25239,2391,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,67541,6341,13342,2697,7498,2029,5699,1266,145,178,54199,5393,29590,3418,22966,3353,1643,686,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,12330,1479,2202,826,923,623,1231,524,48,87,10128,1337,3875,600,5797,1109,456,268,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,233989,14494,38982,6599,22383,4446,15686,3190,913,514,195007,13186,90922,7320,96914,7479,7171,1495,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,311227,12510,56199,5756,28369,3588,26652,3420,1178,488,255028,11759,123527,7446,123112,7287,8389,1315,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,35882,2772,12428,2377,6589,1341,5187,1441,652,467,23454,2305,10600,1421,11212,1425,1642,610,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,112033,6244,30107,3712,16684,2568,13053,2243,370,211,81926,5059,42063,3466,37021,3112,2842,884,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,14843,2486,2909,1157,1846,798,1023,544,40,65,11934,2357,4545,1532,6610,1562,779,444,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,492910,15764,244881,12525,82321,6585,139589,8029,22971,2541,248029,13907,54412,4709,163338,9446,30279,3540,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
