B08124_012M,B08124_013E,B08124_013M,B08124_014E,B08124_014M,B08124_015E,B08124_015M,B08124_016E,B08124_016M,B08124_017E,B08124_017M,B08124_018E,B08124_018M,B08124_019E,B08124_019M,B08124_020E,B08124_020M,B08124_021E,B08124_021M,B08124_022E,B08124_022M,B08124_023E,B08124_023M,B08124_024E,B08124_024M,B08124_025E,B08124_025M,B08124_026E,B08124_026M,B08124_027E,B08124_027M,B08124_028E,B08124_028M,B08124_029E,B08124_029M,B08124_030E,B08124_030M,B08124_031E,B08124_031M,B08124_032E,B08124_032M,B08124_033E,B08124_033M,B08124_034E,B08124_034M,B08124_035E,B08124_035M,B08124_036E,B08124_036M,B08124_037E,B08124_037M,B08124_038E,B08124_038M,B08124_039E,B08124_039M,B08124_040E,B08124_040M,B08124_041E,B08124_041M,B08124_042E,B08124_042M,B08124_043E,B08124_043M,B08124_044E,B08124_044M,B08124_045E,B08124_045M,B08124_046E,B08124_046M,B08124_047E,B08124_047M,B08124_048E,B08124_048M,B08124_049E,B08124_049M,GEO_ID,B08124_001E,B08124_001M,B08124_002E,B08124_002M,B08124_003E,B08124_003M,B08124_004E,B08124_004M,B08124_005E,B08124_005M,B08124_006E,B08124_006M,B08124_007E,B08124_007M,B08124_008E,B08124_008M,B08124_009E,B08124_009M,B08124_010E,B08124_010M,B08124_011E,B08124_011M,B08124_012E,B08124_012MA,B08124_013EA,B08124_013MA,B08124_014MA,B08124_014EA,B08124_015MA,B08124_015EA,B08124_016MA,B08124_016EA,B08124_017EA,B08124_017MA,B08124_018EA,B08124_018MA,B08124_019MA,B08124_019EA,B08124_020MA,B08124_020EA,B08124_021MA,B08124_021EA,B08124_022MA,B08124_022EA,B08124_023EA,B08124_023MA,B08124_024EA,B08124_024MA,B08124_025EA,B08124_025MA,B08124_026EA,B08124_026MA,B08124_027MA,B08124_027EA,B08124_028MA,B08124_028EA,B08124_029EA,B08124_029MA,B08124_030EA,B08124_030MA,B08124_031EA,B08124_031MA,B08124_032MA,B08124_032EA,B08124_033MA,B08124_033EA,B08124_034MA,B08124_034EA,B08124_035EA,B08124_035MA,B08124_036EA,B08124_036MA,B08124_037EA,B08124_037MA,B08124_038MA,B08124_038EA,B08124_039EA,B08124_039MA,B08124_040MA,B08124_040EA,B08124_041EA,B08124_041MA,B08124_042EA,B08124_042MA,B08124_043MA,B08124_043EA,B08124_044MA,B08124_044EA,B08124_045MA,B08124_045EA,B08124_046EA,B08124_046MA,B08124_047EA,B08124_047MA,B08124_048EA,B08124_048MA,B08124_049MA,B08124_049EA,NAME,B08124_001MA,B08124_001EA,B08124_002EA,B08124_002MA,B08124_003EA,B08124_003MA,B08124_004MA,B08124_004EA,B08124_005MA,B08124_005EA,B08124_006EA,B08124_006MA,B08124_007MA,B08124_007EA,B08124_008EA,B08124_008MA,B08124_009MA,B08124_009EA,B08124_010MA,B08124_010EA,B08124_011MA,B08124_011EA,B08124_012EA,state
10316,426476,11823,16932,2563,438045,15647,112121,7757,93275,7204,84371,6787,77857,6607,68799,6061,1622,528,89369,6236,21860,2626,28061,3826,18611,2765,7617,2615,12812,2449,408,243,68417,5900,18756,2781,21869,2952,12181,1732,5869,1469,7318,1913,2424,784,67347,7104,16230,2531,16172,3574,10590,2323,10573,2865,13493,2475,289,195,193640,9587,95458,6385,19160,2829,53449,4438,8511,1956,9586,1757,7476,1161,0400000US13,4154468,27187,1452587,18878,706185,17243,1037017,20054,391044,12279,538484,14342,29151,2900,3297650,26926,1188162,17248,527648,13712,857815,17889,280617,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
3393,40314,3523,11649,1944,92436,4781,30828,2891,21676,2620,22097,2313,9373,1728,6388,1264,2074,953,38627,3605,8354,1459,13899,2249,10973,1671,1021,412,4205,1230,175,212,31906,3333,8032,1448,9208,1962,7961,1423,1630,641,2164,742,2911,991,21165,2721,6473,1279,5288,1384,4478,1125,2334,876,1616,646,976,484,29592,2924,14186,1880,4202,1055,6077,1313,2462,871,1130,573,1535,560,0400000US15,650062,8002,214288,6891,143812,5942,152977,5982,63848,3790,55817,4259,19320,2144,436336,7597,146415,5655,89539,4667,101391,5018,47028,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
4277,66446,4823,936,475,66108,4974,19756,2078,12213,1918,13392,2664,13435,1896,7213,1197,99,128,4638,1046,1669,686,1201,600,764,441,427,332,577,348,0,195,23284,2909,9941,2056,4086,939,5185,1080,2634,983,1393,547,45,3,16392,2570,4108,1009,3439,1214,2728,921,2527,1059,3567,1403,23,39,41471,4792,18289,2762,7693,2185,9988,2341,3509,1146,1984,786,8,14,0400000US16,672900,9003,227027,8067,117198,5113,165602,5958,80782,4981,81180,5266,1111,516,521007,9338,173264,7168,88566,4668,133545,5378,58250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
9508,624325,13666,4018,1436,513689,12940,138387,6525,99694,6890,112706,5063,54739,4633,107704,5709,459,334,523820,13979,232516,9413,106682,6270,132829,6688,13775,2117,38018,3931,0,189,182021,7602,58667,4142,49783,3970,47947,4046,6289,1264,14174,2065,5161,1493,95611,5925,34771,3646,20358,2465,18758,2590,6934,1297,14474,2161,316,320,238350,9003,111637,5217,41557,3621,59127,4505,13187,2124,8897,1278,3945,1099,0400000US17,5820167,22162,2092490,19605,1008208,17403,1464521,18333,433457,11617,807592,14977,13899,1808,4266676,25069,1516512,17568,690134,13247,1093154,17291,338533,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
6151,434164,11006,1102,457,254647,9276,60088,4047,49014,3857,47858,3393,34959,3728,62230,4809,498,410,30410,3173,8391,1508,9864,1875,7244,1424,1337,634,3574,774,0,190,59297,4041,17550,1890,17721,1945,14312,1955,4287,1425,5215,1069,212,94,39383,3244,7973,1529,9280,1573,6172,1147,3572,844,11982,1910,404,375,90794,5194,41482,3674,14825,1811,21775,2747,5731,1345,6981,1521,0,190,0400000US18,2885033,16992,920521,15164,494427,10022,693049,11804,250674,7584,524146,12438,2216,819,2410502,17333,785037,13363,393723,9741,595688,11243,200788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
4578,186629,5953,567,292,134813,5650,37470,3298,24640,2766,27755,2328,16856,1789,28092,2180,0,155,16498,2456,6260,1484,3776,1025,3289,857,448,316,2725,785,0,155,53020,3599,16132,1842,12956,1784,13021,1918,4179,838,6721,1182,11,19,20526,2208,5470,1132,4680,1016,3091,761,2162,718,5123,955,0,155,69772,3681,32695,2690,13494,1593,13282,1576,6364,1292,3919,921,18,34,0400000US19,1513058,8689,511447,9129,257363,6891,366030,8498,144413,5375,233209,6624,596,291,1218429,10405,413420,8638,197817,6514,305592,8202,114404,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5155,142705,6082,5948,1346,138640,6257,41122,3624,23393,2556,28572,2697,20473,2794,24573,2565,507,331,5127,1570,1868,1194,1154,479,1207,569,357,372,541,263,0,168,32181,2741,10800,1517,9058,1567,5936,953,2458,774,3817,883,112,101,16386,2542,3975,899,3434,1000,2812,998,1794,630,4186,1102,185,180,59431,3662,28248,2720,10053,1262,13495,1910,3599,839,2595,826,1441,547,0400000US20,1379532,10564,496645,11600,232581,7001,322322,9410,141374,5974,178417,7156,8193,1399,1127767,11756,410632,10246,185489,6339,270300,9782,112693,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
5944,243501,7742,4452,1263,171579,8668,45068,3471,30621,3749,32711,2920,30244,3163,32131,3621,804,321,20909,3126,3910,1064,7518,1595,4302,1142,947,643,4232,1389,0,189,38405,3703,10806,1949,12111,2257,8702,1362,2462,727,4138,1051,186,170,22533,2921,5880,1444,4930,1321,3653,1119,1834,546,6100,1102,136,149,52732,4271,24380,2994,7407,1264,14275,2109,2725,705,2844,823,1101,406,0400000US21,1811467,14421,595487,10202,308559,7827,432547,9688,175249,5990,292946,9525,6679,1342,1505309,14340,505443,9753,245972,7909,368904,9230,137037,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
7606,192371,8679,4908,971,197402,8369,51404,4497,43824,4110,42131,4182,34606,3322,24853,2538,584,366,26094,2875,3289,1003,9589,1579,6977,1347,2430,919,3758,973,51,70,41820,3753,9975,1704,15861,2426,8869,1600,3108,992,3654,979,353,260,41205,3624,6386,1318,12098,2024,6604,1463,9476,2009,6517,1488,124,163,41995,3794,17328,2193,6027,1089,11559,1949,3614,1100,3323,1120,144,171,0400000US22,1942076,16712,604966,12395,377762,10844,479687,10472,239021,8045,234476,9389,6164,1130,1593560,17331,516584,10975,290363,9717,403547,10336,185787,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
3152,54677,3052,498,328,62249,3855,17459,1855,11972,1572,13177,1753,11260,1615,8381,1396,0,157,4088,976,1574,565,410,219,1112,494,378,313,614,375,0,157,23663,2173,6036,995,6902,1336,7257,1281,2169,729,1168,391,131,157,9358,1384,1939,503,2224,730,1819,621,1013,438,2259,896,104,170,34355,2580,15072,1487,5923,1038,7739,1370,3427,970,2194,673,0,157,0400000US23,631120,6682,222555,5250,114471,4786,154987,5631,69081,3645,69293,3619,733,373,497407,6794,180475,4485,87040,3766,123883,4802,50834,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
7239,164536,7634,6637,1450,288690,11899,104521,6469,57314,5649,59845,4785,39316,4168,27047,2896,647,337,262605,9876,112130,5804,58052,4595,67694,5216,10595,1984,13801,2672,333,265,65220,5010,21637,2627,18835,2719,16903,2074,2824,901,3546,1111,1475,626,30684,2683,11544,1747,6353,1243,5967,1059,2282,727,4423,1293,115,108,116524,5620,63054,3634,19055,2173,23018,2547,3828,1086,4146,1152,3423,742,0400000US24,2855500,15957,1247032,14701,490692,12966,656479,13520,231168,8443,217499,7948,12630,1687,2091777,18657,934146,15001,331083,10908,483052,10847,172323,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
7480,211696,7493,2245,973,263193,9567,81583,5047,60330,4925,57359,4598,26650,2820,37192,3504,79,95,287628,10273,144402,6574,55572,4457,61543,3764,10588,1923,15249,2323,274,428,148790,6225,63499,4042,31137,3239,38500,3072,5165,1260,10103,1866,386,331,50637,4555,21509,2204,10298,2195,10037,1804,2820,906,5942,1331,31,51,144432,6149,81519,4749,18444,2291,33053,2681,6557,1508,4559,964,300,108,0400000US25,3216363,14727,1394400,16130,554243,11772,753899,13128,225765,8580,284741,7406,3315,1221,2321683,18315,1001888,14756,378462,9690,553407,11372,173985,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
