C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,GEO_ID,C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004EA,C15010_004MA,C15010_005EA,C15010_005MA,C15010_006EA,C15010_006MA,NAME,C15010_001EA,C15010_001MA,C15010_002MA,C15010_002EA,C15010_003EA,C15010_003MA,state
38695,3407,27765,2282,57686,4112,0400000US44,221812,6692,75997,4775,21669,2150,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
174377,7977,118355,6322,148918,6984,0400000US45,748675,16790,246982,8789,60043,4290,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,45
25490,2840,31536,2702,27124,2719,0400000US46,141634,5025,40880,2860,16604,2003,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,46
236970,7577,165765,7609,212974,8144,0400000US47,1013898,16000,303421,9359,94768,5706,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,47
991872,17221,612360,14870,845083,20831,0400000US48,4247679,40612,1430482,24143,367882,11177,null,null,null,null,null,null,Texas,null,null,null,null,null,null,48
92501,5411,72997,3905,113391,4867,0400000US49,478566,10409,156361,6630,43316,3245,null,null,null,null,null,null,Utah,null,null,null,null,null,null,49
18853,2014,23261,2156,44308,2711,0400000US50,153890,4385,56985,3010,10483,1370,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
361490,10087,198090,8072,443330,10565,0400000US51,1903494,17292,763245,13181,137339,5460,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,51
238241,8117,165837,6520,347285,9688,0400000US53,1461004,18455,589263,13653,120378,6152,null,null,null,null,null,null,Washington,null,null,null,null,null,null,53
43935,3420,48493,2821,43160,3663,0400000US54,239041,8110,70559,3938,32894,2708,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,54
196188,6747,174661,5839,213258,6091,0400000US55,1014313,13141,317000,7932,113206,4856,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,55
12712,1799,21982,2023,18292,2344,0400000US56,92848,4693,30851,2584,9011,1195,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,56
176597,7116,112304,5915,78882,4215,0400000US72,569551,11345,147388,5854,54380,3565,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,72
