B14002_006E,B14002_006M,B14002_007E,B14002_007M,B14002_008E,B14002_008M,B14002_009E,B14002_009M,B14002_010E,B14002_010M,B14002_011E,B14002_011M,B14002_012E,B14002_012M,B14002_013E,B14002_013M,B14002_014E,B14002_014M,B14002_015E,B14002_015M,B14002_016E,B14002_016M,B14002_017E,B14002_017M,B14002_018E,B14002_018M,B14002_019E,B14002_019M,B14002_020E,B14002_020M,B14002_021E,B14002_021M,B14002_022E,B14002_022M,B14002_023E,B14002_023M,B14002_024E,B14002_024M,B14002_025E,B14002_025M,B14002_026E,B14002_026M,B14002_027E,B14002_027M,B14002_028E,B14002_028M,B14002_029E,B14002_029M,B14002_030E,B14002_030M,B14002_031E,B14002_031M,B14002_032E,B14002_032M,B14002_033E,B14002_033M,B14002_034E,B14002_034M,B14002_035E,B14002_035M,B14002_036E,B14002_036M,B14002_037E,B14002_037M,B14002_038E,B14002_038M,B14002_039E,B14002_039M,B14002_040E,B14002_040M,B14002_041E,B14002_041M,B14002_042E,B14002_042M,B14002_043E,B14002_043M,B14002_044E,B14002_044M,B14002_045E,B14002_045M,B14002_046E,B14002_046M,B14002_047E,B14002_047M,B14002_048E,B14002_048M,B14002_049E,B14002_049M,GEO_ID,B14002_001E,B14002_001M,B14002_002E,B14002_002M,B14002_003E,B14002_003M,B14002_004E,B14002_004M,B14002_005E,B14002_005M,B14002_006MA,B14002_006EA,B14002_007MA,B14002_007EA,B14002_008EA,B14002_008MA,B14002_009EA,B14002_009MA,B14002_010EA,B14002_010MA,B14002_011EA,B14002_011MA,B14002_012MA,B14002_012EA,B14002_013MA,B14002_013EA,B14002_014EA,B14002_014MA,B14002_015EA,B14002_015MA,B14002_016EA,B14002_016MA,B14002_017MA,B14002_017EA,B14002_018MA,B14002_018EA,B14002_019MA,B14002_019EA,B14002_020EA,B14002_020MA,B14002_021EA,B14002_021MA,B14002_022EA,B14002_022MA,B14002_023MA,B14002_023EA,B14002_024MA,B14002_024EA,B14002_025EA,B14002_025MA,B14002_026EA,B14002_026MA,B14002_027EA,B14002_027MA,B14002_028MA,B14002_028EA,B14002_029EA,B14002_029MA,B14002_030MA,B14002_030EA,B14002_031EA,B14002_031MA,B14002_032EA,B14002_032MA,B14002_033MA,B14002_033EA,B14002_034EA,B14002_034MA,B14002_035MA,B14002_035EA,B14002_036EA,B14002_036MA,B14002_037EA,B14002_037MA,B14002_038MA,B14002_038EA,B14002_039EA,B14002_039MA,B14002_040EA,B14002_040MA,B14002_041MA,B14002_041EA,B14002_042EA,B14002_042MA,B14002_043MA,B14002_043EA,B14002_044MA,B14002_044EA,B14002_045MA,B14002_045EA,B14002_046MA,B14002_046EA,B14002_047EA,B14002_047MA,B14002_048EA,B14002_048MA,B14002_049MA,B14002_049EA,NAME,B14002_001MA,B14002_001EA,B14002_002MA,B14002_002EA,B14002_003EA,B14002_003MA,B14002_004EA,B14002_004MA,B14002_005EA,B14002_005MA,state
34605,3372,78754,5144,70972,4911,7782,1618,281332,7641,260335,7696,20997,3051,296153,9567,269270,9955,26883,3373,288810,9353,265373,9075,23437,2892,248806,9045,197955,7585,50851,5184,52467,4961,33448,4480,19019,2553,3264287,13010,4815755,9253,1441212,13812,82135,6743,52225,5187,29910,3600,74958,5528,67384,5000,7574,1654,272592,8569,246755,8825,25837,3104,275493,9259,253928,9604,21565,3404,270271,7200,246749,7961,23522,2852,385034,9802,300878,9496,84156,6135,80729,6203,48922,4685,31807,4194,3374543,13338,0400000US13,9421810,8662,4606055,10106,1341768,14096,95446,5912,60841,5149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,13
5642,1246,8972,1407,7383,1357,1589,659,33812,2257,29228,2387,4584,1070,32712,2137,26963,2386,5749,1032,35055,1755,29064,1836,5991,1157,38317,3294,29142,2926,9175,1500,7184,1511,4830,1326,2354,724,496080,3900,661318,1933,170627,3662,9308,1455,3913,996,5395,1197,7314,1022,6191,939,1123,522,31634,1882,25991,1788,5643,969,32258,2484,26244,2587,6014,1159,34883,2320,27321,2374,7562,1460,44792,3161,31983,3045,12809,1840,10438,1801,5500,1283,4938,1218,490691,3643,0400000US15,1323495,2376,662177,2039,166097,4156,10045,1565,4403,1015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,15
6022,1227,12590,2177,11856,2175,734,357,50319,2783,47003,3285,3316,1337,46508,2841,43760,2738,2748,822,50339,2493,47626,2531,2713,860,47790,3367,38057,3329,9733,1619,7597,1380,6036,1214,1561,840,531979,4463,756565,3005,224681,4930,11308,1743,5753,1488,5555,1097,10956,1805,9540,1595,1416,670,49687,2963,47515,2932,2172,752,42831,2953,39586,2958,3245,831,44552,2641,42712,2694,1840,631,57149,3865,42620,3485,14529,2028,8198,1518,6572,1458,1626,507,531884,5480,0400000US16,1516203,2886,759638,2899,227659,4631,12516,1691,6494,1410,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,16
47634,3414,87027,4348,75019,4035,12008,1975,350400,7547,314274,8300,36126,2600,354903,7008,315451,7264,39452,3728,380955,5989,347485,6503,33470,3090,348291,9325,254635,8797,93656,5558,87507,4499,41897,3106,45610,3314,4335116,11045,6325080,5620,1784723,10902,116933,5523,69670,3892,47263,3885,83511,4742,72273,4584,11238,1474,337522,8675,296695,8399,40827,3346,334801,7516,297422,7132,37379,3571,361755,5275,327979,5453,33776,2678,428305,8859,308006,8756,120299,5246,121896,6021,57914,4178,63982,4324,4540357,11346,0400000US17,12392392,7296,6067312,7151,1732196,11766,123113,5325,75479,4350,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,17
26826,3040,45634,3292,38939,3185,6695,1434,176976,4987,157067,5051,19909,2255,187331,5169,165364,4962,21967,2691,187152,5029,169893,4994,17259,2262,178288,6616,142345,5932,35943,2842,33543,3082,23055,2397,10488,1539,2214940,9353,3192466,4576,897295,8367,51425,3796,27616,2974,23809,2554,42622,3561,36351,3171,6271,1237,174676,5446,155243,5922,19433,2302,178172,6511,158632,6613,19540,1987,174894,4699,158623,4313,16271,1917,238497,7170,186879,6837,51618,3411,37009,3056,27425,2572,9584,1500,2295171,8029,0400000US18,6271959,5781,3079493,6009,864553,9690,55629,3778,28803,2555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,18
8881,1489,21533,2034,18332,1600,3201,1194,80218,3272,71321,3242,8897,1494,81458,3627,74155,3631,7303,1313,82978,2598,77829,2893,5149,1296,89751,4806,66581,3721,23170,2654,15255,2095,9199,1487,6056,1653,1054542,5736,1491273,3818,409416,5887,26223,2030,18074,1724,8149,1584,19757,1849,18349,1889,1408,413,78151,3407,70430,3399,7721,1033,75119,3256,67735,3250,7384,1143,82389,3624,76610,3645,5779,1102,108107,4254,80503,3798,27604,2426,19670,2105,12847,1580,6823,1389,1081857,5611,0400000US19,2946262,3544,1454989,3210,400447,5659,29254,2324,20373,1941,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,19
8820,1197,21441,2070,18908,1903,2533,752,79003,3178,70802,3119,8201,1285,84439,3240,75200,3502,9239,1531,82708,3049,74086,3364,8622,1541,84967,4151,72322,4176,12645,1843,16814,2245,13302,1879,3512,1051,968488,5165,1389778,3044,405956,5579,25146,2165,17465,2051,7681,1357,19228,1941,16716,1642,2512,973,78633,3297,69857,3184,8776,1454,77980,2937,69620,2958,8360,1452,75749,2738,67792,2905,7957,1207,105321,4681,88419,4712,16902,2196,23899,2513,19275,2036,4624,1237,983822,5651,0400000US20,2753908,2924,1364130,3357,395642,5680,26270,1723,17450,1709,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,20
9968,1636,33170,2580,30641,2467,2529,732,114573,4309,103617,4565,10956,1929,119164,4285,105134,4430,14030,1774,121559,4118,106374,3629,15185,2315,104229,5100,84757,4812,19472,2879,23100,2401,18312,2328,4788,1050,1514127,6762,2147326,4806,582475,8453,33556,2721,20142,2182,13414,1956,28805,2814,26802,2657,2003,656,115666,4196,102959,4019,12707,1892,107062,4341,95768,4273,11294,1789,115336,3869,102380,3865,12956,1768,154873,6714,131749,6578,23124,2667,27177,2700,21443,2451,5734,1147,1564851,8128,0400000US21,4206686,4595,2059360,5035,545233,5826,29438,2585,19470,2117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,21
16388,2276,32621,2910,27661,2603,4960,1000,129671,4324,107960,3780,21711,2350,134025,5352,111376,5149,22649,2166,123688,4222,103420,4315,20268,2097,112636,6532,94323,6195,18313,2050,18943,1998,13522,1855,5421,1057,1548057,8242,2253801,5182,617385,7376,40110,3386,25290,2745,14820,1968,32236,3416,26856,3098,5380,1228,123204,5589,103893,5567,19311,2200,121855,4916,100189,4363,21666,2686,120672,4927,97670,4446,23002,2858,148878,5304,123725,5348,25153,2866,30430,2318,21633,2325,8797,1224,1636416,6621,0400000US22,4397701,5144,2143900,5141,595843,8024,44259,3450,27871,2584,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,22
3516,833,7450,1279,6538,1182,912,353,32871,2187,29314,2231,3557,904,32123,2140,29459,2202,2664,737,34497,1484,30673,1607,3824,855,29722,2171,21329,1901,8393,1362,5895,1103,3904,930,1991,665,480815,2643,659034,2281,154181,3299,7573,1252,4222,995,3351,899,7751,1092,6685,1122,1066,562,29652,2067,26543,1918,3109,878,29501,2040,26676,1988,2825,754,31838,1320,29154,1342,2684,608,38834,2709,27105,2352,11729,1655,9032,1486,6148,1230,2884,690,504853,3103,0400000US23,1290199,1962,631165,2407,150350,2948,7792,1195,4276,889,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,23
27483,2440,36540,3103,31264,2993,5276,1137,146948,4903,128469,5525,18479,2639,149818,5101,129326,4881,20492,2231,163466,4042,138962,4559,24504,2570,168875,6784,136942,6183,31933,3370,48442,4596,27992,3498,20450,2672,1946400,8995,2904245,5487,813597,9073,47063,3707,21288,2342,25775,2935,38352,3736,31624,3262,6728,1650,141710,4583,122040,4514,19670,2267,144182,5611,121492,5453,22690,2717,153340,4355,134085,4495,19255,2340,215645,7951,171209,7244,44436,3441,73305,4674,44899,3742,28406,2865,2090648,9412,0400000US24,5614887,5149,2710642,4421,764242,9944,50153,3210,22670,2619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,24
