B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006MA,B24082_007MA,B24082_007EA,B24082_008MA,B24082_008EA,B24082_009MA,B24082_009EA,B24082_010EA,B24082_010MA,B24082_011MA,B24082_011EA,B24082_012MA,B24082_012EA,B24082_013MA,B24082_013EA,B24082_014MA,B24082_014EA,B24082_015EA,B24082_015MA,B24082_016EA,B24082_016MA,B24082_017MA,B24082_017EA,B24082_018MA,B24082_018EA,NAME,B24082_001MA,B24082_001EA,B24082_002MA,B24082_002EA,B24082_003MA,B24082_003EA,B24082_004EA,B24082_004MA,B24082_005EA,B24082_005MA,B24082_006EA,state
2476,44321,3953,60185,5230,28099,2906,30315,578,26891,1099,26542,1028,36712,6636,35444,2303,41114,2885,39648,2663,42282,5799,17254,2938,0400000US15,38961,1902,36303,1091,35766,1119,49947,9497,36922,3961,50800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,15
2718,35645,1538,54193,4336,26158,1957,21112,508,19884,816,19568,966,23864,2957,24394,2195,26140,2864,26525,3719,45593,4116,10207,1333,0400000US16,32875,1533,32035,996,31304,999,50672,5410,32564,8611,37036,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,16
1937,50294,2039,56564,1585,29673,2476,28009,396,26234,313,26127,314,30047,1968,32238,609,37200,881,37136,1430,51690,1042,15288,988,0400000US17,40782,277,40129,344,39062,643,56018,3144,37803,1765,54226,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,17
1764,35895,1161,55987,2396,25548,2193,25563,287,24375,431,24308,433,26516,2690,29884,1193,30123,995,32070,1616,47738,3541,14387,3006,0400000US18,37168,324,36993,412,36595,416,48131,3379,40160,1872,43492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,18
2211,44481,2336,54399,3745,30935,1099,25487,366,24197,492,24014,505,31029,1263,27221,1232,30836,1201,40577,1355,49473,2630,13310,2182,0400000US19,36944,418,36395,439,35862,468,50771,1789,32153,2240,45256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,19
2002,37467,2857,51793,4175,29522,2245,25087,425,23615,591,23441,597,31032,2892,27871,1334,30675,1225,31014,1350,42055,5441,11807,868,0400000US20,37006,459,36988,556,36435,568,50774,2487,37320,3024,39747,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,20
1862,37774,2920,55070,4473,24298,2550,24218,480,22300,381,22184,379,28526,5819,29710,1107,28438,3023,32047,1271,46784,3782,12809,1741,0400000US21,34119,740,33516,946,32818,950,47065,6995,37108,3402,36290,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,21
2643,43412,2695,51077,2395,28476,3501,23961,459,21580,381,21461,393,28891,4290,28560,1971,31606,1405,34365,2350,43117,3446,16435,2266,0400000US22,37606,1065,37881,1417,36964,678,57208,7476,33569,5221,37880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,22
1750,43790,3966,54638,3846,22029,1724,25616,574,23616,981,23431,985,28875,4961,30544,1167,34093,2568,32632,3009,50863,2948,15001,1575,0400000US23,35544,671,35535,928,34988,1335,47696,5202,34846,2132,41467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,23
2519,50810,1813,87740,4346,30906,1441,37193,581,30645,497,30484,493,39908,5437,41176,1166,48416,1987,42261,1621,76636,2383,17134,1544,0400000US24,48667,1263,42882,1185,42133,441,60572,4770,50647,1327,53126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,24
2805,58647,3166,60829,1773,32078,1401,32513,618,30883,370,30782,373,38810,3981,38861,1310,43335,1684,42635,1890,53556,3268,19558,1809,0400000US25,47571,808,47012,644,46155,695,66550,6657,45314,2022,57921,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,25
1607,51204,1066,60731,1948,22197,999,24558,334,22171,248,22112,253,25486,2709,31421,717,33944,2052,40105,1313,51060,1402,12162,556,0400000US26,37281,398,36803,367,36126,391,51978,1269,39620,3067,47081,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,26
1035,45399,1951,59413,3141,30003,2190,29780,464,27442,469,27301,449,31563,1791,32378,797,36209,1094,40382,912,52116,1808,16210,750,0400000US27,41050,260,40885,301,40501,340,50718,1018,40437,1647,51017,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,27
2224,36073,1893,55028,4116,26664,3062,22607,618,21230,476,21184,473,25940,10926,24455,1375,25326,1840,31549,1320,39805,1898,14152,2413,0400000US28,32625,804,32269,586,31683,516,57795,8373,33858,2539,30384,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,28
1329,36179,1579,55179,2505,25283,1438,25317,346,23364,538,23252,541,27460,4553,29824,1195,31607,911,30718,791,42949,4560,13009,1339,0400000US29,35994,359,35932,387,35532,407,46428,2322,38477,2592,40366,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,29
3047,42649,4223,51306,6126,21309,1659,21792,601,19198,1057,18718,1121,30805,4786,26143,1963,29485,2707,32147,3422,38920,6009,15107,2137,0400000US30,33119,1622,31723,1096,31223,1268,36692,4515,32578,4580,39748,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,30
2886,41281,2178,57162,4896,31667,784,24648,638,22795,762,22720,760,25943,4842,30424,1116,31111,1852,30626,1132,42903,4656,12172,1232,0400000US31,36507,468,35585,545,34639,911,51130,3733,36996,2141,42432,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,31
5886,50865,3239,51240,2577,22621,3111,27713,924,26002,612,25823,619,40314,5546,30978,3542,41227,2391,45621,4226,47572,6693,15608,4156,0400000US32,33546,1340,31735,695,31353,676,51378,4538,34549,7965,57201,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,32
3343,45252,8082,60340,4825,31397,1350,30701,532,28726,1202,28551,1149,34712,7374,34800,2189,37809,2893,32617,3596,45980,6406,18869,2067,0400000US33,44163,1712,44994,1780,44063,2128,57022,10627,43704,4271,47014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,33
1017,62962,3038,62190,1869,35674,1667,34895,605,31660,325,31593,331,35838,3845,37457,1622,48503,1577,51757,986,53777,2021,20441,1396,0400000US34,50579,304,48929,1190,47202,724,66309,3799,47259,3731,60740,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,34
3089,41024,4813,60208,5095,20020,3003,24364,809,21027,950,20718,982,32409,5373,26804,2454,31868,1347,33566,3282,45302,2790,12837,3016,0400000US35,32002,671,30744,906,30202,1031,50087,11101,31446,3414,36448,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,35
870,57118,1395,59265,1989,27314,998,31641,204,28697,529,28390,516,40093,3937,35894,512,44165,1418,45989,1077,52119,981,15672,669,0400000US36,41034,213,38768,695,37126,299,57699,4678,40402,1008,56742,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,36
1406,36186,1628,53346,2888,23451,1926,25706,306,23363,490,23157,475,32045,2936,30899,931,31176,715,34933,1106,44290,3147,15098,1367,0400000US37,34354,576,33349,790,32327,400,50053,3055,39194,2799,38579,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,37
2867,42111,5422,52054,6100,40615,2774,24614,771,22414,733,22390,736,23463,3771,27226,2409,31482,2213,31248,3224,43291,5560,17880,3868,0400000US38,39495,1629,37412,2001,36456,1285,54192,7551,40338,4261,37603,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,38
1599,43404,2475,60457,1695,24577,1282,25786,225,23439,320,23347,312,28036,3335,30240,427,36020,965,38423,1476,51054,1973,13998,1863,0400000US39,37395,318,36765,355,36365,352,49181,3102,36873,1024,47770,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,39
1581,38549,2041,55534,2148,25507,1512,23685,389,21945,334,21817,343,28122,4629,26399,1350,28714,1751,32151,923,40749,3190,13850,2218,0400000US40,34026,775,32650,777,32098,425,49069,2809,35532,2818,36616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,40
1175,43337,4002,52943,1943,27400,3536,24761,601,22861,838,22404,659,34673,4205,30883,1071,33639,2715,34857,1625,40081,7246,11870,955,0400000US41,36144,410,35214,549,34294,1220,46610,2372,36054,4352,50744,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,41
863,48954,1652,55985,955,27138,772,27103,201,25183,255,25043,275,31622,1372,31697,437,36622,906,40445,905,48511,2385,13635,1549,0400000US42,40365,229,39863,573,38932,665,52171,1729,40418,989,47106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,42
4170,60474,4113,60182,8306,31198,1588,30405,841,26008,1041,25821,1112,32307,9188,36769,1746,46642,3908,45154,5486,48198,2486,18643,4573,0400000US44,41294,653,40086,1523,39085,2322,48445,5790,42047,3384,57307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,44
1116,43099,1598,52052,3002,25805,2770,24603,500,23024,549,22896,529,29306,5183,25632,839,30395,922,33173,1374,41909,5149,12560,2142,0400000US45,34513,804,33307,907,32533,762,46579,4018,35071,2514,36301,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,45
3442,41815,8143,49196,6447,35715,2102,24269,639,22307,664,22248,669,24125,3591,29661,2868,29368,2583,28975,4510,40579,7013,15392,4712,0400000US46,35286,750,34155,1647,33403,1653,45902,7298,34731,4328,35891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,46
2065,39419,3515,55900,3506,25886,1357,25250,397,23729,517,23686,527,28731,5575,30471,922,31597,1392,32342,1394,42283,3555,14692,1785,0400000US47,33524,659,32471,632,32089,404,56255,11641,36655,2248,39882,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,47
1404,37956,1607,54961,1866,25584,787,26091,237,24207,311,24017,318,34009,3446,30685,816,36046,799,35654,997,48566,1689,13669,1108,0400000US48,35885,246,35410,308,34613,564,54113,4703,35808,1207,44091,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,48
1720,43562,3090,59902,1862,29748,5839,21183,381,20125,512,20136,515,19423,5015,26905,3022,22793,2487,34481,2433,46013,4067,7993,1860,0400000US49,38371,1023,36680,755,35809,815,50942,2027,40795,3492,40766,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,49
6285,41727,5696,51825,10157,25302,2613,29120,946,25933,1069,25686,1130,32896,5852,33526,1613,34901,3928,37215,2791,49510,4754,18654,3451,0400000US50,36017,796,36084,1062,35123,1372,53955,11983,42296,3624,41926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,50
1389,42063,2101,83327,3592,24247,1803,30952,274,27349,423,27257,410,31804,3950,35728,1027,37485,1248,33238,1996,70945,2630,15696,1431,0400000US51,43891,893,40799,453,40166,540,59416,4485,48024,3431,43976,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,51
1337,50593,1436,60232,1778,27454,2589,30003,498,26881,578,26652,569,34218,5344,34226,1436,40960,1182,37076,1379,48633,2735,15368,1235,0400000US53,43686,946,41863,406,41368,456,52738,7117,42573,2303,60734,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,53
3543,36856,2836,60516,3612,21989,2425,21954,416,19452,808,19253,815,26681,4317,26242,1602,30829,1462,29304,2153,49176,3427,10152,1519,0400000US54,35836,784,35738,1046,35498,1141,41130,4630,35701,2320,32722,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,54
1364,49431,1991,50622,1439,25163,1274,26458,365,24701,383,24556,392,30362,2010,31088,569,36733,1182,33140,1986,45078,4405,14514,1320,0400000US55,38322,540,37628,635,37197,476,50159,2499,39844,2033,49888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,55
3982,46942,5198,52016,11797,33250,7129,25738,1014,23249,1327,23101,1310,26671,4876,27626,4213,36951,4782,37426,5953,42083,5592,12263,4744,0400000US56,44800,3387,44423,4605,43172,4647,51612,9120,35765,9030,47713,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,56
429,27778,1030,35541,5388,11107,560,17281,311,15593,308,15535,326,19131,3987,17655,1895,16379,981,25562,804,22177,3128,9785,1240,0400000US72,17176,208,16670,224,16500,228,23802,4147,19693,3359,16505,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,72
