GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001MA,C14005_001EA,C14005_002EA,C14005_002MA,C14005_003EA,C14005_003MA,C14005_004EA,C14005_004MA,C14005_005MA,C14005_005EA,C14005_006MA,C14005_006EA,C14005_007MA,C14005_007EA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,C14005_010MA,C14005_011MA,C14005_011EA,C14005_012MA,C14005_012EA,C14005_013EA,C14005_013MA,C14005_014EA,C14005_014MA,C14005_015EA,C14005_015MA,C14005_016MA,C14005_016EA,C14005_017MA,C14005_017EA,C14005_018MA,C14005_018EA,C14005_019EA,C14005_019MA,state
0400000US30,52462,2064,25668,1333,19919,1347,5749,1237,3746,892,3242,889,504,275,2003,769,1128,610,875,498,26794,1434,22573,1625,4221,910,2654,745,2284,656,370,282,1567,561,959,528,608,305,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,105902,2786,52217,1918,46023,1947,6194,1208,4202,942,3560,871,642,284,1992,593,1387,556,605,300,53685,1954,47611,1913,6074,1176,4815,1097,3633,929,1182,544,1259,461,588,340,671,357,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,140884,3642,71054,2798,55764,3880,15290,2265,9784,1915,5738,1550,4046,1395,5506,1621,3118,1044,2388,1123,69830,2605,58651,2916,11179,1842,6840,1392,4697,1149,2143,786,4339,1243,965,567,3374,1257,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,74354,1827,37408,1276,32213,1643,5195,949,4171,836,3508,839,663,328,1024,508,780,420,244,248,36946,1241,33651,1487,3295,842,2421,701,1833,594,588,399,874,465,237,188,637,448,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,471162,5368,246430,4165,216898,4640,29532,2347,21791,2219,14786,2106,7005,1276,7741,1390,4186,1197,3555,829,224732,3652,204439,4251,20293,2215,12726,1963,8560,1515,4166,1085,7567,1647,2230,888,5337,1363,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,116758,3001,60409,2421,48693,2295,11716,1749,6568,1452,4161,1137,2407,1011,5148,1200,3172,1130,1976,619,56349,2165,47323,2537,9026,1950,4217,1331,2585,952,1632,736,4809,1440,2519,1019,2290,926,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1083744,7523,555988,4826,480230,6352,75758,4428,45644,3127,29549,2783,16095,1938,30114,2957,13310,2089,16804,2187,527756,5703,464081,6019,63675,3583,42490,2826,26568,2301,15922,2080,21185,2532,9393,1714,11792,1862,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,540206,8915,271082,7154,221984,6797,49098,4216,31726,3269,23719,2845,8007,1823,17372,2823,8962,2144,8410,1706,269124,6677,234172,6489,34952,3309,22977,2804,15958,2233,7019,1669,11975,2365,3644,1123,8331,2242,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,39772,1460,20623,1133,17275,1196,3348,701,2409,648,2028,615,381,239,939,379,424,314,515,219,19149,1088,16355,1124,2794,673,1650,524,1105,516,545,318,1144,497,608,370,536,318,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,642437,6550,328780,4974,282166,5363,46614,2964,30166,2355,23710,2280,6456,1176,16448,2005,8648,1206,7800,1449,313657,4410,275839,5356,37818,3024,25835,2765,19244,2402,6591,1357,11983,1981,6456,1300,5527,1365,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
