GEO_ID,B06008_001E,B06008_001M,B06008_002E,B06008_002M,B06008_003E,B06008_003M,B06008_004E,B06008_004M,B06008_005E,B06008_005M,B06008_006E,B06008_006M,B06008_007E,B06008_007M,B06008_008E,B06008_008M,B06008_009E,B06008_009M,B06008_010E,B06008_010M,B06008_011E,B06008_011M,B06008_012E,B06008_012M,B06008_013E,B06008_013M,B06008_014E,B06008_014M,B06008_015E,B06008_015M,B06008_016E,B06008_016M,B06008_017E,B06008_017M,B06008_018E,B06008_018M,B06008_019E,B06008_019M,B06008_020E,B06008_020M,B06008_021E,B06008_021M,B06008_022E,B06008_022M,B06008_023E,B06008_023M,B06008_024E,B06008_024M,B06008_025E,B06008_025M,B06008_026E,B06008_026M,B06008_027E,B06008_027M,B06008_028E,B06008_028M,B06008_029E,B06008_029M,B06008_030E,B06008_030M,NAME,B06008_001EA,B06008_001MA,B06008_002MA,B06008_002EA,B06008_003MA,B06008_003EA,B06008_004MA,B06008_004EA,B06008_005MA,B06008_005EA,B06008_006EA,B06008_006MA,B06008_007MA,B06008_007EA,B06008_008MA,B06008_008EA,B06008_009MA,B06008_009EA,B06008_010MA,B06008_010EA,B06008_011EA,B06008_011MA,B06008_012EA,B06008_012MA,B06008_013MA,B06008_013EA,B06008_014MA,B06008_014EA,B06008_015EA,B06008_015MA,B06008_016EA,B06008_016MA,B06008_017EA,B06008_017MA,B06008_018MA,B06008_018EA,B06008_019MA,B06008_019EA,B06008_020EA,B06008_020MA,B06008_021EA,B06008_021MA,B06008_022EA,B06008_022MA,B06008_023EA,B06008_023MA,B06008_024MA,B06008_024EA,B06008_025MA,B06008_025EA,B06008_026EA,B06008_026MA,B06008_027EA,B06008_027MA,B06008_028EA,B06008_028MA,B06008_029MA,B06008_029EA,B06008_030MA,B06008_030EA,state
0400000US24,4717856,2208,1658182,15182,2180463,22916,485222,12736,125498,7502,268491,7451,1974569,20099,864314,14319,753628,14715,201847,8545,50308,4258,104472,4817,1911125,20082,551658,13275,961431,15440,219715,7779,45867,4142,132454,6045,61723,5228,24534,3176,27732,3111,6445,1414,1436,1082,1576,654,770439,12704,217676,8501,437672,10497,57215,5077,27887,3523,29989,2776,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5440246,1157,1936627,18003,2551246,25903,516657,11889,106874,4992,328842,8277,3159110,21656,1213562,16079,1369515,17815,314863,9603,49062,3772,212108,6664,1182935,17567,397264,11247,596232,11084,112380,5776,18261,1925,58798,3595,152272,6788,65317,4862,52836,4355,16960,1943,9008,1562,8151,1321,945929,16956,260484,10321,532663,14159,72454,4704,30543,2900,49785,3201,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,8005678,3029,2598396,16509,3855830,24622,924092,14004,118140,5096,509220,8505,5877190,18586,2077334,18303,2708405,21333,686186,11514,83944,4635,321321,7192,1498789,16861,371232,9903,761434,12374,193557,6611,25245,2230,147321,4572,58781,3675,22534,2245,24789,2239,7444,1382,1527,525,2487,749,570918,11939,127296,6558,361202,8612,36905,3275,7424,1711,38091,2890,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4283571,2642,1351314,12907,2233321,17672,419864,9837,51956,3514,227116,4576,2762920,13562,913498,10744,1410571,12896,267104,8287,24151,2468,147596,4758,1135115,13497,321334,8966,613445,11371,123800,4117,12434,1602,64102,3535,26602,2759,9530,1582,11992,1610,2784,853,1626,967,670,278,358934,8537,106952,6038,197313,6401,26176,2548,13745,2044,14748,2073,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2350019,2263,786353,11806,1052205,18221,270822,9400,75694,5153,164945,5483,1606482,12363,572929,12810,677271,13461,179425,8046,54848,4391,122009,4450,669915,12752,190371,7943,332845,11024,87307,5114,19063,2813,40329,3151,11987,1927,5182,1317,4876,1440,1662,625,99,149,168,270,61635,4497,17871,2776,37213,3922,2428,700,1684,773,2439,852,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4841501,3725,1426583,14582,2429263,22455,583091,11134,91995,5192,310569,6510,3002020,17672,966641,14439,1435315,19716,353437,9048,56639,4377,189988,5919,1576378,17328,384961,11045,837928,14291,212892,7649,30054,2798,110543,4593,36209,4317,11896,2263,18453,2762,3589,1047,1245,752,1026,484,226894,9604,63085,4695,137567,6723,13173,2330,4057,1006,9012,1791,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,814821,2086,230254,6862,420216,9407,103447,5074,9739,1469,51165,2235,405719,8127,132891,5881,192049,5959,50001,3456,5612,1257,25166,1703,384096,8250,90818,5170,213917,7478,50812,3293,3963,848,24586,1760,5997,1011,1706,567,3501,964,446,253,93,126,251,213,19009,2206,4839,1106,10749,1732,2188,821,71,70,1162,461,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1456792,1639,423173,8409,775339,10379,155912,5873,18363,2274,84005,3032,900645,8254,279133,7796,463716,8980,93862,4986,10167,1521,53767,2241,438417,6914,111002,5386,242989,5569,53130,3656,5082,1056,26214,1708,10721,1508,2932,824,5378,964,2071,838,105,124,235,168,107009,4795,30106,3046,63256,4375,6849,1155,3009,918,3789,970,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2172537,1505,692081,13413,1009947,18749,303258,11081,58915,5964,108336,5523,300333,12005,181124,8903,81156,5997,27368,3311,6151,2414,4534,933,1330780,16027,377031,13782,622539,15845,218845,9737,30729,3661,81636,4954,37869,4620,15322,3375,15012,2172,5419,1416,755,649,1361,764,503555,13737,118604,8887,291240,11959,51626,5000,21280,3218,20805,2744,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1090942,1111,305879,6092,584307,10046,128576,5804,13835,2058,58345,3318,398707,9071,152555,6046,177208,6408,44275,3735,4247,1190,20422,1906,609081,8744,136068,6252,356662,7884,75391,4725,7670,1311,33290,2894,13937,2267,4243,1306,7385,1411,1704,660,288,359,317,241,69217,4179,13013,1705,43052,3649,7206,1473,1630,714,4316,967,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
