GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,NAME,C27014_001EA,C27014_001MA,C27014_002MA,C27014_002EA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005EA,C27014_005MA,C27014_006EA,C27014_006MA,C27014_007EA,C27014_007MA,C27014_008EA,C27014_008MA,C27014_009EA,C27014_009MA,C27014_010EA,C27014_010MA,state
0400000US31,1106720,2929,682607,7203,32248,2178,650359,7447,276167,6291,31688,2731,244479,6431,147946,5076,56399,3149,91547,4262,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,987771,3114,527764,9583,23800,2720,503964,9876,277872,8591,36453,3617,241419,8081,182135,6449,62437,4719,119698,5660,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,1186832,4742,592384,8550,93066,5757,499318,9046,274563,8484,106229,5931,168334,7398,319885,8478,181823,7148,138062,6061,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,792376,3379,458987,8329,33456,3246,425531,8956,196434,6932,41924,3678,154510,6535,136955,5538,59894,3532,77061,4602,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,499538,3251,306589,6087,14218,1699,292371,6248,125568,5116,17879,2356,107689,4528,67381,4076,25409,2410,41972,2925,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,4528688,5751,2471575,19490,198013,8599,2273562,19606,1220250,18397,290522,10908,929728,15629,836863,15741,382436,12807,454427,11208,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,646561,2368,342802,7821,28998,2737,313804,7587,175981,6357,44043,4475,131938,5185,127778,7264,74733,6390,53045,4505,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,4071893,6181,2185298,16428,219579,8173,1965719,17400,1002399,16857,249222,9434,753177,13739,884196,14642,418286,11698,465910,11363,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,3992463,6554,2195778,16529,161195,8616,2034583,17107,897076,15912,167345,7841,729731,14091,899609,16275,413910,10243,485699,10825,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,1664412,4486,978458,9441,44529,4182,933929,9776,419945,8602,45784,3803,374161,8396,266009,7227,104797,5601,161212,5323,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
