GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001EA,B27001H_001MA,B27001H_002EA,B27001H_002MA,B27001H_003EA,B27001H_003MA,B27001H_004MA,B27001H_004EA,B27001H_005MA,B27001H_005EA,B27001H_006MA,B27001H_006EA,B27001H_007EA,B27001H_007MA,B27001H_008EA,B27001H_008MA,B27001H_009MA,B27001H_009EA,B27001H_010MA,B27001H_010EA,B27001H_011MA,B27001H_011EA,B27001H_012EA,B27001H_012MA,B27001H_013EA,B27001H_013MA,B27001H_014MA,B27001H_014EA,B27001H_015MA,B27001H_015EA,B27001H_016MA,B27001H_016EA,B27001H_017EA,B27001H_017MA,B27001H_018EA,B27001H_018MA,B27001H_019MA,B27001H_019EA,B27001H_020MA,B27001H_020EA,B27001H_021MA,B27001H_021EA,B27001H_022MA,B27001H_022EA,B27001H_023EA,B27001H_023MA,B27001H_024MA,B27001H_024EA,B27001H_025MA,B27001H_025EA,B27001H_026MA,B27001H_026EA,B27001H_027MA,B27001H_027EA,B27001H_028MA,B27001H_028EA,state
0400000US55,4659986,2774,278149,2745,268096,3262,10053,1451,676465,3538,651691,4068,24774,2702,408595,3997,380925,4233,27670,2780,495502,3441,455288,3932,40214,3110,552389,1287,522577,2921,29812,2684,621508,784,590945,2463,30563,2383,732791,790,703094,2556,29697,2456,522744,894,522031,914,713,310,371843,1250,370999,1328,844,454,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,30511,3917,1577,756,1577,756,0,228,3896,1482,3896,1482,0,228,1752,979,1171,685,581,686,4834,1473,3661,1304,1173,669,4680,1270,3836,1121,844,512,4945,1246,4132,1231,813,526,4288,1003,3872,939,416,311,2659,846,2571,840,88,138,1880,745,1880,745,0,228,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,5101132,4843,314388,3613,303312,3823,11076,1903,744166,5078,718398,6047,25768,3332,429202,5714,388047,6169,41155,3504,578309,4979,511484,5998,66825,4359,613677,2812,561168,5684,52509,5077,693707,2150,635032,4567,58675,4347,754244,1254,701098,4069,53146,3938,574147,758,570601,1341,3546,1063,399292,1284,398455,1367,837,397,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,624165,1630,48201,1337,45256,1553,2945,775,95625,1768,91024,2130,4601,1422,65974,2181,60534,2587,5440,1320,78131,1827,70192,2360,7939,1498,75145,852,69929,1491,5216,1124,68776,446,64763,1117,4013,996,86893,352,83393,873,3500,786,60237,570,60125,592,112,168,45183,580,45125,587,58,102,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,3184441,3314,187464,2605,180923,2934,6541,1750,453453,3932,434565,4235,18888,2984,256166,4532,221836,4803,34330,3301,349272,3946,293671,6078,55601,4680,372072,2256,320649,5052,51423,4540,422239,1549,370686,4697,51553,4290,469262,729,422692,4088,46570,4075,409248,1089,408490,1110,758,426,265265,972,265233,977,32,53,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,3119965,2793,174421,2535,168331,2971,6090,2245,410218,3426,398000,4403,12218,2385,238709,3852,216645,4451,22064,2724,377375,3580,334776,5310,42599,4110,405839,1102,374404,3341,31435,3258,393877,950,366800,3058,27077,2883,461421,766,437609,3420,23812,3184,398251,1112,397238,1115,1013,550,259854,899,259555,923,299,264,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,477250,1145,31538,1289,29131,1361,2407,1083,80239,2225,75221,2481,5018,1390,38104,2153,32215,2326,5889,1418,55402,1854,46222,2501,9180,1599,59798,1144,51846,2224,7952,1882,54871,777,47788,1529,7083,1551,71568,176,64842,1396,6726,1404,52576,806,52391,864,185,273,33154,789,33154,789,0,203,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,14311663,8626,736682,5116,719980,5668,16702,2851,1689948,6716,1648187,7740,41761,4178,1052872,8907,980885,9142,71987,5106,1747146,8782,1610763,10228,136383,7167,1722563,3418,1622710,6434,99853,5753,1919543,3036,1821761,5701,97782,5844,2287255,2034,2190362,5436,96893,5129,1802250,1754,1794507,2232,7743,1225,1353404,3336,1351686,3477,1718,822,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,1653125,2174,109261,2859,104200,3071,5061,1281,260256,3562,248428,4061,11828,2225,137326,4403,109743,4076,27583,3136,177828,3720,143956,5037,33872,3729,195136,2818,164472,3856,30664,3375,210183,2294,179883,3685,30300,3218,236407,869,210023,3137,26384,3232,190068,1559,189875,1549,193,217,136660,1628,136440,1651,220,307,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,2337032,3187,113027,2298,110009,2598,3018,1355,317039,3855,310113,3861,6926,1827,198654,3126,189816,3634,8838,2026,224030,2478,211188,3154,12842,2246,247557,1012,235472,2387,12085,2158,340693,894,326761,2252,13932,2072,398138,788,385252,2069,12886,1916,277833,1016,277265,1037,568,316,220061,1193,219875,1227,186,166,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,11690876,8602,742491,6288,690404,6970,52087,4132,1710132,8062,1568127,11038,142005,8458,934325,9345,773960,11634,160365,9950,1378512,9208,1125462,10982,253050,9492,1469636,6082,1255891,10782,213745,10156,1537151,4211,1344216,9131,192935,8095,1721548,2629,1542565,7493,178983,7358,1298299,2472,1290649,2878,7650,1776,898782,2546,896213,2828,2569,1330,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,2986121,4596,170853,2940,167565,3156,3288,1012,418382,4338,409942,4855,8440,1776,231750,4282,221441,4633,10309,1822,340681,3519,321734,4248,18947,2575,342204,1942,329008,3053,13196,2121,414232,986,398484,2332,15748,1980,472570,1201,459766,1853,12804,1741,339903,867,338618,955,1285,512,255546,1144,254959,1171,587,407,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,11192504,9222,549718,5186,524900,5340,24818,2844,1297794,6950,1207036,8531,90758,6070,771285,8227,643881,9230,127404,6594,1112809,7605,889146,11540,223663,10515,1133845,3256,946231,9045,187614,7578,1411930,2717,1210550,9269,201380,9312,1773514,2172,1583193,8560,190321,7852,1704882,1676,1693524,2764,11358,2248,1436727,2261,1431664,2615,5063,1528,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,4831114,6535,244733,3121,242317,3339,2416,1054,644925,4192,637987,4170,6938,1657,442574,5489,429387,5786,13187,2300,569024,4659,544433,5466,24591,2986,547349,2043,532151,2900,15198,2389,677894,2054,659931,3221,17963,2718,756606,1639,737649,3089,18957,2466,550439,1026,549484,1048,955,394,397570,1800,397355,1787,215,202,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,256547,1131,14746,598,14746,598,0,213,17715,1280,17401,1340,314,373,34190,1979,33862,1992,328,202,70898,1782,70367,1804,531,340,44628,461,43892,625,736,417,25658,174,25127,408,531,368,20211,151,19817,310,394,268,16785,231,16720,252,65,108,11716,351,11716,351,0,213,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,2441362,2604,215313,2626,206249,3245,9064,1993,505778,4150,481339,5417,24439,4463,258375,4080,236759,5014,21616,3000,307678,3030,271203,3776,36475,3926,337242,1047,309438,3664,27804,3284,251024,943,233397,2400,17627,2479,254368,551,238856,1937,15512,1834,186118,791,185486,928,632,461,125466,857,124991,957,475,315,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,10675358,6623,618877,4899,604031,5234,14846,2351,1439671,6576,1407127,8368,32544,5244,913807,6116,874459,6304,39348,3345,1293747,6097,1206429,7486,87318,5483,1224402,1834,1165813,4004,58589,3650,1422909,1613,1362571,4583,60338,4572,1615729,1478,1564395,3795,51334,3424,1207817,1628,1204253,1929,3564,956,938399,2387,936664,2659,1735,1168,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,4812853,5405,266056,3687,260782,3798,5274,1031,678800,4633,663750,5367,15050,2389,370620,4291,350976,4974,19644,2610,486523,3734,444845,5081,41678,3733,530315,1827,499207,3895,31108,3451,689088,1246,653893,3870,35195,3492,786173,1501,755184,3021,30989,2583,559231,1437,557027,1646,2204,1057,446047,1495,445478,1522,569,384,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
