GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,NAME,B13014_001MA,B13014_001EA,B13014_002MA,B13014_002EA,B13014_003EA,B13014_003MA,B13014_004EA,B13014_004MA,B13014_005MA,B13014_005EA,B13014_006MA,B13014_006EA,B13014_007MA,B13014_007EA,B13014_008EA,B13014_008MA,B13014_009MA,B13014_009EA,B13014_010MA,B13014_010EA,B13014_011MA,B13014_011EA,B13014_012MA,B13014_012EA,B13014_013EA,B13014_013MA,B13014_014EA,B13014_014MA,B13014_015MA,B13014_015EA,B13014_016MA,B13014_016EA,B13014_017MA,B13014_017EA,B13014_018MA,B13014_018EA,B13014_019MA,B13014_019EA,B13014_020MA,B13014_020EA,B13014_021EA,B13014_021MA,B13014_022MA,B13014_022EA,B13014_023MA,B13014_023EA,B13014_024MA,B13014_024EA,B13014_025MA,B13014_025EA,B13014_026MA,B13014_026EA,B13014_027MA,B13014_027EA,state
0400000US30,227860,2141,11388,1548,7707,1340,138,138,1499,537,2679,824,2440,669,951,546,3681,1104,862,600,1368,707,1189,679,262,191,0,172,216472,2511,98157,3379,3365,822,18997,2083,36310,3291,25826,2043,13659,1572,118315,3712,26841,1937,24763,2572,40512,3237,18974,1812,7225,1270,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,282032,2182,14372,2013,9967,1741,558,383,1914,656,3105,904,2859,788,1531,629,4405,1096,338,257,1711,638,1521,722,655,436,180,160,267660,3197,111881,3783,3694,1014,22644,1949,36286,2871,31599,2161,17658,1485,155779,4712,28428,1643,35863,2723,54605,3941,28224,3054,8659,1400,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2468872,7563,119280,5997,77564,5064,5218,1374,10411,1956,26644,3407,21873,2461,13418,1638,41716,3638,8486,1705,13173,2218,14935,2200,4146,1290,976,720,2349592,9993,1020323,13958,79827,4558,174774,7716,333568,9840,273976,8704,158178,6467,1329269,15107,296062,6912,267545,10271,462940,12660,219244,8053,83478,5145,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2619669,8548,122525,5675,75813,5726,5921,1776,16249,2586,19556,2366,20895,3176,13192,2451,46712,3962,7490,1630,16918,2648,16880,2388,3219,1163,2205,904,2497144,10191,1020024,17571,95240,6515,195936,8203,299036,10333,257788,7742,172024,8017,1477120,17398,341772,8881,326151,11676,487718,13781,221894,9692,99585,5988,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,171990,1891,10747,1579,6698,1325,410,398,1809,723,1557,540,1683,590,1239,501,4049,1012,781,460,2031,749,968,434,269,213,0,157,161243,2486,76063,2818,3369,900,16455,1743,28900,2309,17107,1631,10232,1210,85180,3201,18953,1388,25342,2451,25738,2416,11312,1428,3835,796,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1143519,5742,66070,4793,40650,4164,3450,1179,8429,1807,13952,2263,9230,1812,5589,1285,25420,2575,4871,1205,8704,1613,10798,1877,597,359,450,360,1077449,7522,461942,9359,37860,3733,103005,5723,162344,7286,100186,5305,58547,4059,615507,11034,148138,6664,147796,6708,217585,7663,76237,5649,25751,2958,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,137964,1376,5767,1277,3883,935,81,139,562,313,1200,578,1087,419,953,391,1884,790,79,114,1328,629,186,163,156,242,135,171,132197,1938,54733,2715,1207,545,9823,1587,15983,2076,16128,1720,11592,1380,77464,2507,13471,1150,17328,1665,25274,2064,16263,2148,5128,1007,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,711652,2821,36733,3284,19984,2368,2427,755,5360,1273,5749,1428,4318,973,2130,613,16749,2077,3348,1336,7983,1626,4573,1281,605,382,240,239,674919,4244,279467,6836,36984,3218,73117,4816,87069,3885,54965,3493,27332,2479,395452,7356,95141,3740,105454,5208,131730,6012,46756,3934,16371,1996,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,389283,3100,18926,2564,10895,1765,374,236,2933,952,3346,996,2400,848,1842,714,8031,1681,889,485,4066,1164,2484,1031,592,395,0,201,370357,3500,160499,5244,10576,2031,49419,3767,53247,3741,27462,2563,19795,2144,209858,6112,46789,2834,58099,4148,74095,4692,22539,2622,8336,1568,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,909783,3317,51095,3205,32699,2364,2815,719,6570,949,10569,1464,8614,1244,4131,811,18396,2504,3522,913,7090,1226,6887,1572,749,319,148,132,858688,4563,393150,6226,35736,2390,96822,3706,134376,4628,86758,3549,39458,2743,465538,7174,115946,3637,118811,5689,157013,5532,52400,3302,21368,2151,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
